tipo,activo,from,open,close,max,min,volume
binary,USDCLP-OTC,1782036420,875.89445,874.76325,876.20075,874.70555,0
binary,USDCLP-OTC,1782036480,874.75565,875.68805,875.78835,874.33405,0
binary,USDCLP-OTC,1782036540,875.73965,877.11545,877.48315,875.56395,0
binary,USDCLP-OTC,1782036600,877.25135,877.22455,877.75505,876.40525,0
binary,USDCLP-OTC,1782036660,877.23715,875.32155,877.23745,875.32155,0
binary,USDCLP-OTC,1782036720,875.03695,874.81495,875.71015,874.08725,0
binary,USDCLP-OTC,1782036780,874.85655,874.07245,874.94275,873.87465,0
binary,USDCLP-OTC,1782036840,874.05975,874.51255,874.79395,873.60455,0
binary,USDCLP-OTC,1782036900,874.51535,874.81655,875.56405,874.51535,0
binary,USDCLP-OTC,1782036960,874.82765,873.11425,875.83265,873.11425,0
binary,USDCLP-OTC,1782037020,873.10765,873.56635,874.17785,872.53365,0
binary,USDCLP-OTC,1782037080,873.56185,876.63255,877.03805,873.53515,0
binary,USDCLP-OTC,1782037140,876.63655,875.61045,877.01065,875.35905,0
binary,USDCLP-OTC,1782037200,875.64415,876.22415,876.62205,875.36705,0
binary,USDCLP-OTC,1782037260,876.25425,874.08195,876.27285,873.88215,0
binary,USDCLP-OTC,1782037320,874.12485,874.17375,874.46645,873.58875,0
binary,USDCLP-OTC,1782037380,874.17905,872.78265,874.17905,872.78265,0
binary,USDCLP-OTC,1782037440,872.77795,872.31525,872.97665,872.13465,0
binary,USDCLP-OTC,1782037500,872.30845,873.09105,873.21415,872.23995,0
binary,USDCLP-OTC,1782037560,873.08885,874.78655,875.25605,873.08715,0
binary,USDCLP-OTC,1782037620,874.78695,876.40465,876.47945,874.46235,0
binary,USDCLP-OTC,1782037680,876.40725,877.07085,877.61735,876.29955,0
binary,USDCLP-OTC,1782037740,876.93755,875.58005,877.69615,875.40945,0
binary,USDCLP-OTC,1782037800,875.59465,874.27445,875.78605,874.14765,0
binary,USDCLP-OTC,1782037860,874.29175,875.09495,875.66955,874.28875,0
binary,USDCLP-OTC,1782037920,875.13045,874.88635,875.95095,874.67245,0
binary,USDCLP-OTC,1782037980,874.78905,875.31195,875.55055,874.42405,0
binary,USDCLP-OTC,1782038040,875.33025,876.17235,876.21675,875.19255,0
binary,USDCLP-OTC,1782038100,876.16775,874.74345,876.60095,874.62385,0
binary,USDCLP-OTC,1782038160,874.91805,873.74325,875.03355,873.70595,0
binary,USDCLP-OTC,1782038220,873.74475,874.29515,874.50495,873.66535,0
binary,USDCLP-OTC,1782038280,874.30015,873.20795,874.46275,872.55005,0
binary,USDCLP-OTC,1782038340,873.18205,872.35655,874.34145,872.11765,0
binary,USDCLP-OTC,1782038400,872.35245,870.22315,872.56225,870.16875,0
binary,USDCLP-OTC,1782038460,870.22555,871.69295,871.77415,869.46115,0
binary,USDCLP-OTC,1782038520,871.69945,871.32565,872.88625,871.23615,0
binary,USDCLP-OTC,1782038580,871.37835,869.23905,871.66195,869.07915,0
binary,USDCLP-OTC,1782038640,869.23825,868.40195,869.40395,868.36135,0
binary,USDCLP-OTC,1782038700,868.39115,868.27545,868.96905,868.07765,0
binary,USDCLP-OTC,1782038760,868.24195,866.73575,868.24195,866.46175,0
binary,USDCLP-OTC,1782038820,866.72515,866.06835,866.94805,865.87685,0
binary,USDCLP-OTC,1782038880,866.04025,866.34025,867.15385,865.83885,0
binary,USDCLP-OTC,1782038940,866.38685,866.90975,867.23165,865.71975,0
binary,USDCLP-OTC,1782039000,866.94665,868.16425,868.16425,866.48875,0
binary,USDCLP-OTC,1782039060,868.17005,868.27285,868.51355,867.34335,0
binary,USDCLP-OTC,1782039120,868.24905,869.12585,869.67605,867.74195,0
binary,USDCLP-OTC,1782039180,869.13195,869.16115,870.15375,869.05145,0
binary,USDCLP-OTC,1782039240,869.16365,868.50425,869.66925,868.33495,0
binary,USDCLP-OTC,1782039300,868.55575,867.25875,869.35955,867.23405,0
binary,USDCLP-OTC,1782039360,867.31085,866.85145,867.31855,865.69605,0
binary,USDCLP-OTC,1782039420,867.11575,867.74955,868.15055,867.03075,0
