tipo,activo,from,open,close,max,min,volume
binary,USDHKD-OTC,1782510600,7.952725,7.953615,7.953725,7.952225,0
binary,USDHKD-OTC,1782510660,7.953535,7.953085,7.953635,7.952185,0
binary,USDHKD-OTC,1782510720,7.953155,7.953975,7.953985,7.951995,0
binary,USDHKD-OTC,1782510780,7.953795,7.954035,7.954035,7.952065,0
binary,USDHKD-OTC,1782510840,7.953955,7.954055,7.954255,7.952335,0
binary,USDHKD-OTC,1782510900,7.954135,7.953685,7.954525,7.952725,0
binary,USDHKD-OTC,1782510960,7.953585,7.952735,7.954165,7.952095,0
binary,USDHKD-OTC,1782511020,7.952635,7.954315,7.955375,7.952425,0
binary,USDHKD-OTC,1782511080,7.954235,7.950095,7.954235,7.949975,0
binary,USDHKD-OTC,1782511140,7.949925,7.949965,7.950695,7.948645,0
binary,USDHKD-OTC,1782511200,7.949895,7.948525,7.950945,7.948525,0
binary,USDHKD-OTC,1782511260,7.948635,7.946725,7.949065,7.946725,0
binary,USDHKD-OTC,1782511320,7.946835,7.946775,7.947055,7.945475,0
binary,USDHKD-OTC,1782511380,7.946875,7.951775,7.951915,7.946655,0
binary,USDHKD-OTC,1782511440,7.951875,7.952305,7.952915,7.951205,0
binary,USDHKD-OTC,1782511500,7.952195,7.950875,7.952285,7.949125,0
binary,USDHKD-OTC,1782511560,7.950965,7.951185,7.952085,7.949845,0
binary,USDHKD-OTC,1782511620,7.951255,7.949725,7.951675,7.948485,0
binary,USDHKD-OTC,1782511680,7.949495,7.948565,7.949835,7.948145,0
binary,USDHKD-OTC,1782511740,7.948495,7.948325,7.949705,7.947225,0
binary,USDHKD-OTC,1782511800,7.948215,7.946785,7.948215,7.945995,0
binary,USDHKD-OTC,1782511860,7.946885,7.946265,7.947925,7.945935,0
binary,USDHKD-OTC,1782511920,7.946155,7.946645,7.948425,7.945655,0
binary,USDHKD-OTC,1782511980,7.946745,7.948685,7.948785,7.945365,0
binary,USDHKD-OTC,1782512040,7.948585,7.945705,7.949615,7.945415,0
binary,USDHKD-OTC,1782512100,7.945795,7.944475,7.946145,7.944275,0
binary,USDHKD-OTC,1782512160,7.944325,7.943555,7.944745,7.942415,0
binary,USDHKD-OTC,1782512220,7.943665,7.945745,7.946395,7.943665,0
binary,USDHKD-OTC,1782512280,7.945635,7.944215,7.945725,7.943795,0
binary,USDHKD-OTC,1782512340,7.944285,7.944055,7.946445,7.943945,0
binary,USDHKD-OTC,1782512400,7.944165,7.943745,7.945385,7.943515,0
binary,USDHKD-OTC,1782512460,7.943855,7.944725,7.945165,7.943255,0
binary,USDHKD-OTC,1782512520,7.944785,7.946565,7.946845,7.944565,0
binary,USDHKD-OTC,1782512580,7.946475,7.946555,7.946965,7.944575,0
binary,USDHKD-OTC,1782512640,7.946465,7.948585,7.948915,7.946155,0
binary,USDHKD-OTC,1782512700,7.948505,7.947905,7.949625,7.947735,0
binary,USDHKD-OTC,1782512760,7.947835,7.946415,7.947835,7.946095,0
binary,USDHKD-OTC,1782512820,7.946565,7.945575,7.947695,7.944965,0
binary,USDHKD-OTC,1782512880,7.945685,7.947295,7.947575,7.945005,0
binary,USDHKD-OTC,1782512940,7.947395,7.949145,7.949745,7.946945,0
binary,USDHKD-OTC,1782513000,7.949065,7.947765,7.949375,7.946665,0
binary,USDHKD-OTC,1782513060,7.947645,7.945535,7.947705,7.944995,0
binary,USDHKD-OTC,1782513120,7.945465,7.945035,7.945615,7.943735,0
binary,USDHKD-OTC,1782513180,7.944975,7.943725,7.946345,7.943315,0
binary,USDHKD-OTC,1782513240,7.943645,7.943935,7.944195,7.942905,0
binary,USDHKD-OTC,1782513300,7.943875,7.946805,7.947675,7.943875,0
binary,USDHKD-OTC,1782513360,7.946685,7.947075,7.947655,7.946045,0
binary,USDHKD-OTC,1782513420,7.947185,7.946325,7.947565,7.945735,0
binary,USDHKD-OTC,1782513480,7.946215,7.947165,7.947585,7.945555,0
binary,USDHKD-OTC,1782513540,7.947275,7.947145,7.948435,7.946465,0
binary,USDHKD-OTC,1782513600,7.947065,7.944825,7.947755,7.944725,0
binary,USDHKD-OTC,1782513660,7.944945,7.940605,7.944945,7.940445,0
binary,USDHKD-OTC,1782513720,7.940695,7.942305,7.943185,7.940375,0
binary,USDHKD-OTC,1782513780,7.942425,7.944195,7.944485,7.942045,0
binary,USDHKD-OTC,1782513840,7.944385,7.945885,7.945885,7.943405,0
binary,USDHKD-OTC,1782513900,7.945815,7.946135,7.946625,7.944875,0
binary,USDHKD-OTC,1782513960,7.946035,7.944455,7.946275,7.944375,0
binary,USDHKD-OTC,1782514020,7.944525,7.943115,7.944855,7.943035,0
binary,USDHKD-OTC,1782514080,7.943045,7.942975,7.944355,7.942415,0
binary,USDHKD-OTC,1782514140,7.943075,7.943775,7.943855,7.941755,0
binary,USDHKD-OTC,1782514200,7.943695,7.942415,7.944235,7.941485,0
binary,USDHKD-OTC,1782514260,7.942265,7.940415,7.942385,7.939435,0
binary,USDHKD-OTC,1782514320,7.940325,7.941565,7.942085,7.940325,0
binary,USDHKD-OTC,1782514380,7.941685,7.941405,7.942265,7.940195,0
binary,USDHKD-OTC,1782514440,7.941315,7.940655,7.941845,7.939715,0
binary,USDHKD-OTC,1782514500,7.940595,7.940875,7.940875,7.938955,0
binary,USDHKD-OTC,1782514560,7.940985,7.939355,7.941385,7.938905,0
binary,USDHKD-OTC,1782514620,7.939465,7.939915,7.940295,7.938575,0
binary,USDHKD-OTC,1782514680,7.940095,7.941955,7.941955,7.940095,0
binary,USDHKD-OTC,1782514740,7.941845,7.941855,7.942035,7.940315,0
binary,USDHKD-OTC,1782514800,7.941965,7.943245,7.943525,7.940495,0
binary,USDHKD-OTC,1782514860,7.943325,7.944045,7.944265,7.942325,0
binary,USDHKD-OTC,1782514920,7.943935,7.944415,7.945635,7.943545,0
binary,USDHKD-OTC,1782514980,7.944515,7.941615,7.945095,7.941615,0
binary,USDHKD-OTC,1782515040,7.941495,7.941605,7.942185,7.940445,0
binary,USDHKD-OTC,1782515100,7.941455,7.941855,7.941985,7.940425,0
binary,USDHKD-OTC,1782515160,7.941755,7.942385,7.942775,7.940975,0
binary,USDHKD-OTC,1782515220,7.942495,7.943935,7.944085,7.941925,0
binary,USDHKD-OTC,1782515280,7.943835,7.943405,7.944775,7.942465,0
binary,USDHKD-OTC,1782515340,7.943345,7.941965,7.944345,7.941965,0
binary,USDHKD-OTC,1782515400,7.942045,7.939175,7.942145,7.938885,0
binary,USDHKD-OTC,1782515460,7.939075,7.938735,7.939155,7.937795,0
binary,USDHKD-OTC,1782515520,7.938855,7.940475,7.940675,7.938075,0
binary,USDHKD-OTC,1782515580,7.940625,7.939905,7.941025,7.939535,0
binary,USDHKD-OTC,1782515640,7.939805,7.938535,7.940075,7.938365,0
binary,USDHKD-OTC,1782515700,7.938425,7.936275,7.938865,7.935965,0
binary,USDHKD-OTC,1782515760,7.936155,7.937065,7.937645,7.935935,0
binary,USDHKD-OTC,1782515820,7.937215,7.935075,7.937235,7.934785,0
binary,USDHKD-OTC,1782515880,7.935185,7.934665,7.935815,7.933905,0
binary,USDHKD-OTC,1782515940,7.934765,7.934165,7.935665,7.933885,0
binary,USDHKD-OTC,1782516000,7.934055,7.935335,7.935535,7.933615,0
binary,USDHKD-OTC,1782516060,7.935435,7.935905,7.936755,7.935025,0
binary,USDHKD-OTC,1782516120,7.935815,7.936925,7.937465,7.934795,0
binary,USDHKD-OTC,1782516180,7.937025,7.937355,7.938585,7.936385,0
binary,USDHKD-OTC,1782516240,7.937445,7.935495,7.938035,7.935375,0
binary,USDHKD-OTC,1782516300,7.935595,7.935605,7.936365,7.934915,0
binary,USDHKD-OTC,1782516360,7.935505,7.935985,7.936745,7.935155,0
binary,USDHKD-OTC,1782516420,7.936075,7.935045,7.937155,7.934975,0
binary,USDHKD-OTC,1782516480,7.934985,7.936015,7.936615,7.934455,0
binary,USDHKD-OTC,1782516540,7.936125,7.931695,7.936385,7.931475,0
binary,USDHKD-OTC,1782516600,7.931765,7.934255,7.934925,7.931595,0
binary,USDHKD-OTC,1782516660,7.934315,7.936105,7.936765,7.934145,0
binary,USDHKD-OTC,1782516720,7.936195,7.935105,7.936585,7.934805,0
binary,USDHKD-OTC,1782516780,7.934905,7.934645,7.935365,7.934215,0
binary,USDHKD-OTC,1782516840,7.934555,7.935095,7.935755,7.934365,0
binary,USDHKD-OTC,1782516900,7.934985,7.935155,7.935455,7.933725,0
binary,USDHKD-OTC,1782516960,7.935045,7.935575,7.936535,7.933895,0
binary,USDHKD-OTC,1782517020,7.935495,7.934735,7.935535,7.933775,0
binary,USDHKD-OTC,1782517080,7.934645,7.932415,7.934735,7.932215,0
binary,USDHKD-OTC,1782517140,7.932335,7.932765,7.934185,7.932205,0
binary,USDHKD-OTC,1782517200,7.932655,7.931635,7.933255,7.930925,0
binary,USDHKD-OTC,1782517260,7.931545,7.930305,7.932045,7.929875,0
binary,USDHKD-OTC,1782517320,7.930185,7.929605,7.931715,7.929345,0
binary,USDHKD-OTC,1782517380,7.929485,7.930085,7.930695,7.929205,0
binary,USDHKD-OTC,1782517440,7.930235,7.929255,7.930235,7.928195,0
binary,USDHKD-OTC,1782517500,7.929145,7.928855,7.930225,7.928375,0
binary,USDHKD-OTC,1782517560,7.928755,7.929945,7.930285,7.928575,0
binary,USDHKD-OTC,1782517620,7.929845,7.929935,7.931065,7.929395,0
binary,USDHKD-OTC,1782517680,7.929995,7.931495,7.931595,7.929125,0
binary,USDHKD-OTC,1782517740,7.931415,7.932425,7.932865,7.931375,0
binary,USDHKD-OTC,1782517800,7.932355,7.931355,7.932435,7.931045,0
binary,USDHKD-OTC,1782517860,7.931285,7.932165,7.932305,7.929795,0
binary,USDHKD-OTC,1782517920,7.932065,7.931725,7.932075,7.930665,0
binary,USDHKD-OTC,1782517980,7.931795,7.929725,7.933175,7.929655,0
binary,USDHKD-OTC,1782518040,7.929615,7.929615,7.930685,7.928795,0
binary,USDHKD-OTC,1782518100,7.929685,7.929085,7.929905,7.928445,0
binary,USDHKD-OTC,1782518160,7.929165,7.930235,7.931075,7.928965,0
binary,USDHKD-OTC,1782518220,7.930155,7.928895,7.930425,7.928655,0
binary,USDHKD-OTC,1782518280,7.928815,7.930435,7.930585,7.928505,0
binary,USDHKD-OTC,1782518340,7.930525,7.929325,7.930605,7.929085,0
binary,USDHKD-OTC,1782518400,7.929235,7.928215,7.929665,7.927735,0
binary,USDHKD-OTC,1782518460,7.928135,7.929665,7.929935,7.927655,0
binary,USDHKD-OTC,1782518520,7.929605,7.928365,7.929755,7.927725,0
binary,USDHKD-OTC,1782518580,7.928445,7.926895,7.929265,7.926525,0
binary,USDHKD-OTC,1782518640,7.926795,7.925875,7.927895,7.924535,0
binary,USDHKD-OTC,1782518700,7.925985,7.926625,7.927155,7.925665,0
binary,USDHKD-OTC,1782518760,7.926535,7.927345,7.927675,7.925945,0
binary,USDHKD-OTC,1782518820,7.927245,7.925785,7.927245,7.924265,0
binary,USDHKD-OTC,1782518880,7.925705,7.926535,7.927095,7.925245,0
binary,USDHKD-OTC,1782518940,7.926445,7.928825,7.928935,7.926365,0
binary,USDHKD-OTC,1782519000,7.929025,7.927475,7.929425,7.926575,0
binary,USDHKD-OTC,1782519060,7.927545,7.927595,7.928625,7.926885,0
binary,USDHKD-OTC,1782519120,7.927505,7.926155,7.928445,7.925265,0
binary,USDHKD-OTC,1782519180,7.926065,7.924415,7.926315,7.924325,0
binary,USDHKD-OTC,1782519240,7.924535,7.921975,7.924735,7.921975,0
binary,USDHKD-OTC,1782519300,7.921875,7.922635,7.923415,7.921425,0
binary,USDHKD-OTC,1782519360,7.922575,7.922035,7.922895,7.921625,0
binary,USDHKD-OTC,1782519420,7.922175,7.921005,7.922305,7.920785,0
binary,USDHKD-OTC,1782519480,7.920925,7.922095,7.922535,7.920715,0
binary,USDHKD-OTC,1782519540,7.922195,7.923875,7.924865,7.922085,0
binary,USDHKD-OTC,1782519600,7.923955,7.925045,7.925405,7.923775,0
binary,USDHKD-OTC,1782519660,7.925165,7.925955,7.927325,7.925165,0
binary,USDHKD-OTC,1782519720,7.926075,7.925355,7.927095,7.925085,0
binary,USDHKD-OTC,1782519780,7.925245,7.925205,7.925515,7.923795,0
binary,USDHKD-OTC,1782519840,7.925135,7.924125,7.925255,7.923745,0
binary,USDHKD-OTC,1782519900,7.924025,7.924375,7.925365,7.924025,0
binary,USDHKD-OTC,1782519960,7.924475,7.924305,7.925465,7.923655,0
binary,USDHKD-OTC,1782520020,7.924395,7.926575,7.926975,7.923905,0
binary,USDHKD-OTC,1782520080,7.926655,7.927895,7.928105,7.925595,0
binary,USDHKD-OTC,1782520140,7.927965,7.928155,7.928765,7.926775,0
binary,USDHKD-OTC,1782520200,7.928265,7.928165,7.930605,7.927975,0
binary,USDHKD-OTC,1782520260,7.928085,7.928325,7.929215,7.927205,0
binary,USDHKD-OTC,1782520320,7.928415,7.925375,7.928575,7.925205,0
binary,USDHKD-OTC,1782520380,7.925445,7.923725,7.925725,7.922745,0
binary,USDHKD-OTC,1782520440,7.923635,7.925355,7.925495,7.923185,0
binary,USDHKD-OTC,1782520500,7.925265,7.925485,7.926475,7.924835,0
binary,USDHKD-OTC,1782520560,7.925305,7.924865,7.925565,7.923125,0
binary,USDHKD-OTC,1782520620,7.924755,7.925265,7.925305,7.923895,0
binary,USDHKD-OTC,1782520680,7.925325,7.923295,7.925765,7.922505,0
binary,USDHKD-OTC,1782520740,7.923355,7.924115,7.924615,7.923055,0
binary,USDHKD-OTC,1782520800,7.924215,7.927215,7.927925,7.924145,0
binary,USDHKD-OTC,1782520860,7.927125,7.924615,7.927895,7.923835,0
binary,USDHKD-OTC,1782520920,7.924725,7.925475,7.926965,7.924645,0
binary,USDHKD-OTC,1782520980,7.925385,7.923925,7.926025,7.923925,0
binary,USDHKD-OTC,1782521040,7.923855,7.923655,7.925285,7.923655,0
