tipo,activo,from,open,close,max,min,volume
binary,USDJPY-OTC,1782036480,161.84545,161.82415,161.85115,161.80675,0
binary,USDJPY-OTC,1782036540,161.82435,161.80465,161.83085,161.80315,0
binary,USDJPY-OTC,1782036600,161.80435,161.81325,161.81625,161.80435,0
binary,USDJPY-OTC,1782036660,161.81235,161.80725,161.81875,161.80285,0
binary,USDJPY-OTC,1782036720,161.80685,161.79225,161.81775,161.79225,0
binary,USDJPY-OTC,1782036780,161.79085,161.79415,161.79845,161.78035,0
binary,USDJPY-OTC,1782036840,161.79455,161.81245,161.81605,161.79455,0
binary,USDJPY-OTC,1782036900,161.81315,161.84245,161.84245,161.80555,0
binary,USDJPY-OTC,1782036960,161.84365,161.81135,161.84405,161.81055,0
binary,USDJPY-OTC,1782037020,161.81175,161.81765,161.82485,161.80335,0
binary,USDJPY-OTC,1782037080,161.81755,161.78635,161.81915,161.78545,0
binary,USDJPY-OTC,1782037140,161.78655,161.77245,161.78895,161.76985,0
binary,USDJPY-OTC,1782037200,161.76185,161.73845,161.76745,161.73655,0
binary,USDJPY-OTC,1782037260,161.73755,161.74645,161.75115,161.72545,0
binary,USDJPY-OTC,1782037320,161.74605,161.72835,161.74835,161.72085,0
binary,USDJPY-OTC,1782037380,161.73005,161.71695,161.73235,161.70535,0
binary,USDJPY-OTC,1782037440,161.71715,161.75265,161.75615,161.71695,0
binary,USDJPY-OTC,1782037500,161.75345,161.76995,161.77005,161.74815,0
binary,USDJPY-OTC,1782037560,161.76825,161.78935,161.79015,161.75855,0
binary,USDJPY-OTC,1782037620,161.78365,161.78655,161.79835,161.77985,0
binary,USDJPY-OTC,1782037680,161.78885,161.78035,161.79275,161.77945,0
binary,USDJPY-OTC,1782037740,161.78025,161.78645,161.79735,161.77355,0
binary,USDJPY-OTC,1782037800,161.78615,161.77635,161.78745,161.76035,0
binary,USDJPY-OTC,1782037860,161.77575,161.78845,161.79615,161.77505,0
binary,USDJPY-OTC,1782037920,161.78855,161.77795,161.79045,161.77585,0
binary,USDJPY-OTC,1782037980,161.77775,161.77585,161.78305,161.77045,0
binary,USDJPY-OTC,1782038040,161.77445,161.79115,161.79755,161.76255,0
binary,USDJPY-OTC,1782038100,161.79175,161.78475,161.79955,161.76785,0
binary,USDJPY-OTC,1782038160,161.78445,161.79795,161.80315,161.77365,0
binary,USDJPY-OTC,1782038220,161.79815,161.76765,161.79945,161.75485,0
binary,USDJPY-OTC,1782038280,161.76745,161.76165,161.77265,161.75845,0
binary,USDJPY-OTC,1782038340,161.76135,161.72645,161.76265,161.71425,0
binary,USDJPY-OTC,1782038400,161.72815,161.75775,161.76195,161.72815,0
binary,USDJPY-OTC,1782038460,161.75785,161.75825,161.76595,161.74525,0
binary,USDJPY-OTC,1782038520,161.75865,161.74055,161.75865,161.73485,0
binary,USDJPY-OTC,1782038580,161.74025,161.72075,161.74065,161.71505,0
binary,USDJPY-OTC,1782038640,161.72165,161.73355,161.73645,161.71835,0
binary,USDJPY-OTC,1782038700,161.73455,161.76615,161.76645,161.73135,0
binary,USDJPY-OTC,1782038760,161.76555,161.77045,161.77675,161.75755,0
binary,USDJPY-OTC,1782038820,161.77005,161.77025,161.77295,161.76045,0
binary,USDJPY-OTC,1782038880,161.77215,161.77415,161.78075,161.76005,0
binary,USDJPY-OTC,1782038940,161.77735,161.79955,161.80035,161.77325,0
