tipo,activo,from,open,close,max,min,volume
binary,USDMXN-OTC,1782697260,17.487555,17.494115,17.495045,17.487035,0
binary,USDMXN-OTC,1782697320,17.495125,17.497285,17.499165,17.495125,0
binary,USDMXN-OTC,1782697380,17.497345,17.504715,17.504715,17.495445,0
binary,USDMXN-OTC,1782697440,17.503095,17.508815,17.509335,17.501395,0
binary,USDMXN-OTC,1782697500,17.508765,17.508245,17.510475,17.508015,0
binary,USDMXN-OTC,1782697560,17.508245,17.500535,17.508295,17.500535,0
binary,USDMXN-OTC,1782697620,17.500545,17.501415,17.502255,17.495995,0
binary,USDMXN-OTC,1782697680,17.500815,17.504495,17.507045,17.500815,0
binary,USDMXN-OTC,1782697740,17.504215,17.506885,17.506905,17.502905,0
binary,USDMXN-OTC,1782697800,17.506875,17.507985,17.512655,17.506875,0
binary,USDMXN-OTC,1782697860,17.508125,17.495145,17.508155,17.493345,0
binary,USDMXN-OTC,1782697920,17.495095,17.494065,17.495715,17.492455,0
binary,USDMXN-OTC,1782697980,17.493475,17.498185,17.498705,17.493475,0
binary,USDMXN-OTC,1782698040,17.498135,17.497675,17.499785,17.497275,0
binary,USDMXN-OTC,1782698100,17.497855,17.497595,17.499355,17.496415,0
binary,USDMXN-OTC,1782698160,17.497805,17.497605,17.499415,17.497035,0
binary,USDMXN-OTC,1782698220,17.497525,17.498425,17.501045,17.494405,0
binary,USDMXN-OTC,1782698280,17.498415,17.495335,17.499825,17.495185,0
binary,USDMXN-OTC,1782698340,17.495285,17.489685,17.496465,17.489595,0
binary,USDMXN-OTC,1782698400,17.489875,17.489305,17.491395,17.488125,0
binary,USDMXN-OTC,1782698460,17.489325,17.491895,17.492065,17.487745,0
binary,USDMXN-OTC,1782698520,17.491285,17.491105,17.492605,17.488955,0
binary,USDMXN-OTC,1782698580,17.491015,17.490905,17.491615,17.489945,0
binary,USDMXN-OTC,1782698640,17.490845,17.498595,17.498615,17.488565,0
binary,USDMXN-OTC,1782698700,17.498645,17.499025,17.500975,17.496415,0
binary,USDMXN-OTC,1782698760,17.501315,17.504175,17.506395,17.501025,0
binary,USDMXN-OTC,1782698820,17.504275,17.502925,17.505105,17.502085,0
binary,USDMXN-OTC,1782698880,17.502965,17.500705,17.504205,17.499055,0
binary,USDMXN-OTC,1782698940,17.500275,17.497125,17.501155,17.497125,0
binary,USDMXN-OTC,1782699000,17.497175,17.494735,17.497935,17.493775,0
binary,USDMXN-OTC,1782699060,17.494775,17.494475,17.496895,17.493675,0
binary,USDMXN-OTC,1782699120,17.494525,17.495535,17.496535,17.494345,0
binary,USDMXN-OTC,1782699180,17.495585,17.495045,17.499055,17.493155,0
binary,USDMXN-OTC,1782699240,17.494945,17.495795,17.497685,17.494465,0
binary,USDMXN-OTC,1782699300,17.495775,17.498095,17.499495,17.494555,0
binary,USDMXN-OTC,1782699360,17.498045,17.499485,17.500085,17.496125,0
binary,USDMXN-OTC,1782699420,17.499565,17.496255,17.501315,17.495945,0
binary,USDMXN-OTC,1782699480,17.496635,17.497335,17.497455,17.494995,0
binary,USDMXN-OTC,1782699540,17.497295,17.495735,17.497555,17.493535,0
binary,USDMXN-OTC,1782699600,17.495825,17.494975,17.496735,17.493755,0
binary,USDMXN-OTC,1782699660,17.495065,17.492395,17.495645,17.490975,0
binary,USDMXN-OTC,1782699720,17.492495,17.489895,17.493475,17.489805,0
binary,USDMXN-OTC,1782699780,17.489845,17.494185,17.496015,17.489045,0
binary,USDMXN-OTC,1782699840,17.494135,17.495825,17.496535,17.493425,0
binary,USDMXN-OTC,1782699900,17.495775,17.501035,17.501995,17.495445,0
binary,USDMXN-OTC,1782699960,17.501045,17.499015,17.501735,17.499015,0
