tipo,activo,from,open,close,max,min,volume
binary,USDMYR-OTC,1784074620,3.918575,3.926605,3.927815,3.918575,0
binary,USDMYR-OTC,1784074680,3.927025,3.924445,3.929715,3.924165,0
binary,USDMYR-OTC,1784074740,3.924675,3.928885,3.930035,3.924675,0
binary,USDMYR-OTC,1784074800,3.929125,3.932265,3.934815,3.928055,0
binary,USDMYR-OTC,1784074860,3.932025,3.932715,3.934345,3.928395,0
binary,USDMYR-OTC,1784074920,3.932565,3.934165,3.937235,3.930555,0
binary,USDMYR-OTC,1784074980,3.934255,3.929585,3.936295,3.928245,0
binary,USDMYR-OTC,1784075040,3.929625,3.928955,3.932025,3.926535,0
binary,USDMYR-OTC,1784075100,3.928965,3.928165,3.929125,3.925665,0
binary,USDMYR-OTC,1784075160,3.928765,3.930745,3.932895,3.925385,0
binary,USDMYR-OTC,1784075220,3.931085,3.931565,3.933245,3.927695,0
binary,USDMYR-OTC,1784075280,3.931235,3.931055,3.935785,3.929425,0
binary,USDMYR-OTC,1784075340,3.930945,3.924115,3.931115,3.922405,0
binary,USDMYR-OTC,1784075400,3.924325,3.921945,3.925375,3.920015,0
binary,USDMYR-OTC,1784075460,3.921785,3.926355,3.926945,3.919175,0
binary,USDMYR-OTC,1784075520,3.926255,3.922005,3.926255,3.920655,0
binary,USDMYR-OTC,1784075580,3.921995,3.923755,3.926085,3.920575,0
binary,USDMYR-OTC,1784075640,3.923715,3.926635,3.926635,3.920685,0
binary,USDMYR-OTC,1784075700,3.926395,3.927925,3.929415,3.923155,0
binary,USDMYR-OTC,1784075760,3.927315,3.934115,3.935705,3.927315,0
binary,USDMYR-OTC,1784075820,3.934065,3.939915,3.941065,3.932115,0
binary,USDMYR-OTC,1784075880,3.939955,3.926235,3.939955,3.925785,0
binary,USDMYR-OTC,1784075940,3.926615,3.930865,3.932395,3.926615,0
binary,USDMYR-OTC,1784076000,3.931465,3.928535,3.935745,3.928535,0
binary,USDMYR-OTC,1784076060,3.928265,3.931235,3.933495,3.927935,0
binary,USDMYR-OTC,1784076120,3.931015,3.923955,3.932135,3.923815,0
binary,USDMYR-OTC,1784076180,3.923555,3.921655,3.925305,3.919895,0
binary,USDMYR-OTC,1784076240,3.921305,3.913745,3.921785,3.913415,0
binary,USDMYR-OTC,1784076300,3.914095,3.916195,3.919245,3.913235,0
binary,USDMYR-OTC,1784076360,3.916235,3.907115,3.917515,3.905415,0
binary,USDMYR-OTC,1784076420,3.907335,3.911845,3.913805,3.906685,0
binary,USDMYR-OTC,1784076480,3.911905,3.911455,3.912895,3.908475,0
binary,USDMYR-OTC,1784076540,3.911315,3.922685,3.922895,3.910995,0
binary,USDMYR-OTC,1784076600,3.922665,3.926115,3.928235,3.920425,0
binary,USDMYR-OTC,1784076660,3.926125,3.922675,3.928115,3.922495,0
binary,USDMYR-OTC,1784076720,3.922485,3.917265,3.922635,3.917265,0
binary,USDMYR-OTC,1784076780,3.917435,3.919155,3.919905,3.914195,0
binary,USDMYR-OTC,1784076840,3.919025,3.921625,3.921945,3.917925,0
binary,USDMYR-OTC,1784076900,3.921615,3.924025,3.924475,3.920125,0
binary,USDMYR-OTC,1784076960,3.924145,3.929515,3.929925,3.922945,0
binary,USDMYR-OTC,1784077020,3.929335,3.929605,3.930845,3.924655,0
binary,USDMYR-OTC,1784077080,3.929835,3.931535,3.935295,3.929835,0
binary,USDMYR-OTC,1784077140,3.931205,3.920915,3.932325,3.919615,0
binary,USDMYR-OTC,1784077200,3.922105,3.921255,3.924535,3.919105,0
binary,USDMYR-OTC,1784077260,3.920995,3.924095,3.925855,3.918655,0
binary,USDMYR-OTC,1784077320,3.924245,3.919175,3.924245,3.918485,0
binary,USDMYR-OTC,1784077380,3.919155,3.919495,3.921535,3.917625,0
binary,USDMYR-OTC,1784077440,3.919315,3.914445,3.921325,3.912175,0
binary,USDMYR-OTC,1784077800,3.914445,4.069435,4.069435,3.914445,0
binary,USDMYR-OTC,1784077860,4.069345,4.068235,4.074075,4.063285,0
binary,USDMYR-OTC,1784077920,4.068615,4.070885,4.072635,4.066595,0
binary,USDMYR-OTC,1784077980,4.071875,4.068575,4.076515,4.067185,0
binary,USDMYR-OTC,1784078040,4.068615,4.062935,4.070405,4.059385,0
binary,USDMYR-OTC,1784078100,4.063235,4.057665,4.064835,4.057665,0
binary,USDMYR-OTC,1784078160,4.057625,4.059255,4.062685,4.055145,0
binary,USDMYR-OTC,1784078220,4.059355,4.061645,4.063545,4.056155,0
binary,USDMYR-OTC,1784078280,4.061495,4.061695,4.062815,4.057555,0
binary,USDMYR-OTC,1784078340,4.061385,4.054915,4.063585,4.054875,0
binary,USDMYR-OTC,1784078400,4.054815,4.057565,4.058425,4.053495,0
binary,USDMYR-OTC,1784078460,4.057815,4.049465,4.059565,4.049145,0
binary,USDMYR-OTC,1784078520,4.048845,4.039885,4.049155,4.038455,0
binary,USDMYR-OTC,1784078580,4.039525,4.038395,4.041945,4.036735,0
binary,USDMYR-OTC,1784078640,4.038355,4.042645,4.046215,4.036185,0
binary,USDMYR-OTC,1784078700,4.042985,4.035705,4.042995,4.035215,0
binary,USDMYR-OTC,1784078760,4.035105,4.038015,4.040535,4.034835,0
binary,USDMYR-OTC,1784078820,4.038215,4.038475,4.042715,4.037815,0
binary,USDMYR-OTC,1784078880,4.037745,4.034225,4.038875,4.032605,0
binary,USDMYR-OTC,1784078940,4.033865,4.043575,4.046165,4.033355,0
binary,USDMYR-OTC,1784079000,4.043845,4.045815,4.049525,4.040085,0
binary,USDMYR-OTC,1784079060,4.046195,4.050415,4.051425,4.043995,0
binary,USDMYR-OTC,1784079120,4.051065,4.051105,4.052185,4.045415,0
binary,USDMYR-OTC,1784079180,4.050895,4.039295,4.050895,4.037035,0
binary,USDMYR-OTC,1784079240,4.039525,4.041015,4.042095,4.036815,0
binary,USDMYR-OTC,1784079300,4.040915,4.039785,4.041045,4.034075,0
binary,USDMYR-OTC,1784079360,4.039425,4.051025,4.051245,4.039045,0
binary,USDMYR-OTC,1784079420,4.050465,4.052945,4.058315,4.049505,0
binary,USDMYR-OTC,1784079480,4.052615,4.062735,4.063325,4.050015,0
binary,USDMYR-OTC,1784079540,4.062565,4.065595,4.068815,4.059715,0
binary,USDMYR-OTC,1784079600,4.065775,4.060535,4.067715,4.059905,0
binary,USDMYR-OTC,1784079660,4.060755,4.062535,4.066355,4.058625,0
binary,USDMYR-OTC,1784079720,4.062345,4.063415,4.066915,4.061955,0
binary,USDMYR-OTC,1784079780,4.063515,4.066765,4.066975,4.060085,0
binary,USDMYR-OTC,1784079840,4.066865,4.073565,4.073845,4.066555,0
binary,USDMYR-OTC,1784079900,4.073845,4.080265,4.081105,4.073495,0
binary,USDMYR-OTC,1784079960,4.080565,4.081045,4.085595,4.080245,0
binary,USDMYR-OTC,1784080020,4.080565,4.083235,4.083235,4.077085,0
binary,USDMYR-OTC,1784080080,4.083445,4.079405,4.083685,4.076225,0
binary,USDMYR-OTC,1784080140,4.079585,4.074565,4.080945,4.074225,0
binary,USDMYR-OTC,1784080200,4.074615,4.072365,4.079955,4.069285,0
binary,USDMYR-OTC,1784080260,4.072165,4.069565,4.077865,4.069435,0
binary,USDMYR-OTC,1784080320,4.069175,4.064915,4.076075,4.064455,0
binary,USDMYR-OTC,1784080380,4.064195,4.067975,4.071125,4.062705,0
binary,USDMYR-OTC,1784080440,4.068035,4.064405,4.072105,4.064115,0
binary,USDMYR-OTC,1784080500,4.064795,4.064135,4.068195,4.061565,0
binary,USDMYR-OTC,1784080560,4.063975,4.065695,4.067255,4.061965,0
binary,USDMYR-OTC,1784080620,4.065505,4.064915,4.067855,4.062265,0
binary,USDMYR-OTC,1784080680,4.064585,4.064645,4.067705,4.061385,0
binary,USDMYR-OTC,1784080740,4.064535,4.065675,4.068925,4.061035,0
binary,USDMYR-OTC,1784080800,4.066065,4.061375,4.066065,4.057775,0
binary,USDMYR-OTC,1784080860,4.061345,4.057275,4.061375,4.054285,0
binary,USDMYR-OTC,1784080920,4.057595,4.055895,4.057695,4.050295,0
binary,USDMYR-OTC,1784080980,4.056415,4.056635,4.058655,4.054535,0
binary,USDMYR-OTC,1784081040,4.057065,4.057625,4.058785,4.054025,0
binary,USDMYR-OTC,1784081100,4.057485,4.059945,4.061185,4.056615,0
binary,USDMYR-OTC,1784081160,4.059815,4.066995,4.070905,4.059595,0
binary,USDMYR-OTC,1784081220,4.067005,4.062525,4.067165,4.060875,0
binary,USDMYR-OTC,1784081280,4.061915,4.064565,4.067525,4.061915,0
binary,USDMYR-OTC,1784081340,4.064625,4.060185,4.065165,4.057855,0
binary,USDMYR-OTC,1784081400,4.060365,4.066785,4.068465,4.058915,0
binary,USDMYR-OTC,1784081460,4.067115,4.069265,4.069765,4.064375,0
binary,USDMYR-OTC,1784081520,4.068935,4.074895,4.077255,4.067045,0
binary,USDMYR-OTC,1784081580,4.074625,4.074605,4.076655,4.070255,0
binary,USDMYR-OTC,1784081640,4.074665,4.067035,4.074895,4.065645,0
binary,USDMYR-OTC,1784081700,4.067235,4.067035,4.073605,4.066505,0
binary,USDMYR-OTC,1784081760,4.066765,4.066575,4.069055,4.061245,0
binary,USDMYR-OTC,1784081820,4.066005,4.076015,4.078365,4.065475,0
binary,USDMYR-OTC,1784081880,4.076035,4.075605,4.080075,4.075395,0
binary,USDMYR-OTC,1784081940,4.075645,4.066825,4.075925,4.065115,0
binary,USDMYR-OTC,1784082000,4.066845,4.058845,4.067945,4.058565,0
binary,USDMYR-OTC,1784082060,4.059185,4.058695,4.062105,4.056815,0
binary,USDMYR-OTC,1784082120,4.058325,4.053455,4.059275,4.050275,0
binary,USDMYR-OTC,1784082180,4.053565,4.055215,4.058085,4.051925,0
binary,USDMYR-OTC,1784082240,4.055485,4.052105,4.057635,4.050795,0
binary,USDMYR-OTC,1784082300,4.051815,4.050505,4.052375,4.045835,0
binary,USDMYR-OTC,1784082360,4.050425,4.048005,4.056925,4.047495,0
binary,USDMYR-OTC,1784082420,4.048355,4.048855,4.051815,4.046745,0
binary,USDMYR-OTC,1784082480,4.049255,4.050645,4.054955,4.048555,0
binary,USDMYR-OTC,1784082540,4.050695,4.053245,4.054165,4.050165,0
binary,USDMYR-OTC,1784082600,4.053335,4.047825,4.054735,4.046815,0
binary,USDMYR-OTC,1784082660,4.047485,4.050585,4.056055,4.046325,0
binary,USDMYR-OTC,1784082720,4.050355,4.048515,4.050575,4.044665,0
binary,USDMYR-OTC,1784082780,4.048405,4.056835,4.057995,4.048215,0
binary,USDMYR-OTC,1784082840,4.057185,4.059735,4.061405,4.053785,0
binary,USDMYR-OTC,1784082900,4.060685,4.055985,4.062245,4.055985,0
binary,USDMYR-OTC,1784082960,4.055875,4.052255,4.059775,4.050925,0
binary,USDMYR-OTC,1784083020,4.051895,4.051555,4.057465,4.049555,0
binary,USDMYR-OTC,1784083080,4.051735,4.055415,4.058895,4.049985,0
binary,USDMYR-OTC,1784083140,4.055455,4.049495,4.056715,4.049185,0
binary,USDMYR-OTC,1784083200,4.049095,4.052695,4.057195,4.046975,0
binary,USDMYR-OTC,1784083260,4.052495,4.047665,4.053305,4.045235,0
binary,USDMYR-OTC,1784083320,4.047835,4.042345,4.049035,4.042275,0
binary,USDMYR-OTC,1784083380,4.042655,4.049655,4.049745,4.040975,0
binary,USDMYR-OTC,1784083440,4.049735,4.046715,4.050065,4.044995,0
binary,USDMYR-OTC,1784083500,4.046665,4.049265,4.049265,4.043515,0
binary,USDMYR-OTC,1784083560,4.049595,4.055025,4.056705,4.047805,0
binary,USDMYR-OTC,1784083620,4.054645,4.049075,4.055395,4.048105,0
binary,USDMYR-OTC,1784083680,4.049035,4.056275,4.057955,4.046475,0
binary,USDMYR-OTC,1784083740,4.056415,4.056675,4.061815,4.055565,0
binary,USDMYR-OTC,1784083800,4.056415,4.054185,4.057945,4.053245,0
binary,USDMYR-OTC,1784083860,4.053965,4.062845,4.064095,4.053465,0
binary,USDMYR-OTC,1784083920,4.063205,4.063895,4.066335,4.062065,0
binary,USDMYR-OTC,1784083980,4.063705,4.055665,4.063805,4.053565,0
binary,USDMYR-OTC,1784084040,4.056395,4.058625,4.059615,4.054505,0
binary,USDMYR-OTC,1784084100,4.059245,4.065665,4.066045,4.059105,0
binary,USDMYR-OTC,1784084160,4.065725,4.062425,4.068095,4.061285,0
binary,USDMYR-OTC,1784084220,4.062045,4.070465,4.070715,4.060435,0
binary,USDMYR-OTC,1784084280,4.070185,4.070215,4.072775,4.068475,0
binary,USDMYR-OTC,1784084340,4.069935,4.070015,4.071835,4.067025,0
binary,USDMYR-OTC,1784084400,4.070255,4.084405,4.084645,4.069165,0
binary,USDMYR-OTC,1784084460,4.084295,4.088135,4.091545,4.084015,0
binary,USDMYR-OTC,1784084520,4.088005,4.090625,4.093205,4.085585,0
binary,USDMYR-OTC,1784084580,4.090835,4.093385,4.095985,4.087865,0
binary,USDMYR-OTC,1784084640,4.092975,4.087675,4.093625,4.086275,0
binary,USDMYR-OTC,1784084700,4.087695,4.092295,4.095335,4.087575,0
binary,USDMYR-OTC,1784084760,4.092205,4.089435,4.093075,4.085775,0
binary,USDMYR-OTC,1784084820,4.089575,4.090935,4.093425,4.087415,0
binary,USDMYR-OTC,1784084880,4.090775,4.080415,4.090775,4.079205,0
binary,USDMYR-OTC,1784084940,4.080345,4.075735,4.081805,4.074835,0
binary,USDMYR-OTC,1784085000,4.075895,4.068515,4.077465,4.067745,0
binary,USDMYR-OTC,1784085060,4.068795,4.069745,4.071705,4.064865,0
binary,USDMYR-OTC,1784085120,4.069825,4.072475,4.072525,4.067645,0
binary,USDMYR-OTC,1784085180,4.072345,4.072215,4.074665,4.070335,0
binary,USDMYR-OTC,1784085240,4.071935,4.066445,4.073515,4.066215,0
