tipo,activo,from,open,close,max,min,volume
binary,USDNOK-OTC,1782036420,9.667555,9.671785,9.671785,9.665325,0
binary,USDNOK-OTC,1782036480,9.671775,9.672215,9.672345,9.666495,0
binary,USDNOK-OTC,1782036540,9.672345,9.675535,9.677025,9.672345,0
binary,USDNOK-OTC,1782036600,9.675575,9.681805,9.683015,9.675575,0
binary,USDNOK-OTC,1782036660,9.681995,9.679165,9.686635,9.678925,0
binary,USDNOK-OTC,1782036720,9.679345,9.680435,9.680625,9.676955,0
binary,USDNOK-OTC,1782036780,9.680565,9.676255,9.680565,9.674355,0
binary,USDNOK-OTC,1782036840,9.676305,9.673895,9.678165,9.671285,0
binary,USDNOK-OTC,1782036900,9.673655,9.668835,9.675335,9.668335,0
binary,USDNOK-OTC,1782036960,9.669565,9.662045,9.669645,9.662015,0
binary,USDNOK-OTC,1782037020,9.662395,9.656775,9.663125,9.655655,0
binary,USDNOK-OTC,1782037080,9.656735,9.658755,9.659505,9.653205,0
binary,USDNOK-OTC,1782037140,9.658785,9.655545,9.659645,9.653955,0
binary,USDNOK-OTC,1782037200,9.655565,9.644515,9.655565,9.644145,0
binary,USDNOK-OTC,1782037260,9.644345,9.648715,9.651005,9.643985,0
binary,USDNOK-OTC,1782037320,9.648665,9.652835,9.655155,9.648665,0
binary,USDNOK-OTC,1782037380,9.653105,9.650415,9.653595,9.649655,0
binary,USDNOK-OTC,1782037440,9.650515,9.647585,9.651205,9.646555,0
binary,USDNOK-OTC,1782037500,9.647765,9.647355,9.649175,9.644585,0
binary,USDNOK-OTC,1782037560,9.647615,9.644775,9.647735,9.642865,0
binary,USDNOK-OTC,1782037620,9.644715,9.640845,9.651015,9.640845,0
binary,USDNOK-OTC,1782037680,9.640855,9.641345,9.642315,9.637515,0
binary,USDNOK-OTC,1782037740,9.641005,9.643495,9.644955,9.640025,0
binary,USDNOK-OTC,1782037800,9.643475,9.642015,9.646785,9.640345,0
binary,USDNOK-OTC,1782037860,9.641765,9.631615,9.643255,9.631555,0
binary,USDNOK-OTC,1782037920,9.631425,9.635425,9.636025,9.631215,0
binary,USDNOK-OTC,1782037980,9.635405,9.635985,9.636535,9.631995,0
binary,USDNOK-OTC,1782038040,9.635785,9.639365,9.642415,9.635785,0
binary,USDNOK-OTC,1782038100,9.638955,9.641855,9.642705,9.636545,0
binary,USDNOK-OTC,1782038160,9.641945,9.639725,9.643615,9.636455,0
binary,USDNOK-OTC,1782038220,9.640035,9.637205,9.641135,9.634955,0
binary,USDNOK-OTC,1782038280,9.637275,9.639625,9.640105,9.635335,0
binary,USDNOK-OTC,1782038340,9.639395,9.634495,9.640565,9.632025,0
binary,USDNOK-OTC,1782038400,9.634445,9.635705,9.637735,9.633535,0
binary,USDNOK-OTC,1782038460,9.635645,9.635375,9.639425,9.634665,0
binary,USDNOK-OTC,1782038520,9.635775,9.640605,9.641505,9.635135,0
binary,USDNOK-OTC,1782038580,9.640625,9.639855,9.642325,9.636795,0
binary,USDNOK-OTC,1782038640,9.640045,9.645365,9.646355,9.638405,0
binary,USDNOK-OTC,1782038700,9.645765,9.642625,9.645835,9.639655,0
binary,USDNOK-OTC,1782038760,9.642775,9.641405,9.643885,9.639045,0
binary,USDNOK-OTC,1782038820,9.641245,9.645885,9.647335,9.636105,0
binary,USDNOK-OTC,1782038880,9.645935,9.643905,9.645935,9.641865,0
binary,USDNOK-OTC,1782038940,9.643925,9.638395,9.644545,9.636365,0
binary,USDNOK-OTC,1782039000,9.638405,9.633645,9.638725,9.632485,0
binary,USDNOK-OTC,1782039060,9.633605,9.631665,9.634845,9.631165,0
binary,USDNOK-OTC,1782039120,9.631855,9.626895,9.631855,9.623615,0
binary,USDNOK-OTC,1782039180,9.627015,9.622585,9.627295,9.620245,0
binary,USDNOK-OTC,1782039240,9.623355,9.619635,9.626535,9.619635,0
binary,USDNOK-OTC,1782039300,9.620315,9.629355,9.629355,9.620315,0
binary,USDNOK-OTC,1782039360,9.629395,9.631035,9.632285,9.628585,0
binary,USDNOK-OTC,1782039420,9.631045,9.620865,9.631575,9.620415,0
binary,USDNOK-OTC,1782039480,9.620765,9.626195,9.629275,9.619415,0
binary,USDNOK-OTC,1782039540,9.626205,9.626445,9.627555,9.623325,0
binary,USDNOK-OTC,1782039600,9.626385,9.620615,9.627775,9.620125,0
binary,USDNOK-OTC,1782039660,9.620695,9.617815,9.621015,9.616215,0
binary,USDNOK-OTC,1782039720,9.617965,9.616135,9.619485,9.611655,0
binary,USDNOK-OTC,1782039780,9.616095,9.615755,9.620365,9.614045,0
binary,USDNOK-OTC,1782039840,9.616175,9.613165,9.618035,9.611885,0
binary,USDNOK-OTC,1782039900,9.613565,9.611675,9.614395,9.608275,0
binary,USDNOK-OTC,1782039960,9.611645,9.610155,9.612955,9.607765,0
binary,USDNOK-OTC,1782040020,9.610145,9.604255,9.610395,9.601735,0
binary,USDNOK-OTC,1782040080,9.604375,9.599565,9.605615,9.599565,0
binary,USDNOK-OTC,1782040140,9.599255,9.599475,9.600625,9.594075,0
binary,USDNOK-OTC,1782040200,9.599765,9.604795,9.605275,9.599725,0
binary,USDNOK-OTC,1782040260,9.604735,9.610555,9.611015,9.603285,0
binary,USDNOK-OTC,1782040320,9.610245,9.616375,9.616805,9.610215,0
binary,USDNOK-OTC,1782040380,9.616475,9.610335,9.616795,9.610335,0
binary,USDNOK-OTC,1782040440,9.610845,9.603425,9.610885,9.602875,0
binary,USDNOK-OTC,1782040500,9.603335,9.601005,9.603465,9.598195,0
binary,USDNOK-OTC,1782040560,9.601415,9.597945,9.606495,9.597835,0
binary,USDNOK-OTC,1782040620,9.598025,9.602075,9.603105,9.597135,0
binary,USDNOK-OTC,1782040680,9.602145,9.602965,9.612475,9.601145,0
binary,USDNOK-OTC,1782040740,9.602975,9.599615,9.603135,9.596515,0
binary,USDNOK-OTC,1782040800,9.599085,9.596815,9.601405,9.595725,0
binary,USDNOK-OTC,1782040860,9.596635,9.591435,9.597155,9.591195,0
binary,USDNOK-OTC,1782040920,9.591395,9.590145,9.591885,9.587635,0
binary,USDNOK-OTC,1782040980,9.589985,9.582985,9.589985,9.582215,0
binary,USDNOK-OTC,1782041040,9.583025,9.573845,9.583025,9.570055,0
binary,USDNOK-OTC,1782041100,9.574005,9.569645,9.577255,9.568525,0
binary,USDNOK-OTC,1782041160,9.569825,9.573995,9.574795,9.569625,0
binary,USDNOK-OTC,1782041220,9.574195,9.569965,9.575345,9.569785,0
binary,USDNOK-OTC,1782041280,9.569875,9.561075,9.569875,9.561045,0
binary,USDNOK-OTC,1782041340,9.561575,9.556105,9.562625,9.554645,0
binary,USDNOK-OTC,1782041400,9.556135,9.557305,9.557305,9.551785,0
binary,USDNOK-OTC,1782041460,9.557285,9.552765,9.559995,9.552665,0
binary,USDNOK-OTC,1782041520,9.552675,9.560145,9.560915,9.551045,0
binary,USDNOK-OTC,1782041580,9.560075,9.555545,9.560075,9.555325,0
binary,USDNOK-OTC,1782041640,9.555455,9.557755,9.557825,9.552675,0
binary,USDNOK-OTC,1782041700,9.557855,9.555895,9.559905,9.554235,0
binary,USDNOK-OTC,1782041760,9.555415,9.546245,9.556695,9.545855,0
binary,USDNOK-OTC,1782041820,9.546215,9.545615,9.550175,9.545115,0
binary,USDNOK-OTC,1782041880,9.545545,9.552845,9.553805,9.543345,0
binary,USDNOK-OTC,1782041940,9.552955,9.549815,9.555565,9.547725,0
binary,USDNOK-OTC,1782042000,9.550445,9.552615,9.554325,9.547855,0
binary,USDNOK-OTC,1782042060,9.552865,9.557885,9.559865,9.551485,0
binary,USDNOK-OTC,1782042120,9.558045,9.558595,9.562905,9.557345,0
binary,USDNOK-OTC,1782042180,9.558365,9.563765,9.565565,9.558305,0
binary,USDNOK-OTC,1782042240,9.563725,9.563185,9.564325,9.558825,0
binary,USDNOK-OTC,1782042300,9.563075,9.558985,9.565295,9.556845,0
