tipo,activo,from,open,close,max,min,volume
binary,USDPHP-OTC,1784564160,61.45985,61.44865,61.47495,61.44595,0
binary,USDPHP-OTC,1784564220,61.44925,61.45745,61.45895,61.44225,0
binary,USDPHP-OTC,1784564280,61.45705,61.47425,61.47425,61.45455,0
binary,USDPHP-OTC,1784564340,61.47465,61.49305,61.50005,61.46915,0
binary,USDPHP-OTC,1784564400,61.49165,61.51135,61.51675,61.48995,0
binary,USDPHP-OTC,1784564460,61.51025,61.51205,61.52605,61.50765,0
binary,USDPHP-OTC,1784564520,61.51095,61.52195,61.52835,61.50115,0
binary,USDPHP-OTC,1784564580,61.52345,61.53275,61.53915,61.52165,0
binary,USDPHP-OTC,1784564640,61.53315,61.50795,61.53495,61.50785,0
binary,USDPHP-OTC,1784564700,61.50785,61.50905,61.51755,61.50005,0
binary,USDPHP-OTC,1784564760,61.50875,61.49805,61.51405,61.49805,0
binary,USDPHP-OTC,1784564820,61.49725,61.46965,61.49795,61.46445,0
binary,USDPHP-OTC,1784564880,61.46935,61.47155,61.47525,61.45905,0
binary,USDPHP-OTC,1784564940,61.47035,61.46015,61.48635,61.45075,0
binary,USDPHP-OTC,1784565000,61.46175,61.44725,61.46905,61.44545,0
binary,USDPHP-OTC,1784565060,61.44735,61.44465,61.45555,61.43615,0
binary,USDPHP-OTC,1784565120,61.44475,61.42815,61.44685,61.42325,0
binary,USDPHP-OTC,1784565180,61.42845,61.42875,61.43955,61.42475,0
binary,USDPHP-OTC,1784565240,61.43275,61.44565,61.45075,61.43195,0
binary,USDPHP-OTC,1784565300,61.44525,61.44275,61.45245,61.43745,0
binary,USDPHP-OTC,1784565360,61.44315,61.42485,61.44345,61.41585,0
binary,USDPHP-OTC,1784565420,61.42875,61.41865,61.43235,61.41545,0
binary,USDPHP-OTC,1784565480,61.41905,61.41895,61.42645,61.40705,0
binary,USDPHP-OTC,1784565540,61.41905,61.39945,61.42595,61.39945,0
binary,USDPHP-OTC,1784565600,61.39985,61.40175,61.40385,61.38985,0
binary,USDPHP-OTC,1784565660,61.40135,61.37305,61.40465,61.36755,0
binary,USDPHP-OTC,1784565720,61.37325,61.35875,61.37445,61.35765,0
binary,USDPHP-OTC,1784565780,61.35955,61.35395,61.36785,61.34965,0
binary,USDPHP-OTC,1784565840,61.35415,61.35805,61.36485,61.34785,0
binary,USDPHP-OTC,1784565900,61.35865,61.34675,61.36515,61.34385,0
binary,USDPHP-OTC,1784565960,61.34765,61.36365,61.37195,61.34705,0
binary,USDPHP-OTC,1784566020,61.36165,61.35995,61.36745,61.35525,0
binary,USDPHP-OTC,1784566080,61.35935,61.36075,61.36465,61.34575,0
binary,USDPHP-OTC,1784566140,61.36125,61.37295,61.37375,61.35575,0
binary,USDPHP-OTC,1784566200,61.37235,61.37255,61.37575,61.35155,0
binary,USDPHP-OTC,1784566260,61.37245,61.30675,61.37405,61.30645,0
binary,USDPHP-OTC,1784566320,61.30785,61.29805,61.31115,61.29045,0
binary,USDPHP-OTC,1784566380,61.29975,61.30955,61.31545,61.28925,0
binary,USDPHP-OTC,1784566440,61.30845,61.31085,61.31535,61.29805,0
binary,USDPHP-OTC,1784566500,61.31005,61.31915,61.32495,61.30485,0
binary,USDPHP-OTC,1784566560,61.31975,61.30875,61.31975,61.30055,0
binary,USDPHP-OTC,1784566620,61.30995,61.31775,61.31775,61.29905,0
binary,USDPHP-OTC,1784566680,61.31715,61.32435,61.33675,61.31135,0
binary,USDPHP-OTC,1784566740,61.32485,61.32285,61.33045,61.31115,0
binary,USDPHP-OTC,1784566800,61.32395,61.33045,61.33045,61.31425,0
binary,USDPHP-OTC,1784566860,61.33105,61.33055,61.33765,61.32535,0
binary,USDPHP-OTC,1784566920,61.33125,61.31595,61.33225,61.31235,0
binary,USDPHP-OTC,1784566980,61.31575,61.32925,61.32925,61.30525,0
binary,USDPHP-OTC,1784567040,61.32885,61.33315,61.33505,61.31935,0
binary,USDPHP-OTC,1784567100,61.33335,61.29995,61.34115,61.29995,0
