tipo,activo,from,open,close,max,min,volume
binary,USDPLN-OTC,1784074980,3.700705,3.699395,3.700835,3.699255,0
binary,USDPLN-OTC,1784075040,3.699415,3.701125,3.701725,3.698935,0
binary,USDPLN-OTC,1784075100,3.701105,3.701605,3.702025,3.700495,0
binary,USDPLN-OTC,1784075160,3.701745,3.701445,3.702105,3.700145,0
binary,USDPLN-OTC,1784075220,3.701425,3.704525,3.704535,3.700905,0
binary,USDPLN-OTC,1784075280,3.704475,3.702135,3.705025,3.702015,0
binary,USDPLN-OTC,1784075340,3.702115,3.701795,3.703455,3.701635,0
binary,USDPLN-OTC,1784075400,3.701855,3.701305,3.702035,3.701115,0
binary,USDPLN-OTC,1784075460,3.701355,3.699895,3.701405,3.698665,0
binary,USDPLN-OTC,1784075520,3.699875,3.701175,3.701175,3.699235,0
binary,USDPLN-OTC,1784075580,3.701215,3.702125,3.702215,3.700875,0
binary,USDPLN-OTC,1784075640,3.702025,3.699475,3.702025,3.699205,0
binary,USDPLN-OTC,1784075700,3.699425,3.699235,3.700965,3.698955,0
binary,USDPLN-OTC,1784075760,3.699195,3.697585,3.700155,3.697495,0
binary,USDPLN-OTC,1784075820,3.697395,3.695465,3.697395,3.695465,0
binary,USDPLN-OTC,1784075880,3.695425,3.697335,3.697755,3.694915,0
binary,USDPLN-OTC,1784075940,3.697495,3.697505,3.698495,3.695755,0
binary,USDPLN-OTC,1784076000,3.697485,3.700395,3.700885,3.696995,0
binary,USDPLN-OTC,1784076060,3.700325,3.699235,3.700395,3.698805,0
binary,USDPLN-OTC,1784076120,3.699275,3.700225,3.700315,3.699275,0
binary,USDPLN-OTC,1784076180,3.700175,3.700565,3.701135,3.700075,0
binary,USDPLN-OTC,1784076240,3.700615,3.702205,3.702615,3.700565,0
binary,USDPLN-OTC,1784076300,3.702265,3.701105,3.702265,3.699895,0
binary,USDPLN-OTC,1784076360,3.701075,3.702875,3.702905,3.700815,0
binary,USDPLN-OTC,1784076420,3.702885,3.703885,3.703885,3.702035,0
binary,USDPLN-OTC,1784076480,3.703935,3.705505,3.706025,3.703875,0
binary,USDPLN-OTC,1784076540,3.705525,3.706425,3.706625,3.705445,0
