tipo,activo,from,open,close,max,min,volume
binary,USDSGD-OTC,1782567600,1.362095,1.362735,1.363205,1.361665,0
binary,USDSGD-OTC,1782567660,1.362635,1.362085,1.364125,1.361925,0
binary,USDSGD-OTC,1782567720,1.362055,1.360485,1.362235,1.360085,0
binary,USDSGD-OTC,1782567780,1.360385,1.360735,1.361605,1.360175,0
binary,USDSGD-OTC,1782567840,1.360545,1.360565,1.361045,1.359325,0
binary,USDSGD-OTC,1782567900,1.360475,1.362135,1.362365,1.359965,0
binary,USDSGD-OTC,1782567960,1.362055,1.361415,1.362165,1.360635,0
binary,USDSGD-OTC,1782568020,1.361455,1.362055,1.362725,1.360605,0
binary,USDSGD-OTC,1782568080,1.361995,1.362475,1.362725,1.360845,0
binary,USDSGD-OTC,1782568140,1.362565,1.362435,1.363255,1.362135,0
binary,USDSGD-OTC,1782568200,1.362485,1.362255,1.363395,1.362095,0
binary,USDSGD-OTC,1782568260,1.362285,1.363775,1.364615,1.362245,0
binary,USDSGD-OTC,1782568320,1.363815,1.362795,1.364005,1.362735,0
binary,USDSGD-OTC,1782568380,1.362775,1.363275,1.363955,1.362455,0
binary,USDSGD-OTC,1782568440,1.363345,1.362115,1.363515,1.361875,0
binary,USDSGD-OTC,1782568500,1.362005,1.363535,1.363665,1.361855,0
binary,USDSGD-OTC,1782568560,1.363425,1.363805,1.363915,1.362675,0
binary,USDSGD-OTC,1782568620,1.363855,1.364025,1.365165,1.363395,0
binary,USDSGD-OTC,1782568680,1.364075,1.365575,1.365795,1.363715,0
binary,USDSGD-OTC,1782568740,1.365515,1.364735,1.366505,1.364735,0
binary,USDSGD-OTC,1782568800,1.364845,1.362885,1.365045,1.362595,0
binary,USDSGD-OTC,1782568860,1.362965,1.363595,1.364765,1.362775,0
binary,USDSGD-OTC,1782568920,1.363545,1.363835,1.364205,1.362595,0
binary,USDSGD-OTC,1782568980,1.363645,1.364195,1.364285,1.363175,0
binary,USDSGD-OTC,1782569040,1.364215,1.364205,1.364455,1.362285,0
binary,USDSGD-OTC,1782569100,1.364305,1.364535,1.365055,1.363755,0
binary,USDSGD-OTC,1782569160,1.364585,1.362885,1.364615,1.362435,0
binary,USDSGD-OTC,1782569220,1.363035,1.362725,1.363035,1.361855,0
binary,USDSGD-OTC,1782569280,1.362625,1.363665,1.364575,1.362605,0
binary,USDSGD-OTC,1782569340,1.363565,1.361765,1.363745,1.361345,0
binary,USDSGD-OTC,1782569400,1.361655,1.361555,1.362735,1.361185,0
binary,USDSGD-OTC,1782569460,1.361595,1.363045,1.363715,1.361265,0
binary,USDSGD-OTC,1782569520,1.363015,1.361965,1.364155,1.361485,0
binary,USDSGD-OTC,1782569580,1.361925,1.361875,1.362215,1.360925,0
binary,USDSGD-OTC,1782569640,1.361905,1.359615,1.361945,1.359425,0
binary,USDSGD-OTC,1782569700,1.359515,1.358335,1.359925,1.357835,0
binary,USDSGD-OTC,1782569760,1.358525,1.358245,1.359125,1.356845,0
binary,USDSGD-OTC,1782569820,1.358265,1.359245,1.359915,1.358185,0
binary,USDSGD-OTC,1782569880,1.359425,1.360365,1.360365,1.359295,0
binary,USDSGD-OTC,1782569940,1.360225,1.361225,1.361785,1.359835,0
binary,USDSGD-OTC,1782570000,1.361165,1.359545,1.361535,1.358985,0
binary,USDSGD-OTC,1782570060,1.359585,1.358845,1.359665,1.357875,0
binary,USDSGD-OTC,1782570120,1.358875,1.358175,1.359495,1.357975,0
binary,USDSGD-OTC,1782570180,1.358085,1.359015,1.359015,1.357305,0
binary,USDSGD-OTC,1782570240,1.358945,1.360105,1.360325,1.358945,0
binary,USDSGD-OTC,1782570300,1.360315,1.359925,1.360745,1.359655,0
binary,USDSGD-OTC,1782570360,1.359975,1.359825,1.360815,1.359115,0
binary,USDSGD-OTC,1782570420,1.359765,1.360645,1.361485,1.359565,0
binary,USDSGD-OTC,1782570480,1.360745,1.361915,1.362185,1.359935,0
binary,USDSGD-OTC,1782570540,1.361855,1.360905,1.362155,1.360595,0
binary,USDSGD-OTC,1782570600,1.360835,1.360585,1.361185,1.359985,0
binary,USDSGD-OTC,1782570660,1.360535,1.360845,1.361115,1.360325,0
binary,USDSGD-OTC,1782570720,1.360875,1.360855,1.360955,1.359735,0
binary,USDSGD-OTC,1782570780,1.360905,1.362075,1.362745,1.360505,0
binary,USDSGD-OTC,1782570840,1.362145,1.360085,1.362685,1.359885,0
binary,USDSGD-OTC,1782570900,1.359985,1.362325,1.362565,1.359705,0
binary,USDSGD-OTC,1782570960,1.362145,1.363325,1.363685,1.362145,0
binary,USDSGD-OTC,1782571020,1.363145,1.361075,1.363225,1.360465,0
binary,USDSGD-OTC,1782571080,1.361185,1.361375,1.362745,1.361125,0
binary,USDSGD-OTC,1782571140,1.361405,1.361825,1.363085,1.361335,0
binary,USDSGD-OTC,1782571200,1.361795,1.360915,1.361795,1.359985,0
binary,USDSGD-OTC,1782571260,1.360815,1.363125,1.363215,1.360055,0
binary,USDSGD-OTC,1782571320,1.363025,1.361035,1.363195,1.360685,0
binary,USDSGD-OTC,1782571380,1.361015,1.361805,1.362495,1.360845,0
binary,USDSGD-OTC,1782571440,1.361765,1.361235,1.362535,1.361235,0
binary,USDSGD-OTC,1782571500,1.361125,1.360555,1.361285,1.359955,0
binary,USDSGD-OTC,1782571560,1.360665,1.358995,1.360905,1.358845,0
binary,USDSGD-OTC,1782571620,1.359175,1.357895,1.359425,1.357695,0
binary,USDSGD-OTC,1782571680,1.357995,1.358565,1.358725,1.357435,0
binary,USDSGD-OTC,1782571740,1.358685,1.357305,1.358705,1.356095,0
binary,USDSGD-OTC,1782571800,1.357345,1.358365,1.358985,1.357285,0
binary,USDSGD-OTC,1782571860,1.358285,1.358665,1.359265,1.358185,0
binary,USDSGD-OTC,1782571920,1.358635,1.359655,1.360285,1.358185,0
binary,USDSGD-OTC,1782571980,1.359745,1.359685,1.361205,1.358955,0
binary,USDSGD-OTC,1782572040,1.359755,1.358495,1.360445,1.358425,0
binary,USDSGD-OTC,1782572100,1.358565,1.360325,1.360325,1.358565,0
binary,USDSGD-OTC,1782572160,1.360345,1.360715,1.361425,1.360005,0
binary,USDSGD-OTC,1782572220,1.360815,1.362235,1.362455,1.360615,0
binary,USDSGD-OTC,1782572280,1.362215,1.361575,1.362415,1.361085,0
binary,USDSGD-OTC,1782572340,1.361555,1.361665,1.362535,1.361345,0
binary,USDSGD-OTC,1782572400,1.361645,1.362535,1.362805,1.360565,0
binary,USDSGD-OTC,1782572460,1.362585,1.362085,1.363385,1.362055,0
binary,USDSGD-OTC,1782572520,1.362265,1.362835,1.363405,1.361805,0
binary,USDSGD-OTC,1782572580,1.362935,1.361925,1.364645,1.361435,0
binary,USDSGD-OTC,1782572640,1.361975,1.361025,1.362585,1.360945,0
binary,USDSGD-OTC,1782572700,1.361055,1.361855,1.362135,1.360935,0
binary,USDSGD-OTC,1782572760,1.361915,1.362325,1.362795,1.361395,0
binary,USDSGD-OTC,1782572820,1.362425,1.362665,1.364115,1.362175,0
binary,USDSGD-OTC,1782572880,1.362555,1.361605,1.362755,1.361505,0
binary,USDSGD-OTC,1782572940,1.361555,1.361385,1.361805,1.360305,0
binary,USDSGD-OTC,1782573000,1.361445,1.362555,1.362605,1.361375,0
binary,USDSGD-OTC,1782573060,1.362465,1.361445,1.363565,1.361445,0
binary,USDSGD-OTC,1782573120,1.361535,1.362825,1.362825,1.360995,0
binary,USDSGD-OTC,1782573180,1.362865,1.364875,1.365285,1.362865,0
binary,USDSGD-OTC,1782573240,1.365055,1.363675,1.365185,1.362855,0
binary,USDSGD-OTC,1782573300,1.363745,1.365045,1.365135,1.363475,0
binary,USDSGD-OTC,1782573360,1.364945,1.366715,1.367005,1.364855,0
binary,USDSGD-OTC,1782573420,1.366685,1.367525,1.367675,1.366685,0
binary,USDSGD-OTC,1782573480,1.367465,1.365865,1.367525,1.365185,0
binary,USDSGD-OTC,1782573540,1.365905,1.365845,1.366915,1.365175,0
binary,USDSGD-OTC,1782573600,1.365945,1.366745,1.367095,1.365665,0
binary,USDSGD-OTC,1782573660,1.366805,1.365665,1.366975,1.364855,0
binary,USDSGD-OTC,1782573720,1.365575,1.365555,1.366595,1.365405,0
binary,USDSGD-OTC,1782573780,1.365445,1.366375,1.366585,1.365445,0
binary,USDSGD-OTC,1782573840,1.366325,1.365135,1.366545,1.364455,0
binary,USDSGD-OTC,1782573900,1.365105,1.364505,1.365455,1.364195,0
binary,USDSGD-OTC,1782573960,1.364605,1.361705,1.364705,1.361635,0
binary,USDSGD-OTC,1782574020,1.361735,1.364425,1.364425,1.361205,0
binary,USDSGD-OTC,1782574080,1.364385,1.365015,1.365525,1.364265,0
binary,USDSGD-OTC,1782574140,1.365095,1.366365,1.367445,1.364925,0
binary,USDSGD-OTC,1782574200,1.366385,1.365155,1.366395,1.364705,0
binary,USDSGD-OTC,1782574260,1.365015,1.365605,1.366485,1.364815,0
binary,USDSGD-OTC,1782574320,1.365725,1.364695,1.366025,1.364685,0
binary,USDSGD-OTC,1782574380,1.364675,1.364915,1.365495,1.364315,0
binary,USDSGD-OTC,1782574440,1.364825,1.362975,1.365265,1.362935,0
binary,USDSGD-OTC,1782574500,1.362865,1.362185,1.363035,1.361795,0
binary,USDSGD-OTC,1782574560,1.362285,1.361305,1.362505,1.360815,0
binary,USDSGD-OTC,1782574620,1.361365,1.360885,1.361475,1.359465,0
binary,USDSGD-OTC,1782574680,1.360985,1.362945,1.363395,1.360985,0
binary,USDSGD-OTC,1782574740,1.362795,1.362995,1.363335,1.361905,0
binary,USDSGD-OTC,1782574800,1.362975,1.363105,1.363775,1.361895,0
binary,USDSGD-OTC,1782574860,1.363025,1.360305,1.363265,1.359655,0
binary,USDSGD-OTC,1782574920,1.360385,1.360745,1.361525,1.359955,0
binary,USDSGD-OTC,1782574980,1.360695,1.362855,1.362925,1.360585,0
binary,USDSGD-OTC,1782575040,1.362915,1.362665,1.363645,1.362055,0
binary,USDSGD-OTC,1782575100,1.362715,1.362845,1.363825,1.362645,0
binary,USDSGD-OTC,1782575160,1.362945,1.362525,1.363315,1.361945,0
binary,USDSGD-OTC,1782575220,1.362455,1.360825,1.363295,1.360825,0
binary,USDSGD-OTC,1782575280,1.360865,1.358895,1.361425,1.358875,0
binary,USDSGD-OTC,1782575340,1.359005,1.360825,1.360895,1.359005,0
binary,USDSGD-OTC,1782575400,1.360925,1.361515,1.361595,1.359655,0
binary,USDSGD-OTC,1782575460,1.361465,1.361355,1.362485,1.361105,0
binary,USDSGD-OTC,1782575520,1.361325,1.362095,1.362475,1.360865,0
binary,USDSGD-OTC,1782575580,1.362125,1.360625,1.362685,1.360625,0
binary,USDSGD-OTC,1782575640,1.360515,1.359205,1.360845,1.359185,0
binary,USDSGD-OTC,1782575700,1.359245,1.358435,1.359305,1.357935,0
binary,USDSGD-OTC,1782575760,1.358365,1.359255,1.360455,1.358345,0
binary,USDSGD-OTC,1782575820,1.359355,1.359005,1.360155,1.358835,0
binary,USDSGD-OTC,1782575880,1.358925,1.359765,1.359845,1.358725,0
binary,USDSGD-OTC,1782575940,1.359695,1.359725,1.360125,1.358935,0
binary,USDSGD-OTC,1782576000,1.359825,1.359815,1.361805,1.359735,0
binary,USDSGD-OTC,1782576060,1.359865,1.360265,1.360265,1.358855,0
binary,USDSGD-OTC,1782576120,1.360295,1.358145,1.360295,1.358075,0
binary,USDSGD-OTC,1782576180,1.358075,1.358925,1.360055,1.358075,0
binary,USDSGD-OTC,1782576240,1.358965,1.357975,1.359145,1.357455,0
binary,USDSGD-OTC,1782576300,1.357875,1.359395,1.359615,1.357515,0
binary,USDSGD-OTC,1782576360,1.359485,1.358285,1.359835,1.358285,0
binary,USDSGD-OTC,1782576420,1.358255,1.358455,1.359735,1.357855,0
binary,USDSGD-OTC,1782576480,1.358565,1.358515,1.358925,1.357925,0
binary,USDSGD-OTC,1782576540,1.358405,1.358105,1.359215,1.357085,0
binary,USDSGD-OTC,1782576600,1.358025,1.357485,1.358815,1.356765,0
binary,USDSGD-OTC,1782576660,1.357285,1.356475,1.357285,1.355615,0
binary,USDSGD-OTC,1782576720,1.356405,1.355205,1.356815,1.354775,0
binary,USDSGD-OTC,1782576780,1.355145,1.357275,1.357375,1.354785,0
binary,USDSGD-OTC,1782576840,1.357225,1.358025,1.358595,1.355715,0
binary,USDSGD-OTC,1782576900,1.357945,1.358935,1.359555,1.357175,0
binary,USDSGD-OTC,1782576960,1.358885,1.359775,1.360125,1.358585,0
binary,USDSGD-OTC,1782577020,1.359695,1.358335,1.360265,1.358165,0
binary,USDSGD-OTC,1782577080,1.358425,1.356605,1.358425,1.356545,0
binary,USDSGD-OTC,1782577140,1.356535,1.357965,1.358155,1.356535,0
binary,USDSGD-OTC,1782577200,1.357925,1.357125,1.358985,1.356985,0
binary,USDSGD-OTC,1782577260,1.357145,1.357165,1.357555,1.356475,0
binary,USDSGD-OTC,1782577320,1.357195,1.354815,1.357355,1.354405,0
binary,USDSGD-OTC,1782577380,1.354855,1.354445,1.356125,1.354215,0
binary,USDSGD-OTC,1782577440,1.354465,1.354595,1.354595,1.353125,0
binary,USDSGD-OTC,1782577500,1.354525,1.354905,1.356275,1.354375,0
binary,USDSGD-OTC,1782577560,1.354855,1.353775,1.355205,1.353245,0
binary,USDSGD-OTC,1782577620,1.353805,1.356125,1.356495,1.353805,0
binary,USDSGD-OTC,1782577680,1.356085,1.356225,1.356725,1.355445,0
binary,USDSGD-OTC,1782577740,1.356325,1.356755,1.357115,1.356145,0
binary,USDSGD-OTC,1782577800,1.356795,1.356755,1.357575,1.356295,0
binary,USDSGD-OTC,1782577860,1.356645,1.357105,1.357535,1.355985,0
binary,USDSGD-OTC,1782577920,1.357065,1.355725,1.357665,1.355615,0
