tipo,activo,from,open,close,max,min,volume
binary,USDTRY-OTC,1782566760,46.663215,46.661155,46.663805,46.660815,0
binary,USDTRY-OTC,1782566820,46.661345,46.662555,46.664475,46.660195,0
binary,USDTRY-OTC,1782566880,46.662755,46.662395,46.664945,46.661575,0
binary,USDTRY-OTC,1782566940,46.662195,46.662465,46.664085,46.660855,0
binary,USDTRY-OTC,1782567000,46.662655,46.661525,46.663975,46.661335,0
binary,USDTRY-OTC,1782567060,46.661735,46.661675,46.663095,46.659575,0
binary,USDTRY-OTC,1782567120,46.661475,46.654355,46.662435,46.654195,0
binary,USDTRY-OTC,1782567180,46.654565,46.650555,46.655075,46.649835,0
binary,USDTRY-OTC,1782567240,46.650765,46.653805,46.654745,46.650575,0
binary,USDTRY-OTC,1782567300,46.654005,46.656375,46.656375,46.652985,0
binary,USDTRY-OTC,1782567360,46.656165,46.660965,46.663815,46.656165,0
binary,USDTRY-OTC,1782567420,46.661175,46.665855,46.666275,46.660975,0
binary,USDTRY-OTC,1782567480,46.665355,46.668255,46.668435,46.665145,0
binary,USDTRY-OTC,1782567540,46.668455,46.667485,46.669695,46.666205,0
binary,USDTRY-OTC,1782567600,46.667895,46.670265,46.670325,46.665615,0
binary,USDTRY-OTC,1782567660,46.670465,46.668375,46.672085,46.667895,0
binary,USDTRY-OTC,1782567720,46.668185,46.662095,46.668285,46.659935,0
binary,USDTRY-OTC,1782567780,46.662315,46.659705,46.663375,46.658625,0
binary,USDTRY-OTC,1782567840,46.659505,46.657605,46.661965,46.657405,0
binary,USDTRY-OTC,1782567900,46.657405,46.655815,46.661555,46.655625,0
binary,USDTRY-OTC,1782567960,46.656025,46.656855,46.657445,46.654115,0
binary,USDTRY-OTC,1782568020,46.656645,46.653705,46.656645,46.651255,0
binary,USDTRY-OTC,1782568080,46.654005,46.654325,46.655595,46.652435,0
binary,USDTRY-OTC,1782568140,46.654515,46.659675,46.659865,46.654315,0
binary,USDTRY-OTC,1782568200,46.660015,46.662165,46.663585,46.659825,0
binary,USDTRY-OTC,1782568260,46.661975,46.666365,46.666565,46.660205,0
binary,USDTRY-OTC,1782568320,46.666175,46.664275,46.668135,46.664075,0
binary,USDTRY-OTC,1782568380,46.664085,46.665105,46.666855,46.661765,0
binary,USDTRY-OTC,1782568440,46.665315,46.669615,46.670815,46.664885,0
binary,USDTRY-OTC,1782568500,46.669415,46.670925,46.672645,46.669415,0
binary,USDTRY-OTC,1782568560,46.670495,46.674385,46.674805,46.670165,0
