tipo,activo,from,open,close,max,min,volume
binary,USDVND-OTC,1782697200,26312.62445,26311.50565,26312.62445,26311.32125,0
binary,USDVND-OTC,1782697260,26311.48625,26312.10875,26312.43935,26311.48625,0
binary,USDVND-OTC,1782697320,26312.11225,26312.44935,26312.98485,26312.04015,0
binary,USDVND-OTC,1782697380,26312.45175,26312.81115,26312.89855,26312.27595,0
binary,USDVND-OTC,1782697440,26312.91795,26312.22515,26312.91795,26312.20185,0
binary,USDVND-OTC,1782697500,26312.21245,26311.33775,26312.45815,26311.33775,0
binary,USDVND-OTC,1782697560,26311.34655,26311.84725,26312.04555,26311.31285,0
binary,USDVND-OTC,1782697620,26311.89195,26311.95825,26312.18315,26311.58285,0
binary,USDVND-OTC,1782697680,26311.96205,26312.46575,26312.54825,26311.75695,0
binary,USDVND-OTC,1782697740,26312.41285,26313.67585,26313.67585,26312.35885,0
binary,USDVND-OTC,1782697800,26313.65765,26313.66185,26314.00885,26313.48445,0
binary,USDVND-OTC,1782697860,26313.68455,26314.28085,26314.31055,26313.41155,0
binary,USDVND-OTC,1782697920,26314.27325,26313.88825,26314.52095,26313.88545,0
binary,USDVND-OTC,1782697980,26313.83255,26313.86625,26314.19255,26313.59285,0
binary,USDVND-OTC,1782698040,26313.87885,26313.88635,26314.24435,26313.74865,0
binary,USDVND-OTC,1782698100,26313.97925,26312.60725,26314.03505,26312.52605,0
binary,USDVND-OTC,1782698160,26312.57985,26312.96665,26312.96665,26312.03885,0
binary,USDVND-OTC,1782698220,26313.00435,26313.51855,26313.51855,26312.77595,0
binary,USDVND-OTC,1782698280,26313.52965,26313.91265,26314.40525,26313.52965,0
binary,USDVND-OTC,1782698340,26313.90825,26313.07905,26313.90825,26312.92335,0
binary,USDVND-OTC,1782698400,26313.12905,26311.86605,26313.14035,26311.67995,0
binary,USDVND-OTC,1782698460,26311.90995,26312.44115,26312.49185,26311.41045,0
binary,USDVND-OTC,1782698520,26312.43175,26313.12055,26313.48635,26312.37915,0
binary,USDVND-OTC,1782698580,26313.13255,26313.17785,26313.31795,26312.57105,0
binary,USDVND-OTC,1782698640,26313.20435,26312.73785,26313.42685,26312.73785,0
binary,USDVND-OTC,1782698700,26312.74745,26313.30115,26313.63635,26312.54975,0
binary,USDVND-OTC,1782698760,26313.26455,26312.64005,26313.51595,26312.42535,0
binary,USDVND-OTC,1782698820,26312.60415,26312.43265,26313.46885,26312.32275,0
binary,USDVND-OTC,1782698880,26312.47775,26312.17955,26312.55925,26311.40265,0
binary,USDVND-OTC,1782698940,26312.23615,26310.93495,26312.26105,26310.90605,0
binary,USDVND-OTC,1782699000,26310.88525,26310.36975,26310.93735,26310.19805,0
binary,USDVND-OTC,1782699060,26310.35525,26310.16865,26310.54145,26310.06885,0
binary,USDVND-OTC,1782699120,26310.21705,26309.60805,26310.53725,26309.43385,0
binary,USDVND-OTC,1782699180,26309.54695,26309.67415,26310.21755,26309.35475,0
binary,USDVND-OTC,1782699240,26309.65425,26309.65755,26310.15665,26309.20955,0
binary,USDVND-OTC,1782699300,26309.72635,26309.63415,26309.85695,26309.01265,0
binary,USDVND-OTC,1782699360,26309.66725,26310.60615,26310.74855,26309.66155,0
binary,USDVND-OTC,1782699420,26310.57225,26311.27135,26311.30105,26310.40925,0
binary,USDVND-OTC,1782699480,26311.27435,26311.57855,26311.86615,26311.17575,0
binary,USDVND-OTC,1782699540,26311.56485,26311.70765,26311.75185,26311.00455,0
binary,USDVND-OTC,1782699600,26311.70775,26311.74655,26311.81215,26310.94565,0
binary,USDVND-OTC,1782699660,26311.72305,26310.73815,26311.72305,26310.73815,0
binary,USDVND-OTC,1782699720,26310.73585,26310.46045,26311.17615,26310.33255,0
binary,USDVND-OTC,1782699780,26310.41345,26310.49625,26310.88715,26310.29135,0
binary,USDVND-OTC,1782699840,26310.47445,26309.10805,26310.47445,26309.04135,0
binary,USDVND-OTC,1782699900,26309.13315,26309.38015,26309.54575,26308.87105,0
binary,USDVND-OTC,1782699960,26309.39705,26309.05045,26309.58305,26308.98475,0
binary,USDVND-OTC,1782700020,26309.01155,26308.56555,26309.08495,26308.37905,0
binary,USDVND-OTC,1782700080,26308.49375,26308.44275,26308.71525,26308.24745,0
binary,USDVND-OTC,1782700140,26308.46435,26309.31355,26309.35245,26308.32125,0
