tipo,activo,from,open,close,max,min,volume
binary,USDZAR-OTC,1782036420,16.471475,16.470785,16.472395,16.468445,0
binary,USDZAR-OTC,1782036480,16.471125,16.469885,16.473205,16.469175,0
binary,USDZAR-OTC,1782036540,16.469715,16.469725,16.470405,16.466795,0
binary,USDZAR-OTC,1782036600,16.469875,16.469565,16.471125,16.468235,0
binary,USDZAR-OTC,1782036660,16.469665,16.470055,16.471755,16.467885,0
binary,USDZAR-OTC,1782036720,16.469905,16.469315,16.471325,16.467885,0
binary,USDZAR-OTC,1782036780,16.469125,16.470715,16.471695,16.469115,0
binary,USDZAR-OTC,1782036840,16.470905,16.470965,16.472745,16.469295,0
binary,USDZAR-OTC,1782036900,16.471135,16.471855,16.472905,16.470025,0
binary,USDZAR-OTC,1782036960,16.471735,16.468965,16.472665,16.467525,0
binary,USDZAR-OTC,1782037020,16.468815,16.468825,16.471025,16.468685,0
binary,USDZAR-OTC,1782037080,16.468965,16.469555,16.471805,16.468685,0
binary,USDZAR-OTC,1782037140,16.469385,16.469455,16.471095,16.467655,0
binary,USDZAR-OTC,1782037200,16.469585,16.470395,16.473265,16.468925,0
binary,USDZAR-OTC,1782037260,16.470205,16.467655,16.471725,16.467195,0
binary,USDZAR-OTC,1782037320,16.467525,16.466365,16.468265,16.466185,0
binary,USDZAR-OTC,1782037380,16.466505,16.464225,16.466805,16.463315,0
binary,USDZAR-OTC,1782037440,16.464105,16.464305,16.465415,16.462995,0
binary,USDZAR-OTC,1782037500,16.464475,16.466815,16.467125,16.463315,0
binary,USDZAR-OTC,1782037560,16.466995,16.463765,16.468135,16.463695,0
binary,USDZAR-OTC,1782037620,16.463585,16.465215,16.465405,16.462245,0
binary,USDZAR-OTC,1782037680,16.465325,16.466145,16.469495,16.465325,0
binary,USDZAR-OTC,1782037740,16.466035,16.467425,16.468395,16.465815,0
binary,USDZAR-OTC,1782037800,16.467275,16.471725,16.472045,16.465485,0
binary,USDZAR-OTC,1782037860,16.471535,16.468435,16.472695,16.467925,0
binary,USDZAR-OTC,1782037920,16.468245,16.470815,16.471015,16.467975,0
binary,USDZAR-OTC,1782037980,16.470705,16.473085,16.474265,16.470535,0
binary,USDZAR-OTC,1782038040,16.472885,16.477685,16.478495,16.472885,0
binary,USDZAR-OTC,1782038100,16.477585,16.481235,16.482125,16.476465,0
binary,USDZAR-OTC,1782038160,16.481105,16.482305,16.482825,16.481105,0
binary,USDZAR-OTC,1782038220,16.482075,16.481085,16.483495,16.479375,0
binary,USDZAR-OTC,1782038280,16.481255,16.483015,16.483785,16.480135,0
binary,USDZAR-OTC,1782038340,16.482895,16.484665,16.487145,16.482895,0
binary,USDZAR-OTC,1782038400,16.484765,16.487195,16.487525,16.484225,0
binary,USDZAR-OTC,1782038460,16.487385,16.490755,16.490755,16.486865,0
binary,USDZAR-OTC,1782038520,16.490565,16.489315,16.491075,16.487225,0
binary,USDZAR-OTC,1782038580,16.489435,16.487835,16.490845,16.487355,0
binary,USDZAR-OTC,1782038640,16.488005,16.491675,16.491845,16.487765,0
binary,USDZAR-OTC,1782038700,16.491865,16.493415,16.493995,16.490975,0
binary,USDZAR-OTC,1782038760,16.493245,16.490365,16.493545,16.489885,0
binary,USDZAR-OTC,1782038820,16.490235,16.488405,16.492175,16.488245,0
binary,USDZAR-OTC,1782038880,16.488555,16.485145,16.489315,16.485145,0
binary,USDZAR-OTC,1782038940,16.484975,16.483725,16.485595,16.482985,0
binary,USDZAR-OTC,1782039000,16.483905,16.483625,16.484715,16.482825,0
binary,USDZAR-OTC,1782039060,16.483485,16.481955,16.485565,16.481955,0
binary,USDZAR-OTC,1782039120,16.482065,16.483855,16.485835,16.482005,0
binary,USDZAR-OTC,1782039180,16.483665,16.485805,16.486595,16.482495,0
binary,USDZAR-OTC,1782039240,16.485985,16.487045,16.487335,16.484025,0
binary,USDZAR-OTC,1782039300,16.487195,16.486055,16.488155,16.485665,0
binary,USDZAR-OTC,1782039360,16.486165,16.483865,16.486225,16.483535,0
binary,USDZAR-OTC,1782039420,16.483695,16.483585,16.484735,16.482695,0
binary,USDZAR-OTC,1782039480,16.483925,16.486245,16.487495,16.483925,0
binary,USDZAR-OTC,1782039540,16.486065,16.483705,16.486425,16.482975,0
binary,USDZAR-OTC,1782039600,16.483825,16.486755,16.487295,16.483075,0
binary,USDZAR-OTC,1782039660,16.486885,16.488525,16.489755,16.486465,0
binary,USDZAR-OTC,1782039720,16.488625,16.486975,16.489085,16.486305,0
binary,USDZAR-OTC,1782039780,16.486615,16.483265,16.487465,16.481775,0
binary,USDZAR-OTC,1782039840,16.483365,16.484065,16.486585,16.483175,0
binary,USDZAR-OTC,1782039900,16.484235,16.482805,16.485075,16.481625,0
binary,USDZAR-OTC,1782039960,16.482545,16.484435,16.485665,16.481975,0
binary,USDZAR-OTC,1782040020,16.484605,16.482645,16.485215,16.481505,0
binary,USDZAR-OTC,1782040080,16.482755,16.481425,16.482945,16.479435,0
binary,USDZAR-OTC,1782040140,16.481535,16.479335,16.481845,16.477205,0
binary,USDZAR-OTC,1782040200,16.479455,16.478795,16.480105,16.478005,0
binary,USDZAR-OTC,1782040260,16.478905,16.477665,16.480095,16.476325,0
binary,USDZAR-OTC,1782040320,16.477805,16.475675,16.478395,16.474065,0
binary,USDZAR-OTC,1782040380,16.475525,16.473375,16.477285,16.473145,0
binary,USDZAR-OTC,1782040440,16.473275,16.472855,16.473715,16.471765,0
binary,USDZAR-OTC,1782040500,16.472525,16.470335,16.473215,16.468325,0
binary,USDZAR-OTC,1782040560,16.470155,16.471605,16.473795,16.469875,0
binary,USDZAR-OTC,1782040620,16.471475,16.469225,16.473505,16.468915,0
binary,USDZAR-OTC,1782040680,16.469405,16.469695,16.470725,16.468855,0
binary,USDZAR-OTC,1782040740,16.469515,16.467065,16.470455,16.465975,0
binary,USDZAR-OTC,1782040800,16.467175,16.467865,16.469585,16.466275,0
binary,USDZAR-OTC,1782040860,16.468095,16.472275,16.473655,16.467345,0
binary,USDZAR-OTC,1782040920,16.472145,16.471595,16.472145,16.469565,0
binary,USDZAR-OTC,1782040980,16.471435,16.470675,16.471435,16.468865,0
binary,USDZAR-OTC,1782041040,16.470825,16.476635,16.476845,16.470825,0
binary,USDZAR-OTC,1782041100,16.476475,16.473415,16.477645,16.472375,0
binary,USDZAR-OTC,1782041160,16.473555,16.473505,16.474075,16.471635,0
binary,USDZAR-OTC,1782041220,16.473625,16.473235,16.474285,16.470315,0
binary,USDZAR-OTC,1782041280,16.473035,16.471705,16.474245,16.469565,0
binary,USDZAR-OTC,1782041340,16.471825,16.472145,16.474175,16.471055,0
binary,USDZAR-OTC,1782041400,16.472315,16.471025,16.472695,16.469935,0
binary,USDZAR-OTC,1782041460,16.471215,16.470035,16.472665,16.468975,0
binary,USDZAR-OTC,1782041520,16.470195,16.470895,16.471875,16.469915,0
binary,USDZAR-OTC,1782041580,16.470765,16.473165,16.473165,16.470195,0
binary,USDZAR-OTC,1782041640,16.473285,16.472765,16.476205,16.471715,0
binary,USDZAR-OTC,1782041700,16.472925,16.475955,16.476255,16.472635,0
binary,USDZAR-OTC,1782041760,16.476085,16.476535,16.476975,16.474705,0
binary,USDZAR-OTC,1782041820,16.476345,16.476395,16.478275,16.474325,0
binary,USDZAR-OTC,1782041880,16.476265,16.476345,16.476735,16.474315,0
binary,USDZAR-OTC,1782041940,16.476195,16.475385,16.478435,16.475385,0
binary,USDZAR-OTC,1782042000,16.475235,16.476425,16.477155,16.474865,0
binary,USDZAR-OTC,1782042060,16.476645,16.474465,16.478165,16.474465,0
binary,USDZAR-OTC,1782042120,16.474265,16.471735,16.476135,16.471535,0
binary,USDZAR-OTC,1782042180,16.471545,16.474815,16.475135,16.470435,0
binary,USDZAR-OTC,1782042240,16.474975,16.470525,16.475405,16.470065,0
binary,USDZAR-OTC,1782042300,16.470635,16.467955,16.471585,16.467845,0
binary,USDZAR-OTC,1782042360,16.467805,16.470635,16.471445,16.466415,0
binary,USDZAR-OTC,1782042420,16.470785,16.465935,16.470915,16.464975,0
binary,USDZAR-OTC,1782042480,16.466095,16.463165,16.466745,16.462805,0
binary,USDZAR-OTC,1782042540,16.462855,16.461625,16.464895,16.461035,0
binary,USDZAR-OTC,1782042600,16.461725,16.458395,16.462005,16.458255,0
binary,USDZAR-OTC,1782042660,16.458565,16.453885,16.458865,16.453225,0
binary,USDZAR-OTC,1782042720,16.453765,16.450885,16.454135,16.449095,0
binary,USDZAR-OTC,1782042780,16.450985,16.447355,16.451045,16.446615,0
binary,USDZAR-OTC,1782042840,16.447195,16.452345,16.454005,16.446975,0
binary,USDZAR-OTC,1782042900,16.452525,16.452485,16.453385,16.450355,0
binary,USDZAR-OTC,1782042960,16.452365,16.454415,16.454655,16.450695,0
binary,USDZAR-OTC,1782043020,16.454525,16.453125,16.454765,16.451715,0
binary,USDZAR-OTC,1782043080,16.452965,16.450325,16.453485,16.450275,0
binary,USDZAR-OTC,1782043140,16.450165,16.449205,16.451365,16.448765,0
binary,USDZAR-OTC,1782043200,16.449395,16.449725,16.450275,16.446385,0
binary,USDZAR-OTC,1782043260,16.449855,16.447355,16.450575,16.446485,0
binary,USDZAR-OTC,1782043320,16.447485,16.448655,16.449495,16.445465,0
binary,USDZAR-OTC,1782043380,16.448785,16.447695,16.450275,16.446175,0
binary,USDZAR-OTC,1782043440,16.447875,16.448655,16.449275,16.446835,0
binary,USDZAR-OTC,1782043500,16.448485,16.447115,16.450635,16.447115,0
binary,USDZAR-OTC,1782043560,16.446995,16.443395,16.447475,16.443265,0
binary,USDZAR-OTC,1782043620,16.443705,16.444315,16.445045,16.443205,0
binary,USDZAR-OTC,1782043680,16.444135,16.444905,16.447225,16.443865,0
binary,USDZAR-OTC,1782043740,16.445045,16.444065,16.445935,16.442165,0
binary,USDZAR-OTC,1782043800,16.444175,16.448345,16.448935,16.443985,0
binary,USDZAR-OTC,1782043860,16.448515,16.452855,16.452855,16.448335,0
binary,USDZAR-OTC,1782043920,16.453005,16.448915,16.453105,16.448595,0
binary,USDZAR-OTC,1782043980,16.449075,16.444645,16.449205,16.444645,0
binary,USDZAR-OTC,1782044040,16.444475,16.446455,16.448865,16.444475,0
binary,USDZAR-OTC,1782044100,16.446325,16.447075,16.447905,16.445255,0
binary,USDZAR-OTC,1782044160,16.447215,16.446375,16.448735,16.445785,0
binary,USDZAR-OTC,1782044220,16.446525,16.450245,16.451385,16.445845,0
binary,USDZAR-OTC,1782044280,16.450435,16.455665,16.455665,16.450085,0
binary,USDZAR-OTC,1782044340,16.455565,16.453765,16.455945,16.453665,0
binary,USDZAR-OTC,1782044400,16.453875,16.452205,16.455195,16.452205,0
binary,USDZAR-OTC,1782044460,16.452045,16.451005,16.452965,16.450055,0
binary,USDZAR-OTC,1782044520,16.451105,16.449495,16.452895,16.449495,0
binary,USDZAR-OTC,1782044580,16.449185,16.447265,16.449765,16.444535,0
binary,USDZAR-OTC,1782044640,16.447115,16.446805,16.449075,16.446695,0
binary,USDZAR-OTC,1782044700,16.446625,16.450565,16.451175,16.446515,0
binary,USDZAR-OTC,1782044760,16.450725,16.450505,16.452565,16.448485,0
binary,USDZAR-OTC,1782044820,16.450615,16.446695,16.450615,16.446035,0
binary,USDZAR-OTC,1782044880,16.446585,16.449195,16.450895,16.446115,0
binary,USDZAR-OTC,1782044940,16.449025,16.449825,16.451615,16.448005,0
binary,USDZAR-OTC,1782045000,16.450005,16.450065,16.451465,16.449305,0
binary,USDZAR-OTC,1782045060,16.450235,16.450755,16.452065,16.449285,0
binary,USDZAR-OTC,1782045120,16.450945,16.451805,16.451935,16.449135,0
binary,USDZAR-OTC,1782045180,16.451965,16.452255,16.454085,16.450935,0
binary,USDZAR-OTC,1782045240,16.452065,16.453585,16.454045,16.451175,0
binary,USDZAR-OTC,1782045300,16.453685,16.454495,16.455145,16.452325,0
binary,USDZAR-OTC,1782045360,16.454635,16.454175,16.456205,16.454005,0
binary,USDZAR-OTC,1782045420,16.454075,16.451915,16.454365,16.450845,0
binary,USDZAR-OTC,1782045480,16.452085,16.449855,16.454735,16.449855,0
binary,USDZAR-OTC,1782045540,16.449715,16.450375,16.451865,16.448315,0
binary,USDZAR-OTC,1782045600,16.450245,16.444275,16.450245,16.444025,0
binary,USDZAR-OTC,1782045660,16.444525,16.441715,16.445535,16.441215,0
binary,USDZAR-OTC,1782045720,16.441555,16.440175,16.442545,16.439505,0
binary,USDZAR-OTC,1782045780,16.440065,16.438945,16.440705,16.437995,0
binary,USDZAR-OTC,1782045840,16.439085,16.437015,16.439425,16.435905,0
binary,USDZAR-OTC,1782045900,16.437145,16.440295,16.440655,16.436195,0
binary,USDZAR-OTC,1782045960,16.440105,16.441445,16.443855,16.439965,0
binary,USDZAR-OTC,1782046020,16.441625,16.437695,16.443175,16.437335,0
binary,USDZAR-OTC,1782046080,16.437545,16.434755,16.437545,16.434355,0
binary,USDZAR-OTC,1782046140,16.434565,16.438835,16.439635,16.433765,0
binary,USDZAR-OTC,1782046200,16.439005,16.439405,16.441325,16.438165,0
binary,USDZAR-OTC,1782046260,16.439505,16.441525,16.442015,16.438425,0
binary,USDZAR-OTC,1782046320,16.441375,16.447475,16.447565,16.440795,0
binary,USDZAR-OTC,1782046380,16.447655,16.448085,16.449665,16.446895,0
binary,USDZAR-OTC,1782046440,16.447965,16.450215,16.451625,16.447775,0
binary,USDZAR-OTC,1782046500,16.450025,16.445485,16.450095,16.443925,0
binary,USDZAR-OTC,1782046560,16.445675,16.443165,16.446525,16.442535,0
binary,USDZAR-OTC,1782046620,16.443045,16.440045,16.444435,16.439385,0
binary,USDZAR-OTC,1782046680,16.440155,16.439315,16.440535,16.437585,0
binary,USDZAR-OTC,1782046740,16.438975,16.440165,16.440965,16.438365,0
binary,USDZAR-OTC,1782046800,16.440315,16.440825,16.442615,16.440315,0
binary,USDZAR-OTC,1782046860,16.440965,16.438495,16.441755,16.437335,0
binary,USDZAR-OTC,1782046920,16.438655,16.441295,16.442095,16.438095,0
binary,USDZAR-OTC,1782046980,16.441135,16.443795,16.445345,16.440235,0
binary,USDZAR-OTC,1782047040,16.443935,16.441615,16.445305,16.441005,0
binary,USDZAR-OTC,1782047100,16.441425,16.437855,16.441425,16.437485,0
binary,USDZAR-OTC,1782047160,16.437665,16.437485,16.439225,16.436235,0
binary,USDZAR-OTC,1782047220,16.437615,16.436885,16.441055,16.436705,0
binary,USDZAR-OTC,1782047280,16.436715,16.435485,16.438855,16.435485,0
binary,USDZAR-OTC,1782047340,16.435625,16.433515,16.436325,16.433095,0
binary,USDZAR-OTC,1782047400,16.433625,16.431205,16.434065,16.430845,0
binary,USDZAR-OTC,1782047460,16.431395,16.430595,16.433235,16.430485,0
binary,USDZAR-OTC,1782047520,16.430715,16.427965,16.430885,16.427135,0
binary,USDZAR-OTC,1782047580,16.428085,16.428795,16.429745,16.426905,0
binary,USDZAR-OTC,1782047640,16.428955,16.428205,16.429285,16.427225,0
binary,USDZAR-OTC,1782047700,16.428065,16.428055,16.430325,16.427125,0
binary,USDZAR-OTC,1782047760,16.428175,16.431735,16.431805,16.427105,0
binary,USDZAR-OTC,1782047820,16.431925,16.431465,16.433365,16.430975,0
binary,USDZAR-OTC,1782047880,16.431595,16.427495,16.431595,16.426565,0
binary,USDZAR-OTC,1782047940,16.427655,16.423435,16.427655,16.422345,0
binary,USDZAR-OTC,1782048000,16.423625,16.423345,16.424655,16.422345,0
binary,USDZAR-OTC,1782048060,16.423225,16.424415,16.425275,16.421885,0
binary,USDZAR-OTC,1782048120,16.424085,16.424395,16.425555,16.422905,0
binary,USDZAR-OTC,1782048180,16.424055,16.423765,16.425695,16.421945,0
binary,USDZAR-OTC,1782048240,16.423925,16.423155,16.427415,16.422685,0
binary,USDZAR-OTC,1782048300,16.423255,16.420835,16.425645,16.420835,0
binary,USDZAR-OTC,1782048360,16.421015,16.422745,16.422965,16.419485,0
binary,USDZAR-OTC,1782048420,16.422585,16.423305,16.423495,16.421045,0
binary,USDZAR-OTC,1782048480,16.423425,16.420195,16.424005,16.420195,0
binary,USDZAR-OTC,1782048540,16.420345,16.419315,16.420985,16.417685,0
binary,USDZAR-OTC,1782048600,16.419645,16.420235,16.421585,16.418295,0
