tipo,activo,from,open,close,max,min,volume
binary,USOUSD-OTC,1782036480,78.847395,78.820485,78.909855,78.814505,0
binary,USOUSD-OTC,1782036540,78.795555,78.731955,78.859505,78.655415,0
binary,USOUSD-OTC,1782036600,78.736965,78.653305,78.777895,78.594895,0
binary,USOUSD-OTC,1782036660,78.653755,78.512025,78.658285,78.508205,0
binary,USOUSD-OTC,1782036720,78.513885,78.407685,78.519535,78.338595,0
binary,USOUSD-OTC,1782036780,78.400845,78.394355,78.428975,78.349205,0
binary,USOUSD-OTC,1782036840,78.390475,78.450925,78.454755,78.307645,0
binary,USOUSD-OTC,1782036900,78.458305,78.539425,78.593995,78.457455,0
binary,USOUSD-OTC,1782036960,78.524095,78.379535,78.524945,78.357715,0
binary,USOUSD-OTC,1782037020,78.399295,78.314495,78.415035,78.230045,0
binary,USOUSD-OTC,1782037080,78.314355,78.272875,78.349255,78.249895,0
binary,USOUSD-OTC,1782037140,78.273145,78.258745,78.297575,78.204395,0
binary,USOUSD-OTC,1782037200,78.260505,78.211125,78.280355,78.185325,0
binary,USOUSD-OTC,1782037260,78.211055,78.195025,78.243225,78.175535,0
binary,USOUSD-OTC,1782037320,78.194865,78.113055,78.312805,78.112805,0
binary,USOUSD-OTC,1782037380,78.111705,78.142085,78.267035,78.111615,0
binary,USOUSD-OTC,1782037440,78.142345,78.253965,78.256625,78.104025,0
binary,USOUSD-OTC,1782037500,78.255005,78.207405,78.259305,78.181795,0
binary,USOUSD-OTC,1782037560,78.209495,78.136985,78.237655,78.119875,0
binary,USOUSD-OTC,1782037620,78.144075,78.173915,78.197475,78.095915,0
binary,USOUSD-OTC,1782037680,78.170015,78.158665,78.192565,78.107355,0
binary,USOUSD-OTC,1782037740,78.165745,78.153025,78.208495,78.119215,0
binary,USOUSD-OTC,1782037800,78.152755,78.180995,78.211475,78.070345,0
binary,USOUSD-OTC,1782037860,78.176205,78.115285,78.253805,78.107995,0
binary,USOUSD-OTC,1782037920,78.131695,78.047315,78.187765,78.043245,0
binary,USOUSD-OTC,1782037980,78.047615,78.023395,78.075465,77.986775,0
binary,USOUSD-OTC,1782038040,78.009345,77.816035,78.023605,77.813795,0
binary,USOUSD-OTC,1782038100,77.838095,77.914335,77.946885,77.826945,0
binary,USOUSD-OTC,1782038160,77.914585,77.979425,78.011305,77.906605,0
binary,USOUSD-OTC,1782038220,77.974405,78.017335,78.065315,77.949065,0
binary,USOUSD-OTC,1782038280,78.019165,77.974675,78.039695,77.928835,0
binary,USOUSD-OTC,1782038340,77.974155,78.010485,78.036535,77.928095,0
binary,USOUSD-OTC,1782038400,78.008455,77.864465,78.035085,77.863365,0
binary,USOUSD-OTC,1782038460,77.864155,77.816455,77.869005,77.781045,0
binary,USOUSD-OTC,1782038520,77.816685,77.901695,77.912825,77.799885,0
binary,USOUSD-OTC,1782038580,77.905065,77.885635,77.947585,77.845825,0
binary,USOUSD-OTC,1782038640,77.878245,77.934625,77.963505,77.868345,0
binary,USOUSD-OTC,1782038700,77.932595,78.092925,78.115435,77.927095,0
binary,USOUSD-OTC,1782038760,78.089955,78.154885,78.165575,77.992285,0
binary,USOUSD-OTC,1782038820,78.153405,78.119245,78.165325,78.074275,0
binary,USOUSD-OTC,1782038880,78.122355,78.152685,78.221955,78.077545,0
binary,USOUSD-OTC,1782038940,78.152625,78.434275,78.434825,78.106065,0
binary,USOUSD-OTC,1782039000,78.411865,78.442725,78.575555,78.398225,0
binary,USOUSD-OTC,1782039060,78.442205,78.407245,78.503055,78.332555,0
binary,USOUSD-OTC,1782039120,78.421895,78.423275,78.465385,78.398725,0
binary,USOUSD-OTC,1782039180,78.423315,78.357555,78.456235,78.333525,0
binary,USOUSD-OTC,1782039240,78.355995,78.339935,78.371095,78.266305,0
binary,USOUSD-OTC,1782039300,78.340295,78.253635,78.400605,78.235005,0
binary,USOUSD-OTC,1782039360,78.254535,78.132335,78.288025,78.121705,0
binary,USOUSD-OTC,1782039420,78.127925,78.179095,78.179255,78.120475,0
binary,USOUSD-OTC,1782039480,78.182665,78.187325,78.222605,78.074995,0
binary,USOUSD-OTC,1782039540,78.187265,78.273165,78.277435,78.176365,0
binary,USOUSD-OTC,1782039600,78.276705,78.241875,78.278475,78.230605,0
binary,USOUSD-OTC,1782039660,78.239795,78.347615,78.366235,78.239795,0
binary,USOUSD-OTC,1782039720,78.345425,78.362515,78.364675,78.244405,0
binary,USOUSD-OTC,1782039780,78.360385,78.461815,78.470475,78.344315,0
binary,USOUSD-OTC,1782039840,78.461695,78.517365,78.547895,78.390395,0
binary,USOUSD-OTC,1782039900,78.518465,78.640525,78.665395,78.515745,0
binary,USOUSD-OTC,1782039960,78.645525,78.397935,78.708685,78.397935,0
binary,USOUSD-OTC,1782040020,78.398015,78.497895,78.498655,78.340895,0
binary,USOUSD-OTC,1782040080,78.499335,78.736165,78.736415,78.499335,0
binary,USOUSD-OTC,1782040140,78.737305,78.856385,78.894925,78.733025,0
binary,USOUSD-OTC,1782040200,78.855975,78.858505,78.922245,78.850625,0
binary,USOUSD-OTC,1782040260,78.849755,78.937785,78.940465,78.747065,0
binary,USOUSD-OTC,1782040320,78.934395,78.944185,78.972005,78.901445,0
binary,USOUSD-OTC,1782040380,78.948375,78.897005,78.948375,78.846375,0
binary,USOUSD-OTC,1782040440,78.894195,79.044935,79.059585,78.891555,0
binary,USOUSD-OTC,1782040500,79.044685,79.064945,79.082205,78.977145,0
binary,USOUSD-OTC,1782040560,79.047525,78.831335,79.054835,78.831335,0
binary,USOUSD-OTC,1782040620,78.831495,78.868025,78.880065,78.774335,0
binary,USOUSD-OTC,1782040680,78.867845,78.817265,78.870045,78.793315,0
binary,USOUSD-OTC,1782040740,78.815735,78.826745,78.848955,78.766935,0
binary,USOUSD-OTC,1782040800,78.825655,78.762305,78.825655,78.658655,0
binary,USOUSD-OTC,1782040860,78.766715,78.675455,78.776245,78.675455,0
binary,USOUSD-OTC,1782040920,78.656185,78.719805,78.763245,78.632205,0
binary,USOUSD-OTC,1782040980,78.715815,78.669365,78.723205,78.637225,0
