tipo,activo,from,open,close,max,min,volume
binary,WLDUSD-OTC,1782566700,0.509465,0.502995,0.509465,0.502415,0
binary,WLDUSD-OTC,1782566760,0.502695,0.504305,0.507405,0.501905,0
binary,WLDUSD-OTC,1782566820,0.504605,0.498955,0.505215,0.497995,0
binary,WLDUSD-OTC,1782566880,0.499175,0.495165,0.499615,0.494645,0
binary,WLDUSD-OTC,1782566940,0.495705,0.491915,0.497645,0.491915,0
binary,WLDUSD-OTC,1782567000,0.491755,0.492015,0.496555,0.490605,0
binary,WLDUSD-OTC,1782567060,0.491725,0.491125,0.496635,0.490295,0
binary,WLDUSD-OTC,1782567120,0.491455,0.479885,0.491545,0.479885,0
binary,WLDUSD-OTC,1782567180,0.479715,0.480705,0.480995,0.477925,0
binary,WLDUSD-OTC,1782567240,0.480935,0.483415,0.484325,0.479835,0
binary,WLDUSD-OTC,1782567300,0.483205,0.489565,0.489565,0.482095,0
binary,WLDUSD-OTC,1782567360,0.489415,0.482935,0.489415,0.480715,0
binary,WLDUSD-OTC,1782567420,0.482475,0.475435,0.482475,0.475295,0
binary,WLDUSD-OTC,1782567480,0.475635,0.469135,0.476585,0.469135,0
binary,WLDUSD-OTC,1782567540,0.469235,0.468635,0.469665,0.467265,0
binary,WLDUSD-OTC,1782567600,0.468665,0.463415,0.469295,0.460995,0
binary,WLDUSD-OTC,1782567660,0.463325,0.460575,0.464695,0.460065,0
binary,WLDUSD-OTC,1782567720,0.460785,0.461355,0.464315,0.460055,0
binary,WLDUSD-OTC,1782567780,0.461295,0.463725,0.464005,0.460685,0
binary,WLDUSD-OTC,1782567840,0.464015,0.462805,0.464695,0.461165,0
binary,WLDUSD-OTC,1782567900,0.462715,0.465925,0.465925,0.460725,0
binary,WLDUSD-OTC,1782567960,0.466235,0.473975,0.475995,0.465735,0
binary,WLDUSD-OTC,1782568020,0.474565,0.465545,0.474565,0.465135,0
binary,WLDUSD-OTC,1782568080,0.465855,0.464225,0.466625,0.462875,0
binary,WLDUSD-OTC,1782568140,0.463835,0.464905,0.468355,0.463835,0
binary,WLDUSD-OTC,1782568200,0.465085,0.462715,0.465455,0.460115,0
binary,WLDUSD-OTC,1782568260,0.462905,0.462065,0.463195,0.459475,0
binary,WLDUSD-OTC,1782568320,0.461945,0.462645,0.464435,0.460995,0
binary,WLDUSD-OTC,1782568380,0.462725,0.463105,0.463805,0.460265,0
binary,WLDUSD-OTC,1782568440,0.463075,0.462715,0.463755,0.459555,0
binary,WLDUSD-OTC,1782568500,0.462935,0.466175,0.467285,0.459335,0
binary,WLDUSD-OTC,1782568560,0.466445,0.465825,0.466865,0.463125,0
binary,WLDUSD-OTC,1782568620,0.465525,0.468035,0.468035,0.463805,0
binary,WLDUSD-OTC,1782568680,0.468325,0.474155,0.475145,0.467765,0
binary,WLDUSD-OTC,1782568740,0.473845,0.473495,0.475545,0.471285,0
binary,WLDUSD-OTC,1782568800,0.474075,0.475145,0.476285,0.471325,0
binary,WLDUSD-OTC,1782568860,0.475355,0.473965,0.475375,0.470515,0
binary,WLDUSD-OTC,1782568920,0.474155,0.471805,0.475425,0.467725,0
binary,WLDUSD-OTC,1782568980,0.471825,0.471635,0.474805,0.471155,0
binary,WLDUSD-OTC,1782569040,0.471855,0.470015,0.473895,0.469585,0
binary,WLDUSD-OTC,1782569100,0.469845,0.471265,0.472045,0.466615,0
binary,WLDUSD-OTC,1782569160,0.471325,0.471605,0.474215,0.470685,0
binary,WLDUSD-OTC,1782569220,0.471645,0.472545,0.474225,0.468995,0
binary,WLDUSD-OTC,1782569280,0.472335,0.470355,0.472845,0.468195,0
binary,WLDUSD-OTC,1782569340,0.470105,0.471975,0.471975,0.467075,0
binary,WLDUSD-OTC,1782569400,0.471405,0.467205,0.471895,0.466785,0
binary,WLDUSD-OTC,1782569460,0.467395,0.465895,0.470825,0.464845,0
binary,WLDUSD-OTC,1782569520,0.465595,0.468045,0.468875,0.464395,0
binary,WLDUSD-OTC,1782569580,0.468365,0.471045,0.473095,0.466755,0
binary,WLDUSD-OTC,1782569640,0.471195,0.463745,0.471195,0.463745,0
binary,WLDUSD-OTC,1782569700,0.463585,0.460445,0.463625,0.460055,0
binary,WLDUSD-OTC,1782569760,0.459965,0.456535,0.462595,0.456185,0
binary,WLDUSD-OTC,1782569820,0.456245,0.455195,0.456315,0.452235,0
binary,WLDUSD-OTC,1782569880,0.454905,0.458085,0.458965,0.454285,0
binary,WLDUSD-OTC,1782569940,0.458335,0.459825,0.460255,0.455295,0
binary,WLDUSD-OTC,1782570000,0.459935,0.463095,0.464085,0.457035,0
binary,WLDUSD-OTC,1782570060,0.463255,0.465125,0.467345,0.462635,0
binary,WLDUSD-OTC,1782570120,0.464955,0.455515,0.465455,0.455515,0
binary,WLDUSD-OTC,1782570180,0.455445,0.456855,0.459585,0.453565,0
binary,WLDUSD-OTC,1782570240,0.456885,0.456495,0.458445,0.454725,0
binary,WLDUSD-OTC,1782570300,0.456735,0.448495,0.456735,0.447335,0
binary,WLDUSD-OTC,1782570360,0.448335,0.451295,0.452695,0.448175,0
binary,WLDUSD-OTC,1782570420,0.451375,0.454545,0.455885,0.450805,0
binary,WLDUSD-OTC,1782570480,0.454815,0.458115,0.458115,0.454345,0
binary,WLDUSD-OTC,1782570540,0.458365,0.458515,0.463365,0.457945,0
binary,WLDUSD-OTC,1782570600,0.458745,0.464815,0.464815,0.458175,0
binary,WLDUSD-OTC,1782570660,0.464725,0.467175,0.467465,0.463305,0
binary,WLDUSD-OTC,1782570720,0.467035,0.465705,0.468145,0.463495,0
binary,WLDUSD-OTC,1782570780,0.465535,0.468515,0.468605,0.464035,0
binary,WLDUSD-OTC,1782570840,0.468465,0.469005,0.469895,0.467285,0
binary,WLDUSD-OTC,1782570900,0.468585,0.472185,0.473515,0.468185,0
binary,WLDUSD-OTC,1782570960,0.472315,0.473705,0.477495,0.472315,0
binary,WLDUSD-OTC,1782571020,0.474275,0.468155,0.475345,0.467265,0
binary,WLDUSD-OTC,1782571080,0.468215,0.466475,0.469195,0.464395,0
binary,WLDUSD-OTC,1782571140,0.466735,0.467895,0.470115,0.465925,0
binary,WLDUSD-OTC,1782571200,0.467725,0.470735,0.475205,0.467725,0
binary,WLDUSD-OTC,1782571260,0.471005,0.466055,0.471595,0.464595,0
binary,WLDUSD-OTC,1782571320,0.466095,0.469985,0.469985,0.465015,0
binary,WLDUSD-OTC,1782571380,0.470125,0.469105,0.472065,0.468045,0
binary,WLDUSD-OTC,1782571440,0.468975,0.475465,0.476455,0.468215,0
binary,WLDUSD-OTC,1782571500,0.475155,0.474375,0.476355,0.472885,0
binary,WLDUSD-OTC,1782571560,0.473875,0.471725,0.475815,0.471085,0
binary,WLDUSD-OTC,1782571620,0.471575,0.469705,0.474585,0.468895,0
binary,WLDUSD-OTC,1782571680,0.469835,0.471145,0.471685,0.467075,0
binary,WLDUSD-OTC,1782571740,0.471265,0.477255,0.477715,0.469935,0
binary,WLDUSD-OTC,1782571800,0.476695,0.473365,0.477705,0.473185,0
binary,WLDUSD-OTC,1782571860,0.473315,0.473165,0.478825,0.472355,0
binary,WLDUSD-OTC,1782571920,0.473285,0.472895,0.473815,0.471085,0
binary,WLDUSD-OTC,1782571980,0.472615,0.472335,0.475875,0.470405,0
binary,WLDUSD-OTC,1782572040,0.472555,0.469175,0.472555,0.467155,0
binary,WLDUSD-OTC,1782572100,0.469435,0.471475,0.471585,0.465575,0
binary,WLDUSD-OTC,1782572160,0.471545,0.472115,0.474065,0.470295,0
binary,WLDUSD-OTC,1782572220,0.472345,0.460505,0.472735,0.460505,0
binary,WLDUSD-OTC,1782572280,0.460345,0.459445,0.462315,0.457825,0
binary,WLDUSD-OTC,1782572340,0.459755,0.461165,0.461165,0.456935,0
binary,WLDUSD-OTC,1782572400,0.461595,0.459815,0.464195,0.458845,0
binary,WLDUSD-OTC,1782572460,0.459845,0.458255,0.461295,0.457665,0
binary,WLDUSD-OTC,1782572520,0.458055,0.459105,0.461575,0.457565,0
binary,WLDUSD-OTC,1782572580,0.458895,0.457195,0.459635,0.454795,0
binary,WLDUSD-OTC,1782572640,0.456325,0.460025,0.460025,0.456135,0
binary,WLDUSD-OTC,1782572700,0.459755,0.460805,0.461295,0.457455,0
binary,WLDUSD-OTC,1782572760,0.460595,0.461545,0.462615,0.460465,0
binary,WLDUSD-OTC,1782572820,0.461255,0.462505,0.463475,0.458305,0
binary,WLDUSD-OTC,1782572880,0.462625,0.463375,0.464495,0.462175,0
binary,WLDUSD-OTC,1782572940,0.463425,0.463525,0.466485,0.461555,0
binary,WLDUSD-OTC,1782573000,0.463485,0.463425,0.467105,0.462575,0
binary,WLDUSD-OTC,1782573060,0.463135,0.461715,0.463605,0.457555,0
binary,WLDUSD-OTC,1782573120,0.461865,0.468275,0.468975,0.461705,0
binary,WLDUSD-OTC,1782573180,0.468545,0.467515,0.469855,0.465055,0
binary,WLDUSD-OTC,1782573240,0.467795,0.466715,0.468435,0.465575,0
binary,WLDUSD-OTC,1782573300,0.466625,0.465635,0.466745,0.462935,0
binary,WLDUSD-OTC,1782573360,0.465465,0.464365,0.467065,0.464265,0
binary,WLDUSD-OTC,1782573420,0.464515,0.462645,0.464625,0.458415,0
binary,WLDUSD-OTC,1782573480,0.462915,0.465605,0.466195,0.459745,0
binary,WLDUSD-OTC,1782573540,0.465905,0.459965,0.467455,0.459085,0
binary,WLDUSD-OTC,1782573600,0.460115,0.464015,0.464265,0.459055,0
binary,WLDUSD-OTC,1782573660,0.463825,0.459255,0.463835,0.458545,0
binary,WLDUSD-OTC,1782573720,0.458925,0.462665,0.463995,0.458605,0
binary,WLDUSD-OTC,1782573780,0.463265,0.462875,0.465915,0.462875,0
binary,WLDUSD-OTC,1782573840,0.462935,0.458215,0.463145,0.457215,0
binary,WLDUSD-OTC,1782573900,0.457955,0.465825,0.466215,0.457955,0
binary,WLDUSD-OTC,1782573960,0.466055,0.465435,0.467395,0.463315,0
binary,WLDUSD-OTC,1782574020,0.466035,0.466805,0.467225,0.462695,0
binary,WLDUSD-OTC,1782574080,0.467055,0.471135,0.471135,0.466735,0
binary,WLDUSD-OTC,1782574140,0.470935,0.471175,0.471995,0.468225,0
binary,WLDUSD-OTC,1782574200,0.470575,0.472265,0.473085,0.469015,0
binary,WLDUSD-OTC,1782574260,0.472165,0.470325,0.473535,0.468925,0
binary,WLDUSD-OTC,1782574320,0.470055,0.473085,0.474405,0.469195,0
binary,WLDUSD-OTC,1782574380,0.472575,0.475805,0.475805,0.470935,0
binary,WLDUSD-OTC,1782574440,0.475655,0.478415,0.480105,0.475545,0
binary,WLDUSD-OTC,1782574500,0.478525,0.479975,0.480845,0.476785,0
binary,WLDUSD-OTC,1782574560,0.480005,0.476065,0.480405,0.476065,0
binary,WLDUSD-OTC,1782574620,0.476235,0.477215,0.478635,0.474325,0
binary,WLDUSD-OTC,1782574680,0.476915,0.472525,0.482995,0.472525,0
binary,WLDUSD-OTC,1782574740,0.471955,0.471045,0.474945,0.469285,0
binary,WLDUSD-OTC,1782574800,0.471055,0.473665,0.476385,0.469825,0
binary,WLDUSD-OTC,1782574860,0.473975,0.469705,0.475175,0.467575,0
binary,WLDUSD-OTC,1782574920,0.469855,0.463845,0.469865,0.462675,0
binary,WLDUSD-OTC,1782574980,0.463915,0.459885,0.464855,0.458695,0
binary,WLDUSD-OTC,1782575040,0.459845,0.463265,0.464195,0.458965,0
binary,WLDUSD-OTC,1782575100,0.463175,0.463845,0.465555,0.461475,0
binary,WLDUSD-OTC,1782575160,0.463615,0.463665,0.467185,0.461855,0
binary,WLDUSD-OTC,1782575220,0.463715,0.458645,0.463945,0.458425,0
binary,WLDUSD-OTC,1782575280,0.458845,0.454835,0.458955,0.454285,0
binary,WLDUSD-OTC,1782575340,0.454885,0.454175,0.457555,0.453365,0
binary,WLDUSD-OTC,1782575400,0.454335,0.458155,0.459195,0.454335,0
binary,WLDUSD-OTC,1782575460,0.457985,0.463045,0.463395,0.456725,0
