tipo,activo,from,open,close,max,min,volume
binary,XNGUSD-OTC,1782566760,3.75105,3.75275,3.77525,3.72975,0
binary,XNGUSD-OTC,1782566820,3.75115,3.76725,3.77275,3.72055,0
binary,XNGUSD-OTC,1782566880,3.76915,3.73335,3.77895,3.72635,0
binary,XNGUSD-OTC,1782566940,3.73505,3.70425,3.75765,3.68705,0
binary,XNGUSD-OTC,1782567000,3.70595,3.59075,3.70595,3.59075,0
binary,XNGUSD-OTC,1782567060,3.59245,3.54075,3.60795,3.54075,0
binary,XNGUSD-OTC,1782567120,3.54285,3.49995,3.54285,3.48185,0
binary,XNGUSD-OTC,1782567180,3.50155,3.51965,3.52535,3.47955,0
binary,XNGUSD-OTC,1782567240,3.52105,3.45495,3.52215,3.45495,0
binary,XNGUSD-OTC,1782567300,3.45675,3.49705,3.49795,3.45065,0
binary,XNGUSD-OTC,1782567360,3.49855,3.51635,3.52215,3.48695,0
binary,XNGUSD-OTC,1782567420,3.51455,3.54675,3.54885,3.50325,0
binary,XNGUSD-OTC,1782567480,3.54485,3.57815,3.58375,3.52625,0
binary,XNGUSD-OTC,1782567540,3.57615,3.58845,3.59825,3.56305,0
binary,XNGUSD-OTC,1782567600,3.59035,3.59875,3.61215,3.54635,0
binary,XNGUSD-OTC,1782567660,3.60095,3.62885,3.63525,3.58745,0
binary,XNGUSD-OTC,1782567720,3.62695,3.62205,3.63875,3.60125,0
binary,XNGUSD-OTC,1782567780,3.61955,3.61465,3.63325,3.60105,0
binary,XNGUSD-OTC,1782567840,3.61255,3.59285,3.61255,3.56385,0
binary,XNGUSD-OTC,1782567900,3.59115,3.61245,3.61245,3.56725,0
binary,XNGUSD-OTC,1782567960,3.61405,3.58055,3.61935,3.56905,0
binary,XNGUSD-OTC,1782568020,3.58215,3.60765,3.61335,3.55825,0
binary,XNGUSD-OTC,1782568080,3.60945,3.58285,3.61175,3.56685,0
binary,XNGUSD-OTC,1782568140,3.58485,3.54185,3.58585,3.53115,0
binary,XNGUSD-OTC,1782568200,3.54355,3.53165,3.58935,3.52575,0
binary,XNGUSD-OTC,1782568260,3.52665,3.46785,3.52825,3.45735,0
binary,XNGUSD-OTC,1782568320,3.46605,3.41915,3.46605,3.41915,0
binary,XNGUSD-OTC,1782568380,3.41745,3.42495,3.43115,3.39775,0
binary,XNGUSD-OTC,1782568440,3.41945,3.41755,3.46055,3.40885,0
binary,XNGUSD-OTC,1782568500,3.41925,3.43645,3.45375,3.40945,0
binary,XNGUSD-OTC,1782568560,3.43165,3.43095,3.43755,3.40675,0
binary,XNGUSD-OTC,1782568620,3.43265,3.44755,3.44985,3.39765,0
binary,XNGUSD-OTC,1782568680,3.44585,3.41485,3.44945,3.41195,0
binary,XNGUSD-OTC,1782568740,3.41645,3.40565,3.43125,3.39225,0
binary,XNGUSD-OTC,1782568800,3.40405,3.45935,3.45935,3.40235,0
binary,XNGUSD-OTC,1782568860,3.45775,3.40165,3.46395,3.39725,0
