tipo,activo,from,open,close,max,min,volume
binary,XPTUSD-OTC,1782913680,1587.0295,1586.3315,1588.3955,1581.3415,0
binary,XPTUSD-OTC,1782913740,1585.5155,1583.4725,1588.9785,1582.4705,0
binary,XPTUSD-OTC,1782913800,1583.1565,1574.9615,1584.6225,1573.9965,0
binary,XPTUSD-OTC,1782913860,1574.9265,1579.5595,1580.5875,1572.8295,0
binary,XPTUSD-OTC,1782913920,1579.5535,1583.8345,1584.8635,1578.9815,0
binary,XPTUSD-OTC,1782913980,1583.8315,1577.4445,1585.0165,1574.4465,0
binary,XPTUSD-OTC,1782914040,1577.4425,1564.8165,1577.5485,1563.8175,0
binary,XPTUSD-OTC,1782914100,1564.7335,1557.7845,1564.8725,1557.7605,0
binary,XPTUSD-OTC,1782914160,1559.4185,1556.1365,1559.9915,1552.3415,0
binary,XPTUSD-OTC,1782914220,1556.1375,1561.2735,1562.9495,1556.1365,0
binary,XPTUSD-OTC,1782914280,1561.2515,1557.8095,1564.5195,1557.5915,0
binary,XPTUSD-OTC,1782914340,1557.7855,1558.5475,1558.5475,1554.5455,0
binary,XPTUSD-OTC,1782914400,1558.5575,1557.1575,1559.1285,1554.0345,0
binary,XPTUSD-OTC,1782914460,1557.1255,1560.5775,1560.5795,1556.3215,0
binary,XPTUSD-OTC,1782914520,1561.3695,1559.5325,1561.6565,1558.9445,0
binary,XPTUSD-OTC,1782914580,1559.2225,1559.6375,1561.4235,1557.3215,0
binary,XPTUSD-OTC,1782914640,1559.5685,1557.7025,1561.2265,1556.8215,0
binary,XPTUSD-OTC,1782914700,1557.7045,1558.5455,1559.3735,1555.7545,0
binary,XPTUSD-OTC,1782914760,1558.5485,1557.0985,1559.4505,1556.1605,0
binary,XPTUSD-OTC,1782914820,1557.2005,1561.8305,1561.9765,1556.0405,0
binary,XPTUSD-OTC,1782914880,1561.5225,1566.6545,1566.6545,1560.1745,0
binary,XPTUSD-OTC,1782914940,1566.6555,1569.3945,1569.9885,1565.9455,0
binary,XPTUSD-OTC,1782915000,1569.4165,1569.0035,1576.2835,1568.6875,0
binary,XPTUSD-OTC,1782915060,1569.0005,1559.5625,1569.3755,1559.5625,0
binary,XPTUSD-OTC,1782915120,1559.5605,1569.4085,1570.5775,1558.0835,0
binary,XPTUSD-OTC,1782915180,1569.3885,1561.3125,1570.7165,1561.2355,0
binary,XPTUSD-OTC,1782915240,1561.3285,1558.0945,1561.4305,1556.0785,0
binary,XPTUSD-OTC,1782915300,1558.0925,1552.6555,1558.6785,1548.9695,0
binary,XPTUSD-OTC,1782915360,1552.6545,1545.3945,1553.4045,1545.1805,0
binary,XPTUSD-OTC,1782915420,1546.4635,1539.9655,1546.4635,1538.2905,0
binary,XPTUSD-OTC,1782915480,1539.9635,1538.3025,1544.9675,1538.2035,0
binary,XPTUSD-OTC,1782915540,1538.3055,1534.8385,1541.1625,1534.1435,0
binary,XPTUSD-OTC,1782915600,1534.7065,1528.8525,1535.8755,1528.0515,0
binary,XPTUSD-OTC,1782915660,1528.8535,1520.2345,1530.6685,1520.1025,0
binary,XPTUSD-OTC,1782915720,1520.1445,1517.4765,1520.8675,1516.6215,0
binary,XPTUSD-OTC,1782915780,1517.3555,1517.9605,1519.0805,1515.7535,0
binary,XPTUSD-OTC,1782915840,1517.9465,1516.7475,1518.5305,1514.1415,0
binary,XPTUSD-OTC,1782915900,1516.7485,1516.3565,1518.1825,1514.7455,0
binary,XPTUSD-OTC,1782915960,1516.9275,1515.6165,1522.2745,1514.4935,0
binary,XPTUSD-OTC,1782916020,1515.6145,1512.1865,1517.9055,1510.0835,0
binary,XPTUSD-OTC,1782916080,1512.6655,1518.2235,1519.3885,1512.1235,0
binary,XPTUSD-OTC,1782916140,1518.0335,1517.6285,1518.7075,1514.6755,0
binary,XPTUSD-OTC,1782916200,1517.6085,1514.3195,1517.6085,1511.8715,0
binary,XPTUSD-OTC,1782916260,1514.4615,1514.9925,1519.5005,1512.9725,0
binary,XPTUSD-OTC,1782916320,1514.9935,1515.6405,1519.2695,1512.4365,0
binary,XPTUSD-OTC,1782916380,1515.6335,1516.5745,1517.7175,1514.6885,0
binary,XPTUSD-OTC,1782916440,1516.5715,1515.0505,1519.3685,1513.1725,0
binary,XPTUSD-OTC,1782916500,1515.0045,1509.4415,1515.7165,1508.9095,0
binary,XPTUSD-OTC,1782916560,1508.8945,1515.5545,1515.5575,1507.5105,0
binary,XPTUSD-OTC,1782916620,1515.5505,1513.6835,1517.3095,1512.0845,0
binary,XPTUSD-OTC,1782916680,1513.3165,1517.6125,1517.6125,1511.0755,0
binary,XPTUSD-OTC,1782916740,1516.5625,1528.3095,1528.7945,1516.5345,0
binary,XPTUSD-OTC,1782916800,1528.3565,1531.7385,1532.1835,1526.2295,0
binary,XPTUSD-OTC,1782916860,1531.7355,1528.9725,1532.1065,1526.6765,0
binary,XPTUSD-OTC,1782916920,1528.9695,1532.5095,1532.8615,1528.2375,0
binary,XPTUSD-OTC,1782916980,1531.4115,1529.3205,1534.8225,1528.4935,0
binary,XPTUSD-OTC,1782917040,1529.3195,1527.9355,1529.7905,1524.1245,0
