tipo,activo,from,open,close,max,min,volume
turbo,AIG-OTC,1782036600,74.7025,74.6845,74.7035,74.5815,0
turbo,AIG-OTC,1782036660,74.6885,74.7895,74.8015,74.6465,0
turbo,AIG-OTC,1782036720,74.7875,74.7895,74.7895,74.7135,0
turbo,AIG-OTC,1782036780,74.7885,74.8275,74.8395,74.7775,0
turbo,AIG-OTC,1782036840,74.8285,74.8475,74.8655,74.7955,0
turbo,AIG-OTC,1782036900,74.8525,74.8825,74.9025,74.8135,0
turbo,AIG-OTC,1782036960,74.8795,74.8535,74.8965,74.8325,0
turbo,AIG-OTC,1782037020,74.8485,74.9075,74.9355,74.8395,0
turbo,AIG-OTC,1782037080,74.9065,74.9895,74.9925,74.8675,0
turbo,AIG-OTC,1782037140,74.9875,74.9675,74.9945,74.9395,0
turbo,AIG-OTC,1782037200,74.9695,74.8615,74.9855,74.7925,0
turbo,AIG-OTC,1782037260,74.8645,74.8795,74.9205,74.8545,0
turbo,AIG-OTC,1782037320,74.8755,74.9745,74.9875,74.8665,0
turbo,AIG-OTC,1782037380,74.9765,75.0145,75.0195,74.8965,0
turbo,AIG-OTC,1782037440,75.0155,74.9875,75.0425,74.9605,0
turbo,AIG-OTC,1782037500,74.9855,74.9825,75.0105,74.9265,0
turbo,AIG-OTC,1782037560,74.9855,74.9215,74.9925,74.8715,0
turbo,AIG-OTC,1782037620,74.9255,74.8065,74.9325,74.7795,0
turbo,AIG-OTC,1782037680,74.8025,74.6365,74.8135,74.6315,0
turbo,AIG-OTC,1782037740,74.6325,74.4695,74.6515,74.4675,0
turbo,AIG-OTC,1782037800,74.4675,74.5335,74.5425,74.4565,0
turbo,AIG-OTC,1782037860,74.5285,74.4925,74.5735,74.4875,0
turbo,AIG-OTC,1782037920,74.4985,74.5185,74.5605,74.4885,0
turbo,AIG-OTC,1782037980,74.5175,74.5165,74.5315,74.4915,0
turbo,AIG-OTC,1782038040,74.5145,74.6055,74.6185,74.5065,0
turbo,AIG-OTC,1782038100,74.6025,74.6805,74.6855,74.5975,0
turbo,AIG-OTC,1782038160,74.6795,74.7845,74.8315,74.6705,0
turbo,AIG-OTC,1782038220,74.7815,74.7875,74.8105,74.7635,0
turbo,AIG-OTC,1782038280,74.7915,74.8355,74.8755,74.7745,0
turbo,AIG-OTC,1782038340,74.8385,74.7805,74.8865,74.7735,0
turbo,AIG-OTC,1782038400,74.7775,74.8405,74.8555,74.7665,0
turbo,AIG-OTC,1782038460,74.8375,74.7735,74.8735,74.7605,0
turbo,AIG-OTC,1782038520,74.7655,74.7015,74.7825,74.6975,0
turbo,AIG-OTC,1782038580,74.7055,74.7715,74.7855,74.7055,0
turbo,AIG-OTC,1782038640,74.7675,74.6555,74.8065,74.6555,0
turbo,AIG-OTC,1782038700,74.6525,74.5855,74.7565,74.5855,0
turbo,AIG-OTC,1782038760,74.5885,74.6095,74.6095,74.5525,0
turbo,AIG-OTC,1782038820,74.6085,74.5575,74.6275,74.4935,0
turbo,AIG-OTC,1782038880,74.5585,74.6295,74.7165,74.5575,0
turbo,AIG-OTC,1782038940,74.6345,74.5135,74.6725,74.5085,0
turbo,AIG-OTC,1782039000,74.5165,74.5345,74.6235,74.4785,0
turbo,AIG-OTC,1782039060,74.5325,74.5675,74.6035,74.5205,0
turbo,AIG-OTC,1782039120,74.5625,74.3945,74.5865,74.3855,0
turbo,AIG-OTC,1782039180,74.3955,74.4635,74.4735,74.3925,0
turbo,AIG-OTC,1782039240,74.4605,74.3355,74.4605,74.2485,0
turbo,AIG-OTC,1782039300,74.3335,74.6125,74.6565,74.3225,0
turbo,AIG-OTC,1782039360,74.6155,74.6395,74.6765,74.6055,0
turbo,AIG-OTC,1782039420,74.6435,74.8045,74.8055,74.6365,0
turbo,AIG-OTC,1782039480,74.8085,74.8495,74.8565,74.7525,0
turbo,AIG-OTC,1782039540,74.8515,74.7265,74.8655,74.7165,0
turbo,AIG-OTC,1782039600,74.7305,74.7665,74.8315,74.7305,0
turbo,AIG-OTC,1782039660,74.7635,74.7265,74.7725,74.6775,0
turbo,AIG-OTC,1782039720,74.7315,74.7085,74.7995,74.6915,0
turbo,AIG-OTC,1782039780,74.7065,74.9075,74.9075,74.6835,0
turbo,AIG-OTC,1782039840,74.9035,74.9655,75.0455,74.8975,0
turbo,AIG-OTC,1782039900,74.9665,74.8715,75.0395,74.8635,0
turbo,AIG-OTC,1782039960,74.8815,74.8085,74.9395,74.8005,0
turbo,AIG-OTC,1782040020,74.8045,74.7005,74.8255,74.6885,0
turbo,AIG-OTC,1782040080,74.6975,74.6965,74.7195,74.6495,0
turbo,AIG-OTC,1782040140,74.6955,74.7425,74.7735,74.6555,0
turbo,AIG-OTC,1782040200,74.7395,74.6235,74.7395,74.6175,0
turbo,AIG-OTC,1782040260,74.6205,74.6195,74.6395,74.5605,0
turbo,AIG-OTC,1782040320,74.6165,74.5695,74.6285,74.5475,0
turbo,AIG-OTC,1782040380,74.5665,74.7175,74.7365,74.5515,0
turbo,AIG-OTC,1782040440,74.7135,74.5505,74.7135,74.5275,0
turbo,AIG-OTC,1782040500,74.5515,74.4065,74.5865,74.3915,0
turbo,AIG-OTC,1782040560,74.4085,74.2985,74.4135,74.2645,0
turbo,AIG-OTC,1782040620,74.3035,74.1865,74.3415,74.1855,0
turbo,AIG-OTC,1782040680,74.1825,74.1345,74.2045,74.1055,0
turbo,AIG-OTC,1782040740,74.1325,74.2245,74.2395,74.1275,0
turbo,AIG-OTC,1782040800,74.2215,74.1485,74.2275,74.0995,0
turbo,AIG-OTC,1782040860,74.1475,74.1245,74.1945,74.1235,0
turbo,AIG-OTC,1782040920,74.1205,74.0315,74.1205,74.0135,0
turbo,AIG-OTC,1782040980,74.0355,73.9835,74.0445,73.9665,0
turbo,AIG-OTC,1782041040,73.9735,73.9805,74.0125,73.9455,0
turbo,AIG-OTC,1782041100,73.9835,74.0415,74.0415,73.9705,0
turbo,AIG-OTC,1782041160,74.0515,74.1725,74.2075,74.0515,0
turbo,AIG-OTC,1782041220,74.1695,74.2185,74.2505,74.1275,0
turbo,AIG-OTC,1782041280,74.2165,74.1425,74.2755,74.1315,0
turbo,AIG-OTC,1782041340,74.1485,73.9405,74.1615,73.9385,0
turbo,AIG-OTC,1782041400,73.9385,73.9305,73.9575,73.8445,0
turbo,AIG-OTC,1782041460,73.9315,74.0535,74.0785,73.9235,0
turbo,AIG-OTC,1782041520,74.0515,74.1345,74.1575,74.0305,0
turbo,AIG-OTC,1782041580,74.1775,74.0595,74.1855,74.0405,0
turbo,AIG-OTC,1782041640,74.0645,74.1645,74.1985,74.0345,0
turbo,AIG-OTC,1782041700,74.1605,74.1335,74.1685,74.1085,0
turbo,AIG-OTC,1782041760,74.1295,74.1795,74.2155,74.1155,0
turbo,AIG-OTC,1782041820,74.1935,74.2745,74.2865,74.1735,0
turbo,AIG-OTC,1782041880,74.2805,74.3715,74.4545,74.2805,0
turbo,AIG-OTC,1782041940,74.3685,74.3065,74.3715,74.2975,0
turbo,AIG-OTC,1782042000,74.3045,74.1665,74.3275,74.0855,0
turbo,AIG-OTC,1782042060,74.1635,74.0985,74.1645,74.0305,0
turbo,AIG-OTC,1782042120,74.0965,74.1645,74.1715,74.0925,0
turbo,AIG-OTC,1782042180,74.1655,74.0525,74.1685,74.0285,0
turbo,AIG-OTC,1782042240,74.0535,74.0345,74.0845,74.0305,0
turbo,AIG-OTC,1782042300,74.0315,74.0355,74.0815,74.0015,0
turbo,AIG-OTC,1782042360,74.0335,74.0355,74.0735,73.9915,0
turbo,AIG-OTC,1782042420,74.0375,73.9975,74.0435,73.9385,0
turbo,AIG-OTC,1782042480,73.9995,74.0575,74.0935,73.9725,0
turbo,AIG-OTC,1782042540,74.0565,74.0745,74.0865,74.0155,0
turbo,AIG-OTC,1782042600,74.0765,74.0865,74.1295,74.0395,0
turbo,AIG-OTC,1782042660,74.0905,74.0545,74.1095,73.9775,0
turbo,AIG-OTC,1782042720,74.0615,73.9855,74.0735,73.9855,0
turbo,AIG-OTC,1782042780,73.9835,73.9845,74.0475,73.9725,0
turbo,AIG-OTC,1782042840,73.9895,74.1105,74.1155,73.9855,0
turbo,AIG-OTC,1782042900,74.1085,74.1845,74.2225,74.0785,0
turbo,AIG-OTC,1782042960,74.1815,74.2655,74.2875,74.1735,0
turbo,AIG-OTC,1782043020,74.2625,74.3795,74.4155,74.2425,0
turbo,AIG-OTC,1782043080,74.3745,74.5185,74.5355,74.3295,0
turbo,AIG-OTC,1782043140,74.5225,74.5955,74.5985,74.5165,0
turbo,AIG-OTC,1782043200,74.5915,74.5985,74.6595,74.5865,0
turbo,AIG-OTC,1782043260,74.5945,74.6345,74.6625,74.5855,0
turbo,AIG-OTC,1782043320,74.6335,74.6775,74.7055,74.6195,0
turbo,AIG-OTC,1782043380,74.6815,74.8545,74.8835,74.6645,0
turbo,AIG-OTC,1782043440,74.8525,74.7995,74.8695,74.7495,0
turbo,AIG-OTC,1782043500,74.7965,74.8655,74.8655,74.7065,0
turbo,AIG-OTC,1782043560,74.8625,74.8195,74.8735,74.7865,0
