tipo,activo,from,open,close,max,min,volume
turbo,AIRLINES-OTC,1782036300,3594.5555,3576.6565,3595.2815,3575.6775,0
turbo,AIRLINES-OTC,1782036360,3576.2035,3569.6985,3581.6865,3569.6105,0
turbo,AIRLINES-OTC,1782036420,3570.4025,3584.2525,3585.6635,3570.0205,0
turbo,AIRLINES-OTC,1782036480,3584.2535,3584.1995,3585.6185,3577.5365,0
turbo,AIRLINES-OTC,1782036540,3583.8655,3584.0735,3587.6265,3581.2615,0
turbo,AIRLINES-OTC,1782036600,3584.0785,3585.6285,3589.3595,3581.0695,0
turbo,AIRLINES-OTC,1782036660,3585.6335,3586.0785,3588.5935,3580.3925,0
turbo,AIRLINES-OTC,1782036720,3586.1095,3569.3225,3586.1095,3569.1685,0
turbo,AIRLINES-OTC,1782036780,3569.2085,3584.9795,3587.9655,3569.2085,0
turbo,AIRLINES-OTC,1782036840,3584.9745,3588.7285,3593.5145,3581.0155,0
turbo,AIRLINES-OTC,1782036900,3588.8065,3590.9555,3596.3515,3587.5945,0
turbo,AIRLINES-OTC,1782036960,3590.9505,3589.2945,3595.2995,3589.2945,0
turbo,AIRLINES-OTC,1782037020,3589.2125,3584.1975,3593.4485,3582.7885,0
turbo,AIRLINES-OTC,1782037080,3584.2785,3592.6045,3597.2765,3583.6675,0
turbo,AIRLINES-OTC,1782037140,3593.2505,3597.5885,3599.7895,3592.1785,0
turbo,AIRLINES-OTC,1782037200,3597.6605,3586.9895,3600.2715,3586.6665,0
turbo,AIRLINES-OTC,1782037260,3587.3655,3587.1985,3592.0825,3584.6955,0
turbo,AIRLINES-OTC,1782037320,3588.0175,3585.0565,3595.1745,3584.9735,0
turbo,AIRLINES-OTC,1782037380,3585.0615,3584.9865,3591.2185,3580.9405,0
turbo,AIRLINES-OTC,1782037440,3584.9085,3580.4505,3588.9375,3576.7165,0
turbo,AIRLINES-OTC,1782037500,3580.7105,3579.3135,3582.8885,3574.0845,0
turbo,AIRLINES-OTC,1782037560,3579.3105,3589.0965,3589.8085,3577.9075,0
turbo,AIRLINES-OTC,1782037620,3589.2935,3588.7635,3589.7865,3581.0825,0
turbo,AIRLINES-OTC,1782037680,3588.7575,3590.0305,3592.8785,3584.4125,0
turbo,AIRLINES-OTC,1782037740,3589.9475,3612.6655,3615.5255,3589.9475,0
turbo,AIRLINES-OTC,1782037800,3612.3335,3612.0145,3619.4765,3611.3295,0
turbo,AIRLINES-OTC,1782037860,3611.9465,3609.6735,3614.3995,3605.2085,0
turbo,AIRLINES-OTC,1782037920,3609.5205,3620.4595,3621.3415,3609.4185,0
turbo,AIRLINES-OTC,1782037980,3620.4535,3618.1845,3624.2535,3617.3835,0
turbo,AIRLINES-OTC,1782038040,3618.1835,3627.6755,3629.0505,3616.7085,0
turbo,AIRLINES-OTC,1782038100,3627.4175,3614.4435,3627.5685,3613.9875,0
turbo,AIRLINES-OTC,1782038160,3614.1575,3622.9225,3622.9225,3607.0545,0
turbo,AIRLINES-OTC,1782038220,3622.8465,3628.9075,3631.2595,3618.7125,0
turbo,AIRLINES-OTC,1782038280,3628.9095,3637.7815,3638.4475,3625.0775,0
turbo,AIRLINES-OTC,1782038340,3637.7845,3632.6835,3638.8245,3631.2245,0
turbo,AIRLINES-OTC,1782038400,3632.5955,3631.9495,3638.1045,3628.6745,0
turbo,AIRLINES-OTC,1782038460,3631.4055,3617.0215,3636.6995,3616.6045,0
turbo,AIRLINES-OTC,1782038520,3616.9405,3627.5895,3628.8185,3616.3285,0
turbo,AIRLINES-OTC,1782038580,3627.4825,3628.8705,3636.3985,3626.3195,0
turbo,AIRLINES-OTC,1782038640,3628.6865,3637.2035,3638.2375,3621.0765,0
turbo,AIRLINES-OTC,1782038700,3637.1295,3623.5275,3641.4165,3622.7145,0
turbo,AIRLINES-OTC,1782038760,3622.1275,3625.5845,3629.2895,3619.1085,0
turbo,AIRLINES-OTC,1782038820,3625.5985,3645.5195,3646.9525,3624.4645,0
turbo,AIRLINES-OTC,1782038880,3645.5135,3652.3475,3655.2445,3641.4125,0
turbo,AIRLINES-OTC,1782038940,3652.3465,3659.6605,3662.8885,3650.6765,0
turbo,AIRLINES-OTC,1782039000,3659.6655,3657.0545,3662.0775,3656.3285,0
turbo,AIRLINES-OTC,1782039060,3657.2475,3650.7215,3657.3855,3650.0785,0
turbo,AIRLINES-OTC,1782039120,3650.7235,3643.3815,3651.8685,3643.3805,0
turbo,AIRLINES-OTC,1782039180,3643.2975,3632.6785,3645.1845,3630.6215,0
turbo,AIRLINES-OTC,1782039240,3632.6715,3633.4355,3638.3795,3626.3655,0
turbo,AIRLINES-OTC,1782039300,3633.4325,3639.9675,3641.0665,3629.8045,0
turbo,AIRLINES-OTC,1782039360,3639.9635,3645.6235,3649.2045,3636.0975,0
turbo,AIRLINES-OTC,1782039420,3645.6195,3630.7465,3645.6195,3628.9305,0
turbo,AIRLINES-OTC,1782039480,3630.7475,3643.3335,3643.6855,3629.4305,0
turbo,AIRLINES-OTC,1782039540,3643.3305,3652.4925,3654.5195,3642.8475,0
turbo,AIRLINES-OTC,1782039600,3654.7375,3656.8335,3661.7885,3653.4765,0
turbo,AIRLINES-OTC,1782039660,3655.9685,3665.4315,3666.8095,3652.8105,0
turbo,AIRLINES-OTC,1782039720,3665.4285,3664.5245,3670.6165,3660.2365,0
turbo,AIRLINES-OTC,1782039780,3664.4455,3664.1495,3668.8665,3659.9305,0
turbo,AIRLINES-OTC,1782039840,3664.3055,3659.1475,3664.3055,3654.0805,0
turbo,AIRLINES-OTC,1782039900,3660.0485,3658.2105,3662.9815,3654.4875,0
turbo,AIRLINES-OTC,1782039960,3657.8335,3662.4965,3667.6505,3654.5205,0
turbo,AIRLINES-OTC,1782040020,3661.4195,3660.3025,3663.7805,3656.5425,0
turbo,AIRLINES-OTC,1782040080,3661.1905,3663.9825,3665.4285,3657.7065,0
turbo,AIRLINES-OTC,1782040140,3664.6705,3666.0515,3670.3555,3663.4485,0
turbo,AIRLINES-OTC,1782040200,3666.4555,3665.6385,3672.0925,3660.7625,0
turbo,AIRLINES-OTC,1782040260,3665.8675,3659.5945,3668.3645,3655.3605,0
turbo,AIRLINES-OTC,1782040320,3659.5925,3641.5085,3660.2845,3641.4345,0
turbo,AIRLINES-OTC,1782040380,3641.5065,3648.0085,3648.0125,3640.3995,0
turbo,AIRLINES-OTC,1782040440,3648.0075,3640.1275,3654.4015,3639.8675,0
turbo,AIRLINES-OTC,1782040500,3640.0545,3639.7815,3647.3115,3638.3765,0
