tipo,activo,from,open,close,max,min,volume
turbo,ALIBABA-OTC,1782036600,103.3795,102.5705,103.5255,102.2065,0
turbo,ALIBABA-OTC,1782036660,102.5185,102.5315,103.2385,102.3415,0
turbo,ALIBABA-OTC,1782036720,102.4755,101.7755,102.7945,101.6765,0
turbo,ALIBABA-OTC,1782036780,101.8235,101.9475,102.6095,101.5715,0
turbo,ALIBABA-OTC,1782036840,101.8895,102.9885,103.3965,101.8895,0
turbo,ALIBABA-OTC,1782036900,103.0385,101.5825,103.4795,101.4405,0
turbo,ALIBABA-OTC,1782036960,101.5345,100.8995,101.9715,100.8035,0
turbo,ALIBABA-OTC,1782037020,100.9515,99.7435,101.3315,99.5285,0
turbo,ALIBABA-OTC,1782037080,99.7935,100.6465,101.0025,99.7805,0
turbo,ALIBABA-OTC,1782037140,100.7015,101.5665,101.7105,100.3145,0
turbo,ALIBABA-OTC,1782037200,101.6115,100.6845,101.7665,100.6845,0
turbo,ALIBABA-OTC,1782037260,100.8435,101.1145,101.7125,100.7075,0
turbo,ALIBABA-OTC,1782037320,101.1585,100.2695,101.5335,99.8665,0
turbo,ALIBABA-OTC,1782037380,100.3155,99.9565,100.4845,99.2915,0
turbo,ALIBABA-OTC,1782037440,100.0105,101.3615,101.5015,99.9585,0
turbo,ALIBABA-OTC,1782037500,101.3065,101.4405,102.0955,101.2115,0
turbo,ALIBABA-OTC,1782037560,101.4885,101.3645,101.9075,100.7465,0
turbo,ALIBABA-OTC,1782037620,101.3205,100.5475,101.4105,100.2455,0
turbo,ALIBABA-OTC,1782037680,100.5955,100.8465,101.4545,100.3775,0
turbo,ALIBABA-OTC,1782037740,100.8925,101.8175,102.0355,100.8385,0
turbo,ALIBABA-OTC,1782037800,101.7685,102.7075,102.8275,101.4485,0
turbo,ALIBABA-OTC,1782037860,102.7625,103.1025,103.1995,102.5015,0
turbo,ALIBABA-OTC,1782037920,103.1475,104.4275,104.4845,102.7215,0
turbo,ALIBABA-OTC,1782037980,104.4925,104.2745,104.7235,103.9555,0
turbo,ALIBABA-OTC,1782038040,104.2215,103.3245,104.3395,102.9245,0
turbo,ALIBABA-OTC,1782038100,103.3815,104.3945,104.4945,103.3815,0
turbo,ALIBABA-OTC,1782038160,104.4455,104.1515,105.1005,104.1095,0
turbo,ALIBABA-OTC,1782038220,104.2415,104.2205,104.5675,103.5205,0
turbo,ALIBABA-OTC,1782038280,104.1755,103.4805,104.2785,103.2725,0
turbo,ALIBABA-OTC,1782038340,103.5425,104.3475,104.8225,103.3375,0
turbo,ALIBABA-OTC,1782038400,104.3985,104.2715,104.8175,103.8355,0
turbo,ALIBABA-OTC,1782038460,104.2265,105.3335,105.4305,103.3255,0
turbo,ALIBABA-OTC,1782038520,105.3845,104.0425,105.6045,104.0295,0
turbo,ALIBABA-OTC,1782038580,104.0895,103.7315,104.9355,103.7315,0
turbo,ALIBABA-OTC,1782038640,103.6795,103.6745,103.8945,103.1245,0
turbo,ALIBABA-OTC,1782038700,103.6215,103.9275,104.5265,103.6045,0
turbo,ALIBABA-OTC,1782038760,103.8725,102.3405,104.0035,102.0315,0
turbo,ALIBABA-OTC,1782038820,102.3945,103.1125,103.3835,102.0475,0
turbo,ALIBABA-OTC,1782038880,103.0675,103.3485,103.5755,102.6105,0
turbo,ALIBABA-OTC,1782038940,103.3055,103.0505,103.5275,102.5145,0
turbo,ALIBABA-OTC,1782039000,103.1035,104.1055,104.3415,103.0075,0
turbo,ALIBABA-OTC,1782039060,104.0505,104.0665,104.3315,103.5985,0
turbo,ALIBABA-OTC,1782039120,104.1115,103.5015,104.1675,103.1525,0
turbo,ALIBABA-OTC,1782039180,103.5575,102.6985,103.8405,102.5455,0
turbo,ALIBABA-OTC,1782039240,102.7445,103.0305,103.1545,102.3505,0
turbo,ALIBABA-OTC,1782039300,103.0805,103.5015,103.7115,102.4055,0
turbo,ALIBABA-OTC,1782039360,103.5495,103.5185,103.8375,102.9515,0
turbo,ALIBABA-OTC,1782039420,103.4675,104.5045,104.6585,103.4165,0
