tipo,activo,from,open,close,max,min,volume
turbo,AMAZON-OTC,1782036240,249.418175,249.267595,249.592475,249.248865,0
turbo,AMAZON-OTC,1782036300,249.263935,249.249285,249.369405,249.206155,0
turbo,AMAZON-OTC,1782036360,249.251465,249.591035,249.591035,249.221525,0
turbo,AMAZON-OTC,1782036420,249.606325,249.492415,249.648815,249.487655,0
turbo,AMAZON-OTC,1782036480,249.552125,249.745565,249.745565,249.468685,0
turbo,AMAZON-OTC,1782036540,249.755785,249.699785,249.823485,249.559355,0
turbo,AMAZON-OTC,1782036600,249.704965,249.645675,249.794775,249.581315,0
turbo,AMAZON-OTC,1782036660,249.649635,249.780775,249.791815,249.570335,0
turbo,AMAZON-OTC,1782036720,249.772715,249.685155,249.830795,249.608965,0
turbo,AMAZON-OTC,1782036780,249.690115,249.759825,249.916875,249.665565,0
turbo,AMAZON-OTC,1782036840,249.745345,249.551225,249.771605,249.515835,0
turbo,AMAZON-OTC,1782036900,249.534405,249.315955,249.534405,249.302035,0
turbo,AMAZON-OTC,1782036960,249.328925,249.385035,249.405475,249.177045,0
turbo,AMAZON-OTC,1782037020,249.365035,249.232555,249.383305,249.196005,0
turbo,AMAZON-OTC,1782037080,249.228595,249.240495,249.426305,249.198635,0
turbo,AMAZON-OTC,1782037140,249.239915,249.101565,249.289865,249.063695,0
turbo,AMAZON-OTC,1782037200,249.106305,249.123065,249.214295,248.972855,0
turbo,AMAZON-OTC,1782037260,249.119965,249.128095,249.206145,248.909345,0
turbo,AMAZON-OTC,1782037320,249.130475,248.889195,249.153115,248.889195,0
turbo,AMAZON-OTC,1782037380,248.893195,248.901095,248.943875,248.754035,0
turbo,AMAZON-OTC,1782037440,248.903355,248.914855,249.015105,248.820245,0
turbo,AMAZON-OTC,1782037500,248.917315,248.623575,248.918075,248.430435,0
turbo,AMAZON-OTC,1782037560,248.642455,248.755545,248.785515,248.620515,0
turbo,AMAZON-OTC,1782037620,248.750865,248.920735,248.930845,248.657775,0
turbo,AMAZON-OTC,1782037680,248.926115,248.879395,249.022145,248.828465,0
turbo,AMAZON-OTC,1782037740,248.879735,248.596095,248.879735,248.580815,0
turbo,AMAZON-OTC,1782037800,248.597075,248.467895,248.597075,248.182705,0
turbo,AMAZON-OTC,1782037860,248.490745,248.325785,248.632685,248.293625,0
turbo,AMAZON-OTC,1782037920,248.342545,248.613485,248.623425,248.310375,0
turbo,AMAZON-OTC,1782037980,248.611065,248.743355,248.769245,248.506905,0
turbo,AMAZON-OTC,1782038040,248.750145,248.580365,248.850395,248.544055,0
turbo,AMAZON-OTC,1782038100,248.579085,248.859375,248.951635,248.554815,0
turbo,AMAZON-OTC,1782038160,248.861025,249.101145,249.119855,248.842935,0
turbo,AMAZON-OTC,1782038220,249.137055,249.098655,249.250205,248.993125,0
turbo,AMAZON-OTC,1782038280,249.103275,249.113075,249.177665,249.027355,0
turbo,AMAZON-OTC,1782038340,249.099075,249.004215,249.137505,248.938205,0
turbo,AMAZON-OTC,1782038400,248.999465,248.730785,249.027125,248.541135,0
turbo,AMAZON-OTC,1782038460,248.730465,248.546435,248.815995,248.523125,0
turbo,AMAZON-OTC,1782038520,248.547725,248.400595,248.621415,248.398455,0
turbo,AMAZON-OTC,1782038580,248.401605,248.256015,248.419435,248.256015,0
turbo,AMAZON-OTC,1782038640,248.248455,248.460695,248.529445,248.195475,0
turbo,AMAZON-OTC,1782038700,248.458645,248.183235,248.480775,248.183005,0
turbo,AMAZON-OTC,1782038760,248.178305,248.155545,248.227445,247.980635,0
turbo,AMAZON-OTC,1782038820,248.155155,248.096425,248.351115,248.092065,0
turbo,AMAZON-OTC,1782038880,248.114985,248.111675,248.178225,248.033865,0
turbo,AMAZON-OTC,1782038940,248.108975,247.712445,248.108975,247.698655,0
turbo,AMAZON-OTC,1782039000,247.700165,247.847135,247.924565,247.640545,0
turbo,AMAZON-OTC,1782039060,247.849505,247.775645,247.849505,247.562295,0
turbo,AMAZON-OTC,1782039120,247.789335,247.713895,247.842365,247.560875,0
turbo,AMAZON-OTC,1782039180,247.710725,247.869395,247.940295,247.594655,0
turbo,AMAZON-OTC,1782039240,247.858705,247.826315,247.968685,247.742965,0
turbo,AMAZON-OTC,1782039300,247.826655,247.697225,247.889115,247.549845,0
turbo,AMAZON-OTC,1782039360,247.683295,247.605435,247.686445,247.307115,0
turbo,AMAZON-OTC,1782039420,247.600775,247.439155,247.614245,247.340565,0
turbo,AMAZON-OTC,1782039480,247.443285,247.532475,247.546675,247.384965,0
turbo,AMAZON-OTC,1782039540,247.531405,247.698765,247.765065,247.502825,0
turbo,AMAZON-OTC,1782039600,247.703515,247.707585,247.791155,247.598335,0
turbo,AMAZON-OTC,1782039660,247.716985,247.666465,247.741455,247.500775,0
turbo,AMAZON-OTC,1782039720,247.683155,247.803645,247.962975,247.666435,0
turbo,AMAZON-OTC,1782039780,247.822755,247.946375,248.021825,247.662015,0
turbo,AMAZON-OTC,1782039840,247.924325,247.646455,247.924325,247.547655,0
turbo,AMAZON-OTC,1782039900,247.646205,247.530315,247.720395,247.481475,0
turbo,AMAZON-OTC,1782039960,247.503105,247.421055,247.517205,247.214725,0
turbo,AMAZON-OTC,1782040020,247.420745,247.519865,247.533725,247.163025,0
turbo,AMAZON-OTC,1782040080,247.515355,247.617745,247.708075,247.458435,0
turbo,AMAZON-OTC,1782040140,247.600315,247.594555,247.646005,247.471385,0
turbo,AMAZON-OTC,1782040200,247.597725,247.341425,247.740565,247.327305,0
turbo,AMAZON-OTC,1782040260,247.357235,247.242995,247.357235,247.093035,0
turbo,AMAZON-OTC,1782040320,247.244285,247.264965,247.404285,247.205055,0
turbo,AMAZON-OTC,1782040380,247.264625,247.012545,247.326525,247.004955,0
turbo,AMAZON-OTC,1782040440,247.030635,247.139565,247.181805,246.993265,0
turbo,AMAZON-OTC,1782040500,247.140345,247.297265,247.384725,247.062735,0
turbo,AMAZON-OTC,1782040560,247.324335,247.397445,247.484375,247.287825,0
turbo,AMAZON-OTC,1782040620,247.357065,247.735455,247.744525,247.327765,0
turbo,AMAZON-OTC,1782040680,247.713935,247.911985,248.171055,247.713935,0
turbo,AMAZON-OTC,1782040740,247.915165,247.976065,248.060055,247.877165,0
turbo,AMAZON-OTC,1782040800,247.959375,248.284235,248.332835,247.953465,0
turbo,AMAZON-OTC,1782040860,248.280095,248.215485,248.332405,248.122265,0
turbo,AMAZON-OTC,1782040920,248.212795,248.073365,248.212795,247.983535,0
turbo,AMAZON-OTC,1782040980,248.073755,247.912325,248.116845,247.825205,0
turbo,AMAZON-OTC,1782041040,247.844615,248.065305,248.204625,247.807815,0
turbo,AMAZON-OTC,1782041100,248.054785,248.137365,248.141255,247.946145,0
turbo,AMAZON-OTC,1782041160,248.140935,247.937375,248.159845,247.863365,0
turbo,AMAZON-OTC,1782041220,247.941895,247.548985,247.986565,247.548985,0
turbo,AMAZON-OTC,1782041280,247.549825,247.339755,247.552835,247.334235,0
turbo,AMAZON-OTC,1782041340,247.343605,247.530035,247.668355,247.343285,0
turbo,AMAZON-OTC,1782041400,247.528775,247.559375,247.737105,247.524595,0
turbo,AMAZON-OTC,1782041460,247.562345,247.637785,247.713685,247.482215,0
turbo,AMAZON-OTC,1782041520,247.635735,247.533815,247.722595,247.416015,0
turbo,AMAZON-OTC,1782041580,247.549735,247.116695,247.583005,247.069775,0
turbo,AMAZON-OTC,1782041640,247.127255,247.679065,247.679065,247.111805,0
turbo,AMAZON-OTC,1782041700,247.676855,247.946775,247.979795,247.627705,0
turbo,AMAZON-OTC,1782041760,247.947125,248.015835,248.054935,247.756405,0
turbo,AMAZON-OTC,1782041820,248.031315,248.379445,248.441495,248.024735,0
turbo,AMAZON-OTC,1782041880,248.376655,248.286075,248.380435,248.193615,0
turbo,AMAZON-OTC,1782041940,248.281645,248.322665,248.375675,248.168225,0
turbo,AMAZON-OTC,1782042000,248.326915,248.135645,248.327405,247.968015,0
turbo,AMAZON-OTC,1782042060,248.134535,248.307935,248.444415,248.022255,0
turbo,AMAZON-OTC,1782042120,248.312615,247.956725,248.375095,247.798495,0
turbo,AMAZON-OTC,1782042180,247.961935,247.994955,248.138595,247.936445,0
turbo,AMAZON-OTC,1782042240,248.001815,247.596655,248.049805,247.484945,0
turbo,AMAZON-OTC,1782042300,247.592165,247.348115,247.673135,247.348115,0
turbo,AMAZON-OTC,1782042360,247.334565,247.435495,247.519135,247.241205,0
turbo,AMAZON-OTC,1782042420,247.431845,247.304355,247.469555,247.224685,0
turbo,AMAZON-OTC,1782042480,247.299625,247.582645,247.582645,247.265315,0
turbo,AMAZON-OTC,1782042540,247.614375,247.985635,247.987475,247.614375,0
turbo,AMAZON-OTC,1782042600,247.984755,248.222085,248.259125,247.902265,0
turbo,AMAZON-OTC,1782042660,248.224225,248.257735,248.369175,248.145825,0
turbo,AMAZON-OTC,1782042720,248.242835,248.239655,248.393185,248.207395,0
turbo,AMAZON-OTC,1782042780,248.234745,248.240565,248.348615,248.071005,0
turbo,AMAZON-OTC,1782042840,248.240825,248.065935,248.387095,247.999555,0
turbo,AMAZON-OTC,1782042900,248.055985,248.346705,248.356765,247.969975,0
turbo,AMAZON-OTC,1782042960,248.327055,248.320915,248.428745,248.103335,0
turbo,AMAZON-OTC,1782043020,248.313965,248.104665,248.387155,248.104595,0
turbo,AMAZON-OTC,1782043080,248.115415,248.035635,248.206655,247.876185,0
turbo,AMAZON-OTC,1782043140,248.030735,247.731725,248.128855,247.718565,0
turbo,AMAZON-OTC,1782043200,247.731495,247.289545,247.731495,247.284585,0
turbo,AMAZON-OTC,1782043260,247.247055,247.454015,247.502945,247.187195,0
turbo,AMAZON-OTC,1782043320,247.451485,247.497945,247.567995,247.383785,0
turbo,AMAZON-OTC,1782043380,247.493965,247.590915,247.590915,247.347675,0
turbo,AMAZON-OTC,1782043440,247.590515,247.454135,247.640585,247.360955,0
turbo,AMAZON-OTC,1782043500,247.456795,247.122405,247.477805,247.116025,0
turbo,AMAZON-OTC,1782043560,247.124625,247.502525,247.511305,247.124625,0
turbo,AMAZON-OTC,1782043620,247.493095,247.571585,247.615065,247.436835,0
turbo,AMAZON-OTC,1782043680,247.573975,247.773925,247.801155,247.481995,0
turbo,AMAZON-OTC,1782043740,247.779535,248.161175,248.221135,247.774135,0
turbo,AMAZON-OTC,1782043800,248.165535,248.312055,248.312055,248.116605,0
turbo,AMAZON-OTC,1782043860,248.309825,248.504185,248.516795,248.234255,0
turbo,AMAZON-OTC,1782043920,248.493455,248.520915,248.647115,248.451245,0
turbo,AMAZON-OTC,1782043980,248.526155,248.624765,248.639515,248.471325,0
turbo,AMAZON-OTC,1782044040,248.623475,248.696145,248.746675,248.569085,0
turbo,AMAZON-OTC,1782044100,248.683095,248.860865,248.905045,248.683095,0
turbo,AMAZON-OTC,1782044160,248.860365,249.149725,249.167045,248.856365,0
turbo,AMAZON-OTC,1782044220,249.155025,248.956735,249.155025,248.939655,0
turbo,AMAZON-OTC,1782044280,248.957485,249.005645,249.118155,248.710855,0
turbo,AMAZON-OTC,1782044340,249.000365,249.060835,249.178945,248.961775,0
