tipo,activo,from,open,close,max,min,volume
turbo,ARBUSD-OTC,1782036240,0.079205,0.079755,0.079815,0.078095,0
turbo,ARBUSD-OTC,1782036300,0.079745,0.078325,0.079745,0.078125,0
turbo,ARBUSD-OTC,1782036360,0.078385,0.079365,0.079755,0.078385,0
turbo,ARBUSD-OTC,1782036420,0.079505,0.078575,0.079595,0.078565,0
turbo,ARBUSD-OTC,1782036480,0.078605,0.078735,0.079135,0.077865,0
turbo,ARBUSD-OTC,1782036540,0.078775,0.078715,0.079215,0.078685,0
turbo,ARBUSD-OTC,1782036600,0.078695,0.078875,0.079185,0.078095,0
turbo,ARBUSD-OTC,1782036660,0.078865,0.078645,0.078915,0.078035,0
turbo,ARBUSD-OTC,1782036720,0.078555,0.079275,0.079305,0.078035,0
turbo,ARBUSD-OTC,1782036780,0.079245,0.079525,0.079785,0.078875,0
turbo,ARBUSD-OTC,1782036840,0.079575,0.079045,0.079625,0.078735,0
turbo,ARBUSD-OTC,1782036900,0.078985,0.078775,0.079025,0.078185,0
turbo,ARBUSD-OTC,1782036960,0.078785,0.079185,0.079525,0.078775,0
turbo,ARBUSD-OTC,1782037020,0.079195,0.077975,0.079445,0.077915,0
turbo,ARBUSD-OTC,1782037080,0.077995,0.077725,0.078045,0.077285,0
turbo,ARBUSD-OTC,1782037140,0.077675,0.077195,0.077875,0.076875,0
turbo,ARBUSD-OTC,1782037200,0.077155,0.077415,0.077465,0.076585,0
turbo,ARBUSD-OTC,1782037260,0.077405,0.077715,0.077805,0.077085,0
turbo,ARBUSD-OTC,1782037320,0.077775,0.077335,0.077965,0.077145,0
turbo,ARBUSD-OTC,1782037380,0.077325,0.077465,0.077885,0.077095,0
turbo,ARBUSD-OTC,1782037440,0.077495,0.076845,0.077675,0.076765,0
turbo,ARBUSD-OTC,1782037500,0.076915,0.076425,0.077385,0.076175,0
turbo,ARBUSD-OTC,1782037560,0.076435,0.075935,0.076695,0.075655,0
turbo,ARBUSD-OTC,1782037620,0.075895,0.076175,0.076335,0.075375,0
turbo,ARBUSD-OTC,1782037680,0.076235,0.075855,0.076235,0.075645,0
turbo,ARBUSD-OTC,1782037740,0.075805,0.074215,0.076095,0.074065,0
turbo,ARBUSD-OTC,1782037800,0.074225,0.075475,0.075535,0.073975,0
turbo,ARBUSD-OTC,1782037860,0.075335,0.074895,0.075955,0.074895,0
turbo,ARBUSD-OTC,1782037920,0.074945,0.075045,0.075225,0.074615,0
turbo,ARBUSD-OTC,1782037980,0.075075,0.075165,0.075595,0.074925,0
turbo,ARBUSD-OTC,1782038040,0.075175,0.075625,0.075975,0.074845,0
turbo,ARBUSD-OTC,1782038100,0.075665,0.075925,0.076195,0.075365,0
turbo,ARBUSD-OTC,1782038160,0.075975,0.077075,0.077285,0.075745,0
turbo,ARBUSD-OTC,1782038220,0.077115,0.077595,0.078265,0.077095,0
turbo,ARBUSD-OTC,1782038280,0.077625,0.076765,0.077825,0.076645,0
turbo,ARBUSD-OTC,1782038340,0.076785,0.076715,0.077195,0.076275,0
turbo,ARBUSD-OTC,1782038400,0.076705,0.078315,0.078415,0.076675,0
turbo,ARBUSD-OTC,1782038460,0.078355,0.077555,0.078695,0.077425,0
turbo,ARBUSD-OTC,1782038520,0.077545,0.077025,0.078465,0.076915,0
turbo,ARBUSD-OTC,1782038580,0.077045,0.077545,0.077655,0.076665,0
turbo,ARBUSD-OTC,1782038640,0.077585,0.076225,0.077605,0.075925,0
