tipo,activo,from,open,close,max,min,volume
turbo,AUDNZD-OTC,1782036300,1.284445,1.286975,1.287195,1.284095,0
turbo,AUDNZD-OTC,1782036360,1.287065,1.286175,1.288445,1.286085,0
turbo,AUDNZD-OTC,1782036420,1.286155,1.287345,1.288015,1.285585,0
turbo,AUDNZD-OTC,1782036480,1.287365,1.288215,1.288805,1.285915,0
turbo,AUDNZD-OTC,1782036540,1.288055,1.288165,1.288315,1.286735,0
turbo,AUDNZD-OTC,1782036600,1.288195,1.287795,1.290315,1.287795,0
turbo,AUDNZD-OTC,1782036660,1.287905,1.288555,1.289565,1.287425,0
turbo,AUDNZD-OTC,1782036720,1.288525,1.287285,1.289155,1.285685,0
turbo,AUDNZD-OTC,1782036780,1.287115,1.285095,1.288755,1.285095,0
turbo,AUDNZD-OTC,1782036840,1.285075,1.288955,1.289095,1.284875,0
turbo,AUDNZD-OTC,1782036900,1.288965,1.292595,1.292855,1.288645,0
turbo,AUDNZD-OTC,1782036960,1.292545,1.294815,1.296135,1.292155,0
turbo,AUDNZD-OTC,1782037020,1.295015,1.295655,1.296485,1.294225,0
turbo,AUDNZD-OTC,1782037080,1.295815,1.296005,1.297785,1.295595,0
turbo,AUDNZD-OTC,1782037140,1.296135,1.295595,1.296355,1.294375,0
turbo,AUDNZD-OTC,1782037200,1.295655,1.297275,1.298585,1.295445,0
turbo,AUDNZD-OTC,1782037260,1.297125,1.297595,1.298015,1.295665,0
turbo,AUDNZD-OTC,1782037320,1.297545,1.296195,1.297665,1.295605,0
turbo,AUDNZD-OTC,1782037380,1.296215,1.291265,1.296675,1.291265,0
turbo,AUDNZD-OTC,1782037440,1.291315,1.294535,1.294535,1.290995,0
turbo,AUDNZD-OTC,1782037500,1.294425,1.295135,1.295145,1.292135,0
turbo,AUDNZD-OTC,1782037560,1.295175,1.297895,1.297895,1.293805,0
turbo,AUDNZD-OTC,1782037620,1.297905,1.296745,1.298095,1.295125,0
turbo,AUDNZD-OTC,1782037680,1.296605,1.295605,1.297505,1.295435,0
turbo,AUDNZD-OTC,1782037740,1.295295,1.293955,1.295765,1.293125,0
turbo,AUDNZD-OTC,1782037800,1.294045,1.296595,1.297995,1.293755,0
turbo,AUDNZD-OTC,1782037860,1.296535,1.293915,1.297085,1.292425,0
turbo,AUDNZD-OTC,1782037920,1.293775,1.293995,1.296455,1.293115,0
turbo,AUDNZD-OTC,1782037980,1.294055,1.295305,1.297135,1.293485,0
turbo,AUDNZD-OTC,1782038040,1.295315,1.290765,1.295345,1.290285,0
turbo,AUDNZD-OTC,1782038100,1.290595,1.292515,1.292575,1.290405,0
turbo,AUDNZD-OTC,1782038160,1.292385,1.294005,1.294175,1.291015,0
turbo,AUDNZD-OTC,1782038220,1.294065,1.292315,1.294125,1.290325,0
turbo,AUDNZD-OTC,1782038280,1.292275,1.292405,1.292555,1.290855,0
turbo,AUDNZD-OTC,1782038340,1.292535,1.291775,1.292535,1.289965,0
turbo,AUDNZD-OTC,1782038400,1.291675,1.292545,1.293335,1.289495,0
turbo,AUDNZD-OTC,1782038460,1.292415,1.289935,1.292855,1.288855,0
turbo,AUDNZD-OTC,1782038520,1.290125,1.286055,1.290425,1.286055,0
turbo,AUDNZD-OTC,1782038580,1.286065,1.286665,1.287475,1.285465,0
turbo,AUDNZD-OTC,1782038640,1.286365,1.289585,1.290305,1.285945,0
turbo,AUDNZD-OTC,1782038700,1.289565,1.287845,1.289735,1.286615,0
turbo,AUDNZD-OTC,1782038760,1.287875,1.287395,1.288445,1.286545,0
turbo,AUDNZD-OTC,1782038820,1.287455,1.292435,1.292435,1.287025,0
turbo,AUDNZD-OTC,1782038880,1.292385,1.289295,1.292385,1.289295,0
turbo,AUDNZD-OTC,1782038940,1.289265,1.289515,1.290435,1.287335,0
turbo,AUDNZD-OTC,1782039000,1.289465,1.291765,1.293405,1.289215,0
turbo,AUDNZD-OTC,1782039060,1.291495,1.289585,1.292935,1.289125,0
turbo,AUDNZD-OTC,1782039120,1.289405,1.287885,1.289645,1.287315,0
turbo,AUDNZD-OTC,1782039180,1.287945,1.285475,1.287945,1.284545,0
turbo,AUDNZD-OTC,1782039240,1.285615,1.285495,1.286675,1.284635,0
turbo,AUDNZD-OTC,1782039300,1.285575,1.284595,1.285885,1.283375,0
turbo,AUDNZD-OTC,1782039360,1.284555,1.285435,1.286785,1.283865,0
turbo,AUDNZD-OTC,1782039420,1.285285,1.286325,1.286655,1.284565,0
turbo,AUDNZD-OTC,1782039480,1.286415,1.286535,1.287535,1.286295,0
turbo,AUDNZD-OTC,1782039540,1.286425,1.286865,1.287675,1.285685,0
turbo,AUDNZD-OTC,1782039600,1.286825,1.284555,1.287555,1.284555,0
turbo,AUDNZD-OTC,1782039660,1.284695,1.283855,1.285605,1.283335,0
turbo,AUDNZD-OTC,1782039720,1.283945,1.281675,1.284605,1.281085,0
turbo,AUDNZD-OTC,1782039780,1.281675,1.283505,1.284605,1.280775,0
turbo,AUDNZD-OTC,1782039840,1.283535,1.278735,1.283745,1.278735,0
turbo,AUDNZD-OTC,1782039900,1.278765,1.278225,1.278925,1.275775,0
turbo,AUDNZD-OTC,1782039960,1.278045,1.280735,1.282245,1.277665,0
turbo,AUDNZD-OTC,1782040020,1.280775,1.279105,1.280855,1.278655,0
turbo,AUDNZD-OTC,1782040080,1.279215,1.278635,1.280605,1.278515,0
turbo,AUDNZD-OTC,1782040140,1.278695,1.279455,1.279455,1.277385,0
turbo,AUDNZD-OTC,1782040200,1.279445,1.279515,1.280935,1.279325,0
turbo,AUDNZD-OTC,1782040260,1.279345,1.279425,1.280385,1.277145,0
turbo,AUDNZD-OTC,1782040320,1.279325,1.281625,1.281625,1.279005,0
turbo,AUDNZD-OTC,1782040380,1.281575,1.277715,1.281715,1.277155,0
turbo,AUDNZD-OTC,1782040440,1.277795,1.279405,1.280995,1.277125,0
turbo,AUDNZD-OTC,1782040500,1.279395,1.279035,1.280145,1.278865,0
turbo,AUDNZD-OTC,1782040560,1.279055,1.279785,1.281405,1.278475,0
turbo,AUDNZD-OTC,1782040620,1.279965,1.282125,1.282395,1.279665,0
turbo,AUDNZD-OTC,1782040680,1.282255,1.282325,1.283025,1.280535,0
turbo,AUDNZD-OTC,1782040740,1.282275,1.281025,1.283625,1.280845,0
turbo,AUDNZD-OTC,1782040800,1.281055,1.279715,1.281955,1.279115,0
turbo,AUDNZD-OTC,1782040860,1.279615,1.278675,1.281155,1.278355,0
turbo,AUDNZD-OTC,1782040920,1.278225,1.277175,1.279055,1.276825,0
turbo,AUDNZD-OTC,1782040980,1.277035,1.277905,1.278055,1.274595,0
turbo,AUDNZD-OTC,1782041040,1.277965,1.276895,1.278385,1.275605,0
turbo,AUDNZD-OTC,1782041100,1.276915,1.276825,1.277665,1.275735,0
turbo,AUDNZD-OTC,1782041160,1.276775,1.276075,1.277445,1.275445,0
turbo,AUDNZD-OTC,1782041220,1.276235,1.274665,1.276605,1.273345,0
turbo,AUDNZD-OTC,1782041280,1.275055,1.276095,1.276225,1.274035,0
turbo,AUDNZD-OTC,1782041340,1.275995,1.275555,1.276425,1.273155,0
turbo,AUDNZD-OTC,1782041400,1.275695,1.274475,1.277345,1.274475,0
turbo,AUDNZD-OTC,1782041460,1.274635,1.274395,1.276075,1.273845,0
turbo,AUDNZD-OTC,1782041520,1.274445,1.273515,1.275155,1.271985,0
turbo,AUDNZD-OTC,1782041580,1.273575,1.274495,1.275275,1.272795,0
turbo,AUDNZD-OTC,1782041640,1.274655,1.277885,1.278735,1.274165,0
turbo,AUDNZD-OTC,1782041700,1.278135,1.276755,1.278205,1.274885,0
turbo,AUDNZD-OTC,1782041760,1.276835,1.278595,1.278725,1.275485,0
turbo,AUDNZD-OTC,1782041820,1.278615,1.278265,1.280455,1.277525,0
turbo,AUDNZD-OTC,1782041880,1.278405,1.277525,1.279965,1.277075,0
turbo,AUDNZD-OTC,1782041940,1.277545,1.280855,1.280935,1.276775,0
turbo,AUDNZD-OTC,1782042000,1.280765,1.276365,1.280765,1.276315,0
turbo,AUDNZD-OTC,1782042060,1.276255,1.273795,1.276265,1.273795,0
turbo,AUDNZD-OTC,1782042120,1.273925,1.275875,1.275875,1.272895,0
turbo,AUDNZD-OTC,1782042180,1.275885,1.276975,1.277985,1.275055,0
turbo,AUDNZD-OTC,1782042240,1.277025,1.275545,1.277025,1.274295,0
turbo,AUDNZD-OTC,1782042300,1.275715,1.275485,1.277015,1.274265,0
turbo,AUDNZD-OTC,1782042360,1.275375,1.276455,1.277625,1.275145,0
turbo,AUDNZD-OTC,1782042420,1.276595,1.275465,1.278295,1.275455,0
turbo,AUDNZD-OTC,1782042480,1.275575,1.275775,1.277735,1.275075,0
turbo,AUDNZD-OTC,1782042540,1.275805,1.274835,1.277245,1.274565,0
turbo,AUDNZD-OTC,1782042600,1.274855,1.271305,1.274855,1.271305,0
turbo,AUDNZD-OTC,1782042660,1.271355,1.274225,1.274225,1.271075,0
turbo,AUDNZD-OTC,1782042720,1.274165,1.275355,1.275715,1.273255,0
turbo,AUDNZD-OTC,1782042780,1.275255,1.280505,1.280545,1.274485,0
turbo,AUDNZD-OTC,1782042840,1.280425,1.279555,1.280675,1.279185,0
turbo,AUDNZD-OTC,1782042900,1.279255,1.280835,1.281145,1.278065,0
turbo,AUDNZD-OTC,1782042960,1.280765,1.280765,1.281015,1.279215,0
