tipo,activo,from,open,close,max,min,volume
turbo,CADJPY-OTC,1782036240,110.9765,110.8755,110.9765,110.8675,0
turbo,CADJPY-OTC,1782036300,110.8765,110.8785,110.8885,110.8315,0
turbo,CADJPY-OTC,1782036360,110.8775,110.9045,110.9105,110.8525,0
turbo,CADJPY-OTC,1782036420,110.8975,110.8935,110.9435,110.8885,0
turbo,CADJPY-OTC,1782036480,110.8915,110.8945,110.9445,110.8915,0
turbo,CADJPY-OTC,1782036540,110.8965,110.9255,110.9355,110.8645,0
turbo,CADJPY-OTC,1782036600,110.9295,110.9995,111.0045,110.9155,0
turbo,CADJPY-OTC,1782036660,110.9945,111.0175,111.0185,110.9555,0
turbo,CADJPY-OTC,1782036720,111.0185,111.1025,111.1195,111.0125,0
turbo,CADJPY-OTC,1782036780,111.0975,111.1255,111.1375,111.0695,0
turbo,CADJPY-OTC,1782036840,111.1225,111.1105,111.1225,111.0625,0
turbo,CADJPY-OTC,1782036900,111.1075,111.0745,111.1085,111.0625,0
turbo,CADJPY-OTC,1782036960,111.0725,111.0295,111.0875,111.0275,0
turbo,CADJPY-OTC,1782037020,111.0255,110.9975,111.0435,110.9615,0
turbo,CADJPY-OTC,1782037080,110.9965,111.0145,111.0445,110.9865,0
turbo,CADJPY-OTC,1782037140,111.0105,110.9205,111.0235,110.9125,0
turbo,CADJPY-OTC,1782037200,110.9185,110.9635,110.9755,110.9085,0
turbo,CADJPY-OTC,1782037260,110.9655,110.9095,110.9705,110.8885,0
turbo,CADJPY-OTC,1782037320,110.9135,110.9265,110.9525,110.9125,0
turbo,CADJPY-OTC,1782037380,110.9295,110.9045,110.9365,110.8885,0
turbo,CADJPY-OTC,1782037440,110.9035,110.9925,111.0215,110.9035,0
turbo,CADJPY-OTC,1782037500,110.9795,110.9445,110.9795,110.9335,0
turbo,CADJPY-OTC,1782037560,110.9465,110.9415,110.9555,110.9045,0
turbo,CADJPY-OTC,1782037620,110.9405,110.9695,110.9825,110.9215,0
turbo,CADJPY-OTC,1782037680,110.9685,110.9215,110.9795,110.9205,0
turbo,CADJPY-OTC,1782037740,110.9205,110.9305,110.9485,110.8865,0
turbo,CADJPY-OTC,1782037800,110.9315,110.8875,110.9315,110.8755,0
turbo,CADJPY-OTC,1782037860,110.8865,110.9565,110.9565,110.8825,0
turbo,CADJPY-OTC,1782037920,110.9555,110.9675,110.9745,110.9085,0
turbo,CADJPY-OTC,1782037980,110.9715,111.0225,111.0315,110.9375,0
turbo,CADJPY-OTC,1782038040,111.0235,111.0315,111.0625,111.0175,0
turbo,CADJPY-OTC,1782038100,111.0345,111.0745,111.0755,110.9985,0
turbo,CADJPY-OTC,1782038160,111.0735,111.2085,111.2175,111.0595,0
turbo,CADJPY-OTC,1782038220,111.2125,111.2815,111.2915,111.2075,0
turbo,CADJPY-OTC,1782038280,111.2805,111.2935,111.3165,111.2685,0
turbo,CADJPY-OTC,1782038340,111.2925,111.2755,111.3115,111.2265,0
turbo,CADJPY-OTC,1782038400,111.2765,111.2465,111.2875,111.2265,0
turbo,CADJPY-OTC,1782038460,111.2495,111.2685,111.2945,111.2305,0
turbo,CADJPY-OTC,1782038520,111.2705,111.1945,111.2855,111.1845,0
turbo,CADJPY-OTC,1782038580,111.1895,111.1475,111.2005,111.1375,0
turbo,CADJPY-OTC,1782038640,111.1485,111.1925,111.2055,111.1465,0
turbo,CADJPY-OTC,1782038700,111.1945,111.1835,111.1945,111.1255,0
turbo,CADJPY-OTC,1782038760,111.1855,111.1705,111.2515,111.1665,0
turbo,CADJPY-OTC,1782038820,111.1715,111.2775,111.2795,111.1705,0
turbo,CADJPY-OTC,1782038880,111.2795,111.2425,111.3175,111.2395,0
turbo,CADJPY-OTC,1782038940,111.2415,111.3285,111.3285,111.2415,0
turbo,CADJPY-OTC,1782039000,111.3295,111.2745,111.3295,111.2655,0
turbo,CADJPY-OTC,1782039060,111.2795,111.2785,111.2855,111.2365,0
turbo,CADJPY-OTC,1782039120,111.2755,111.2635,111.3185,111.2535,0
turbo,CADJPY-OTC,1782039180,111.2675,111.2265,111.2805,111.1835,0
turbo,CADJPY-OTC,1782039240,111.2285,111.2005,111.2715,111.1605,0
turbo,CADJPY-OTC,1782039300,111.1995,111.2575,111.2575,111.1635,0
turbo,CADJPY-OTC,1782039360,111.2545,111.3185,111.3195,111.2185,0
turbo,CADJPY-OTC,1782039420,111.3215,111.3315,111.3505,111.2855,0
turbo,CADJPY-OTC,1782039480,111.3345,111.3845,111.4005,111.3285,0
turbo,CADJPY-OTC,1782039540,111.3885,111.4225,111.4245,111.3395,0
turbo,CADJPY-OTC,1782039600,111.4345,111.4125,111.4385,111.3895,0
turbo,CADJPY-OTC,1782039660,111.4115,111.4525,111.4555,111.4045,0
turbo,CADJPY-OTC,1782039720,111.4515,111.4615,111.4685,111.4185,0
turbo,CADJPY-OTC,1782039780,111.4585,111.5035,111.5035,111.4475,0
turbo,CADJPY-OTC,1782039840,111.4975,111.4945,111.5225,111.4765,0
turbo,CADJPY-OTC,1782039900,111.4975,111.4885,111.4995,111.4435,0
turbo,CADJPY-OTC,1782039960,111.4925,111.4595,111.4945,111.4385,0
turbo,CADJPY-OTC,1782040020,111.4605,111.4965,111.5045,111.4435,0
turbo,CADJPY-OTC,1782040080,111.4955,111.5485,111.5775,111.4865,0
turbo,CADJPY-OTC,1782040140,111.5495,111.5225,111.5525,111.4905,0
turbo,CADJPY-OTC,1782040200,111.5235,111.5105,111.5425,111.4825,0
turbo,CADJPY-OTC,1782040260,111.5135,111.5735,111.5735,111.4965,0
turbo,CADJPY-OTC,1782040320,111.5725,111.7025,111.7065,111.5565,0
turbo,CADJPY-OTC,1782040380,111.7065,111.6885,111.7475,111.6855,0
turbo,CADJPY-OTC,1782040440,111.6915,111.7105,111.7105,111.6675,0
turbo,CADJPY-OTC,1782040500,111.7085,111.7345,111.7475,111.6915,0
turbo,CADJPY-OTC,1782040560,111.7355,111.7455,111.7645,111.7265,0
turbo,CADJPY-OTC,1782040620,111.7555,111.8235,111.8335,111.7345,0
turbo,CADJPY-OTC,1782040680,111.8255,111.8575,111.8835,111.8255,0
turbo,CADJPY-OTC,1782040740,111.8645,111.8825,111.8875,111.8295,0
turbo,CADJPY-OTC,1782040800,111.8835,111.9135,111.9135,111.8535,0
turbo,CADJPY-OTC,1782040860,111.9115,111.9095,111.9425,111.9035,0
turbo,CADJPY-OTC,1782040920,111.9085,111.9235,111.9345,111.8915,0
turbo,CADJPY-OTC,1782040980,111.9165,112.0035,112.0325,111.9045,0
turbo,CADJPY-OTC,1782041040,112.0025,111.9665,112.0155,111.9455,0
turbo,CADJPY-OTC,1782041100,111.9725,112.0005,112.0135,111.9615,0
turbo,CADJPY-OTC,1782041160,112.0035,111.9195,112.0185,111.9135,0
turbo,CADJPY-OTC,1782041220,111.9225,111.9515,111.9695,111.8995,0
turbo,CADJPY-OTC,1782041280,111.9505,111.9885,112.0025,111.9395,0
turbo,CADJPY-OTC,1782041340,111.9895,112.0105,112.0175,111.9775,0
turbo,CADJPY-OTC,1782041400,112.0035,111.9285,112.0095,111.9245,0
turbo,CADJPY-OTC,1782041460,111.9275,111.9415,111.9745,111.8995,0
turbo,CADJPY-OTC,1782041520,111.9435,111.9705,111.9835,111.9155,0
turbo,CADJPY-OTC,1782041580,111.9675,111.9455,111.9885,111.9275,0
turbo,CADJPY-OTC,1782041640,111.9425,111.9225,111.9425,111.8765,0
turbo,CADJPY-OTC,1782041700,111.9245,111.9075,111.9445,111.8845,0
turbo,CADJPY-OTC,1782041760,111.9035,111.8955,111.9095,111.8585,0
turbo,CADJPY-OTC,1782041820,111.8935,111.8415,111.9035,111.8325,0
turbo,CADJPY-OTC,1782041880,111.8305,111.8365,111.8565,111.7805,0
turbo,CADJPY-OTC,1782041940,111.8365,111.7875,111.8435,111.7875,0
turbo,CADJPY-OTC,1782042000,111.7855,111.7585,111.7875,111.7315,0
turbo,CADJPY-OTC,1782042060,111.7565,111.8245,111.8385,111.7565,0
turbo,CADJPY-OTC,1782042120,111.8265,111.7935,111.8385,111.7695,0
turbo,CADJPY-OTC,1782042180,111.7915,111.7625,111.7935,111.7365,0
turbo,CADJPY-OTC,1782042240,111.7635,111.6405,111.7755,111.6395,0
turbo,CADJPY-OTC,1782042300,111.6365,111.5935,111.6395,111.5735,0
turbo,CADJPY-OTC,1782042360,111.5945,111.5415,111.6035,111.5305,0
turbo,CADJPY-OTC,1782042420,111.5385,111.5655,111.5865,111.5075,0
turbo,CADJPY-OTC,1782042480,111.5665,111.5765,111.5825,111.5425,0
turbo,CADJPY-OTC,1782042540,111.5735,111.5785,111.6195,111.5635,0
turbo,CADJPY-OTC,1782042600,111.5765,111.5975,111.6285,111.5685,0
turbo,CADJPY-OTC,1782042660,111.6085,111.5855,111.6155,111.5525,0
turbo,CADJPY-OTC,1782042720,111.5905,111.6395,111.6425,111.5675,0
turbo,CADJPY-OTC,1782042780,111.6415,111.6645,111.6975,111.6415,0
turbo,CADJPY-OTC,1782042840,111.6675,111.6825,111.7085,111.6485,0
turbo,CADJPY-OTC,1782042900,111.6815,111.6375,111.7145,111.6205,0
turbo,CADJPY-OTC,1782042960,111.6385,111.5615,111.6385,111.5495,0
turbo,CADJPY-OTC,1782043020,111.5645,111.6085,111.6095,111.5225,0
turbo,CADJPY-OTC,1782043080,111.6045,111.5775,111.6495,111.5535,0
turbo,CADJPY-OTC,1782043140,111.5695,111.5105,111.5875,111.5105,0
turbo,CADJPY-OTC,1782043200,111.5125,111.4675,111.5125,111.4375,0
turbo,CADJPY-OTC,1782043260,111.4685,111.5415,111.5495,111.4655,0
turbo,CADJPY-OTC,1782043320,111.5435,111.5955,111.6115,111.5275,0
turbo,CADJPY-OTC,1782043380,111.5995,111.6195,111.6465,111.5835,0
turbo,CADJPY-OTC,1782043440,111.6175,111.4505,111.6385,111.4235,0
turbo,CADJPY-OTC,1782043500,111.4515,111.4745,111.4795,111.4125,0
turbo,CADJPY-OTC,1782043560,111.4735,111.4485,111.4905,111.4345,0
turbo,CADJPY-OTC,1782043620,111.4475,111.5415,111.5545,111.4455,0
turbo,CADJPY-OTC,1782043680,111.5385,111.4775,111.5585,111.4695,0
turbo,CADJPY-OTC,1782043740,111.4785,111.3925,111.4815,111.3725,0
turbo,CADJPY-OTC,1782043800,111.3935,111.3715,111.4295,111.3555,0
turbo,CADJPY-OTC,1782043860,111.3725,111.3825,111.3825,111.3425,0
turbo,CADJPY-OTC,1782043920,111.3835,111.4155,111.4375,111.3685,0
turbo,CADJPY-OTC,1782043980,111.4175,111.4835,111.5035,111.4155,0
turbo,CADJPY-OTC,1782044040,111.4855,111.4875,111.5245,111.4735,0
turbo,CADJPY-OTC,1782044100,111.4855,111.5235,111.5385,111.4625,0
turbo,CADJPY-OTC,1782044160,111.5245,111.4755,111.5275,111.4505,0
turbo,CADJPY-OTC,1782044220,111.4785,111.4585,111.4885,111.4415,0
turbo,CADJPY-OTC,1782044280,111.4595,111.4445,111.4595,111.3735,0
turbo,CADJPY-OTC,1782044340,111.4455,111.4205,111.4585,111.4205,0
turbo,CADJPY-OTC,1782044400,111.4215,111.5065,111.5105,111.4155,0
turbo,CADJPY-OTC,1782044460,111.5005,111.3925,111.5105,111.3925,0
turbo,CADJPY-OTC,1782044520,111.3905,111.3505,111.4335,111.3305,0
turbo,CADJPY-OTC,1782044580,111.3525,111.3145,111.3625,111.2995,0
turbo,CADJPY-OTC,1782044640,111.3175,111.2605,111.3175,111.2255,0
turbo,CADJPY-OTC,1782044700,111.2615,111.2825,111.3015,111.2615,0
turbo,CADJPY-OTC,1782044760,111.2875,111.2165,111.3105,111.2165,0
turbo,CADJPY-OTC,1782044820,111.2155,111.2235,111.2475,111.2125,0
turbo,CADJPY-OTC,1782044880,111.2245,111.1715,111.2245,111.1485,0
turbo,CADJPY-OTC,1782044940,111.1725,111.1995,111.2085,111.1575,0
turbo,CADJPY-OTC,1782045000,111.1985,111.2215,111.2295,111.1805,0
turbo,CADJPY-OTC,1782045060,111.2245,111.2305,111.2325,111.1615,0
turbo,CADJPY-OTC,1782045120,111.2295,111.2145,111.2505,111.2075,0
turbo,CADJPY-OTC,1782045180,111.2165,111.1955,111.2225,111.1755,0
turbo,CADJPY-OTC,1782045240,111.1895,111.0745,111.1905,111.0745,0
turbo,CADJPY-OTC,1782045300,111.0725,111.0325,111.0855,111.0285,0
turbo,CADJPY-OTC,1782045360,111.0315,111.0115,111.0425,110.9955,0
turbo,CADJPY-OTC,1782045420,111.0085,111.0075,111.0235,110.9715,0
turbo,CADJPY-OTC,1782045480,111.0045,110.9425,111.0255,110.9375,0
turbo,CADJPY-OTC,1782045540,110.9435,110.8585,110.9435,110.8585,0
turbo,CADJPY-OTC,1782045600,110.8555,110.7665,110.8585,110.7525,0
turbo,CADJPY-OTC,1782045660,110.7705,110.8155,110.8245,110.7535,0
turbo,CADJPY-OTC,1782045720,110.8145,110.8485,110.8505,110.7875,0
turbo,CADJPY-OTC,1782045780,110.8445,110.9225,110.9385,110.8325,0
turbo,CADJPY-OTC,1782045840,110.9215,110.8405,110.9545,110.8355,0
turbo,CADJPY-OTC,1782045900,110.8385,110.8315,110.8485,110.7785,0
turbo,CADJPY-OTC,1782045960,110.8305,110.8215,110.8905,110.8185,0
turbo,CADJPY-OTC,1782046020,110.8255,110.8535,110.8535,110.7945,0
turbo,CADJPY-OTC,1782046080,110.8615,110.9005,110.9005,110.8205,0
turbo,CADJPY-OTC,1782046140,110.9035,110.9835,110.9835,110.8985,0
turbo,CADJPY-OTC,1782046200,110.9845,111.0605,111.0655,110.9845,0
turbo,CADJPY-OTC,1782046260,111.0625,111.0815,111.0985,111.0595,0
turbo,CADJPY-OTC,1782046320,111.0765,111.0725,111.0765,111.0335,0
