tipo,activo,from,open,close,max,min,volume
turbo,CANNABIS-OTC,1782036300,1984.8385,1986.0375,1986.2365,1984.8385,0
turbo,CANNABIS-OTC,1782036360,1985.9925,1978.6045,1985.9925,1978.5945,0
turbo,CANNABIS-OTC,1782036420,1978.6005,1973.1385,1979.8525,1971.0635,0
turbo,CANNABIS-OTC,1782036480,1973.1595,1971.4525,1973.1655,1969.2145,0
turbo,CANNABIS-OTC,1782036540,1971.4475,1965.4105,1973.4785,1965.4045,0
turbo,CANNABIS-OTC,1782036600,1965.4155,1971.5195,1972.4785,1965.3355,0
turbo,CANNABIS-OTC,1782036660,1971.5225,1973.8125,1973.8155,1971.5055,0
turbo,CANNABIS-OTC,1782036720,1973.6945,1969.0765,1973.8175,1969.0725,0
turbo,CANNABIS-OTC,1782036780,1969.0755,1971.1335,1973.3595,1969.0665,0
turbo,CANNABIS-OTC,1782036840,1971.1385,1972.2225,1973.0595,1970.8625,0
turbo,CANNABIS-OTC,1782036900,1972.2235,1973.5785,1973.8985,1969.6445,0
turbo,CANNABIS-OTC,1782036960,1973.5675,1975.4245,1976.8195,1973.5675,0
turbo,CANNABIS-OTC,1782037020,1975.4195,1974.5375,1976.9605,1972.7335,0
turbo,CANNABIS-OTC,1782037080,1974.5435,1974.3045,1974.6305,1971.9855,0
turbo,CANNABIS-OTC,1782037140,1974.3085,1976.5035,1978.4065,1974.2525,0
turbo,CANNABIS-OTC,1782037200,1976.5085,1985.6885,1985.8275,1976.4965,0
turbo,CANNABIS-OTC,1782037260,1985.6865,1977.2265,1985.6885,1977.2245,0
turbo,CANNABIS-OTC,1782037320,1977.2335,1975.4625,1977.6985,1974.3615,0
turbo,CANNABIS-OTC,1782037380,1975.3045,1981.5755,1982.8075,1975.3045,0
turbo,CANNABIS-OTC,1782037440,1981.5795,1983.3105,1983.3105,1978.2865,0
turbo,CANNABIS-OTC,1782037500,1983.3085,1977.7185,1983.3095,1977.7135,0
turbo,CANNABIS-OTC,1782037560,1977.7245,1975.1005,1977.7245,1973.7095,0
turbo,CANNABIS-OTC,1782037620,1975.1045,1970.0365,1975.2085,1969.8775,0
turbo,CANNABIS-OTC,1782037680,1970.0425,1968.4905,1970.1055,1965.5545,0
turbo,CANNABIS-OTC,1782037740,1968.4875,1971.6885,1972.2425,1965.7825,0
turbo,CANNABIS-OTC,1782037800,1971.6915,1976.3755,1976.3805,1969.8245,0
turbo,CANNABIS-OTC,1782037860,1976.2305,1974.9425,1979.9995,1974.9375,0
turbo,CANNABIS-OTC,1782037920,1974.9365,1983.3685,1983.3735,1974.4155,0
turbo,CANNABIS-OTC,1782037980,1983.3655,1983.4025,1984.6665,1981.3885,0
turbo,CANNABIS-OTC,1782038040,1983.3965,1982.3545,1983.4275,1978.9305,0
turbo,CANNABIS-OTC,1782038100,1982.3595,1979.9465,1983.3605,1976.4835,0
turbo,CANNABIS-OTC,1782038160,1979.9415,1978.2545,1982.3815,1978.2435,0
turbo,CANNABIS-OTC,1782038220,1978.2515,1980.7875,1980.7895,1974.5625,0
turbo,CANNABIS-OTC,1782038280,1981.2245,1980.6535,1982.1715,1979.9715,0
turbo,CANNABIS-OTC,1782038340,1980.6505,1984.6075,1989.3905,1980.6195,0
turbo,CANNABIS-OTC,1782038400,1984.6035,1984.3645,1985.2735,1984.3645,0
turbo,CANNABIS-OTC,1782038460,1984.3715,1981.9235,1984.7865,1981.6335,0
turbo,CANNABIS-OTC,1782038520,1981.9285,1978.1555,1982.0135,1977.5675,0
turbo,CANNABIS-OTC,1782038580,1978.1505,1978.5755,1980.2165,1978.1465,0
