tipo,activo,from,open,close,max,min,volume
turbo,CHFNOK-OTC,1782036480,12.023555,12.025235,12.027905,12.023065,0
turbo,CHFNOK-OTC,1782036540,12.025285,12.025615,12.026695,12.021105,0
turbo,CHFNOK-OTC,1782036600,12.025565,12.023005,12.025565,12.018585,0
turbo,CHFNOK-OTC,1782036660,12.022995,12.020585,12.025755,12.019795,0
turbo,CHFNOK-OTC,1782036720,12.020395,12.014475,12.021355,12.014385,0
turbo,CHFNOK-OTC,1782036780,12.014565,12.014835,12.016315,12.013785,0
turbo,CHFNOK-OTC,1782036840,12.014875,12.016115,12.016115,12.010545,0
turbo,CHFNOK-OTC,1782036900,12.015965,12.020465,12.021675,12.014825,0
turbo,CHFNOK-OTC,1782036960,12.020705,12.019985,12.024485,12.018995,0
turbo,CHFNOK-OTC,1782037020,12.019795,12.022895,12.025905,12.019345,0
turbo,CHFNOK-OTC,1782037080,12.023465,12.022495,12.024985,12.019995,0
turbo,CHFNOK-OTC,1782037140,12.022505,12.021415,12.026015,12.018125,0
turbo,CHFNOK-OTC,1782037200,12.020855,12.024825,12.026345,12.020255,0
turbo,CHFNOK-OTC,1782037260,12.025025,12.026185,12.026765,12.021125,0
turbo,CHFNOK-OTC,1782037320,12.026335,12.023545,12.027335,12.022195,0
turbo,CHFNOK-OTC,1782037380,12.023735,12.017575,12.023735,12.015445,0
turbo,CHFNOK-OTC,1782037440,12.017725,12.025705,12.026085,12.015015,0
turbo,CHFNOK-OTC,1782037500,12.025795,12.022185,12.026355,12.020125,0
turbo,CHFNOK-OTC,1782037560,12.022065,12.023355,12.024635,12.019385,0
turbo,CHFNOK-OTC,1782037620,12.023395,12.015675,12.023495,12.014955,0
turbo,CHFNOK-OTC,1782037680,12.015865,12.027845,12.027845,12.014595,0
turbo,CHFNOK-OTC,1782037740,12.027885,12.027325,12.029615,12.025705,0
turbo,CHFNOK-OTC,1782037800,12.027465,12.033925,12.034155,12.025755,0
turbo,CHFNOK-OTC,1782037860,12.033975,12.029155,12.037635,12.029155,0
turbo,CHFNOK-OTC,1782037920,12.029445,12.023705,12.030265,12.023465,0
turbo,CHFNOK-OTC,1782037980,12.023795,12.023945,12.028355,12.022335,0
turbo,CHFNOK-OTC,1782038040,12.024175,12.024795,12.026585,12.022455,0
turbo,CHFNOK-OTC,1782038100,12.024605,12.025165,12.029075,12.023485,0
turbo,CHFNOK-OTC,1782038160,12.025025,12.016565,12.025025,12.015085,0
turbo,CHFNOK-OTC,1782038220,12.016675,12.020445,12.020545,12.012795,0
turbo,CHFNOK-OTC,1782038280,12.020345,12.022495,12.024705,12.018735,0
turbo,CHFNOK-OTC,1782038340,12.022635,12.028715,12.028855,12.021455,0
turbo,CHFNOK-OTC,1782038400,12.028765,12.027935,12.028865,12.024775,0
turbo,CHFNOK-OTC,1782038460,12.028365,12.029855,12.035825,12.026745,0
turbo,CHFNOK-OTC,1782038520,12.030245,12.032265,12.033675,12.029975,0
turbo,CHFNOK-OTC,1782038580,12.032655,12.030725,12.034015,12.029725,0
turbo,CHFNOK-OTC,1782038640,12.030715,12.028355,12.034275,12.027525,0
turbo,CHFNOK-OTC,1782038700,12.028025,12.028685,12.033815,12.025765,0
turbo,CHFNOK-OTC,1782038760,12.028695,12.032745,12.033605,12.022545,0
turbo,CHFNOK-OTC,1782038820,12.032505,12.030495,12.032505,12.028205,0
turbo,CHFNOK-OTC,1782038880,12.030445,12.033565,12.033565,12.026525,0
turbo,CHFNOK-OTC,1782038940,12.033415,12.035755,12.037495,12.032555,0
turbo,CHFNOK-OTC,1782039000,12.035415,12.034735,12.035745,12.032125,0
turbo,CHFNOK-OTC,1782039060,12.034695,12.040585,12.041365,12.032045,0
turbo,CHFNOK-OTC,1782039120,12.041235,12.038025,12.041235,12.036835,0
turbo,CHFNOK-OTC,1782039180,12.037535,12.043265,12.046135,12.037535,0
turbo,CHFNOK-OTC,1782039240,12.043275,12.042345,12.047735,12.040255,0
turbo,CHFNOK-OTC,1782039300,12.042295,12.043635,12.043975,12.039415,0
turbo,CHFNOK-OTC,1782039360,12.043725,12.040615,12.045305,12.040415,0
turbo,CHFNOK-OTC,1782039420,12.040375,12.034495,12.040375,12.033155,0
turbo,CHFNOK-OTC,1782039480,12.034055,12.044925,12.044975,12.033865,0
turbo,CHFNOK-OTC,1782039540,12.044785,12.042155,12.045125,12.038115,0
turbo,CHFNOK-OTC,1782039600,12.042255,12.040925,12.045185,12.038545,0
turbo,CHFNOK-OTC,1782039660,12.041165,12.040845,12.043225,12.038835,0
turbo,CHFNOK-OTC,1782039720,12.040655,12.042235,12.045875,12.040655,0
turbo,CHFNOK-OTC,1782039780,12.042225,12.044155,12.045085,12.040445,0
turbo,CHFNOK-OTC,1782039840,12.044015,12.053565,12.053915,12.042955,0
turbo,CHFNOK-OTC,1782039900,12.053515,12.058795,12.060275,12.053425,0
turbo,CHFNOK-OTC,1782039960,12.058695,12.055755,12.060755,12.054985,0
turbo,CHFNOK-OTC,1782040020,12.054865,12.052155,12.058185,12.052155,0
