tipo,activo,from,open,close,max,min,volume
turbo,CITI-OTC,1782036480,148.2365,148.6895,148.9305,147.9645,0
turbo,CITI-OTC,1782036540,148.7265,149.0595,149.2335,148.2735,0
turbo,CITI-OTC,1782036600,149.0985,148.3305,149.2945,148.2525,0
turbo,CITI-OTC,1782036660,148.4235,148.7315,148.8665,147.8255,0
turbo,CITI-OTC,1782036720,148.6435,150.4705,150.7015,148.6435,0
turbo,CITI-OTC,1782036780,150.5205,151.3225,151.7615,150.2615,0
turbo,CITI-OTC,1782036840,151.3575,153.0915,153.1685,151.3575,0
turbo,CITI-OTC,1782036900,153.0585,152.7085,153.0585,152.1795,0
turbo,CITI-OTC,1782036960,152.8005,152.6175,153.3045,152.4125,0
turbo,CITI-OTC,1782037020,152.5775,153.6155,153.6185,151.9555,0
turbo,CITI-OTC,1782037080,153.5755,154.5755,154.7735,153.5755,0
turbo,CITI-OTC,1782037140,154.6115,154.7885,155.6085,154.3375,0
turbo,CITI-OTC,1782037200,154.8245,153.8715,155.0665,153.8375,0
turbo,CITI-OTC,1782037260,153.9225,154.3465,154.3465,153.2945,0
turbo,CITI-OTC,1782037320,154.3855,153.8385,154.7725,153.6075,0
turbo,CITI-OTC,1782037380,153.8835,154.4415,154.7325,153.8835,0
turbo,CITI-OTC,1782037440,154.3885,152.8775,154.5505,152.5235,0
turbo,CITI-OTC,1782037500,152.9145,151.7925,153.2665,151.7235,0
turbo,CITI-OTC,1782037560,151.7445,152.9205,152.9735,151.7445,0
turbo,CITI-OTC,1782037620,152.8775,152.2755,153.1615,152.1495,0
turbo,CITI-OTC,1782037680,152.3165,152.6525,152.6525,151.6155,0
turbo,CITI-OTC,1782037740,152.6915,153.1875,153.6025,152.5535,0
turbo,CITI-OTC,1782037800,153.2345,153.2765,154.1125,153.1575,0
turbo,CITI-OTC,1782037860,153.3295,151.9955,153.4895,151.9495,0
turbo,CITI-OTC,1782037920,151.9485,152.5885,153.0845,151.7605,0
turbo,CITI-OTC,1782037980,152.6915,151.4805,152.7655,151.3465,0
turbo,CITI-OTC,1782038040,151.4285,150.7925,151.4725,150.5875,0
turbo,CITI-OTC,1782038100,150.7565,150.1005,151.7695,149.8955,0
turbo,CITI-OTC,1782038160,150.1415,150.5235,150.9635,149.7035,0
turbo,CITI-OTC,1782038220,150.5715,151.4155,151.9585,150.4645,0
turbo,CITI-OTC,1782038280,151.4525,151.7005,151.9125,151.1785,0
turbo,CITI-OTC,1782038340,151.7495,151.9535,152.1345,151.4505,0
turbo,CITI-OTC,1782038400,151.9095,151.7295,152.2995,151.1295,0
turbo,CITI-OTC,1782038460,151.6795,151.8045,152.1235,151.4755,0
turbo,CITI-OTC,1782038520,151.8425,152.5795,152.6705,151.4665,0
turbo,CITI-OTC,1782038580,152.6105,151.9885,153.1825,151.9875,0
turbo,CITI-OTC,1782038640,151.9455,151.6685,152.7855,151.6135,0
turbo,CITI-OTC,1782038700,151.6365,151.3565,152.0215,151.1995,0
turbo,CITI-OTC,1782038760,151.3085,151.2435,151.6935,151.1525,0
turbo,CITI-OTC,1782038820,151.2115,151.0275,151.3755,150.3465,0
turbo,CITI-OTC,1782038880,150.9825,150.9835,151.1795,150.4815,0
turbo,CITI-OTC,1782038940,150.9525,149.8505,151.6075,149.8505,0
turbo,CITI-OTC,1782039000,149.8065,149.8355,150.0005,149.2955,0
turbo,CITI-OTC,1782039060,149.8665,149.9285,150.5345,149.6885,0
turbo,CITI-OTC,1782039120,149.8795,150.6425,151.1645,149.6805,0
turbo,CITI-OTC,1782039180,150.6095,151.1415,151.6435,150.3625,0
turbo,CITI-OTC,1782039240,151.1875,151.1355,151.5125,150.9715,0
turbo,CITI-OTC,1782039300,151.1865,152.2225,152.3055,151.1045,0
turbo,CITI-OTC,1782039360,152.1785,151.8775,152.2155,151.4185,0
turbo,CITI-OTC,1782039420,151.9115,150.6175,151.9115,150.5835,0
turbo,CITI-OTC,1782039480,150.5855,149.3285,150.6225,148.8085,0
turbo,CITI-OTC,1782039540,149.2555,149.6775,149.7505,149.1445,0
turbo,CITI-OTC,1782039600,149.6085,149.8715,150.0885,149.3045,0
turbo,CITI-OTC,1782039660,149.9055,149.2655,150.5285,149.2165,0
turbo,CITI-OTC,1782039720,149.3175,149.1815,149.8635,149.1085,0
turbo,CITI-OTC,1782039780,149.2275,148.4175,149.4375,148.2325,0
turbo,CITI-OTC,1782039840,148.3695,148.6875,148.9095,148.0295,0
turbo,CITI-OTC,1782039900,148.7265,149.4535,149.5025,148.3835,0
turbo,CITI-OTC,1782039960,149.4145,148.7675,149.5755,148.5535,0
turbo,CITI-OTC,1782040020,148.7345,149.3635,149.6575,148.7005,0
turbo,CITI-OTC,1782040080,149.4035,149.2985,149.4895,148.8905,0
turbo,CITI-OTC,1782040140,149.2475,149.5585,149.7945,148.9535,0
turbo,CITI-OTC,1782040200,149.5175,149.1875,149.7165,148.8095,0
turbo,CITI-OTC,1782040260,149.2215,149.9395,150.0485,149.0395,0
turbo,CITI-OTC,1782040320,149.9025,149.9935,150.3365,149.7955,0
turbo,CITI-OTC,1782040380,149.9635,150.8385,150.9305,149.8125,0
turbo,CITI-OTC,1782040440,150.9325,150.6535,151.0865,150.0485,0
turbo,CITI-OTC,1782040500,150.7025,149.7105,150.7025,149.6445,0
turbo,CITI-OTC,1782040560,149.6675,149.4835,150.4745,149.3375,0
turbo,CITI-OTC,1782040620,149.4525,150.3485,150.3485,149.3835,0
turbo,CITI-OTC,1782040680,150.3155,150.3765,150.7005,149.9535,0
turbo,CITI-OTC,1782040740,150.3315,149.3445,150.3435,149.3025,0
turbo,CITI-OTC,1782040800,149.2995,149.0775,149.6175,148.9105,0
turbo,CITI-OTC,1782040860,149.0435,148.6665,149.2935,148.5975,0
turbo,CITI-OTC,1782040920,148.7165,148.6125,149.2945,148.5515,0
turbo,CITI-OTC,1782040980,148.5615,147.5675,148.8375,147.5625,0
turbo,CITI-OTC,1782041040,147.6015,147.3325,147.7975,147.0765,0
turbo,CITI-OTC,1782041100,147.2955,146.5325,147.2955,145.6945,0
turbo,CITI-OTC,1782041160,146.6185,147.3735,147.7545,146.5975,0
turbo,CITI-OTC,1782041220,147.3325,147.8015,147.9875,147.1085,0
turbo,CITI-OTC,1782041280,147.7705,147.2075,148.1695,146.7655,0
turbo,CITI-OTC,1782041340,147.2545,148.0705,148.1285,147.0535,0
turbo,CITI-OTC,1782041400,148.1065,147.6465,148.2225,147.4985,0
turbo,CITI-OTC,1782041460,147.6105,147.1725,147.9285,147.1725,0
turbo,CITI-OTC,1782041520,147.2055,147.1365,147.6015,146.8875,0
turbo,CITI-OTC,1782041580,147.1015,147.5425,147.5425,146.2545,0
turbo,CITI-OTC,1782041640,147.5905,146.6075,147.5905,146.5645,0
turbo,CITI-OTC,1782041700,146.5665,146.9135,146.9685,145.8185,0
turbo,CITI-OTC,1782041760,146.9565,147.4185,147.5595,146.8555,0
turbo,CITI-OTC,1782041820,147.3745,146.3355,147.4865,146.1865,0
turbo,CITI-OTC,1782041880,146.2915,146.5485,146.6885,146.0745,0
turbo,CITI-OTC,1782041940,146.5005,146.2365,146.7545,145.7745,0
turbo,CITI-OTC,1782042000,146.2875,146.9025,147.2875,146.2515,0
turbo,CITI-OTC,1782042060,146.8515,147.5685,147.5795,146.6605,0
turbo,CITI-OTC,1782042120,147.6015,148.2475,148.5005,147.5885,0
turbo,CITI-OTC,1782042180,148.2115,147.8445,149.0025,147.8115,0
turbo,CITI-OTC,1782042240,147.8035,148.4615,148.6265,147.5425,0
turbo,CITI-OTC,1782042300,148.4125,148.9545,149.0725,148.2885,0
turbo,CITI-OTC,1782042360,148.9105,149.3005,149.6135,148.8375,0
turbo,CITI-OTC,1782042420,149.2635,149.1865,149.4495,148.7335,0
turbo,CITI-OTC,1782042480,149.2265,150.2005,150.3605,148.9345,0
turbo,CITI-OTC,1782042540,150.1575,150.1705,150.2755,149.3655,0
turbo,CITI-OTC,1782042600,150.2375,150.3465,150.4615,149.5985,0
turbo,CITI-OTC,1782042660,150.3785,149.5325,150.5035,149.4815,0
turbo,CITI-OTC,1782042720,149.5705,149.0525,149.6115,148.8935,0
turbo,CITI-OTC,1782042780,149.1005,149.1485,149.3595,148.5015,0
turbo,CITI-OTC,1782042840,149.1945,150.5775,150.9465,149.1945,0
turbo,CITI-OTC,1782042900,150.5355,152.0585,152.0585,150.4925,0
turbo,CITI-OTC,1782042960,152.0915,152.8465,153.4305,152.0915,0
turbo,CITI-OTC,1782043020,152.9535,153.9465,154.2365,152.9535,0
turbo,CITI-OTC,1782043080,153.9915,154.2005,154.7415,153.7805,0
turbo,CITI-OTC,1782043140,154.1605,154.8075,154.9445,153.8005,0
turbo,CITI-OTC,1782043200,154.7745,154.9195,155.3715,154.0395,0
turbo,CITI-OTC,1782043260,154.9595,154.9965,155.3035,153.8585,0
turbo,CITI-OTC,1782043320,154.8825,155.4645,155.7055,154.7285,0
turbo,CITI-OTC,1782043380,155.4195,155.9225,156.3285,155.3085,0
turbo,CITI-OTC,1782043440,155.9685,157.0415,157.4395,155.7985,0
turbo,CITI-OTC,1782043500,157.0895,157.9365,158.0325,156.6915,0
turbo,CITI-OTC,1782043560,157.8975,157.1725,158.0025,157.1285,0
turbo,CITI-OTC,1782043620,157.1205,157.6175,157.9535,156.9455,0
turbo,CITI-OTC,1782043680,157.5845,157.2865,157.9205,157.0635,0
turbo,CITI-OTC,1782043740,157.3365,157.9765,158.1025,157.1695,0
turbo,CITI-OTC,1782043800,157.9345,157.4445,158.5335,157.4445,0
turbo,CITI-OTC,1782043860,157.4955,156.8895,157.7555,156.7895,0
turbo,CITI-OTC,1782043920,156.9265,156.2035,157.1105,155.7435,0
turbo,CITI-OTC,1782043980,156.1565,156.6225,156.8365,156.1125,0
turbo,CITI-OTC,1782044040,156.5815,156.2385,156.9695,156.0675,0
turbo,CITI-OTC,1782044100,156.1915,155.0455,156.2625,155.0455,0
turbo,CITI-OTC,1782044160,155.0945,155.0995,155.3075,154.5315,0
turbo,CITI-OTC,1782044220,155.0525,155.3635,156.2135,154.8905,0
turbo,CITI-OTC,1782044280,155.3285,154.9115,155.4505,154.2575,0
turbo,CITI-OTC,1782044340,154.9635,155.4225,155.7635,154.7405,0
turbo,CITI-OTC,1782044400,155.3755,154.7315,155.3755,154.2825,0
turbo,CITI-OTC,1782044460,154.7665,153.5895,155.1895,153.5895,0
turbo,CITI-OTC,1782044520,153.5475,154.4295,154.4675,152.9745,0
turbo,CITI-OTC,1782044580,154.4705,154.1495,154.7045,153.9065,0
turbo,CITI-OTC,1782044640,154.1895,153.8745,154.4505,153.4515,0
turbo,CITI-OTC,1782044700,153.9185,154.0705,154.8015,153.7525,0
turbo,CITI-OTC,1782044760,154.0305,154.2225,154.6885,153.8825,0
turbo,CITI-OTC,1782044820,154.1855,153.2635,154.2975,152.9695,0
turbo,CITI-OTC,1782044880,153.2285,153.4365,153.4875,152.3735,0
turbo,CITI-OTC,1782044940,153.4875,153.1035,153.5595,152.9045,0
turbo,CITI-OTC,1782045000,153.1545,152.9525,153.7935,152.8855,0
turbo,CITI-OTC,1782045060,152.9095,153.7545,154.0595,152.8945,0
turbo,CITI-OTC,1782045120,153.7175,153.7495,154.0595,152.8265,0
turbo,CITI-OTC,1782045180,153.7945,153.2915,154.0925,152.9095,0
turbo,CITI-OTC,1782045240,153.3245,153.3185,153.9925,153.2375,0
turbo,CITI-OTC,1782045300,153.3505,153.8805,153.9255,153.0785,0
turbo,CITI-OTC,1782045360,153.8425,154.5465,154.6395,153.2765,0
turbo,CITI-OTC,1782045420,154.5915,153.6185,154.8405,153.2105,0
turbo,CITI-OTC,1782045480,153.5845,154.4625,154.8005,153.4705,0
turbo,CITI-OTC,1782045540,154.5145,154.0685,154.6065,153.8185,0
