tipo,activo,from,open,close,max,min,volume
turbo,COCOA-OTC,1782567900,5639.135075,5678.677755,5678.677755,5639.135075,0
turbo,COCOA-OTC,1782567960,5678.515825,5651.797915,5692.223925,5649.063875,0
turbo,COCOA-OTC,1782568020,5651.769425,5655.597795,5673.846445,5651.769425,0
turbo,COCOA-OTC,1782568080,5650.410075,5630.419525,5662.103795,5619.981805,0
turbo,COCOA-OTC,1782568140,5630.307225,5645.175045,5668.263195,5630.307225,0
turbo,COCOA-OTC,1782568200,5645.178805,5615.185865,5645.740055,5615.185865,0
turbo,COCOA-OTC,1782568260,5615.816575,5576.979865,5616.303395,5571.740605,0
turbo,COCOA-OTC,1782568320,5574.884125,5584.550275,5584.650105,5562.803285,0
turbo,COCOA-OTC,1782568380,5584.411035,5572.832925,5592.780485,5568.660765,0
turbo,COCOA-OTC,1782568440,5572.750155,5573.811755,5577.817135,5553.863365,0
turbo,COCOA-OTC,1782568500,5573.604755,5565.938675,5585.479165,5561.955455,0
turbo,COCOA-OTC,1782568560,5565.884735,5534.834665,5577.189125,5534.525355,0
turbo,COCOA-OTC,1782568620,5534.805895,5565.924055,5566.386345,5524.835425,0
turbo,COCOA-OTC,1782568680,5565.821085,5572.741505,5594.222795,5560.945965,0
turbo,COCOA-OTC,1782568740,5572.614675,5563.740205,5580.571195,5549.786805,0
turbo,COCOA-OTC,1782568800,5563.863795,5582.752055,5598.448275,5557.210715,0
turbo,COCOA-OTC,1782568860,5582.836815,5586.607775,5591.364745,5566.555395,0
turbo,COCOA-OTC,1782568920,5587.983245,5579.839335,5590.663925,5572.396715,0
turbo,COCOA-OTC,1782568980,5580.315605,5544.301005,5591.096355,5544.111095,0
turbo,COCOA-OTC,1782569040,5542.331685,5573.346005,5573.599475,5532.497945,0
turbo,COCOA-OTC,1782569100,5573.316815,5561.607605,5595.499655,5561.607605,0
turbo,COCOA-OTC,1782569160,5561.302095,5533.924425,5571.661895,5533.924425,0
turbo,COCOA-OTC,1782569220,5533.765775,5508.137455,5534.315045,5505.506515,0
turbo,COCOA-OTC,1782569280,5507.770915,5517.237295,5517.237295,5495.909965,0
turbo,COCOA-OTC,1782569340,5517.278465,5528.450975,5550.298385,5515.596515,0
turbo,COCOA-OTC,1782569400,5527.353325,5533.077735,5533.077735,5507.975015,0
turbo,COCOA-OTC,1782569460,5533.049245,5559.022755,5559.022755,5526.664775,0
turbo,COCOA-OTC,1782569520,5559.299755,5533.009605,5562.717875,5530.884955,0
turbo,COCOA-OTC,1782569580,5533.011125,5558.647005,5559.046105,5523.733855,0
turbo,COCOA-OTC,1782569640,5559.396445,5565.018495,5567.521345,5550.028535,0
turbo,COCOA-OTC,1782569700,5565.129445,5593.458625,5593.458625,5557.459715,0
turbo,COCOA-OTC,1782569760,5593.534105,5567.227135,5596.971605,5560.110105,0
turbo,COCOA-OTC,1782569820,5567.305305,5560.051135,5580.457295,5559.414345,0
turbo,COCOA-OTC,1782569880,5551.752895,5607.401545,5609.823355,5546.281765,0
turbo,COCOA-OTC,1782569940,5607.390835,5572.759315,5609.336045,5571.627815,0
turbo,COCOA-OTC,1782570000,5572.695425,5613.794195,5613.901175,5571.254965,0
