tipo,activo,from,open,close,max,min,volume
turbo,COKE-OTC,1782036480,67.1225,66.5925,67.2915,66.5865,0
turbo,COKE-OTC,1782036540,66.5625,67.2325,67.6965,66.3875,0
turbo,COKE-OTC,1782036600,67.2035,67.6085,67.8655,67.1425,0
turbo,COKE-OTC,1782036660,67.5485,67.0365,67.5485,66.9725,0
turbo,COKE-OTC,1782036720,67.0695,66.6305,67.3675,66.6105,0
turbo,COKE-OTC,1782036780,66.6605,67.2515,67.3845,66.6285,0
turbo,COKE-OTC,1782036840,67.2195,67.5045,67.6545,67.1395,0
turbo,COKE-OTC,1782036900,67.4725,67.4675,67.5945,67.0065,0
turbo,COKE-OTC,1782036960,67.4115,67.2555,67.4405,66.8765,0
turbo,COKE-OTC,1782037020,67.2845,68.1175,68.2885,67.2475,0
turbo,COKE-OTC,1782037080,68.0895,67.4075,68.1495,67.4075,0
turbo,COKE-OTC,1782037140,67.3805,67.6425,68.0235,67.1175,0
turbo,COKE-OTC,1782037200,67.6735,67.3815,67.7015,67.1595,0
turbo,COKE-OTC,1782037260,67.3505,67.1175,67.4985,66.9995,0
turbo,COKE-OTC,1782037320,67.1445,66.8205,67.2985,66.6775,0
turbo,COKE-OTC,1782037380,66.7915,66.7565,66.8745,66.1225,0
turbo,COKE-OTC,1782037440,66.7885,66.8305,66.9765,66.4295,0
turbo,COKE-OTC,1782037500,66.8005,66.5355,67.0625,66.4465,0
turbo,COKE-OTC,1782037560,66.5625,67.5815,67.5815,66.5265,0
turbo,COKE-OTC,1782037620,67.5535,68.0175,68.0485,67.4325,0
turbo,COKE-OTC,1782037680,67.9835,68.1745,68.5125,67.8925,0
turbo,COKE-OTC,1782037740,68.1455,68.6875,68.7725,68.1135,0
turbo,COKE-OTC,1782037800,68.6565,68.9895,69.0205,68.3285,0
turbo,COKE-OTC,1782037860,69.0235,69.4585,69.5845,68.7855,0
turbo,COKE-OTC,1782037920,69.4265,69.8875,69.8925,69.4265,0
turbo,COKE-OTC,1782037980,69.8495,69.8995,70.1835,69.6545,0
turbo,COKE-OTC,1782038040,69.8655,69.9505,70.0485,69.5235,0
turbo,COKE-OTC,1782038100,69.9805,69.8175,70.2855,69.5805,0
turbo,COKE-OTC,1782038160,69.8785,70.2535,70.2565,69.5815,0
turbo,COKE-OTC,1782038220,70.2245,69.7535,70.4795,69.6705,0
turbo,COKE-OTC,1782038280,69.7855,70.4905,70.6605,69.7225,0
turbo,COKE-OTC,1782038340,70.5235,70.5345,70.6675,70.0315,0
turbo,COKE-OTC,1782038400,70.5005,70.8405,71.0985,70.4665,0
turbo,COKE-OTC,1782038460,70.8755,71.3115,71.4255,70.8755,0
turbo,COKE-OTC,1782038520,71.3425,71.3665,71.8375,70.9665,0
turbo,COKE-OTC,1782038580,71.3325,71.6835,71.9655,71.3065,0
turbo,COKE-OTC,1782038640,71.6465,71.6885,71.9735,71.4715,0
turbo,COKE-OTC,1782038700,71.6555,71.3175,71.8465,70.9995,0
turbo,COKE-OTC,1782038760,71.3475,71.1875,71.5315,70.9135,0
turbo,COKE-OTC,1782038820,71.2205,70.5015,71.4035,70.4295,0
turbo,COKE-OTC,1782038880,70.4715,70.9195,70.9535,70.3345,0
turbo,COKE-OTC,1782038940,70.8865,71.3445,71.4885,70.7095,0
turbo,COKE-OTC,1782039000,71.3995,70.2135,71.4315,70.1715,0
turbo,COKE-OTC,1782039060,70.2455,69.6845,70.2695,69.4205,0
turbo,COKE-OTC,1782039120,69.7185,69.1565,69.7795,69.1015,0
turbo,COKE-OTC,1782039180,69.1895,69.1035,69.5055,68.8015,0
turbo,COKE-OTC,1782039240,69.1375,69.2205,69.4565,68.9675,0
turbo,COKE-OTC,1782039300,69.2515,69.4395,69.6885,69.1675,0
turbo,COKE-OTC,1782039360,69.4725,69.4545,69.7715,69.3395,0
turbo,COKE-OTC,1782039420,69.4835,68.6545,69.4875,68.6545,0
turbo,COKE-OTC,1782039480,68.6225,68.9045,69.1175,68.2965,0
turbo,COKE-OTC,1782039540,68.9375,69.4105,69.4425,68.7755,0
turbo,COKE-OTC,1782039600,69.3805,68.2685,69.3805,68.1885,0
turbo,COKE-OTC,1782039660,68.2985,67.7225,68.3455,67.7225,0
turbo,COKE-OTC,1782039720,67.6935,68.7875,69.0445,67.6935,0
turbo,COKE-OTC,1782039780,68.8195,68.2065,68.8905,68.1725,0
turbo,COKE-OTC,1782039840,68.2345,67.2945,68.2375,67.1345,0
turbo,COKE-OTC,1782039900,67.2625,68.2125,68.2125,66.8125,0
