tipo,activo,from,open,close,max,min,volume
turbo,DOTUSD-OTC,1782036300,0.982835,0.981225,0.984835,0.980655,0
turbo,DOTUSD-OTC,1782036360,0.981205,0.981365,0.983185,0.980325,0
turbo,DOTUSD-OTC,1782036420,0.981405,0.981495,0.984105,0.980675,0
turbo,DOTUSD-OTC,1782036480,0.981405,0.980175,0.982005,0.978515,0
turbo,DOTUSD-OTC,1782036540,0.980035,0.987085,0.987085,0.979845,0
turbo,DOTUSD-OTC,1782036600,0.986855,0.985165,0.988245,0.984185,0
turbo,DOTUSD-OTC,1782036660,0.984825,0.985665,0.986245,0.983025,0
turbo,DOTUSD-OTC,1782036720,0.985595,0.983825,0.985715,0.983605,0
turbo,DOTUSD-OTC,1782036780,0.983935,0.977375,0.984475,0.977225,0
turbo,DOTUSD-OTC,1782036840,0.977335,0.978775,0.979635,0.976345,0
turbo,DOTUSD-OTC,1782036900,0.978745,0.978755,0.979595,0.977195,0
turbo,DOTUSD-OTC,1782036960,0.979055,0.975915,0.980345,0.975425,0
turbo,DOTUSD-OTC,1782037020,0.976065,0.973725,0.976985,0.973065,0
turbo,DOTUSD-OTC,1782037080,0.973695,0.977615,0.978755,0.973585,0
turbo,DOTUSD-OTC,1782037140,0.977535,0.975265,0.978175,0.973945,0
turbo,DOTUSD-OTC,1782037200,0.975295,0.971835,0.975755,0.971745,0
turbo,DOTUSD-OTC,1782037260,0.971585,0.969635,0.972535,0.969535,0
turbo,DOTUSD-OTC,1782037320,0.969675,0.963415,0.969675,0.963405,0
turbo,DOTUSD-OTC,1782037380,0.963355,0.957275,0.964275,0.957275,0
turbo,DOTUSD-OTC,1782037440,0.957395,0.954935,0.957775,0.954405,0
turbo,DOTUSD-OTC,1782037500,0.954895,0.953115,0.955565,0.952145,0
turbo,DOTUSD-OTC,1782037560,0.953155,0.953285,0.953925,0.950965,0
turbo,DOTUSD-OTC,1782037620,0.953495,0.949795,0.954635,0.949685,0
turbo,DOTUSD-OTC,1782037680,0.949635,0.952435,0.952645,0.946935,0
turbo,DOTUSD-OTC,1782037740,0.952505,0.950145,0.953265,0.950035,0
turbo,DOTUSD-OTC,1782037800,0.950215,0.951245,0.951495,0.948775,0
turbo,DOTUSD-OTC,1782037860,0.951205,0.949845,0.951655,0.948335,0
turbo,DOTUSD-OTC,1782037920,0.949895,0.956505,0.956915,0.949895,0
turbo,DOTUSD-OTC,1782037980,0.956545,0.955265,0.956645,0.954055,0
turbo,DOTUSD-OTC,1782038040,0.955135,0.959175,0.959705,0.952595,0
turbo,DOTUSD-OTC,1782038100,0.958895,0.960545,0.961595,0.958815,0
turbo,DOTUSD-OTC,1782038160,0.960375,0.956155,0.961045,0.956155,0
turbo,DOTUSD-OTC,1782038220,0.956235,0.958075,0.958305,0.954765,0
turbo,DOTUSD-OTC,1782038280,0.958015,0.961495,0.962225,0.957205,0
turbo,DOTUSD-OTC,1782038340,0.961575,0.962755,0.963495,0.961075,0
turbo,DOTUSD-OTC,1782038400,0.963365,0.961585,0.964345,0.959735,0
turbo,DOTUSD-OTC,1782038460,0.961655,0.958675,0.962955,0.958485,0
turbo,DOTUSD-OTC,1782038520,0.958035,0.961245,0.961925,0.958005,0
turbo,DOTUSD-OTC,1782038580,0.960935,0.960185,0.963755,0.960185,0
turbo,DOTUSD-OTC,1782038640,0.960155,0.955725,0.961465,0.955725,0
turbo,DOTUSD-OTC,1782038700,0.955625,0.957465,0.957465,0.953905,0
turbo,DOTUSD-OTC,1782038760,0.957425,0.958885,0.959495,0.955675,0
turbo,DOTUSD-OTC,1782038820,0.958725,0.955835,0.959285,0.955575,0
turbo,DOTUSD-OTC,1782038880,0.955945,0.955975,0.956725,0.952585,0
turbo,DOTUSD-OTC,1782038940,0.955885,0.952735,0.955935,0.951635,0
turbo,DOTUSD-OTC,1782039000,0.952625,0.948575,0.953055,0.948575,0
turbo,DOTUSD-OTC,1782039060,0.948495,0.946765,0.951585,0.946765,0
turbo,DOTUSD-OTC,1782039120,0.946695,0.948935,0.949885,0.946045,0
turbo,DOTUSD-OTC,1782039180,0.948915,0.954455,0.955095,0.948915,0
turbo,DOTUSD-OTC,1782039240,0.954535,0.952505,0.955815,0.951345,0
turbo,DOTUSD-OTC,1782039300,0.952475,0.954155,0.955365,0.952105,0
turbo,DOTUSD-OTC,1782039360,0.954205,0.955345,0.957355,0.953415,0
turbo,DOTUSD-OTC,1782039420,0.955415,0.954895,0.956335,0.952775,0
turbo,DOTUSD-OTC,1782039480,0.954445,0.956045,0.956425,0.953585,0
turbo,DOTUSD-OTC,1782039540,0.955765,0.956295,0.956875,0.954475,0
turbo,DOTUSD-OTC,1782039600,0.956195,0.959055,0.959055,0.955095,0
turbo,DOTUSD-OTC,1782039660,0.959575,0.961555,0.961985,0.959055,0
turbo,DOTUSD-OTC,1782039720,0.961535,0.959395,0.961765,0.956695,0
turbo,DOTUSD-OTC,1782039780,0.959495,0.958605,0.959835,0.956605,0
turbo,DOTUSD-OTC,1782039840,0.958565,0.955485,0.959735,0.954995,0
turbo,DOTUSD-OTC,1782039900,0.955405,0.952795,0.956485,0.952755,0
turbo,DOTUSD-OTC,1782039960,0.953215,0.952335,0.953225,0.950745,0
turbo,DOTUSD-OTC,1782040020,0.952285,0.949345,0.953155,0.948645,0
