tipo,activo,from,open,close,max,min,volume
turbo,EURAUD-OTC,1784564160,1.629815,1.630045,1.630195,1.629635,0
turbo,EURAUD-OTC,1784564220,1.629995,1.630525,1.630905,1.629525,0
turbo,EURAUD-OTC,1784564280,1.630505,1.631545,1.631625,1.630505,0
turbo,EURAUD-OTC,1784564340,1.631575,1.631305,1.631935,1.631085,0
turbo,EURAUD-OTC,1784564400,1.631335,1.632435,1.632585,1.630995,0
turbo,EURAUD-OTC,1784564460,1.632425,1.633215,1.633225,1.632255,0
turbo,EURAUD-OTC,1784564520,1.633235,1.633105,1.633555,1.632485,0
turbo,EURAUD-OTC,1784564580,1.633085,1.632635,1.633325,1.632415,0
turbo,EURAUD-OTC,1784564640,1.632625,1.633445,1.633705,1.632425,0
turbo,EURAUD-OTC,1784564700,1.633435,1.633535,1.633665,1.632515,0
turbo,EURAUD-OTC,1784564760,1.633595,1.635275,1.635705,1.633365,0
turbo,EURAUD-OTC,1784564820,1.635265,1.635155,1.635265,1.634325,0
turbo,EURAUD-OTC,1784564880,1.635115,1.636465,1.636465,1.634955,0
turbo,EURAUD-OTC,1784564940,1.636445,1.635845,1.636485,1.635525,0
turbo,EURAUD-OTC,1784565000,1.635835,1.635925,1.635965,1.635235,0
turbo,EURAUD-OTC,1784565060,1.635935,1.635735,1.636465,1.635165,0
turbo,EURAUD-OTC,1784565120,1.635755,1.635765,1.635885,1.635175,0
turbo,EURAUD-OTC,1784565180,1.635735,1.634725,1.635815,1.634715,0
turbo,EURAUD-OTC,1784565240,1.634755,1.635635,1.635645,1.634685,0
turbo,EURAUD-OTC,1784565300,1.635625,1.636345,1.636355,1.634785,0
turbo,EURAUD-OTC,1784565360,1.636325,1.636565,1.637335,1.636045,0
turbo,EURAUD-OTC,1784565420,1.636475,1.636825,1.637305,1.636155,0
turbo,EURAUD-OTC,1784565480,1.636795,1.637595,1.637605,1.636385,0
turbo,EURAUD-OTC,1784565540,1.637635,1.637825,1.638265,1.637395,0
turbo,EURAUD-OTC,1784565600,1.637815,1.639475,1.639485,1.637265,0
turbo,EURAUD-OTC,1784565660,1.639465,1.638535,1.639855,1.638535,0
turbo,EURAUD-OTC,1784565720,1.638505,1.637925,1.639265,1.637805,0
turbo,EURAUD-OTC,1784565780,1.637905,1.638185,1.638185,1.636645,0
turbo,EURAUD-OTC,1784565840,1.638205,1.637145,1.638715,1.636795,0
turbo,EURAUD-OTC,1784565900,1.637255,1.636435,1.638005,1.636335,0
turbo,EURAUD-OTC,1784565960,1.636465,1.636925,1.637095,1.636095,0
turbo,EURAUD-OTC,1784566020,1.636945,1.637395,1.637395,1.636485,0
turbo,EURAUD-OTC,1784566080,1.637305,1.638205,1.638235,1.637045,0
turbo,EURAUD-OTC,1784566140,1.638165,1.638475,1.638545,1.637745,0
turbo,EURAUD-OTC,1784566200,1.638395,1.637895,1.638565,1.637095,0
turbo,EURAUD-OTC,1784566260,1.637885,1.639175,1.639175,1.637745,0
turbo,EURAUD-OTC,1784566320,1.639335,1.637555,1.639465,1.637545,0
turbo,EURAUD-OTC,1784566380,1.637525,1.637105,1.637535,1.636535,0
turbo,EURAUD-OTC,1784566440,1.637085,1.637025,1.637675,1.636885,0
turbo,EURAUD-OTC,1784566500,1.636995,1.636605,1.637455,1.636415,0
turbo,EURAUD-OTC,1784566560,1.636715,1.636645,1.636845,1.636265,0
