tipo,activo,from,open,close,max,min,volume
turbo,EURCAD-OTC,1784565120,1.598545,1.598625,1.598775,1.598505,0
turbo,EURCAD-OTC,1784565180,1.598615,1.599075,1.599075,1.598545,0
turbo,EURCAD-OTC,1784565240,1.599065,1.598625,1.599085,1.598515,0
turbo,EURCAD-OTC,1784565300,1.598615,1.598865,1.598875,1.598565,0
turbo,EURCAD-OTC,1784565360,1.598845,1.599435,1.599445,1.598795,0
turbo,EURCAD-OTC,1784565420,1.599425,1.599995,1.600115,1.599425,0
turbo,EURCAD-OTC,1784565480,1.600015,1.600205,1.600255,1.599795,0
turbo,EURCAD-OTC,1784565540,1.600195,1.600615,1.600695,1.600135,0
turbo,EURCAD-OTC,1784565600,1.600585,1.600435,1.600695,1.600385,0
turbo,EURCAD-OTC,1784565660,1.600425,1.600705,1.600725,1.600405,0
turbo,EURCAD-OTC,1784565720,1.600705,1.600985,1.600995,1.600615,0
turbo,EURCAD-OTC,1784565780,1.600955,1.600975,1.601055,1.600745,0
turbo,EURCAD-OTC,1784565840,1.600905,1.600205,1.601095,1.600195,0
turbo,EURCAD-OTC,1784565900,1.600225,1.600325,1.600375,1.600225,0
turbo,EURCAD-OTC,1784565960,1.600295,1.599945,1.600295,1.599875,0
turbo,EURCAD-OTC,1784566020,1.599955,1.600165,1.600165,1.599895,0
turbo,EURCAD-OTC,1784566080,1.600155,1.600815,1.600855,1.600145,0
turbo,EURCAD-OTC,1784566140,1.600815,1.600735,1.600885,1.600605,0
turbo,EURCAD-OTC,1784566200,1.600715,1.601355,1.601385,1.600645,0
turbo,EURCAD-OTC,1784566260,1.601415,1.601165,1.601575,1.601145,0
turbo,EURCAD-OTC,1784566320,1.601175,1.601465,1.601465,1.601165,0
turbo,EURCAD-OTC,1784566380,1.601505,1.601855,1.601905,1.601375,0
turbo,EURCAD-OTC,1784566440,1.601875,1.601925,1.601975,1.601535,0
turbo,EURCAD-OTC,1784566500,1.601915,1.601435,1.601975,1.601435,0
turbo,EURCAD-OTC,1784566560,1.601425,1.601725,1.601745,1.601365,0
turbo,EURCAD-OTC,1784566620,1.601745,1.601565,1.602005,1.601455,0
turbo,EURCAD-OTC,1784566680,1.601515,1.601435,1.601555,1.601345,0
turbo,EURCAD-OTC,1784566740,1.601475,1.602095,1.602115,1.601475,0
turbo,EURCAD-OTC,1784566800,1.602115,1.601945,1.602125,1.601805,0
turbo,EURCAD-OTC,1784566860,1.601975,1.601905,1.601995,1.601815,0
turbo,EURCAD-OTC,1784566920,1.601885,1.602085,1.602285,1.601805,0
turbo,EURCAD-OTC,1784566980,1.602085,1.602695,1.602725,1.602045,0
turbo,EURCAD-OTC,1784567040,1.602715,1.602435,1.602805,1.602425,0
turbo,EURCAD-OTC,1784567100,1.602535,1.602235,1.602535,1.602235,0
turbo,EURCAD-OTC,1784567160,1.602235,1.601985,1.602405,1.601975,0
turbo,EURCAD-OTC,1784567220,1.601995,1.602125,1.602135,1.601735,0
turbo,EURCAD-OTC,1784567280,1.602155,1.602195,1.602335,1.601985,0
turbo,EURCAD-OTC,1784567340,1.602185,1.601865,1.602195,1.601765,0
turbo,EURCAD-OTC,1784567400,1.601885,1.602025,1.602215,1.601805,0
turbo,EURCAD-OTC,1784567460,1.602015,1.601995,1.602115,1.601785,0
turbo,EURCAD-OTC,1784567520,1.602005,1.602785,1.602785,1.601835,0
turbo,EURCAD-OTC,1784567580,1.602775,1.602005,1.602835,1.601965,0
turbo,EURCAD-OTC,1784567640,1.601905,1.602225,1.602265,1.601855,0
turbo,EURCAD-OTC,1784567700,1.602235,1.602415,1.602555,1.602185,0
turbo,EURCAD-OTC,1784567760,1.602405,1.602135,1.602425,1.601965,0
turbo,EURCAD-OTC,1784567820,1.602145,1.602325,1.602395,1.602115,0
turbo,EURCAD-OTC,1784567880,1.602305,1.602385,1.602545,1.602305,0
turbo,EURCAD-OTC,1784567940,1.602415,1.602575,1.602585,1.602395,0
turbo,EURCAD-OTC,1784568000,1.602585,1.602855,1.602985,1.602535,0
turbo,EURCAD-OTC,1784568060,1.602875,1.602945,1.603045,1.602715,0
turbo,EURCAD-OTC,1784568120,1.602955,1.602995,1.603155,1.602875,0
turbo,EURCAD-OTC,1784568180,1.602955,1.602845,1.603095,1.602755,0
turbo,EURCAD-OTC,1784568240,1.602835,1.602995,1.603115,1.602815,0
turbo,EURCAD-OTC,1784568300,1.602985,1.603265,1.603265,1.602975,0
turbo,EURCAD-OTC,1784568360,1.603255,1.603015,1.603345,1.603005,0
turbo,EURCAD-OTC,1784568420,1.603005,1.603065,1.603305,1.602755,0
turbo,EURCAD-OTC,1784568480,1.603045,1.602815,1.603225,1.602815,0
turbo,EURCAD-OTC,1784568540,1.602835,1.603005,1.603055,1.602785,0
turbo,EURCAD-OTC,1784568600,1.603025,1.603005,1.603145,1.602935,0
turbo,EURCAD-OTC,1784568660,1.602975,1.603015,1.603095,1.602895,0
turbo,EURCAD-OTC,1784568720,1.603005,1.602005,1.603135,1.601995,0
turbo,EURCAD-OTC,1784568780,1.601945,1.601835,1.602105,1.601655,0
turbo,EURCAD-OTC,1784568840,1.601845,1.601845,1.602065,1.601645,0
turbo,EURCAD-OTC,1784568900,1.601855,1.601875,1.601875,1.601565,0
turbo,EURCAD-OTC,1784568960,1.601895,1.602085,1.602105,1.601725,0
turbo,EURCAD-OTC,1784569020,1.602095,1.601795,1.602205,1.601735,0
turbo,EURCAD-OTC,1784569080,1.601805,1.601255,1.601825,1.601175,0
turbo,EURCAD-OTC,1784569140,1.601265,1.601095,1.601525,1.600985,0
turbo,EURCAD-OTC,1784569200,1.601085,1.601345,1.601405,1.600745,0
turbo,EURCAD-OTC,1784569260,1.601355,1.601265,1.601635,1.601225,0
turbo,EURCAD-OTC,1784569320,1.601295,1.601685,1.601725,1.601295,0
