tipo,activo,from,open,close,max,min,volume
turbo,EURGBP-OTC,1782036480,0.876085,0.876005,0.876145,0.876005,0
turbo,EURGBP-OTC,1782036540,0.876015,0.876025,0.876055,0.875895,0
turbo,EURGBP-OTC,1782036600,0.876035,0.875995,0.876235,0.875955,0
turbo,EURGBP-OTC,1782036660,0.875975,0.876255,0.876265,0.875825,0
turbo,EURGBP-OTC,1782036720,0.876315,0.876005,0.876345,0.875885,0
turbo,EURGBP-OTC,1782036780,0.875995,0.876115,0.876235,0.875975,0
turbo,EURGBP-OTC,1782036840,0.876105,0.876165,0.876175,0.875965,0
turbo,EURGBP-OTC,1782036900,0.876155,0.876125,0.876255,0.876075,0
turbo,EURGBP-OTC,1782036960,0.876145,0.876005,0.876195,0.875935,0
turbo,EURGBP-OTC,1782037020,0.875965,0.876015,0.876155,0.875885,0
turbo,EURGBP-OTC,1782037080,0.876005,0.875805,0.876005,0.875745,0
turbo,EURGBP-OTC,1782037140,0.875795,0.875905,0.875905,0.875695,0
turbo,EURGBP-OTC,1782037200,0.875895,0.875775,0.875945,0.875695,0
turbo,EURGBP-OTC,1782037260,0.875765,0.875785,0.875865,0.875595,0
turbo,EURGBP-OTC,1782037320,0.875815,0.875635,0.875835,0.875625,0
turbo,EURGBP-OTC,1782037380,0.875655,0.876025,0.876045,0.875605,0
turbo,EURGBP-OTC,1782037440,0.876035,0.876095,0.876235,0.876015,0
turbo,EURGBP-OTC,1782037500,0.876125,0.876215,0.876275,0.876085,0
turbo,EURGBP-OTC,1782037560,0.876245,0.876155,0.876325,0.876085,0
turbo,EURGBP-OTC,1782037620,0.876115,0.875915,0.876145,0.875855,0
turbo,EURGBP-OTC,1782037680,0.875905,0.875895,0.876075,0.875875,0
turbo,EURGBP-OTC,1782037740,0.875895,0.876145,0.876185,0.875895,0
turbo,EURGBP-OTC,1782037800,0.876155,0.876185,0.876225,0.875985,0
turbo,EURGBP-OTC,1782037860,0.876195,0.876355,0.876415,0.876185,0
turbo,EURGBP-OTC,1782037920,0.876345,0.876075,0.876415,0.876025,0
turbo,EURGBP-OTC,1782037980,0.876065,0.876125,0.876165,0.876015,0
turbo,EURGBP-OTC,1782038040,0.876135,0.876215,0.876255,0.876115,0
turbo,EURGBP-OTC,1782038100,0.876205,0.876455,0.876515,0.876205,0
turbo,EURGBP-OTC,1782038160,0.876445,0.876465,0.876515,0.876395,0
turbo,EURGBP-OTC,1782038220,0.876475,0.876595,0.876745,0.876475,0
turbo,EURGBP-OTC,1782038280,0.876585,0.876345,0.876745,0.876175,0
turbo,EURGBP-OTC,1782038340,0.876335,0.876215,0.876435,0.876135,0
turbo,EURGBP-OTC,1782038400,0.876205,0.876215,0.876365,0.876185,0
turbo,EURGBP-OTC,1782038460,0.876255,0.875965,0.876275,0.875915,0
turbo,EURGBP-OTC,1782038520,0.875975,0.875805,0.876005,0.875745,0
turbo,EURGBP-OTC,1782038580,0.875815,0.875875,0.875905,0.875695,0
turbo,EURGBP-OTC,1782038640,0.875885,0.876155,0.876175,0.875865,0
turbo,EURGBP-OTC,1782038700,0.876115,0.876115,0.876175,0.875915,0
turbo,EURGBP-OTC,1782038760,0.876105,0.876665,0.876665,0.876075,0
turbo,EURGBP-OTC,1782038820,0.876655,0.876515,0.876665,0.876445,0
turbo,EURGBP-OTC,1782038880,0.876535,0.876815,0.876855,0.876525,0
turbo,EURGBP-OTC,1782038940,0.876805,0.876525,0.876805,0.876465,0
turbo,EURGBP-OTC,1782039000,0.876515,0.876555,0.876755,0.876505,0
turbo,EURGBP-OTC,1782039060,0.876545,0.876365,0.876575,0.876325,0
turbo,EURGBP-OTC,1782039120,0.876375,0.876175,0.876425,0.876155,0
turbo,EURGBP-OTC,1782039180,0.876235,0.876165,0.876265,0.876105,0
turbo,EURGBP-OTC,1782039240,0.876155,0.876005,0.876165,0.875935,0
turbo,EURGBP-OTC,1782039300,0.875995,0.876005,0.876205,0.875875,0
turbo,EURGBP-OTC,1782039360,0.876045,0.875925,0.876135,0.875915,0
turbo,EURGBP-OTC,1782039420,0.875915,0.875735,0.875935,0.875695,0
turbo,EURGBP-OTC,1782039480,0.875725,0.876075,0.876075,0.875725,0
turbo,EURGBP-OTC,1782039540,0.876085,0.876015,0.876145,0.875955,0
turbo,EURGBP-OTC,1782039600,0.876045,0.875545,0.876075,0.875495,0
turbo,EURGBP-OTC,1782039660,0.875555,0.875295,0.875555,0.875285,0
turbo,EURGBP-OTC,1782039720,0.875335,0.875255,0.875505,0.875185,0
turbo,EURGBP-OTC,1782039780,0.875235,0.875355,0.875395,0.875045,0
turbo,EURGBP-OTC,1782039840,0.875365,0.875845,0.875905,0.875345,0
turbo,EURGBP-OTC,1782039900,0.875845,0.875905,0.875965,0.875755,0
turbo,EURGBP-OTC,1782039960,0.875895,0.875715,0.875985,0.875675,0
turbo,EURGBP-OTC,1782040020,0.875735,0.875935,0.876025,0.875645,0
turbo,EURGBP-OTC,1782040080,0.875955,0.876025,0.876135,0.875745,0
turbo,EURGBP-OTC,1782040140,0.876035,0.876295,0.876295,0.876025,0
turbo,EURGBP-OTC,1782040200,0.876285,0.876315,0.876515,0.876285,0
turbo,EURGBP-OTC,1782040260,0.876335,0.876135,0.876335,0.875955,0
turbo,EURGBP-OTC,1782040320,0.876145,0.876445,0.876485,0.876135,0
turbo,EURGBP-OTC,1782040380,0.876455,0.876425,0.876485,0.876235,0
turbo,EURGBP-OTC,1782040440,0.876435,0.876335,0.876475,0.876195,0
turbo,EURGBP-OTC,1782040500,0.876325,0.876255,0.876335,0.876055,0
turbo,EURGBP-OTC,1782040560,0.876275,0.876025,0.876285,0.875915,0
turbo,EURGBP-OTC,1782040620,0.876035,0.875665,0.876075,0.875645,0
turbo,EURGBP-OTC,1782040680,0.875655,0.875545,0.875715,0.875545,0
turbo,EURGBP-OTC,1782040740,0.875565,0.875295,0.875585,0.875165,0
turbo,EURGBP-OTC,1782040800,0.875285,0.875095,0.875285,0.874925,0
turbo,EURGBP-OTC,1782040860,0.875115,0.875075,0.875125,0.874945,0
turbo,EURGBP-OTC,1782040920,0.875065,0.874965,0.875195,0.874965,0
turbo,EURGBP-OTC,1782040980,0.874955,0.875255,0.875255,0.874895,0
turbo,EURGBP-OTC,1782041040,0.875235,0.875375,0.875375,0.875095,0
turbo,EURGBP-OTC,1782041100,0.875365,0.875305,0.875465,0.875235,0
turbo,EURGBP-OTC,1782041160,0.875295,0.875465,0.875535,0.875275,0
turbo,EURGBP-OTC,1782041220,0.875455,0.875415,0.875525,0.875305,0
turbo,EURGBP-OTC,1782041280,0.875405,0.875125,0.875435,0.875065,0
turbo,EURGBP-OTC,1782041340,0.875135,0.875135,0.875195,0.874865,0
turbo,EURGBP-OTC,1782041400,0.875145,0.875185,0.875315,0.875085,0
turbo,EURGBP-OTC,1782041460,0.875175,0.874585,0.875175,0.874585,0
turbo,EURGBP-OTC,1782041520,0.874565,0.874645,0.874715,0.874495,0
turbo,EURGBP-OTC,1782041580,0.874615,0.874715,0.874755,0.874545,0
turbo,EURGBP-OTC,1782041640,0.874705,0.874605,0.874745,0.874495,0
turbo,EURGBP-OTC,1782041700,0.874595,0.874535,0.874825,0.874525,0
turbo,EURGBP-OTC,1782041760,0.874525,0.874315,0.874655,0.874285,0
turbo,EURGBP-OTC,1782041820,0.874325,0.874075,0.874335,0.873995,0
turbo,EURGBP-OTC,1782041880,0.874105,0.873885,0.874125,0.873855,0
turbo,EURGBP-OTC,1782041940,0.873875,0.873755,0.873905,0.873595,0
turbo,EURGBP-OTC,1782042000,0.873745,0.873775,0.873835,0.873645,0
turbo,EURGBP-OTC,1782042060,0.873765,0.873855,0.873935,0.873605,0
turbo,EURGBP-OTC,1782042120,0.873865,0.873655,0.873905,0.873625,0
turbo,EURGBP-OTC,1782042180,0.873665,0.873435,0.873685,0.873405,0
turbo,EURGBP-OTC,1782042240,0.873425,0.873345,0.873525,0.873285,0
turbo,EURGBP-OTC,1782042300,0.873335,0.872945,0.873385,0.872875,0
turbo,EURGBP-OTC,1782042360,0.872955,0.872595,0.872955,0.872555,0
turbo,EURGBP-OTC,1782042420,0.872615,0.872515,0.872615,0.872415,0
turbo,EURGBP-OTC,1782042480,0.872505,0.872565,0.872605,0.872415,0
turbo,EURGBP-OTC,1782042540,0.872565,0.872705,0.872785,0.872495,0
turbo,EURGBP-OTC,1782042600,0.872665,0.872525,0.872675,0.872425,0
turbo,EURGBP-OTC,1782042660,0.872505,0.872325,0.872515,0.872245,0
turbo,EURGBP-OTC,1782042720,0.872335,0.872415,0.872605,0.872335,0
turbo,EURGBP-OTC,1782042780,0.872455,0.872715,0.872765,0.872405,0
turbo,EURGBP-OTC,1782042840,0.872725,0.872735,0.872835,0.872595,0
turbo,EURGBP-OTC,1782042900,0.872725,0.872755,0.872825,0.872605,0
turbo,EURGBP-OTC,1782042960,0.872775,0.872875,0.872915,0.872695,0
turbo,EURGBP-OTC,1782043020,0.872855,0.872955,0.872965,0.872785,0
turbo,EURGBP-OTC,1782043080,0.872975,0.872945,0.873115,0.872895,0
turbo,EURGBP-OTC,1782043140,0.872935,0.873025,0.873135,0.872845,0
turbo,EURGBP-OTC,1782043200,0.873055,0.872735,0.873065,0.872725,0
turbo,EURGBP-OTC,1782043260,0.872715,0.873015,0.873065,0.872655,0
turbo,EURGBP-OTC,1782043320,0.873005,0.873045,0.873155,0.872985,0
turbo,EURGBP-OTC,1782043380,0.873055,0.873255,0.873255,0.872885,0
turbo,EURGBP-OTC,1782043440,0.873265,0.873135,0.873305,0.873015,0
turbo,EURGBP-OTC,1782043500,0.873175,0.873385,0.873405,0.873025,0
turbo,EURGBP-OTC,1782043560,0.873395,0.873315,0.873495,0.873215,0
turbo,EURGBP-OTC,1782043620,0.873325,0.873305,0.873415,0.873105,0
turbo,EURGBP-OTC,1782043680,0.873315,0.873475,0.873475,0.873275,0
turbo,EURGBP-OTC,1782043740,0.873445,0.873465,0.873605,0.873415,0
turbo,EURGBP-OTC,1782043800,0.873475,0.873785,0.873805,0.873425,0
turbo,EURGBP-OTC,1782043860,0.873815,0.873855,0.874055,0.873735,0
turbo,EURGBP-OTC,1782043920,0.873845,0.873795,0.873985,0.873775,0
turbo,EURGBP-OTC,1782043980,0.873785,0.873855,0.873995,0.873785,0
turbo,EURGBP-OTC,1782044040,0.873865,0.873635,0.873865,0.873595,0
turbo,EURGBP-OTC,1782044100,0.873645,0.873505,0.873705,0.873395,0
turbo,EURGBP-OTC,1782044160,0.873505,0.873725,0.873725,0.873445,0
turbo,EURGBP-OTC,1782044220,0.873695,0.873625,0.873695,0.873435,0
turbo,EURGBP-OTC,1782044280,0.873615,0.873755,0.873785,0.873565,0
turbo,EURGBP-OTC,1782044340,0.873755,0.873905,0.873965,0.873745,0
turbo,EURGBP-OTC,1782044400,0.873915,0.873745,0.874025,0.873705,0
turbo,EURGBP-OTC,1782044460,0.873745,0.873735,0.873945,0.873675,0
turbo,EURGBP-OTC,1782044520,0.873745,0.873725,0.873775,0.873625,0
turbo,EURGBP-OTC,1782044580,0.873715,0.873665,0.873755,0.873635,0
