tipo,activo,from,open,close,max,min,volume
turbo,EURNZD-OTC,1782036300,1.918635,1.916945,1.918715,1.916505,0
turbo,EURNZD-OTC,1782036360,1.916875,1.916825,1.918025,1.916615,0
turbo,EURNZD-OTC,1782036420,1.916795,1.916545,1.917325,1.915085,0
turbo,EURNZD-OTC,1782036480,1.916615,1.916705,1.918225,1.915795,0
turbo,EURNZD-OTC,1782036540,1.917005,1.916925,1.918245,1.916095,0
turbo,EURNZD-OTC,1782036600,1.916675,1.916805,1.918205,1.915595,0
turbo,EURNZD-OTC,1782036660,1.916935,1.918345,1.918575,1.916305,0
turbo,EURNZD-OTC,1782036720,1.918375,1.921055,1.921645,1.918375,0
turbo,EURNZD-OTC,1782036780,1.921185,1.920415,1.922425,1.920045,0
turbo,EURNZD-OTC,1782036840,1.920325,1.922385,1.923725,1.919945,0
turbo,EURNZD-OTC,1782036900,1.922605,1.924765,1.925325,1.922605,0
turbo,EURNZD-OTC,1782036960,1.924725,1.924925,1.925225,1.923685,0
turbo,EURNZD-OTC,1782037020,1.925025,1.923425,1.925275,1.923425,0
turbo,EURNZD-OTC,1782037080,1.923465,1.922995,1.924155,1.922085,0
turbo,EURNZD-OTC,1782037140,1.923135,1.921685,1.923735,1.920775,0
turbo,EURNZD-OTC,1782037200,1.921585,1.922355,1.924325,1.921265,0
turbo,EURNZD-OTC,1782037260,1.922315,1.922725,1.923005,1.921095,0
turbo,EURNZD-OTC,1782037320,1.922805,1.922625,1.924305,1.922625,0
turbo,EURNZD-OTC,1782037380,1.922475,1.920205,1.922475,1.919025,0
turbo,EURNZD-OTC,1782037440,1.920355,1.918345,1.920465,1.917995,0
turbo,EURNZD-OTC,1782037500,1.918325,1.918625,1.919725,1.917935,0
turbo,EURNZD-OTC,1782037560,1.918575,1.920155,1.920725,1.918005,0
turbo,EURNZD-OTC,1782037620,1.920005,1.919305,1.920275,1.918405,0
turbo,EURNZD-OTC,1782037680,1.919425,1.921345,1.922215,1.919375,0
turbo,EURNZD-OTC,1782037740,1.921465,1.923175,1.923605,1.921445,0
turbo,EURNZD-OTC,1782037800,1.923115,1.923755,1.924745,1.922745,0
turbo,EURNZD-OTC,1782037860,1.923605,1.925645,1.925725,1.923045,0
turbo,EURNZD-OTC,1782037920,1.925305,1.929205,1.929525,1.924715,0
turbo,EURNZD-OTC,1782037980,1.929115,1.930905,1.932045,1.928695,0
turbo,EURNZD-OTC,1782038040,1.931015,1.932695,1.933345,1.930815,0
turbo,EURNZD-OTC,1782038100,1.932785,1.934315,1.934465,1.931615,0
turbo,EURNZD-OTC,1782038160,1.934195,1.935825,1.936675,1.934005,0
turbo,EURNZD-OTC,1782038220,1.935855,1.935555,1.936445,1.934795,0
turbo,EURNZD-OTC,1782038280,1.935585,1.935665,1.936665,1.934755,0
turbo,EURNZD-OTC,1782038340,1.935735,1.934185,1.936625,1.933225,0
turbo,EURNZD-OTC,1782038400,1.934225,1.933795,1.935695,1.933575,0
turbo,EURNZD-OTC,1782038460,1.933715,1.931855,1.933745,1.930885,0
turbo,EURNZD-OTC,1782038520,1.931915,1.931305,1.932935,1.930755,0
turbo,EURNZD-OTC,1782038580,1.931405,1.928515,1.932025,1.928195,0
turbo,EURNZD-OTC,1782038640,1.928545,1.927355,1.928785,1.926875,0
turbo,EURNZD-OTC,1782038700,1.927115,1.926335,1.927115,1.924785,0
turbo,EURNZD-OTC,1782038760,1.926375,1.926145,1.927725,1.925315,0
turbo,EURNZD-OTC,1782038820,1.926245,1.928195,1.928545,1.926135,0
turbo,EURNZD-OTC,1782038880,1.928055,1.925415,1.929325,1.925325,0
turbo,EURNZD-OTC,1782038940,1.925305,1.924005,1.925705,1.922595,0
turbo,EURNZD-OTC,1782039000,1.923875,1.926685,1.926955,1.923775,0
turbo,EURNZD-OTC,1782039060,1.926795,1.924925,1.927325,1.923745,0
turbo,EURNZD-OTC,1782039120,1.925025,1.922255,1.925635,1.922235,0
turbo,EURNZD-OTC,1782039180,1.922335,1.920835,1.922565,1.920045,0
turbo,EURNZD-OTC,1782039240,1.920885,1.922875,1.922875,1.920195,0
turbo,EURNZD-OTC,1782039300,1.923005,1.924345,1.925115,1.922435,0
turbo,EURNZD-OTC,1782039360,1.924205,1.923705,1.925185,1.923175,0
turbo,EURNZD-OTC,1782039420,1.923645,1.926605,1.927075,1.923645,0
turbo,EURNZD-OTC,1782039480,1.926655,1.924115,1.927495,1.924115,0
turbo,EURNZD-OTC,1782039540,1.924205,1.923705,1.924585,1.922765,0
turbo,EURNZD-OTC,1782039600,1.923615,1.926365,1.926365,1.923615,0
turbo,EURNZD-OTC,1782039660,1.926225,1.925665,1.927825,1.925595,0
turbo,EURNZD-OTC,1782039720,1.925515,1.924675,1.925975,1.924225,0
turbo,EURNZD-OTC,1782039780,1.924715,1.927845,1.927915,1.924655,0
turbo,EURNZD-OTC,1782039840,1.927995,1.931765,1.932085,1.927845,0
turbo,EURNZD-OTC,1782039900,1.931505,1.934335,1.934565,1.930745,0
turbo,EURNZD-OTC,1782039960,1.934375,1.934635,1.935665,1.933275,0
turbo,EURNZD-OTC,1782040020,1.934605,1.934855,1.935315,1.933505,0
turbo,EURNZD-OTC,1782040080,1.934885,1.936775,1.936805,1.934415,0
turbo,EURNZD-OTC,1782040140,1.936665,1.937125,1.938225,1.936165,0
turbo,EURNZD-OTC,1782040200,1.937245,1.934545,1.937425,1.934205,0
turbo,EURNZD-OTC,1782040260,1.934675,1.934475,1.936135,1.933885,0
turbo,EURNZD-OTC,1782040320,1.934535,1.936265,1.937115,1.934535,0
turbo,EURNZD-OTC,1782040380,1.936245,1.932115,1.936245,1.931645,0
turbo,EURNZD-OTC,1782040440,1.932065,1.934125,1.934235,1.931145,0
turbo,EURNZD-OTC,1782040500,1.934285,1.934515,1.935375,1.933815,0
turbo,EURNZD-OTC,1782040560,1.934585,1.935525,1.936235,1.934365,0
turbo,EURNZD-OTC,1782040620,1.935455,1.934315,1.936485,1.934315,0
turbo,EURNZD-OTC,1782040680,1.934465,1.936405,1.936785,1.934295,0
turbo,EURNZD-OTC,1782040740,1.936495,1.936945,1.937635,1.935645,0
turbo,EURNZD-OTC,1782040800,1.936815,1.933895,1.937195,1.933895,0
