tipo,activo,from,open,close,max,min,volume
turbo,EURUSD-OTC,1782913680,1.140435,1.140245,1.140605,1.140065,0
turbo,EURUSD-OTC,1782913740,1.140225,1.140535,1.140645,1.140045,0
turbo,EURUSD-OTC,1782913800,1.140515,1.140565,1.140785,1.140345,0
turbo,EURUSD-OTC,1782913860,1.140555,1.140545,1.140845,1.140475,0
turbo,EURUSD-OTC,1782913920,1.140565,1.140825,1.141145,1.140415,0
turbo,EURUSD-OTC,1782913980,1.140835,1.141275,1.141545,1.140775,0
turbo,EURUSD-OTC,1782914040,1.141245,1.141385,1.141475,1.140945,0
turbo,EURUSD-OTC,1782914100,1.141415,1.142185,1.142295,1.141415,0
turbo,EURUSD-OTC,1782914160,1.142195,1.142795,1.142995,1.142135,0
turbo,EURUSD-OTC,1782914220,1.142775,1.143345,1.143565,1.142675,0
turbo,EURUSD-OTC,1782914280,1.143375,1.143195,1.143595,1.142925,0
turbo,EURUSD-OTC,1782914340,1.143185,1.142715,1.143295,1.142715,0
turbo,EURUSD-OTC,1782914400,1.142695,1.142175,1.142765,1.142165,0
turbo,EURUSD-OTC,1782914460,1.142145,1.141975,1.142185,1.141525,0
turbo,EURUSD-OTC,1782914520,1.142045,1.141815,1.142245,1.141665,0
turbo,EURUSD-OTC,1782914580,1.141825,1.141455,1.141925,1.141295,0
turbo,EURUSD-OTC,1782914640,1.141435,1.140835,1.141435,1.140695,0
turbo,EURUSD-OTC,1782914700,1.140745,1.140485,1.140745,1.140435,0
turbo,EURUSD-OTC,1782914760,1.140405,1.139765,1.140495,1.139715,0
turbo,EURUSD-OTC,1782914820,1.139805,1.139405,1.140175,1.139395,0
turbo,EURUSD-OTC,1782914880,1.139435,1.138785,1.139435,1.138645,0
turbo,EURUSD-OTC,1782914940,1.138765,1.139635,1.139635,1.138735,0
turbo,EURUSD-OTC,1782915000,1.139665,1.139895,1.139895,1.139365,0
turbo,EURUSD-OTC,1782915060,1.139835,1.139465,1.139905,1.139345,0
turbo,EURUSD-OTC,1782915120,1.139505,1.140255,1.140275,1.139365,0
turbo,EURUSD-OTC,1782915180,1.140265,1.139665,1.140365,1.139615,0
turbo,EURUSD-OTC,1782915240,1.139675,1.139225,1.139675,1.138975,0
turbo,EURUSD-OTC,1782915300,1.139215,1.139315,1.139665,1.139125,0
turbo,EURUSD-OTC,1782915360,1.139275,1.138775,1.139345,1.138405,0
turbo,EURUSD-OTC,1782915420,1.138835,1.139245,1.139345,1.138665,0
turbo,EURUSD-OTC,1782915480,1.139225,1.138905,1.139305,1.138775,0
turbo,EURUSD-OTC,1782915540,1.138885,1.139235,1.139535,1.138795,0
turbo,EURUSD-OTC,1782915600,1.139185,1.139045,1.139505,1.138985,0
turbo,EURUSD-OTC,1782915660,1.139055,1.139135,1.139215,1.138825,0
turbo,EURUSD-OTC,1782915720,1.139115,1.139085,1.139285,1.138685,0
turbo,EURUSD-OTC,1782915780,1.139115,1.139175,1.139465,1.138915,0
turbo,EURUSD-OTC,1782915840,1.139215,1.138355,1.139345,1.138275,0
turbo,EURUSD-OTC,1782915900,1.138335,1.138635,1.138845,1.138185,0
turbo,EURUSD-OTC,1782915960,1.138615,1.139175,1.139175,1.138585,0
turbo,EURUSD-OTC,1782916020,1.139135,1.139485,1.139725,1.139135,0
turbo,EURUSD-OTC,1782916080,1.139495,1.140485,1.140605,1.139465,0
turbo,EURUSD-OTC,1782916140,1.140505,1.140545,1.140605,1.140205,0
turbo,EURUSD-OTC,1782916200,1.140565,1.140415,1.140715,1.140175,0
turbo,EURUSD-OTC,1782916260,1.140365,1.141125,1.141365,1.140365,0
turbo,EURUSD-OTC,1782916320,1.141145,1.141025,1.141405,1.140695,0
turbo,EURUSD-OTC,1782916380,1.141035,1.140605,1.141355,1.140585,0
turbo,EURUSD-OTC,1782916440,1.140615,1.140275,1.140615,1.139915,0
turbo,EURUSD-OTC,1782916500,1.140255,1.140095,1.140405,1.140035,0
turbo,EURUSD-OTC,1782916560,1.140045,1.140735,1.140735,1.139875,0
turbo,EURUSD-OTC,1782916620,1.140745,1.140885,1.141175,1.140565,0
turbo,EURUSD-OTC,1782916680,1.140915,1.141445,1.141615,1.140835,0
turbo,EURUSD-OTC,1782916740,1.141485,1.141425,1.141855,1.141305,0
turbo,EURUSD-OTC,1782916800,1.141445,1.141495,1.141775,1.141305,0
turbo,EURUSD-OTC,1782916860,1.141445,1.141685,1.141805,1.141125,0
turbo,EURUSD-OTC,1782916920,1.141695,1.140985,1.141835,1.140895,0
turbo,EURUSD-OTC,1782916980,1.140935,1.140275,1.141105,1.140275,0
turbo,EURUSD-OTC,1782917040,1.140285,1.139505,1.140285,1.139425,0
turbo,EURUSD-OTC,1782917100,1.139495,1.139905,1.140155,1.139495,0
turbo,EURUSD-OTC,1782917160,1.139935,1.139745,1.139955,1.139515,0
turbo,EURUSD-OTC,1782917220,1.139715,1.139605,1.139955,1.139545,0
turbo,EURUSD-OTC,1782917280,1.139595,1.140135,1.140355,1.139595,0
turbo,EURUSD-OTC,1782917340,1.140085,1.140995,1.141215,1.140065,0
turbo,EURUSD-OTC,1782917400,1.140975,1.141335,1.141565,1.140605,0
turbo,EURUSD-OTC,1782917460,1.141325,1.141655,1.141745,1.141325,0
turbo,EURUSD-OTC,1782917520,1.141675,1.141915,1.142125,1.141435,0
turbo,EURUSD-OTC,1782917580,1.141885,1.141875,1.141965,1.141505,0
turbo,EURUSD-OTC,1782917640,1.141885,1.141305,1.141965,1.141245,0
turbo,EURUSD-OTC,1782917700,1.141275,1.142135,1.142245,1.141275,0
turbo,EURUSD-OTC,1782917760,1.142125,1.141725,1.142155,1.141535,0
turbo,EURUSD-OTC,1782917820,1.141705,1.141255,1.141755,1.141035,0
turbo,EURUSD-OTC,1782917880,1.141245,1.141625,1.141665,1.140735,0
turbo,EURUSD-OTC,1782917940,1.141605,1.141335,1.141865,1.141275,0
turbo,EURUSD-OTC,1782918000,1.141325,1.141715,1.141795,1.141195,0
turbo,EURUSD-OTC,1782918060,1.141665,1.142045,1.142305,1.141665,0
turbo,EURUSD-OTC,1782918120,1.142075,1.140815,1.142165,1.140815,0
turbo,EURUSD-OTC,1782918180,1.140805,1.140685,1.141005,1.140255,0
turbo,EURUSD-OTC,1782918240,1.140755,1.141385,1.141455,1.140595,0
turbo,EURUSD-OTC,1782918300,1.141425,1.141895,1.141985,1.141315,0
turbo,EURUSD-OTC,1782918360,1.141995,1.142145,1.142165,1.141555,0
turbo,EURUSD-OTC,1782918420,1.142155,1.142205,1.142345,1.142085,0
turbo,EURUSD-OTC,1782918480,1.142145,1.142475,1.142495,1.141765,0
turbo,EURUSD-OTC,1782918540,1.142455,1.142255,1.142695,1.141925,0
turbo,EURUSD-OTC,1782918600,1.142205,1.142585,1.142765,1.142165,0
turbo,EURUSD-OTC,1782918660,1.142615,1.142395,1.142755,1.142365,0
turbo,EURUSD-OTC,1782918720,1.142405,1.142195,1.142555,1.142125,0
turbo,EURUSD-OTC,1782918780,1.142185,1.141895,1.142375,1.141815,0
turbo,EURUSD-OTC,1782918840,1.141905,1.142145,1.142205,1.141705,0
turbo,EURUSD-OTC,1782918900,1.142125,1.142705,1.142865,1.142025,0
turbo,EURUSD-OTC,1782918960,1.142715,1.142865,1.142965,1.142385,0
turbo,EURUSD-OTC,1782919020,1.142875,1.142535,1.142995,1.142435,0
turbo,EURUSD-OTC,1782919080,1.142525,1.142035,1.142715,1.142035,0
turbo,EURUSD-OTC,1782919140,1.142045,1.142065,1.142655,1.141985,0
turbo,EURUSD-OTC,1782919200,1.142055,1.142025,1.142305,1.141795,0
turbo,EURUSD-OTC,1782919260,1.141995,1.142215,1.142275,1.141545,0
turbo,EURUSD-OTC,1782919320,1.142185,1.142375,1.142515,1.142115,0
turbo,EURUSD-OTC,1782919380,1.142385,1.142005,1.142385,1.141955,0
turbo,EURUSD-OTC,1782919440,1.142045,1.142075,1.142245,1.141825,0
turbo,EURUSD-OTC,1782919500,1.142085,1.143195,1.143255,1.142065,0
turbo,EURUSD-OTC,1782919560,1.143205,1.143325,1.143605,1.143195,0
turbo,EURUSD-OTC,1782919620,1.143305,1.143365,1.143505,1.143145,0
turbo,EURUSD-OTC,1782919680,1.143395,1.143765,1.144175,1.143395,0
turbo,EURUSD-OTC,1782919740,1.143795,1.143795,1.144155,1.143495,0
turbo,EURUSD-OTC,1782919800,1.143775,1.144345,1.144365,1.143635,0
turbo,EURUSD-OTC,1782919860,1.144355,1.144325,1.144925,1.144245,0
turbo,EURUSD-OTC,1782919920,1.144345,1.143855,1.144685,1.143765,0
turbo,EURUSD-OTC,1782919980,1.143835,1.143245,1.143985,1.143245,0
turbo,EURUSD-OTC,1782920040,1.143235,1.143705,1.143705,1.143055,0
turbo,EURUSD-OTC,1782920100,1.143785,1.143845,1.144245,1.143685,0
turbo,EURUSD-OTC,1782920160,1.143875,1.143785,1.144195,1.143785,0
turbo,EURUSD-OTC,1782920220,1.143795,1.143295,1.143805,1.143105,0
turbo,EURUSD-OTC,1782920280,1.143345,1.142845,1.143405,1.142815,0
turbo,EURUSD-OTC,1782920340,1.142815,1.142445,1.142975,1.142385,0
turbo,EURUSD-OTC,1782920400,1.142435,1.142815,1.143025,1.142275,0
turbo,EURUSD-OTC,1782920460,1.142805,1.142715,1.143235,1.142695,0
turbo,EURUSD-OTC,1782920520,1.142745,1.142775,1.142845,1.142325,0
turbo,EURUSD-OTC,1782920580,1.142765,1.142745,1.143075,1.142645,0
turbo,EURUSD-OTC,1782920640,1.142795,1.142515,1.142855,1.142015,0
turbo,EURUSD-OTC,1782920700,1.142495,1.142915,1.143025,1.142295,0
turbo,EURUSD-OTC,1782920760,1.142925,1.142785,1.142935,1.142405,0
turbo,EURUSD-OTC,1782920820,1.142775,1.142535,1.142845,1.142435,0
turbo,EURUSD-OTC,1782920880,1.142525,1.143165,1.143205,1.142525,0
turbo,EURUSD-OTC,1782920940,1.143195,1.143195,1.143425,1.142975,0
turbo,EURUSD-OTC,1782921000,1.143175,1.143175,1.143435,1.143075,0
turbo,EURUSD-OTC,1782921060,1.143195,1.142825,1.143415,1.142775,0
turbo,EURUSD-OTC,1782921120,1.142835,1.142665,1.142845,1.142425,0
turbo,EURUSD-OTC,1782921180,1.142675,1.142365,1.142725,1.142305,0
turbo,EURUSD-OTC,1782921240,1.142315,1.142405,1.142635,1.142025,0
turbo,EURUSD-OTC,1782921300,1.142425,1.142205,1.142845,1.142205,0
turbo,EURUSD-OTC,1782921360,1.142255,1.142295,1.142305,1.141675,0
turbo,EURUSD-OTC,1782921420,1.142255,1.142915,1.143125,1.142005,0
turbo,EURUSD-OTC,1782921480,1.142935,1.143575,1.143575,1.142835,0
turbo,EURUSD-OTC,1782921540,1.143555,1.143735,1.143875,1.143225,0
turbo,EURUSD-OTC,1782921600,1.143725,1.144105,1.144235,1.143675,0
turbo,EURUSD-OTC,1782921660,1.144115,1.144635,1.144635,1.143895,0
turbo,EURUSD-OTC,1782921720,1.144615,1.144355,1.144705,1.144315,0
turbo,EURUSD-OTC,1782921780,1.144365,1.143695,1.144435,1.143565,0
turbo,EURUSD-OTC,1782921840,1.143715,1.143835,1.144095,1.143655,0
turbo,EURUSD-OTC,1782921900,1.143805,1.143255,1.143925,1.143255,0
turbo,EURUSD-OTC,1782921960,1.143295,1.143685,1.143965,1.143295,0
turbo,EURUSD-OTC,1782922020,1.143675,1.143785,1.144175,1.143505,0
