tipo,activo,from,open,close,max,min,volume
turbo,FARTCOINUSD-OTC,1782036180,0.089015,0.088695,0.089275,0.088385,0
turbo,FARTCOINUSD-OTC,1782036240,0.088685,0.089425,0.089815,0.088605,0
turbo,FARTCOINUSD-OTC,1782036300,0.089415,0.089965,0.090095,0.089295,0
turbo,FARTCOINUSD-OTC,1782036360,0.089975,0.088785,0.089975,0.088605,0
turbo,FARTCOINUSD-OTC,1782036420,0.088855,0.089135,0.089295,0.088505,0
turbo,FARTCOINUSD-OTC,1782036480,0.089165,0.090445,0.090485,0.089105,0
turbo,FARTCOINUSD-OTC,1782036540,0.090415,0.090835,0.090965,0.089875,0
turbo,FARTCOINUSD-OTC,1782036600,0.090895,0.090215,0.090895,0.090035,0
turbo,FARTCOINUSD-OTC,1782036660,0.090185,0.089685,0.090435,0.089475,0
turbo,FARTCOINUSD-OTC,1782036720,0.089675,0.090055,0.090455,0.089675,0
turbo,FARTCOINUSD-OTC,1782036780,0.090065,0.089755,0.090585,0.089735,0
turbo,FARTCOINUSD-OTC,1782036840,0.089765,0.089025,0.090105,0.088965,0
turbo,FARTCOINUSD-OTC,1782036900,0.089005,0.089365,0.089785,0.088975,0
turbo,FARTCOINUSD-OTC,1782036960,0.089395,0.090125,0.090125,0.089275,0
turbo,FARTCOINUSD-OTC,1782037020,0.090095,0.090585,0.090715,0.090065,0
turbo,FARTCOINUSD-OTC,1782037080,0.090595,0.089705,0.090755,0.089575,0
turbo,FARTCOINUSD-OTC,1782037140,0.089725,0.090115,0.090465,0.089645,0
turbo,FARTCOINUSD-OTC,1782037200,0.090185,0.089795,0.090535,0.089625,0
turbo,FARTCOINUSD-OTC,1782037260,0.089745,0.089425,0.090045,0.089375,0
turbo,FARTCOINUSD-OTC,1782037320,0.089415,0.088855,0.089895,0.088785,0
turbo,FARTCOINUSD-OTC,1782037380,0.088915,0.089065,0.089065,0.088585,0
turbo,FARTCOINUSD-OTC,1782037440,0.089105,0.088955,0.089465,0.088895,0
turbo,FARTCOINUSD-OTC,1782037500,0.088995,0.089375,0.089455,0.088895,0
turbo,FARTCOINUSD-OTC,1782037560,0.089345,0.089945,0.089965,0.089225,0
turbo,FARTCOINUSD-OTC,1782037620,0.089955,0.090535,0.090625,0.089785,0
turbo,FARTCOINUSD-OTC,1782037680,0.090565,0.089825,0.090635,0.089645,0
turbo,FARTCOINUSD-OTC,1782037740,0.089755,0.089925,0.090775,0.089635,0
