tipo,activo,from,open,close,max,min,volume
turbo,FETUSD-OTC,1782036300,0.155535,0.155225,0.155805,0.154875,0
turbo,FETUSD-OTC,1782036360,0.155195,0.156175,0.156315,0.155015,0
turbo,FETUSD-OTC,1782036420,0.156185,0.155975,0.156185,0.155355,0
turbo,FETUSD-OTC,1782036480,0.155995,0.153435,0.156095,0.153435,0
turbo,FETUSD-OTC,1782036540,0.153365,0.152775,0.153805,0.152535,0
turbo,FETUSD-OTC,1782036600,0.152705,0.153175,0.153605,0.152595,0
turbo,FETUSD-OTC,1782036660,0.153165,0.153465,0.153955,0.153165,0
turbo,FETUSD-OTC,1782036720,0.153445,0.153175,0.153805,0.153105,0
turbo,FETUSD-OTC,1782036780,0.153085,0.153715,0.153795,0.152575,0
turbo,FETUSD-OTC,1782036840,0.153745,0.153845,0.154315,0.153355,0
turbo,FETUSD-OTC,1782036900,0.153855,0.153235,0.153995,0.152745,0
turbo,FETUSD-OTC,1782036960,0.153275,0.153695,0.154455,0.153135,0
turbo,FETUSD-OTC,1782037020,0.153715,0.151185,0.153715,0.151155,0
turbo,FETUSD-OTC,1782037080,0.151215,0.152495,0.152535,0.151125,0
turbo,FETUSD-OTC,1782037140,0.152555,0.153035,0.153235,0.152345,0
turbo,FETUSD-OTC,1782037200,0.153175,0.152025,0.153465,0.151485,0
turbo,FETUSD-OTC,1782037260,0.152045,0.152215,0.152255,0.151525,0
turbo,FETUSD-OTC,1782037320,0.152285,0.153105,0.153105,0.151555,0
turbo,FETUSD-OTC,1782037380,0.153085,0.153565,0.153815,0.152715,0
turbo,FETUSD-OTC,1782037440,0.153595,0.153515,0.154285,0.153485,0
turbo,FETUSD-OTC,1782037500,0.153315,0.153035,0.153435,0.152475,0
turbo,FETUSD-OTC,1782037560,0.153155,0.152325,0.153775,0.152105,0
turbo,FETUSD-OTC,1782037620,0.152315,0.151415,0.152825,0.151155,0
turbo,FETUSD-OTC,1782037680,0.151455,0.152385,0.152905,0.151375,0
turbo,FETUSD-OTC,1782037740,0.152325,0.152495,0.152875,0.152075,0
turbo,FETUSD-OTC,1782037800,0.152475,0.152695,0.153005,0.152245,0
turbo,FETUSD-OTC,1782037860,0.152665,0.152565,0.153395,0.152075,0
turbo,FETUSD-OTC,1782037920,0.152585,0.153355,0.153555,0.151955,0
turbo,FETUSD-OTC,1782037980,0.153295,0.153625,0.154195,0.153125,0
turbo,FETUSD-OTC,1782038040,0.153645,0.153675,0.154515,0.153435,0
turbo,FETUSD-OTC,1782038100,0.153665,0.153615,0.154145,0.153225,0
turbo,FETUSD-OTC,1782038160,0.153645,0.152985,0.154135,0.152905,0
turbo,FETUSD-OTC,1782038220,0.152895,0.152595,0.153285,0.152315,0
turbo,FETUSD-OTC,1782038280,0.152425,0.153735,0.153825,0.152315,0
turbo,FETUSD-OTC,1782038340,0.153705,0.153855,0.154075,0.152855,0
turbo,FETUSD-OTC,1782038400,0.153825,0.152405,0.154255,0.152385,0
turbo,FETUSD-OTC,1782038460,0.152405,0.152455,0.153125,0.152285,0
turbo,FETUSD-OTC,1782038520,0.152485,0.151485,0.152785,0.151345,0
turbo,FETUSD-OTC,1782038580,0.151625,0.151125,0.152085,0.151125,0
turbo,FETUSD-OTC,1782038640,0.151085,0.150685,0.151355,0.150685,0
turbo,FETUSD-OTC,1782038700,0.150695,0.149495,0.151095,0.149405,0
turbo,FETUSD-OTC,1782038760,0.149605,0.148885,0.149725,0.148615,0
turbo,FETUSD-OTC,1782038820,0.149015,0.149755,0.149975,0.149015,0
turbo,FETUSD-OTC,1782038880,0.149655,0.149095,0.150075,0.149095,0
turbo,FETUSD-OTC,1782038940,0.149085,0.148165,0.149095,0.148125,0
turbo,FETUSD-OTC,1782039000,0.148205,0.148505,0.148675,0.147975,0
turbo,FETUSD-OTC,1782039060,0.148565,0.148835,0.149505,0.148025,0
turbo,FETUSD-OTC,1782039120,0.148825,0.149635,0.149885,0.148305,0
turbo,FETUSD-OTC,1782039180,0.149615,0.150005,0.150045,0.149385,0
turbo,FETUSD-OTC,1782039240,0.150095,0.150435,0.150805,0.149495,0
turbo,FETUSD-OTC,1782039300,0.150355,0.150165,0.150645,0.149645,0
turbo,FETUSD-OTC,1782039360,0.150125,0.150045,0.150215,0.149215,0
turbo,FETUSD-OTC,1782039420,0.149995,0.150415,0.150755,0.149725,0
turbo,FETUSD-OTC,1782039480,0.150395,0.149345,0.150715,0.148885,0
turbo,FETUSD-OTC,1782039540,0.149275,0.149625,0.150065,0.149055,0
turbo,FETUSD-OTC,1782039600,0.149655,0.148735,0.149665,0.148525,0
turbo,FETUSD-OTC,1782039660,0.148675,0.148265,0.148925,0.148145,0
turbo,FETUSD-OTC,1782039720,0.148325,0.147875,0.148755,0.147865,0
turbo,FETUSD-OTC,1782039780,0.147865,0.148505,0.148955,0.147575,0
turbo,FETUSD-OTC,1782039840,0.148495,0.148475,0.149395,0.148335,0
turbo,FETUSD-OTC,1782039900,0.148445,0.148705,0.149025,0.148365,0
turbo,FETUSD-OTC,1782039960,0.148685,0.148855,0.148975,0.148315,0
turbo,FETUSD-OTC,1782040020,0.148875,0.149965,0.150145,0.148815,0
turbo,FETUSD-OTC,1782040080,0.149985,0.149455,0.150005,0.148815,0
turbo,FETUSD-OTC,1782040140,0.149465,0.149765,0.150265,0.149205,0
turbo,FETUSD-OTC,1782040200,0.149735,0.149425,0.149925,0.148855,0
turbo,FETUSD-OTC,1782040260,0.149415,0.151185,0.151245,0.149415,0
turbo,FETUSD-OTC,1782040320,0.151155,0.150985,0.151165,0.149865,0
turbo,FETUSD-OTC,1782040380,0.150935,0.149435,0.151095,0.149325,0
turbo,FETUSD-OTC,1782040440,0.149545,0.148535,0.149585,0.148435,0
turbo,FETUSD-OTC,1782040500,0.148545,0.147735,0.148795,0.147315,0
turbo,FETUSD-OTC,1782040560,0.147715,0.148885,0.148915,0.147385,0
turbo,FETUSD-OTC,1782040620,0.148905,0.148295,0.148965,0.147965,0
turbo,FETUSD-OTC,1782040680,0.148325,0.149185,0.149325,0.148055,0
turbo,FETUSD-OTC,1782040740,0.149205,0.148115,0.149315,0.147965,0
turbo,FETUSD-OTC,1782040800,0.148135,0.148415,0.148905,0.147935,0
turbo,FETUSD-OTC,1782040860,0.148405,0.149265,0.149325,0.148365,0
turbo,FETUSD-OTC,1782040920,0.149285,0.149015,0.149335,0.148465,0
turbo,FETUSD-OTC,1782040980,0.148985,0.149525,0.149735,0.148655,0
turbo,FETUSD-OTC,1782041040,0.149545,0.150335,0.150385,0.149115,0
turbo,FETUSD-OTC,1782041100,0.150275,0.150175,0.150755,0.149615,0
turbo,FETUSD-OTC,1782041160,0.150165,0.150645,0.151105,0.150125,0
turbo,FETUSD-OTC,1782041220,0.150715,0.150855,0.151115,0.150105,0
turbo,FETUSD-OTC,1782041280,0.150975,0.150975,0.151085,0.150275,0
turbo,FETUSD-OTC,1782041340,0.150865,0.150765,0.151085,0.150365,0
turbo,FETUSD-OTC,1782041400,0.150935,0.151435,0.151755,0.150775,0
turbo,FETUSD-OTC,1782041460,0.151465,0.150805,0.151615,0.150435,0
turbo,FETUSD-OTC,1782041520,0.150785,0.151325,0.151345,0.150365,0
turbo,FETUSD-OTC,1782041580,0.151415,0.151065,0.151505,0.150445,0
turbo,FETUSD-OTC,1782041640,0.151135,0.149155,0.151775,0.149125,0
turbo,FETUSD-OTC,1782041700,0.149075,0.148345,0.149365,0.148085,0
turbo,FETUSD-OTC,1782041760,0.148355,0.148435,0.148595,0.147735,0
turbo,FETUSD-OTC,1782041820,0.148455,0.148555,0.149205,0.148455,0
turbo,FETUSD-OTC,1782041880,0.148575,0.147935,0.148755,0.147795,0
turbo,FETUSD-OTC,1782041940,0.147945,0.147425,0.148185,0.147415,0
turbo,FETUSD-OTC,1782042000,0.147535,0.147665,0.147755,0.146945,0
turbo,FETUSD-OTC,1782042060,0.147675,0.148195,0.148195,0.147125,0
turbo,FETUSD-OTC,1782042120,0.148215,0.148975,0.149085,0.147965,0
turbo,FETUSD-OTC,1782042180,0.149095,0.149195,0.149575,0.148715,0
turbo,FETUSD-OTC,1782042240,0.149245,0.149125,0.149745,0.148875,0
turbo,FETUSD-OTC,1782042300,0.149105,0.148645,0.149145,0.148345,0
turbo,FETUSD-OTC,1782042360,0.148725,0.149805,0.149975,0.148435,0
turbo,FETUSD-OTC,1782042420,0.149835,0.150705,0.150885,0.149675,0
turbo,FETUSD-OTC,1782042480,0.150795,0.151555,0.151735,0.150715,0
turbo,FETUSD-OTC,1782042540,0.151485,0.151605,0.151975,0.151245,0
turbo,FETUSD-OTC,1782042600,0.151595,0.153015,0.153215,0.151595,0
turbo,FETUSD-OTC,1782042660,0.153005,0.152405,0.153315,0.152165,0
turbo,FETUSD-OTC,1782042720,0.152365,0.153695,0.153695,0.152365,0
turbo,FETUSD-OTC,1782042780,0.153685,0.153335,0.153945,0.152935,0
turbo,FETUSD-OTC,1782042840,0.153345,0.153015,0.153505,0.152465,0
turbo,FETUSD-OTC,1782042900,0.153035,0.153185,0.153355,0.152635,0
turbo,FETUSD-OTC,1782042960,0.153155,0.153205,0.153635,0.152365,0
turbo,FETUSD-OTC,1782043020,0.153405,0.153535,0.154425,0.153105,0
turbo,FETUSD-OTC,1782043080,0.153545,0.154925,0.154935,0.153485,0
turbo,FETUSD-OTC,1782043140,0.154915,0.155665,0.155755,0.154345,0
turbo,FETUSD-OTC,1782043200,0.155605,0.155235,0.155765,0.154385,0
turbo,FETUSD-OTC,1782043260,0.155275,0.155155,0.155545,0.153985,0
turbo,FETUSD-OTC,1782043320,0.155145,0.155745,0.156045,0.154725,0
turbo,FETUSD-OTC,1782043380,0.155755,0.156115,0.156245,0.155655,0
turbo,FETUSD-OTC,1782043440,0.156075,0.155545,0.156445,0.155435,0
turbo,FETUSD-OTC,1782043500,0.155555,0.156095,0.156305,0.155355,0
turbo,FETUSD-OTC,1782043560,0.156105,0.157025,0.157025,0.155755,0
turbo,FETUSD-OTC,1782043620,0.157015,0.155935,0.157485,0.155935,0
turbo,FETUSD-OTC,1782043680,0.155945,0.156035,0.156185,0.155385,0
turbo,FETUSD-OTC,1782043740,0.155995,0.156405,0.156805,0.155835,0
turbo,FETUSD-OTC,1782043800,0.156415,0.156115,0.157015,0.155585,0
turbo,FETUSD-OTC,1782043860,0.156125,0.154925,0.156455,0.154875,0
turbo,FETUSD-OTC,1782043920,0.154835,0.154335,0.155585,0.154075,0
turbo,FETUSD-OTC,1782043980,0.154325,0.155135,0.155285,0.154005,0
turbo,FETUSD-OTC,1782044040,0.155145,0.154745,0.155485,0.154725,0
turbo,FETUSD-OTC,1782044100,0.154715,0.154205,0.154985,0.153665,0
turbo,FETUSD-OTC,1782044160,0.153985,0.153405,0.154195,0.153375,0
turbo,FETUSD-OTC,1782044220,0.153445,0.153195,0.153615,0.152485,0
turbo,FETUSD-OTC,1782044280,0.153155,0.153145,0.153855,0.152655,0
turbo,FETUSD-OTC,1782044340,0.152985,0.151925,0.153125,0.151815,0
turbo,FETUSD-OTC,1782044400,0.152015,0.153115,0.153145,0.151755,0
turbo,FETUSD-OTC,1782044460,0.153135,0.152825,0.153135,0.152545,0
turbo,FETUSD-OTC,1782044520,0.152885,0.152055,0.152885,0.151455,0
turbo,FETUSD-OTC,1782044580,0.152175,0.151975,0.152545,0.151495,0
turbo,FETUSD-OTC,1782044640,0.151955,0.152205,0.152645,0.151765,0
turbo,FETUSD-OTC,1782044700,0.152195,0.151765,0.152365,0.150935,0
turbo,FETUSD-OTC,1782044760,0.151805,0.151005,0.152055,0.150875,0
turbo,FETUSD-OTC,1782044820,0.150885,0.149805,0.151025,0.149765,0
turbo,FETUSD-OTC,1782044880,0.149795,0.148825,0.150185,0.148605,0
turbo,FETUSD-OTC,1782044940,0.148855,0.149705,0.149725,0.148855,0
turbo,FETUSD-OTC,1782045000,0.149675,0.149825,0.150255,0.149645,0
turbo,FETUSD-OTC,1782045060,0.149755,0.148675,0.150465,0.148675,0
turbo,FETUSD-OTC,1782045120,0.148615,0.148385,0.148775,0.148065,0
turbo,FETUSD-OTC,1782045180,0.148405,0.148425,0.148885,0.147745,0
turbo,FETUSD-OTC,1782045240,0.148435,0.147475,0.148435,0.147275,0
turbo,FETUSD-OTC,1782045300,0.147495,0.147465,0.148145,0.147125,0
turbo,FETUSD-OTC,1782045360,0.147395,0.148095,0.148455,0.147165,0
turbo,FETUSD-OTC,1782045420,0.148105,0.149715,0.149715,0.148105,0
turbo,FETUSD-OTC,1782045480,0.149675,0.148795,0.149755,0.148795,0
turbo,FETUSD-OTC,1782045540,0.148815,0.148405,0.149205,0.148145,0
turbo,FETUSD-OTC,1782045600,0.148525,0.149875,0.150035,0.148415,0
turbo,FETUSD-OTC,1782045660,0.149985,0.149765,0.150685,0.149145,0
turbo,FETUSD-OTC,1782045720,0.149745,0.148335,0.149745,0.148295,0
turbo,FETUSD-OTC,1782045780,0.148315,0.150055,0.150375,0.148315,0
turbo,FETUSD-OTC,1782045840,0.150085,0.148005,0.150215,0.147995,0
turbo,FETUSD-OTC,1782045900,0.147995,0.148245,0.148545,0.147715,0
turbo,FETUSD-OTC,1782045960,0.148215,0.148825,0.149485,0.148095,0
turbo,FETUSD-OTC,1782046020,0.148785,0.150215,0.150275,0.148615,0
turbo,FETUSD-OTC,1782046080,0.150225,0.149175,0.150765,0.149175,0
turbo,FETUSD-OTC,1782046140,0.149095,0.147715,0.149095,0.147715,0
turbo,FETUSD-OTC,1782046200,0.147705,0.147385,0.148195,0.147225,0
turbo,FETUSD-OTC,1782046260,0.147375,0.147325,0.147375,0.146435,0
turbo,FETUSD-OTC,1782046320,0.147335,0.147135,0.147365,0.146495,0
turbo,FETUSD-OTC,1782046380,0.147125,0.146595,0.147905,0.146595,0
turbo,FETUSD-OTC,1782046440,0.146815,0.146855,0.146915,0.146075,0
turbo,FETUSD-OTC,1782046500,0.146825,0.148055,0.148095,0.146825,0
turbo,FETUSD-OTC,1782046560,0.148025,0.147185,0.148155,0.146885,0
turbo,FETUSD-OTC,1782046620,0.147165,0.147015,0.147515,0.146435,0
turbo,FETUSD-OTC,1782046680,0.147045,0.146755,0.147095,0.146495,0
turbo,FETUSD-OTC,1782046740,0.146765,0.147095,0.147755,0.146665,0
turbo,FETUSD-OTC,1782046800,0.147085,0.146415,0.147705,0.146415,0
turbo,FETUSD-OTC,1782046860,0.146405,0.144915,0.146435,0.144485,0
turbo,FETUSD-OTC,1782046920,0.144975,0.145665,0.145935,0.144495,0
turbo,FETUSD-OTC,1782046980,0.145715,0.145145,0.145935,0.145135,0
turbo,FETUSD-OTC,1782047040,0.145035,0.145915,0.146385,0.145025,0
turbo,FETUSD-OTC,1782047100,0.145935,0.145765,0.146195,0.145255,0
turbo,FETUSD-OTC,1782047160,0.145785,0.145445,0.145995,0.145425,0
turbo,FETUSD-OTC,1782047220,0.145605,0.144635,0.145605,0.144565,0
turbo,FETUSD-OTC,1782047280,0.144705,0.143885,0.144705,0.143495,0
turbo,FETUSD-OTC,1782047340,0.143905,0.143575,0.143905,0.143235,0
turbo,FETUSD-OTC,1782047400,0.143475,0.142205,0.143775,0.142205,0
turbo,FETUSD-OTC,1782047460,0.142215,0.142225,0.142735,0.142055,0
turbo,FETUSD-OTC,1782047520,0.142195,0.141005,0.142365,0.140665,0
turbo,FETUSD-OTC,1782047580,0.140985,0.139765,0.141005,0.139675,0
turbo,FETUSD-OTC,1782047640,0.139705,0.139575,0.140565,0.139515,0
turbo,FETUSD-OTC,1782047700,0.139685,0.141085,0.141095,0.139335,0
turbo,FETUSD-OTC,1782047760,0.140995,0.143015,0.143015,0.140705,0
turbo,FETUSD-OTC,1782047820,0.143005,0.142635,0.143155,0.142435,0
turbo,FETUSD-OTC,1782047880,0.142605,0.144355,0.144465,0.142595,0
turbo,FETUSD-OTC,1782047940,0.144345,0.146315,0.146535,0.144275,0
turbo,FETUSD-OTC,1782048000,0.146365,0.145525,0.146425,0.145475,0
turbo,FETUSD-OTC,1782048060,0.145545,0.145075,0.145545,0.144525,0
turbo,FETUSD-OTC,1782048120,0.145025,0.144575,0.145475,0.144505,0
