tipo,activo,from,open,close,max,min,volume
turbo,FLOKIUSD-OTC,1782036180,0.029085,0.029035,0.029145,0.028985,0
turbo,FLOKIUSD-OTC,1782036240,0.029045,0.029065,0.029075,0.028895,0
turbo,FLOKIUSD-OTC,1782036300,0.029055,0.029045,0.029095,0.028945,0
turbo,FLOKIUSD-OTC,1782036360,0.029045,0.029015,0.029085,0.028975,0
turbo,FLOKIUSD-OTC,1782036420,0.029005,0.028915,0.029035,0.028905,0
turbo,FLOKIUSD-OTC,1782036480,0.028915,0.028925,0.028985,0.028865,0
turbo,FLOKIUSD-OTC,1782036540,0.028915,0.029195,0.029195,0.028915,0
turbo,FLOKIUSD-OTC,1782036600,0.029195,0.028955,0.029195,0.028955,0
turbo,FLOKIUSD-OTC,1782036660,0.028945,0.028835,0.028975,0.028835,0
turbo,FLOKIUSD-OTC,1782036720,0.028825,0.028915,0.028925,0.028785,0
turbo,FLOKIUSD-OTC,1782036780,0.028905,0.028735,0.028995,0.028735,0
turbo,FLOKIUSD-OTC,1782036840,0.028745,0.028795,0.028805,0.028645,0
turbo,FLOKIUSD-OTC,1782036900,0.028785,0.028805,0.028865,0.028745,0
turbo,FLOKIUSD-OTC,1782036960,0.028815,0.028705,0.028825,0.028665,0
turbo,FLOKIUSD-OTC,1782037020,0.028715,0.028765,0.028815,0.028705,0
turbo,FLOKIUSD-OTC,1782037080,0.028775,0.028825,0.028855,0.028765,0
turbo,FLOKIUSD-OTC,1782037140,0.028815,0.028875,0.028875,0.028775,0
turbo,FLOKIUSD-OTC,1782037200,0.028865,0.028685,0.028885,0.028615,0
turbo,FLOKIUSD-OTC,1782037260,0.028695,0.028905,0.028915,0.028665,0
turbo,FLOKIUSD-OTC,1782037320,0.028915,0.028935,0.028995,0.028875,0
turbo,FLOKIUSD-OTC,1782037380,0.028925,0.028795,0.029005,0.028755,0
turbo,FLOKIUSD-OTC,1782037440,0.028785,0.028985,0.028985,0.028735,0
turbo,FLOKIUSD-OTC,1782037500,0.028995,0.029135,0.029175,0.028955,0
turbo,FLOKIUSD-OTC,1782037560,0.029125,0.029175,0.029235,0.029115,0
turbo,FLOKIUSD-OTC,1782037620,0.029165,0.029035,0.029205,0.028975,0
turbo,FLOKIUSD-OTC,1782037680,0.029045,0.029105,0.029135,0.029015,0
turbo,FLOKIUSD-OTC,1782037740,0.029115,0.029145,0.029145,0.028985,0
turbo,FLOKIUSD-OTC,1782037800,0.029135,0.029095,0.029195,0.029085,0
turbo,FLOKIUSD-OTC,1782037860,0.029085,0.028835,0.029085,0.028795,0
turbo,FLOKIUSD-OTC,1782037920,0.028845,0.028715,0.028845,0.028665,0
turbo,FLOKIUSD-OTC,1782037980,0.028705,0.028725,0.028755,0.028625,0
turbo,FLOKIUSD-OTC,1782038040,0.028715,0.028525,0.028735,0.028525,0
turbo,FLOKIUSD-OTC,1782038100,0.028515,0.028505,0.028575,0.028415,0
turbo,FLOKIUSD-OTC,1782038160,0.028485,0.028405,0.028495,0.028385,0
turbo,FLOKIUSD-OTC,1782038220,0.028415,0.028385,0.028435,0.028285,0
turbo,FLOKIUSD-OTC,1782038280,0.028395,0.028265,0.028395,0.028225,0
turbo,FLOKIUSD-OTC,1782038340,0.028265,0.028275,0.028305,0.028175,0
turbo,FLOKIUSD-OTC,1782038400,0.028285,0.028125,0.028285,0.028115,0
turbo,FLOKIUSD-OTC,1782038460,0.028145,0.028175,0.028225,0.028075,0
turbo,FLOKIUSD-OTC,1782038520,0.028165,0.028035,0.028185,0.028035,0
turbo,FLOKIUSD-OTC,1782038580,0.028025,0.028005,0.028165,0.028005,0
turbo,FLOKIUSD-OTC,1782038640,0.027995,0.028015,0.028125,0.027945,0
turbo,FLOKIUSD-OTC,1782038700,0.028025,0.028055,0.028145,0.027995,0
turbo,FLOKIUSD-OTC,1782038760,0.028065,0.028205,0.028315,0.028065,0
turbo,FLOKIUSD-OTC,1782038820,0.028225,0.028335,0.028435,0.028225,0
turbo,FLOKIUSD-OTC,1782038880,0.028325,0.028215,0.028355,0.028205,0
turbo,FLOKIUSD-OTC,1782038940,0.028185,0.028105,0.028265,0.028095,0
turbo,FLOKIUSD-OTC,1782039000,0.028105,0.027955,0.028195,0.027945,0
turbo,FLOKIUSD-OTC,1782039060,0.027945,0.027825,0.027945,0.027775,0
turbo,FLOKIUSD-OTC,1782039120,0.027835,0.027695,0.027835,0.027655,0
turbo,FLOKIUSD-OTC,1782039180,0.027715,0.027605,0.027745,0.027575,0
turbo,FLOKIUSD-OTC,1782039240,0.027605,0.027705,0.027745,0.027605,0
turbo,FLOKIUSD-OTC,1782039300,0.027715,0.027545,0.027715,0.027535,0
turbo,FLOKIUSD-OTC,1782039360,0.027555,0.027475,0.027565,0.027435,0
turbo,FLOKIUSD-OTC,1782039420,0.027485,0.027605,0.027605,0.027455,0
turbo,FLOKIUSD-OTC,1782039480,0.027625,0.027655,0.027725,0.027615,0
turbo,FLOKIUSD-OTC,1782039540,0.027645,0.027575,0.027685,0.027575,0
turbo,FLOKIUSD-OTC,1782039600,0.027585,0.027535,0.027595,0.027435,0
turbo,FLOKIUSD-OTC,1782039660,0.027545,0.027395,0.027545,0.027385,0
