tipo,activo,from,open,close,max,min,volume
turbo,FWONA-OTC,1782566760,67.5825,67.1105,67.7345,67.0735,0
turbo,FWONA-OTC,1782566820,67.0805,66.8205,67.2885,66.7335,0
turbo,FWONA-OTC,1782566880,66.8545,67.0385,67.2965,66.7645,0
turbo,FWONA-OTC,1782566940,67.0045,66.8305,67.1635,66.5885,0
turbo,FWONA-OTC,1782567000,66.8055,67.4705,67.5645,66.7935,0
turbo,FWONA-OTC,1782567060,67.4395,67.1845,67.6005,67.1265,0
turbo,FWONA-OTC,1782567120,67.1575,67.2435,67.5735,67.0735,0
turbo,FWONA-OTC,1782567180,67.2725,67.8785,67.9155,67.0925,0
turbo,FWONA-OTC,1782567240,67.8415,67.8015,67.8685,67.3535,0
turbo,FWONA-OTC,1782567300,67.8455,68.8105,68.8755,67.7855,0
turbo,FWONA-OTC,1782567360,68.8395,67.8355,68.9645,67.8275,0
turbo,FWONA-OTC,1782567420,67.8105,68.1155,68.4265,67.7345,0
turbo,FWONA-OTC,1782567480,68.1775,68.9645,69.1135,68.1445,0
turbo,FWONA-OTC,1782567540,68.9945,68.9835,69.4375,68.8175,0
turbo,FWONA-OTC,1782567600,68.9575,68.6935,69.0675,68.3715,0
turbo,FWONA-OTC,1782567660,68.6575,69.2235,69.3625,68.4455,0
turbo,FWONA-OTC,1782567720,69.2685,68.6705,69.3055,68.4945,0
turbo,FWONA-OTC,1782567780,68.7045,68.5565,69.3115,68.4125,0
turbo,FWONA-OTC,1782567840,68.5305,68.5835,68.9135,68.3045,0
turbo,FWONA-OTC,1782567900,68.5475,68.2115,68.7235,67.9645,0
turbo,FWONA-OTC,1782567960,68.2425,68.2755,68.9445,68.1515,0
turbo,FWONA-OTC,1782568020,68.3005,68.2185,68.5695,68.0685,0
turbo,FWONA-OTC,1782568080,68.2505,68.8805,69.0535,68.1925,0
turbo,FWONA-OTC,1782568140,68.8495,69.0245,69.3935,68.4855,0
turbo,FWONA-OTC,1782568200,68.9995,69.4815,69.7765,68.8905,0
turbo,FWONA-OTC,1782568260,69.4515,69.0675,69.4515,68.8495,0
turbo,FWONA-OTC,1782568320,69.0375,67.7225,69.1835,67.6115,0
turbo,FWONA-OTC,1782568380,67.6935,68.0685,68.1335,67.2695,0
turbo,FWONA-OTC,1782568440,68.0955,68.4845,68.9205,68.0955,0
turbo,FWONA-OTC,1782568500,68.4545,67.7675,68.4835,67.6805,0
turbo,FWONA-OTC,1782568560,67.7375,67.9715,68.0975,67.5685,0
turbo,FWONA-OTC,1782568620,68.0005,67.6285,68.3105,67.4855,0
turbo,FWONA-OTC,1782568680,67.6005,67.1025,67.6995,66.9845,0
turbo,FWONA-OTC,1782568740,67.1295,66.4325,67.1635,66.3575,0
turbo,FWONA-OTC,1782568800,66.4635,67.0715,67.1185,66.2205,0
turbo,FWONA-OTC,1782568860,67.1075,65.8425,67.4045,65.8125,0
turbo,FWONA-OTC,1782568920,65.8145,65.7455,65.9495,65.4615,0
turbo,FWONA-OTC,1782568980,65.7735,65.0195,65.7735,65.0195,0
turbo,FWONA-OTC,1782569040,64.9905,64.5315,65.0905,64.2905,0
turbo,FWONA-OTC,1782569100,64.5605,64.4625,64.7655,64.3375,0
turbo,FWONA-OTC,1782569160,64.4935,64.5005,64.5645,63.8385,0
turbo,FWONA-OTC,1782569220,64.5255,63.9035,64.5315,63.6895,0
turbo,FWONA-OTC,1782569280,63.8745,63.9585,64.1405,63.5115,0
turbo,FWONA-OTC,1782569340,63.8725,63.7215,64.1195,63.5985,0
turbo,FWONA-OTC,1782569400,63.7445,63.7425,63.8485,63.4145,0
turbo,FWONA-OTC,1782569460,63.7115,63.9105,64.0155,63.6055,0
turbo,FWONA-OTC,1782569520,63.8835,64.4325,64.4625,63.8355,0
turbo,FWONA-OTC,1782569580,64.4615,64.4355,64.6085,64.0325,0
turbo,FWONA-OTC,1782569640,64.4035,64.4265,64.9055,64.3385,0
turbo,FWONA-OTC,1782569700,64.4515,64.2515,64.7465,64.2495,0
turbo,FWONA-OTC,1782569760,64.2235,64.4055,64.7365,64.0185,0
turbo,FWONA-OTC,1782569820,64.4935,63.6875,64.5435,63.6365,0
turbo,FWONA-OTC,1782569880,63.6585,64.1795,64.2055,63.5475,0
turbo,FWONA-OTC,1782569940,64.2045,63.9225,64.2045,63.5535,0
turbo,FWONA-OTC,1782570000,63.8955,63.0435,64.0835,63.0435,0
turbo,FWONA-OTC,1782570060,63.0735,63.4115,63.7385,63.0035,0
turbo,FWONA-OTC,1782570120,63.4435,62.8845,63.9775,62.8165,0
turbo,FWONA-OTC,1782570180,62.9095,62.4245,62.9435,62.2005,0
turbo,FWONA-OTC,1782570240,62.4525,62.0405,63.0205,62.0105,0
turbo,FWONA-OTC,1782570300,62.0655,62.1175,62.1465,61.6395,0
turbo,FWONA-OTC,1782570360,62.1435,61.7265,62.3505,61.5735,0
turbo,FWONA-OTC,1782570420,61.6935,61.8585,61.9955,61.5895,0
turbo,FWONA-OTC,1782570480,61.8355,61.6055,61.8435,61.3885,0
turbo,FWONA-OTC,1782570540,61.5815,61.7575,61.8475,61.4875,0
turbo,FWONA-OTC,1782570600,61.7795,62.4055,62.4355,61.4955,0
turbo,FWONA-OTC,1782570660,62.4355,62.4195,62.7325,62.2205,0
turbo,FWONA-OTC,1782570720,62.3885,62.6345,62.9635,62.3165,0
turbo,FWONA-OTC,1782570780,62.6095,63.3395,63.5885,62.5075,0
turbo,FWONA-OTC,1782570840,63.3075,62.9635,63.6145,62.9065,0
turbo,FWONA-OTC,1782570900,62.9335,62.6815,62.9655,62.0165,0
turbo,FWONA-OTC,1782570960,62.6575,62.7545,62.8755,62.3475,0
turbo,FWONA-OTC,1782571020,62.7255,63.0415,63.1825,62.4375,0
turbo,FWONA-OTC,1782571080,63.0075,63.4455,63.4755,62.9415,0
turbo,FWONA-OTC,1782571140,63.4725,64.3395,64.6105,63.4475,0
turbo,FWONA-OTC,1782571200,64.3125,64.4655,64.8355,64.2795,0
turbo,FWONA-OTC,1782571260,64.4375,65.5585,65.5715,64.4375,0
turbo,FWONA-OTC,1782571320,65.5325,65.7695,65.8255,65.2595,0
turbo,FWONA-OTC,1782571380,65.7455,65.5175,66.0435,65.3355,0
turbo,FWONA-OTC,1782571440,65.5415,65.0355,65.6315,64.8945,0
turbo,FWONA-OTC,1782571500,65.0625,64.6565,65.0925,64.4065,0
turbo,FWONA-OTC,1782571560,64.6315,64.2195,64.9185,64.0575,0
turbo,FWONA-OTC,1782571620,64.2455,65.1945,65.4765,64.0245,0
turbo,FWONA-OTC,1782571680,65.1615,63.8395,65.1925,63.8395,0
turbo,FWONA-OTC,1782571740,63.8115,63.3675,63.9205,63.1565,0
turbo,FWONA-OTC,1782571800,63.3965,63.4495,63.5715,62.8645,0
turbo,FWONA-OTC,1782571860,63.4805,62.9475,63.5645,62.7195,0
turbo,FWONA-OTC,1782571920,62.9245,62.9915,63.2305,62.7125,0
turbo,FWONA-OTC,1782571980,63.0225,63.2025,63.2925,62.7665,0
turbo,FWONA-OTC,1782572040,63.1765,62.7235,63.5305,62.5305,0
turbo,FWONA-OTC,1782572100,62.7465,61.9085,62.8235,61.8645,0
turbo,FWONA-OTC,1782572160,61.8815,62.0755,62.2055,61.5195,0
turbo,FWONA-OTC,1782572220,62.0435,62.1135,62.3705,61.7865,0
turbo,FWONA-OTC,1782572280,62.1435,62.2935,62.5045,61.9275,0
turbo,FWONA-OTC,1782572340,62.2315,61.5855,62.2885,61.4585,0
turbo,FWONA-OTC,1782572400,61.6185,61.9105,61.9595,61.5665,0
turbo,FWONA-OTC,1782572460,61.9415,62.8795,63.0525,61.9415,0
turbo,FWONA-OTC,1782572520,62.9095,63.2285,63.5215,62.7795,0
turbo,FWONA-OTC,1782572580,63.2585,62.3505,63.3475,62.3505,0
turbo,FWONA-OTC,1782572640,62.2575,61.9855,62.5775,61.8985,0
turbo,FWONA-OTC,1782572700,61.9515,61.8765,62.3045,61.7155,0
turbo,FWONA-OTC,1782572760,61.8485,61.6425,61.9385,61.4895,0
turbo,FWONA-OTC,1782572820,61.6175,61.8875,61.9865,61.2775,0
turbo,FWONA-OTC,1782572880,61.8495,62.5185,62.6295,61.6695,0
turbo,FWONA-OTC,1782572940,62.4955,62.7695,62.9395,62.4175,0
turbo,FWONA-OTC,1782573000,62.7925,63.3555,63.3795,62.6865,0
turbo,FWONA-OTC,1782573060,63.3235,63.8255,63.8265,63.1455,0
turbo,FWONA-OTC,1782573120,63.8485,64.0705,64.6395,63.8205,0
turbo,FWONA-OTC,1782573180,64.1015,63.7015,64.1345,63.5665,0
turbo,FWONA-OTC,1782573240,63.6705,64.0135,64.2615,63.5585,0
turbo,FWONA-OTC,1782573300,64.0355,64.1315,64.1585,63.4305,0
turbo,FWONA-OTC,1782573360,64.1005,64.6165,64.6575,63.9805,0
turbo,FWONA-OTC,1782573420,64.6395,65.3595,65.3865,64.5005,0
turbo,FWONA-OTC,1782573480,65.3865,65.7005,65.9165,65.1305,0
turbo,FWONA-OTC,1782573540,65.6685,65.6625,66.1745,65.4595,0
turbo,FWONA-OTC,1782573600,65.6885,65.8455,66.1265,65.6045,0
turbo,FWONA-OTC,1782573660,65.8215,65.6445,65.8845,65.0355,0
turbo,FWONA-OTC,1782573720,65.6765,65.1735,65.6765,64.9465,0
turbo,FWONA-OTC,1782573780,65.1495,65.0965,65.4615,64.8345,0
turbo,FWONA-OTC,1782573840,65.1205,65.0165,65.8285,64.9855,0
turbo,FWONA-OTC,1782573900,65.0435,64.8405,65.1625,64.5355,0
turbo,FWONA-OTC,1782573960,64.8035,64.6315,65.0945,64.2415,0
turbo,FWONA-OTC,1782574020,64.6015,63.9025,64.6035,63.8975,0
turbo,FWONA-OTC,1782574080,63.9265,64.3245,64.5875,63.9115,0
turbo,FWONA-OTC,1782574140,64.3505,64.7705,64.8705,64.2775,0
turbo,FWONA-OTC,1782574200,64.7415,64.7345,64.9665,64.5555,0
turbo,FWONA-OTC,1782574260,64.7105,65.3595,65.6015,64.7105,0
turbo,FWONA-OTC,1782574320,65.3825,64.7935,65.5195,64.7055,0
turbo,FWONA-OTC,1782574380,64.8195,65.1155,65.1505,64.6415,0
turbo,FWONA-OTC,1782574440,65.1425,65.4955,65.8695,65.1425,0
turbo,FWONA-OTC,1782574500,65.4625,64.8115,65.4625,64.6595,0
turbo,FWONA-OTC,1782574560,64.7835,66.1085,66.1535,64.7245,0
turbo,FWONA-OTC,1782574620,66.0735,66.1385,66.2945,65.7875,0
turbo,FWONA-OTC,1782574680,66.1635,65.9555,66.3485,65.6315,0
turbo,FWONA-OTC,1782574740,65.9795,66.2805,66.3325,65.7155,0
turbo,FWONA-OTC,1782574800,66.3145,65.9835,66.3525,65.6635,0
turbo,FWONA-OTC,1782574860,66.0075,66.1715,66.3365,65.3355,0
turbo,FWONA-OTC,1782574920,66.1375,66.4315,66.6695,66.0095,0
turbo,FWONA-OTC,1782574980,66.5095,66.3965,66.7215,66.0695,0
turbo,FWONA-OTC,1782575040,66.4225,67.0075,67.1145,66.3535,0
turbo,FWONA-OTC,1782575100,67.0385,67.1605,67.5995,67.0375,0
turbo,FWONA-OTC,1782575160,67.1165,66.9855,67.4635,66.9315,0
turbo,FWONA-OTC,1782575220,66.9605,66.6255,66.9605,66.4445,0
turbo,FWONA-OTC,1782575280,66.5935,67.6705,67.6825,66.5935,0
turbo,FWONA-OTC,1782575340,67.6465,68.0495,68.6285,67.5805,0
turbo,FWONA-OTC,1782575400,68.0135,68.3545,68.8475,67.9225,0
turbo,FWONA-OTC,1782575460,68.3225,67.5755,68.3615,67.4675,0
turbo,FWONA-OTC,1782575520,67.4875,66.7365,67.6575,66.6345,0
turbo,FWONA-OTC,1782575580,66.7685,67.0185,67.3405,66.7375,0
turbo,FWONA-OTC,1782575640,66.9905,67.2225,67.4455,66.7335,0
turbo,FWONA-OTC,1782575700,67.1885,67.4295,67.6535,67.0155,0
turbo,FWONA-OTC,1782575760,67.4545,67.3625,67.7565,67.1955,0
turbo,FWONA-OTC,1782575820,67.3375,67.6535,67.8265,67.2935,0
turbo,FWONA-OTC,1782575880,67.6895,67.5125,67.8435,67.3245,0
turbo,FWONA-OTC,1782575940,67.4785,68.4295,68.5555,67.3805,0
turbo,FWONA-OTC,1782576000,68.4555,68.0295,68.6845,67.9545,0
turbo,FWONA-OTC,1782576060,67.9945,68.6015,68.6015,67.6785,0
turbo,FWONA-OTC,1782576120,68.6345,67.9105,68.8015,67.5125,0
turbo,FWONA-OTC,1782576180,67.8835,68.3145,68.4345,67.4755,0
turbo,FWONA-OTC,1782576240,68.3455,67.8905,68.6815,67.8905,0
turbo,FWONA-OTC,1782576300,67.8665,67.0595,67.8945,66.9725,0
turbo,FWONA-OTC,1782576360,67.0265,67.0745,67.3155,66.8175,0
turbo,FWONA-OTC,1782576420,67.0475,66.9015,67.0475,66.3295,0
turbo,FWONA-OTC,1782576480,66.9335,67.2125,67.3995,66.7095,0
turbo,FWONA-OTC,1782576540,67.1775,67.6405,67.6955,67.1585,0
turbo,FWONA-OTC,1782576600,67.6735,68.2055,68.2355,67.5675,0
turbo,FWONA-OTC,1782576660,68.2345,68.0805,68.4965,68.0545,0
turbo,FWONA-OTC,1782576720,68.1065,67.8925,68.2295,67.6645,0
turbo,FWONA-OTC,1782576780,67.9215,68.3565,68.5515,67.8925,0
turbo,FWONA-OTC,1782576840,68.3265,68.3915,69.0855,68.3085,0
turbo,FWONA-OTC,1782576900,68.3625,68.2525,68.4025,67.9665,0
turbo,FWONA-OTC,1782576960,68.2775,68.9615,69.1085,68.2775,0
turbo,FWONA-OTC,1782577020,68.9975,68.6545,69.1885,68.5925,0
turbo,FWONA-OTC,1782577080,68.7305,69.0395,69.2845,68.7305,0
turbo,FWONA-OTC,1782577140,69.0035,68.8465,69.2945,68.5635,0
turbo,FWONA-OTC,1782577200,68.8145,69.3815,69.6235,68.8145,0
turbo,FWONA-OTC,1782577260,69.4105,70.0995,70.2015,69.3005,0
turbo,FWONA-OTC,1782577320,70.1375,70.1315,70.7265,70.0185,0
turbo,FWONA-OTC,1782577380,70.0985,71.0555,71.3235,69.7795,0
turbo,FWONA-OTC,1782577440,71.0255,70.4695,71.1515,70.3535,0
turbo,FWONA-OTC,1782577500,70.4375,70.4545,70.5895,69.9655,0
turbo,FWONA-OTC,1782577560,70.4885,70.7385,70.8815,70.4885,0
turbo,FWONA-OTC,1782577620,70.7645,70.4195,70.9685,70.1565,0
turbo,FWONA-OTC,1782577680,70.4565,70.6085,70.7885,70.1075,0
turbo,FWONA-OTC,1782577740,70.5755,69.7965,70.5755,69.7965,0
turbo,FWONA-OTC,1782577800,69.7655,69.7395,70.4585,69.4475,0
turbo,FWONA-OTC,1782577860,69.7085,69.2785,69.7085,69.0975,0
turbo,FWONA-OTC,1782577920,69.3035,68.8745,69.4355,68.8745,0
turbo,FWONA-OTC,1782577980,68.9065,68.1715,69.1395,68.1405,0
turbo,FWONA-OTC,1782578040,68.2045,67.8915,68.5065,67.8565,0
turbo,FWONA-OTC,1782578100,67.9215,67.4665,68.3885,67.3725,0
turbo,FWONA-OTC,1782578160,67.4405,67.6655,67.8395,67.2645,0
turbo,FWONA-OTC,1782578220,67.6945,67.9315,68.2815,67.5335,0
turbo,FWONA-OTC,1782578280,67.9635,67.7015,68.1475,67.6195,0
turbo,FWONA-OTC,1782578340,67.6765,67.2715,67.9305,67.1605,0
turbo,FWONA-OTC,1782578400,67.2205,66.7415,67.2285,66.5085,0
turbo,FWONA-OTC,1782578460,66.7155,67.1925,67.2505,66.2495,0
turbo,FWONA-OTC,1782578520,67.1615,67.3085,67.6915,67.0455,0
turbo,FWONA-OTC,1782578580,67.3425,66.7305,67.5545,66.6705,0
turbo,FWONA-OTC,1782578640,66.7015,65.9475,67.0935,65.9475,0
turbo,FWONA-OTC,1782578700,65.9205,65.3725,66.0065,65.1935,0
turbo,FWONA-OTC,1782578760,65.3425,64.8585,65.7635,64.7675,0
turbo,FWONA-OTC,1782578820,64.8265,64.4905,64.9345,64.2095,0
turbo,FWONA-OTC,1782578880,64.5785,64.2845,64.5785,64.0805,0
turbo,FWONA-OTC,1782578940,64.2585,64.2665,64.4755,63.7555,0
turbo,FWONA-OTC,1782579000,64.2315,64.3375,64.3375,63.7295,0
turbo,FWONA-OTC,1782579060,64.3615,64.3035,64.5785,64.0245,0
turbo,FWONA-OTC,1782579120,64.2795,64.2285,64.3675,63.9365,0
turbo,FWONA-OTC,1782579180,64.2535,63.8515,64.3015,63.8515,0
turbo,FWONA-OTC,1782579240,63.8745,63.6775,63.9915,63.4195,0
turbo,FWONA-OTC,1782579300,63.7045,63.0475,63.8175,62.7575,0
turbo,FWONA-OTC,1782579360,63.0775,63.3665,63.4515,62.9745,0
turbo,FWONA-OTC,1782579420,63.3915,63.2905,63.5725,62.9615,0
turbo,FWONA-OTC,1782579480,63.3225,62.8485,63.3355,62.7535,0
turbo,FWONA-OTC,1782579540,62.8155,62.0185,62.9695,62.0185,0
turbo,FWONA-OTC,1782579600,61.9925,61.6255,62.0285,61.5335,0
turbo,FWONA-OTC,1782579660,61.5925,61.8415,61.8815,61.1625,0
turbo,FWONA-OTC,1782579720,61.8735,61.7285,62.2265,61.6575,0
turbo,FWONA-OTC,1782579780,61.7035,61.5645,61.7035,61.1335,0
turbo,FWONA-OTC,1782579840,61.5355,62.0145,62.0345,61.4785,0
turbo,FWONA-OTC,1782579900,61.9835,61.7745,61.9835,61.4885,0
turbo,FWONA-OTC,1782579960,61.7975,61.0975,61.9095,60.9915,0
turbo,FWONA-OTC,1782580020,61.1215,61.1445,61.2455,60.7075,0
turbo,FWONA-OTC,1782580080,61.1855,61.3375,61.7185,61.1855,0
turbo,FWONA-OTC,1782580140,61.3125,61.7715,61.7785,61.3125,0
turbo,FWONA-OTC,1782580200,61.7995,61.1775,61.9045,61.0665,0
turbo,FWONA-OTC,1782580260,61.1515,61.0005,61.5085,60.7965,0
turbo,FWONA-OTC,1782580320,60.9725,60.3775,61.1215,60.3775,0
turbo,FWONA-OTC,1782580380,60.3005,60.9285,61.0015,60.1245,0
turbo,FWONA-OTC,1782580440,60.9515,60.7575,61.0355,60.5465,0
turbo,FWONA-OTC,1782580500,60.7285,60.1215,60.9035,59.9425,0
turbo,FWONA-OTC,1782580560,60.1525,60.1365,60.5375,59.8805,0
turbo,FWONA-OTC,1782580620,60.1065,59.8335,60.1065,59.4225,0
turbo,FWONA-OTC,1782580680,59.8065,59.5965,59.8255,59.1495,0
turbo,FWONA-OTC,1782580740,59.6175,59.1065,59.6865,58.8075,0
turbo,FWONA-OTC,1782580800,59.1345,59.4395,59.5115,58.9495,0
turbo,FWONA-OTC,1782580860,59.4175,59.6445,59.6465,59.1605,0
turbo,FWONA-OTC,1782580920,59.6175,58.8815,59.7715,58.7455,0
turbo,FWONA-OTC,1782580980,58.9065,58.7185,59.0685,58.6355,0
turbo,FWONA-OTC,1782581040,58.8055,59.5315,59.8195,58.8055,0
turbo,FWONA-OTC,1782581100,59.5085,59.7165,59.8695,59.3875,0
turbo,FWONA-OTC,1782581160,59.7385,59.7545,59.8915,59.5045,0
turbo,FWONA-OTC,1782581220,59.7325,59.8955,60.1635,59.7065,0
turbo,FWONA-OTC,1782581280,59.9545,58.9545,60.1035,58.8435,0
turbo,FWONA-OTC,1782581340,58.9865,59.4135,59.6385,58.8315,0
turbo,FWONA-OTC,1782581400,59.4355,59.1795,59.4355,59.0685,0
turbo,FWONA-OTC,1782581460,59.2025,58.7535,59.2025,58.5785,0
turbo,FWONA-OTC,1782581520,58.7265,58.7805,58.8685,58.3845,0
turbo,FWONA-OTC,1782581580,58.8075,58.8145,59.0385,58.6315,0
turbo,FWONA-OTC,1782581640,58.7945,58.7175,58.8905,58.4065,0
turbo,FWONA-OTC,1782581700,58.7395,58.8695,59.0275,58.3395,0
turbo,FWONA-OTC,1782581760,58.8925,58.5165,58.8925,58.2295,0
turbo,FWONA-OTC,1782581820,58.5435,57.7845,58.6145,57.6805,0
turbo,FWONA-OTC,1782581880,57.7565,57.8515,57.9595,57.5225,0
turbo,FWONA-OTC,1782581940,57.8245,57.1725,57.8245,57.1455,0
turbo,FWONA-OTC,1782582000,57.1955,57.4015,57.5825,57.1105,0
turbo,FWONA-OTC,1782582060,57.3795,57.3305,57.6075,57.1685,0
turbo,FWONA-OTC,1782582120,57.3015,57.2665,57.7655,57.1555,0
turbo,FWONA-OTC,1782582180,57.2355,57.3635,57.6405,57.2355,0
turbo,FWONA-OTC,1782582240,57.4145,57.2435,57.4175,56.8685,0
turbo,FWONA-OTC,1782582300,57.1655,56.6375,57.3265,56.6165,0
turbo,FWONA-OTC,1782582360,56.6635,56.1075,56.6785,55.9555,0
turbo,FWONA-OTC,1782582420,56.1325,56.5185,56.7125,55.9485,0
turbo,FWONA-OTC,1782582480,56.4895,56.2155,56.5775,55.9465,0
turbo,FWONA-OTC,1782582540,56.1915,56.4765,56.6255,56.0655,0
turbo,FWONA-OTC,1782582600,56.5065,56.5145,56.6035,56.2445,0
turbo,FWONA-OTC,1782582660,56.4925,56.1475,56.7275,55.8195,0
turbo,FWONA-OTC,1782582720,56.1705,55.8465,56.2245,55.8435,0
turbo,FWONA-OTC,1782582780,55.8195,55.6705,55.9295,55.4185,0
turbo,FWONA-OTC,1782582840,55.6415,55.2195,55.6935,55.0565,0
turbo,FWONA-OTC,1782582900,55.1985,55.6585,55.7795,54.9005,0
turbo,FWONA-OTC,1782582960,55.6235,55.6895,55.8665,55.4055,0
turbo,FWONA-OTC,1782583020,55.6645,55.8785,56.0255,55.4915,0
turbo,FWONA-OTC,1782583080,55.9055,55.9045,56.1385,55.6445,0
turbo,FWONA-OTC,1782583140,55.9285,55.6595,56.0225,55.2585,0
turbo,FWONA-OTC,1782583200,55.6895,55.4985,55.8225,55.1735,0
turbo,FWONA-OTC,1782583260,55.5205,54.7895,55.5205,54.6965,0
turbo,FWONA-OTC,1782583320,54.7125,54.8265,55.2555,54.6715,0
turbo,FWONA-OTC,1782583380,54.8545,54.8605,55.0305,54.5645,0
turbo,FWONA-OTC,1782583440,54.8845,55.1555,55.1825,54.7165,0
turbo,FWONA-OTC,1782583500,55.1295,55.0415,55.4105,54.9515,0
turbo,FWONA-OTC,1782583560,55.0145,54.9885,55.4275,54.9365,0
turbo,FWONA-OTC,1782583620,54.9575,54.2055,55.0275,54.1185,0
turbo,FWONA-OTC,1782583680,54.2385,53.8405,54.3285,53.7935,0
turbo,FWONA-OTC,1782583740,53.8685,53.2615,53.9975,53.2615,0
turbo,FWONA-OTC,1782583800,53.2375,53.5745,53.7065,53.1815,0
