tipo,activo,from,open,close,max,min,volume
turbo,GS-OTC,1782036600,1089.4045,1091.2335,1091.2735,1089.3055,0
turbo,GS-OTC,1782036660,1091.2895,1090.8825,1091.7025,1090.4065,0
turbo,GS-OTC,1782036720,1090.9305,1091.7145,1091.9075,1090.9305,0
turbo,GS-OTC,1782036780,1091.7685,1091.1085,1092.3555,1090.7575,0
turbo,GS-OTC,1782036840,1091.0535,1091.1445,1091.2755,1090.5115,0
turbo,GS-OTC,1782036900,1091.0775,1092.2295,1092.5195,1090.9805,0
turbo,GS-OTC,1782036960,1092.2745,1091.1785,1092.3525,1091.0735,0
turbo,GS-OTC,1782037020,1091.1315,1091.6885,1091.7555,1090.6305,0
turbo,GS-OTC,1782037080,1091.6285,1090.2525,1091.8165,1090.0225,0
turbo,GS-OTC,1782037140,1090.1895,1090.2575,1090.6015,1090.0465,0
turbo,GS-OTC,1782037200,1090.3255,1091.2975,1091.7185,1090.1875,0
turbo,GS-OTC,1782037260,1091.3425,1091.7405,1091.7405,1090.8445,0
turbo,GS-OTC,1782037320,1091.7975,1091.8955,1092.4935,1091.5115,0
turbo,GS-OTC,1782037380,1091.9405,1093.6805,1093.7825,1091.9405,0
turbo,GS-OTC,1782037440,1093.6255,1094.2905,1094.5885,1093.5155,0
turbo,GS-OTC,1782037500,1094.3545,1094.7575,1095.0365,1094.1615,0
turbo,GS-OTC,1782037560,1094.8045,1095.7915,1095.9635,1094.7765,0
turbo,GS-OTC,1782037620,1095.8455,1096.5795,1096.9665,1095.7845,0
turbo,GS-OTC,1782037680,1096.6485,1097.1495,1097.3545,1096.0135,0
turbo,GS-OTC,1782037740,1097.0875,1097.0915,1097.7435,1096.7165,0
turbo,GS-OTC,1782037800,1097.0255,1096.9805,1097.1865,1096.4935,0
turbo,GS-OTC,1782037860,1096.9195,1096.9525,1098.0125,1096.6975,0
turbo,GS-OTC,1782037920,1097.0055,1098.8395,1099.2245,1096.9445,0
turbo,GS-OTC,1782037980,1098.9055,1099.1435,1099.4045,1097.9635,0
turbo,GS-OTC,1782038040,1099.2055,1099.0865,1099.5505,1098.4565,0
turbo,GS-OTC,1782038100,1099.1435,1098.5765,1099.2255,1098.4575,0
turbo,GS-OTC,1782038160,1098.5195,1097.4285,1099.3805,1097.3795,0
turbo,GS-OTC,1782038220,1097.5035,1095.9525,1097.5995,1095.3985,0
turbo,GS-OTC,1782038280,1096.0065,1096.2655,1096.5725,1095.7055,0
turbo,GS-OTC,1782038340,1096.1975,1097.5275,1097.6775,1096.1975,0
turbo,GS-OTC,1782038400,1097.4615,1097.5275,1098.2165,1097.2685,0
turbo,GS-OTC,1782038460,1097.4745,1098.1115,1098.5585,1097.4555,0
turbo,GS-OTC,1782038520,1098.1635,1098.7455,1098.9355,1097.7695,0
turbo,GS-OTC,1782038580,1098.6905,1097.4115,1098.7945,1097.2735,0
turbo,GS-OTC,1782038640,1097.5065,1098.0545,1098.5735,1097.3385,0
turbo,GS-OTC,1782038700,1098.1075,1099.5295,1099.7285,1098.0215,0
turbo,GS-OTC,1782038760,1099.4765,1099.9155,1100.2485,1099.4115,0
turbo,GS-OTC,1782038820,1099.9655,1100.4225,1100.7535,1099.8765,0
turbo,GS-OTC,1782038880,1100.4815,1101.7395,1101.7395,1100.1555,0
turbo,GS-OTC,1782038940,1101.8015,1101.8065,1102.2855,1101.2355,0
turbo,GS-OTC,1782039000,1101.7365,1101.7405,1102.0345,1101.2475,0
turbo,GS-OTC,1782039060,1101.7985,1101.3455,1102.0815,1101.0345,0
turbo,GS-OTC,1782039120,1101.4005,1100.7825,1101.4605,1100.6475,0
turbo,GS-OTC,1782039180,1100.8295,1098.9285,1100.9715,1098.8065,0
turbo,GS-OTC,1782039240,1098.9875,1100.0005,1100.7435,1098.9875,0
turbo,GS-OTC,1782039300,1099.9515,1100.8925,1101.4165,1099.4225,0
turbo,GS-OTC,1782039360,1100.9565,1100.6135,1101.4805,1100.3515,0
turbo,GS-OTC,1782039420,1100.5585,1101.0735,1101.4125,1100.1985,0
turbo,GS-OTC,1782039480,1101.1175,1100.2025,1101.6005,1099.7045,0
