tipo,activo,from,open,close,max,min,volume
turbo,HK33-OTC,1784564820,22862.881285,22877.252695,22883.453565,22862.468035,0
turbo,HK33-OTC,1784564880,22874.711175,22847.730685,22880.001875,22846.177265,0
turbo,HK33-OTC,1784564940,22847.876585,22827.976685,22850.374555,22815.082475,0
turbo,HK33-OTC,1784565000,22827.927705,22871.179235,22877.597755,22827.927705,0
turbo,HK33-OTC,1784565060,22871.763445,22866.687905,22878.599465,22859.184735,0
turbo,HK33-OTC,1784565120,22866.502015,22878.873855,22882.799035,22850.156655,0
turbo,HK33-OTC,1784565180,22879.192655,22875.365075,22882.646875,22864.571865,0
turbo,HK33-OTC,1784565240,22873.936705,22842.661165,22873.936705,22829.921775,0
turbo,HK33-OTC,1784565300,22843.045205,22823.320305,22852.510765,22823.091355,0
turbo,HK33-OTC,1784565360,22824.722755,22798.653135,22825.057235,22798.653135,0
turbo,HK33-OTC,1784565420,22798.642865,22784.974645,22798.642865,22771.879485,0
turbo,HK33-OTC,1784565480,22784.094415,22767.239475,22788.673085,22767.239475,0
turbo,HK33-OTC,1784565540,22769.033875,22718.558555,22769.033875,22713.361095,0
turbo,HK33-OTC,1784565600,22718.690035,22722.451055,22725.583425,22707.694365,0
turbo,HK33-OTC,1784565660,22722.319125,22715.308465,22730.148475,22703.330285,0
turbo,HK33-OTC,1784565720,22717.239405,22725.084875,22737.167315,22714.376575,0
turbo,HK33-OTC,1784565780,22722.305245,22743.245255,22743.245255,22721.952685,0
turbo,HK33-OTC,1784565840,22744.669615,22775.800315,22781.586935,22742.081765,0
turbo,HK33-OTC,1784565900,22775.785625,22759.450985,22777.556515,22758.244325,0
turbo,HK33-OTC,1784565960,22759.489065,22748.737065,22771.041705,22747.438755,0
turbo,HK33-OTC,1784566020,22748.694965,22744.862955,22754.985445,22735.436625,0
turbo,HK33-OTC,1784566080,22743.282555,22746.726505,22760.181235,22734.952915,0
turbo,HK33-OTC,1784566140,22746.807085,22739.842445,22749.911705,22721.638095,0
turbo,HK33-OTC,1784566200,22738.781685,22743.543535,22744.420695,22724.966375,0
turbo,HK33-OTC,1784566260,22743.095745,22741.959605,22752.628865,22731.760435,0
turbo,HK33-OTC,1784566320,22742.805435,22750.129645,22753.076745,22726.723385,0
turbo,HK33-OTC,1784566380,22749.738035,22786.503025,22790.393085,22748.618695,0
turbo,HK33-OTC,1784566440,22786.632805,22779.824435,22799.135025,22774.790865,0
turbo,HK33-OTC,1784566500,22779.829645,22792.521615,22795.969975,22771.512475,0
turbo,HK33-OTC,1784566560,22792.876575,22777.171675,22794.980705,22765.492725,0
turbo,HK33-OTC,1784566620,22776.965045,22696.616805,22788.717965,22691.835755,0
turbo,HK33-OTC,1784566680,22697.057955,22719.977725,22722.408845,22692.634185,0
turbo,HK33-OTC,1784566740,22717.872885,22726.343365,22734.809165,22706.558735,0
turbo,HK33-OTC,1784566800,22724.997225,22730.048745,22732.290515,22716.832235,0
turbo,HK33-OTC,1784566860,22730.094115,22687.248365,22730.105885,22684.107015,0
turbo,HK33-OTC,1784566920,22683.326445,22673.554895,22691.753625,22667.301545,0
turbo,HK33-OTC,1784566980,22674.253475,22685.588195,22686.871905,22657.341555,0
turbo,HK33-OTC,1784567040,22686.443815,22696.305985,22702.274545,22676.565245,0
turbo,HK33-OTC,1784567100,22696.391805,22707.589425,22707.766135,22685.161035,0
turbo,HK33-OTC,1784567160,22707.510705,22720.526825,22725.070535,22700.710945,0
turbo,HK33-OTC,1784567220,22721.635285,22733.940175,22733.940175,22712.139355,0
turbo,HK33-OTC,1784567280,22734.339125,22720.816445,22737.981395,22705.689045,0
turbo,HK33-OTC,1784567340,22720.837295,22734.084685,22735.420545,22715.630835,0
turbo,HK33-OTC,1784567400,22730.410095,22720.168145,22738.563365,22717.428605,0
turbo,HK33-OTC,1784567460,22719.926215,22690.002855,22719.926215,22690.002855,0
turbo,HK33-OTC,1784567520,22689.608695,22655.740295,22689.608695,22650.942305,0
turbo,HK33-OTC,1784567580,22654.962855,22642.717405,22662.080045,22641.867715,0
turbo,HK33-OTC,1784567640,22642.592615,22636.708725,22644.945765,22633.416895,0
turbo,HK33-OTC,1784567700,22636.928585,22646.654955,22652.387285,22636.406995,0
turbo,HK33-OTC,1784567760,22646.313065,22661.177345,22663.985415,22645.964935,0
turbo,HK33-OTC,1784567820,22661.245465,22644.269255,22664.431275,22630.048055,0
turbo,HK33-OTC,1784567880,22645.140775,22653.360045,22663.053675,22645.092425,0
turbo,HK33-OTC,1784567940,22653.274515,22629.149185,22653.341825,22628.759925,0
turbo,HK33-OTC,1784568000,22629.137255,22647.479735,22652.162065,22623.803695,0
turbo,HK33-OTC,1784568060,22645.037465,22672.614325,22674.198625,22645.037465,0
turbo,HK33-OTC,1784568120,22671.307765,22658.587985,22675.577035,22655.326455,0
turbo,HK33-OTC,1784568180,22658.274325,22642.440865,22665.461285,22638.274065,0
turbo,HK33-OTC,1784568240,22642.508405,22617.750535,22648.552195,22614.007875,0
turbo,HK33-OTC,1784568300,22617.691125,22624.064245,22635.093935,22612.202015,0
turbo,HK33-OTC,1784568360,22625.602135,22587.266675,22626.870245,22585.409935,0
turbo,HK33-OTC,1784568420,22587.825595,22584.848195,22592.788535,22577.558375,0
turbo,HK33-OTC,1784568480,22584.026365,22559.220055,22593.012395,22559.220055,0
turbo,HK33-OTC,1784568540,22558.391115,22538.785325,22562.278805,22538.785325,0
turbo,HK33-OTC,1784568600,22539.119845,22531.705955,22542.605035,22516.785555,0
turbo,HK33-OTC,1784568660,22532.272715,22531.818475,22543.577555,22528.594485,0
turbo,HK33-OTC,1784568720,22532.459835,22541.392065,22542.300495,22527.419805,0
turbo,HK33-OTC,1784568780,22541.924655,22610.404265,22610.898975,22541.924655,0
turbo,HK33-OTC,1784568840,22609.392565,22611.297205,22624.641225,22597.405095,0
turbo,HK33-OTC,1784568900,22610.919245,22619.763785,22629.784425,22603.982855,0
turbo,HK33-OTC,1784568960,22618.623805,22619.075635,22628.098725,22608.924035,0
turbo,HK33-OTC,1784569020,22619.311005,22636.680095,22641.871845,22614.698895,0
turbo,HK33-OTC,1784569080,22635.509245,22624.437605,22638.493435,22614.110645,0
turbo,HK33-OTC,1784569140,22624.453335,22619.306555,22629.869585,22613.367275,0
turbo,HK33-OTC,1784569200,22618.732435,22617.009755,22626.537215,22608.932445,0
turbo,HK33-OTC,1784569260,22616.930685,22615.305235,22638.454965,22610.053695,0
turbo,HK33-OTC,1784569320,22615.528255,22617.229705,22624.276505,22610.282345,0
turbo,HK33-OTC,1784569380,22616.546955,22642.129435,22642.375795,22609.812765,0
turbo,HK33-OTC,1784569440,22641.932635,22654.889155,22658.379075,22631.371135,0
turbo,HK33-OTC,1784569500,22653.671345,22629.869635,22667.720445,22622.181835,0
turbo,HK33-OTC,1784569560,22627.062475,22644.203425,22644.203425,22624.439545,0
turbo,HK33-OTC,1784569620,22644.018895,22650.002405,22654.333625,22638.180855,0
turbo,HK33-OTC,1784569680,22650.015175,22644.947375,22658.774305,22635.467445,0
turbo,HK33-OTC,1784569740,22644.891005,22603.530015,22646.068995,22600.814155,0
turbo,HK33-OTC,1784569800,22603.585045,22607.796595,22617.998125,22603.366805,0
turbo,HK33-OTC,1784569860,22607.746735,22617.731645,22633.650695,22607.020795,0
turbo,HK33-OTC,1784569920,22617.368965,22637.870695,22639.435365,22604.293195,0
turbo,HK33-OTC,1784569980,22638.149025,22652.629595,22659.149655,22636.392005,0
turbo,HK33-OTC,1784570040,22652.513945,22654.605285,22669.993065,22648.662585,0
turbo,HK33-OTC,1784570100,22655.626025,22649.699675,22666.475525,22644.028075,0
turbo,HK33-OTC,1784570160,22653.537515,22661.253405,22686.829685,22653.537515,0
turbo,HK33-OTC,1784570220,22661.252715,22677.441105,22679.431255,22653.957285,0
turbo,HK33-OTC,1784570280,22676.776225,22706.880735,22706.880735,22676.492285,0
turbo,HK33-OTC,1784570340,22705.778765,22702.536515,22708.041165,22672.105655,0
turbo,HK33-OTC,1784570700,22702.536515,25189.904715,25194.215925,22702.536515,0
turbo,HK33-OTC,1784570760,25190.937415,25191.456215,25196.842325,25169.311645,0
