tipo,activo,from,open,close,max,min,volume
turbo,HYPE-OTC,1782036600,57.4255,57.4375,57.5765,57.4135,0
turbo,HYPE-OTC,1782036660,57.4225,57.2775,57.4685,57.2465,0
turbo,HYPE-OTC,1782036720,57.2785,57.4165,57.4565,57.2745,0
turbo,HYPE-OTC,1782036780,57.4205,57.1945,57.4205,57.0095,0
turbo,HYPE-OTC,1782036840,57.2205,57.1315,57.2265,56.9665,0
turbo,HYPE-OTC,1782036900,57.1245,56.7385,57.1245,56.7295,0
turbo,HYPE-OTC,1782036960,56.7435,56.7275,56.8335,56.6535,0
turbo,HYPE-OTC,1782037020,56.7285,56.9905,57.0595,56.7115,0
turbo,HYPE-OTC,1782037080,57.0005,56.7505,57.0005,56.7245,0
turbo,HYPE-OTC,1782037140,56.7535,56.4485,56.7535,56.3615,0
turbo,HYPE-OTC,1782037200,56.4305,56.3625,56.4455,56.3105,0
turbo,HYPE-OTC,1782037260,56.3775,56.2635,56.3955,56.2455,0
turbo,HYPE-OTC,1782037320,56.2515,56.3945,56.3945,56.2085,0
turbo,HYPE-OTC,1782037380,56.4045,56.4145,56.5385,56.3555,0
turbo,HYPE-OTC,1782037440,56.3985,56.1885,56.3985,56.1585,0
turbo,HYPE-OTC,1782037500,56.1935,56.1685,56.2915,56.0355,0
turbo,HYPE-OTC,1782037560,56.1585,56.1785,56.3305,56.0815,0
turbo,HYPE-OTC,1782037620,56.1925,55.7515,56.2125,55.7175,0
turbo,HYPE-OTC,1782037680,55.7535,55.9075,55.9085,55.7295,0
turbo,HYPE-OTC,1782037740,55.9115,55.8415,55.9705,55.8335,0
turbo,HYPE-OTC,1782037800,55.8465,56.0075,56.0075,55.8185,0
turbo,HYPE-OTC,1782037860,56.0085,56.1495,56.1825,55.9245,0
turbo,HYPE-OTC,1782037920,56.1455,56.5555,56.5565,56.1455,0
turbo,HYPE-OTC,1782037980,56.5685,56.7275,56.7275,56.5275,0
turbo,HYPE-OTC,1782038040,56.7165,56.4115,56.7235,56.4005,0
turbo,HYPE-OTC,1782038100,56.4355,56.5865,56.6065,56.4015,0
turbo,HYPE-OTC,1782038160,56.5845,56.6605,56.6905,56.4925,0
turbo,HYPE-OTC,1782038220,56.6635,56.4435,56.7575,56.4425,0
turbo,HYPE-OTC,1782038280,56.4315,56.3375,56.4745,56.3075,0
turbo,HYPE-OTC,1782038340,56.3335,56.3055,56.4345,56.2965,0
turbo,HYPE-OTC,1782038400,56.3005,56.3545,56.5075,56.1965,0
turbo,HYPE-OTC,1782038460,56.3445,56.3415,56.3575,56.2325,0
turbo,HYPE-OTC,1782038520,56.3355,56.4505,56.5025,56.3355,0
turbo,HYPE-OTC,1782038580,56.4615,56.5695,56.6085,56.3015,0
turbo,HYPE-OTC,1782038640,56.5685,56.7135,56.7285,56.5155,0
turbo,HYPE-OTC,1782038700,56.7145,56.6265,56.7395,56.5885,0
turbo,HYPE-OTC,1782038760,56.6225,56.7495,56.8005,56.6075,0
turbo,HYPE-OTC,1782038820,56.7515,56.9045,56.9205,56.6495,0
turbo,HYPE-OTC,1782038880,56.9035,57.0085,57.0085,56.7605,0
turbo,HYPE-OTC,1782038940,57.0165,57.2755,57.2805,56.9895,0
turbo,HYPE-OTC,1782039000,57.2955,57.4045,57.4625,57.2955,0
turbo,HYPE-OTC,1782039060,57.4205,57.5865,57.7305,57.4115,0
turbo,HYPE-OTC,1782039120,57.5725,57.6035,57.6475,57.4915,0
turbo,HYPE-OTC,1782039180,57.5775,57.7675,57.7675,57.4595,0
turbo,HYPE-OTC,1782039240,57.7625,57.6115,57.7955,57.6115,0
turbo,HYPE-OTC,1782039300,57.6005,57.6415,57.7135,57.4905,0
turbo,HYPE-OTC,1782039360,57.6545,57.8195,57.8455,57.5995,0
turbo,HYPE-OTC,1782039420,57.8305,57.8075,57.8935,57.7035,0
turbo,HYPE-OTC,1782039480,57.8305,57.9155,57.9825,57.7935,0
turbo,HYPE-OTC,1782039540,57.9125,57.7525,57.9895,57.7205,0
turbo,HYPE-OTC,1782039600,57.7565,57.8115,57.9155,57.7355,0
turbo,HYPE-OTC,1782039660,57.8165,57.7595,58.0115,57.7545,0
turbo,HYPE-OTC,1782039720,57.7435,57.8875,57.9755,57.7035,0
turbo,HYPE-OTC,1782039780,57.8865,58.0565,58.0615,57.8335,0
turbo,HYPE-OTC,1782039840,58.0555,57.9825,58.1905,57.9625,0
turbo,HYPE-OTC,1782039900,57.9815,58.0325,58.0835,57.9435,0
turbo,HYPE-OTC,1782039960,58.0245,57.8745,58.0245,57.8655,0
turbo,HYPE-OTC,1782040020,57.8815,57.9415,58.0915,57.8685,0
turbo,HYPE-OTC,1782040080,57.9485,57.8495,57.9985,57.8065,0
turbo,HYPE-OTC,1782040140,57.8545,57.7455,58.0195,57.7215,0
turbo,HYPE-OTC,1782040200,57.7445,57.7945,57.8065,57.6245,0
turbo,HYPE-OTC,1782040260,57.7925,57.6215,57.9725,57.5915,0
turbo,HYPE-OTC,1782040320,57.6545,57.6275,57.6545,57.4535,0
turbo,HYPE-OTC,1782040380,57.6285,57.6575,57.6915,57.5385,0
turbo,HYPE-OTC,1782040440,57.6605,57.6815,57.7385,57.5815,0
turbo,HYPE-OTC,1782040500,57.6785,57.2485,57.6835,57.2485,0
turbo,HYPE-OTC,1782040560,57.2495,57.2025,57.3545,57.1135,0
turbo,HYPE-OTC,1782040620,57.1995,57.2055,57.2475,57.0665,0
turbo,HYPE-OTC,1782040680,57.2015,57.1495,57.3805,57.0875,0
turbo,HYPE-OTC,1782040740,57.1295,57.0375,57.1935,56.9275,0
turbo,HYPE-OTC,1782040800,57.0395,57.1055,57.1055,56.9285,0
turbo,HYPE-OTC,1782040860,57.1045,57.0735,57.2095,57.0535,0
turbo,HYPE-OTC,1782040920,57.0835,57.0655,57.2385,56.9875,0
turbo,HYPE-OTC,1782040980,57.0635,56.8935,57.1425,56.8935,0
turbo,HYPE-OTC,1782041040,56.8925,57.3865,57.4185,56.8925,0
turbo,HYPE-OTC,1782041100,57.3975,57.3985,57.4405,57.2635,0
turbo,HYPE-OTC,1782041160,57.4005,57.1315,57.4005,57.0505,0
turbo,HYPE-OTC,1782041220,57.1485,57.0025,57.1615,56.9035,0
turbo,HYPE-OTC,1782041280,57.0045,56.8275,57.0505,56.8035,0
turbo,HYPE-OTC,1782041340,56.8675,56.8845,56.9125,56.7305,0
turbo,HYPE-OTC,1782041400,56.8955,56.6245,56.8955,56.6245,0
turbo,HYPE-OTC,1782041460,56.6375,56.7095,56.7445,56.6365,0
turbo,HYPE-OTC,1782041520,56.6965,56.8495,56.8695,56.6725,0
turbo,HYPE-OTC,1782041580,56.8485,56.7985,56.8975,56.7445,0
turbo,HYPE-OTC,1782041640,56.7905,56.7615,56.9265,56.7215,0
turbo,HYPE-OTC,1782041700,56.7655,56.6645,56.8345,56.6085,0
turbo,HYPE-OTC,1782041760,56.6555,56.6905,56.7065,56.5335,0
turbo,HYPE-OTC,1782041820,56.6965,56.4285,56.7225,56.3435,0
turbo,HYPE-OTC,1782041880,56.4295,56.4915,56.5105,56.3245,0
turbo,HYPE-OTC,1782041940,56.4875,56.5875,56.6715,56.3845,0
turbo,HYPE-OTC,1782042000,56.6055,56.4205,56.7325,56.4185,0
turbo,HYPE-OTC,1782042060,56.4185,56.3625,56.5205,56.3285,0
turbo,HYPE-OTC,1782042120,56.3545,56.1435,56.4025,56.0975,0
turbo,HYPE-OTC,1782042180,56.1355,56.2625,56.3895,56.1225,0
turbo,HYPE-OTC,1782042240,56.2705,56.1915,56.3385,56.1625,0
turbo,HYPE-OTC,1782042300,56.1845,56.5665,56.5765,56.1175,0
turbo,HYPE-OTC,1782042360,56.5685,56.3415,56.6225,56.3255,0
turbo,HYPE-OTC,1782042420,56.3435,56.2885,56.4865,56.2375,0
turbo,HYPE-OTC,1782042480,56.3015,56.5055,56.5055,56.2865,0
turbo,HYPE-OTC,1782042540,56.5225,56.2395,56.5225,56.2375,0
turbo,HYPE-OTC,1782042600,56.2545,56.1985,56.3255,56.1985,0
turbo,HYPE-OTC,1782042660,56.2095,56.2585,56.2805,56.0765,0
turbo,HYPE-OTC,1782042720,56.2555,56.5485,56.5485,56.2215,0
turbo,HYPE-OTC,1782042780,56.5655,56.5825,56.6095,56.4315,0
turbo,HYPE-OTC,1782042840,56.5775,56.3025,56.6315,56.2935,0
turbo,HYPE-OTC,1782042900,56.2905,56.2145,56.2905,56.0575,0
turbo,HYPE-OTC,1782042960,56.2225,56.1685,56.2575,56.1005,0
turbo,HYPE-OTC,1782043020,56.1835,56.0745,56.2715,56.0665,0
turbo,HYPE-OTC,1782043080,56.0705,55.9275,56.1235,55.8305,0
turbo,HYPE-OTC,1782043140,55.9195,55.9985,56.0525,55.8375,0
turbo,HYPE-OTC,1782043200,55.9955,55.9975,56.1765,55.8855,0
turbo,HYPE-OTC,1782043260,55.9905,56.0755,56.1085,55.9365,0
turbo,HYPE-OTC,1782043320,56.0805,56.0165,56.0805,55.9525,0
turbo,HYPE-OTC,1782043380,55.9965,55.9825,56.0655,55.9275,0
turbo,HYPE-OTC,1782043440,55.9945,56.0535,56.0635,55.9235,0
turbo,HYPE-OTC,1782043500,56.0525,55.8295,56.1155,55.8235,0
turbo,HYPE-OTC,1782043560,55.8285,55.9695,55.9695,55.7705,0
turbo,HYPE-OTC,1782043620,55.9665,56.0045,56.0095,55.8555,0
turbo,HYPE-OTC,1782043680,56.0185,55.9975,56.0655,55.8915,0
turbo,HYPE-OTC,1782043740,55.9945,55.9395,56.0555,55.8375,0
turbo,HYPE-OTC,1782043800,55.9445,56.1055,56.1435,55.9235,0
turbo,HYPE-OTC,1782043860,56.0985,56.1065,56.1785,55.9935,0
turbo,HYPE-OTC,1782043920,56.1075,56.1825,56.1895,55.9905,0
turbo,HYPE-OTC,1782043980,56.1605,56.4385,56.4455,56.0985,0
turbo,HYPE-OTC,1782044040,56.4245,56.1815,56.4515,56.1785,0
turbo,HYPE-OTC,1782044100,56.1435,56.1945,56.4175,56.1435,0
turbo,HYPE-OTC,1782044160,56.1745,56.3325,56.3435,55.9895,0
turbo,HYPE-OTC,1782044220,56.3535,56.4525,56.4965,56.3145,0
turbo,HYPE-OTC,1782044280,56.4605,56.5985,56.6695,56.4405,0
turbo,HYPE-OTC,1782044340,56.5945,56.4065,56.6195,56.3985,0
turbo,HYPE-OTC,1782044400,56.3995,55.9285,56.4015,55.9245,0
turbo,HYPE-OTC,1782044460,55.9305,55.9135,55.9345,55.7595,0
turbo,HYPE-OTC,1782044520,55.9305,55.8765,56.0175,55.8185,0
turbo,HYPE-OTC,1782044580,55.8755,56.0245,56.0695,55.8205,0
turbo,HYPE-OTC,1782044640,56.0205,55.8035,56.0675,55.7855,0
turbo,HYPE-OTC,1782044700,55.7935,55.9175,55.9215,55.6585,0
turbo,HYPE-OTC,1782044760,55.9185,55.6555,55.9185,55.6155,0
turbo,HYPE-OTC,1782044820,55.6675,55.8275,55.8435,55.6035,0
turbo,HYPE-OTC,1782044880,55.8375,55.8605,55.8935,55.7405,0
turbo,HYPE-OTC,1782044940,55.8905,55.8665,56.0445,55.8095,0
turbo,HYPE-OTC,1782045000,55.8705,55.8315,55.9385,55.8025,0
turbo,HYPE-OTC,1782045060,55.8155,55.8255,55.8985,55.7595,0
turbo,HYPE-OTC,1782045120,55.8305,55.5235,55.8635,55.5165,0
turbo,HYPE-OTC,1782045180,55.5225,55.4945,55.5365,55.4075,0
turbo,HYPE-OTC,1782045240,55.4905,55.4095,55.5395,55.2985,0
turbo,HYPE-OTC,1782045300,55.4035,55.5135,55.5865,55.2975,0
turbo,HYPE-OTC,1782045360,55.5145,55.8425,55.8435,55.4475,0
turbo,HYPE-OTC,1782045420,55.8545,55.5785,55.9815,55.5455,0
turbo,HYPE-OTC,1782045480,55.5825,55.5665,55.6725,55.5095,0
turbo,HYPE-OTC,1782045540,55.5675,55.4855,55.6105,55.4805,0
turbo,HYPE-OTC,1782045600,55.4865,55.6765,55.6895,55.4195,0
turbo,HYPE-OTC,1782045660,55.6995,55.4255,55.7235,55.3555,0
turbo,HYPE-OTC,1782045720,55.4345,55.6985,55.7665,55.4315,0
