tipo,activo,from,open,close,max,min,volume
turbo,IMXUSD-OTC,1782913560,0.092365,0.091425,0.092695,0.091405,0
turbo,IMXUSD-OTC,1782913620,0.091405,0.090935,0.091555,0.090775,0
turbo,IMXUSD-OTC,1782913680,0.090905,0.090945,0.091305,0.090725,0
turbo,IMXUSD-OTC,1782913740,0.090985,0.092005,0.092005,0.090825,0
turbo,IMXUSD-OTC,1782913800,0.092045,0.092005,0.092275,0.091645,0
turbo,IMXUSD-OTC,1782913860,0.092045,0.092975,0.093235,0.092005,0
turbo,IMXUSD-OTC,1782913920,0.092905,0.093505,0.093735,0.092835,0
turbo,IMXUSD-OTC,1782913980,0.093485,0.093695,0.094025,0.093275,0
turbo,IMXUSD-OTC,1782914040,0.093705,0.094295,0.094575,0.093705,0
turbo,IMXUSD-OTC,1782914100,0.094265,0.094745,0.094895,0.094225,0
turbo,IMXUSD-OTC,1782914160,0.094755,0.094375,0.094935,0.094245,0
turbo,IMXUSD-OTC,1782914220,0.094365,0.094595,0.094795,0.094275,0
turbo,IMXUSD-OTC,1782914280,0.094585,0.095425,0.095545,0.094565,0
turbo,IMXUSD-OTC,1782914340,0.095405,0.096045,0.096135,0.095335,0
turbo,IMXUSD-OTC,1782914400,0.096025,0.096165,0.096365,0.095725,0
turbo,IMXUSD-OTC,1782914460,0.096145,0.095585,0.096245,0.095375,0
turbo,IMXUSD-OTC,1782914520,0.095555,0.095425,0.096005,0.095255,0
turbo,IMXUSD-OTC,1782914580,0.095505,0.095715,0.096205,0.095295,0
turbo,IMXUSD-OTC,1782914640,0.095735,0.095775,0.096215,0.095535,0
turbo,IMXUSD-OTC,1782914700,0.095795,0.096215,0.096285,0.095135,0
turbo,IMXUSD-OTC,1782914760,0.096205,0.096475,0.096805,0.095975,0
turbo,IMXUSD-OTC,1782914820,0.096455,0.096365,0.096725,0.096165,0
turbo,IMXUSD-OTC,1782914880,0.096475,0.095665,0.096475,0.095615,0
turbo,IMXUSD-OTC,1782914940,0.095755,0.096555,0.096595,0.095645,0
turbo,IMXUSD-OTC,1782915000,0.096585,0.097325,0.097735,0.096585,0
turbo,IMXUSD-OTC,1782915060,0.097335,0.097995,0.098105,0.097335,0
turbo,IMXUSD-OTC,1782915120,0.097895,0.098715,0.098715,0.097795,0
turbo,IMXUSD-OTC,1782915180,0.098625,0.098295,0.098915,0.098165,0
turbo,IMXUSD-OTC,1782915240,0.098265,0.098195,0.098425,0.097935,0
turbo,IMXUSD-OTC,1782915300,0.098165,0.097465,0.098165,0.097275,0
turbo,IMXUSD-OTC,1782915360,0.097505,0.098305,0.098315,0.097385,0
turbo,IMXUSD-OTC,1782915420,0.098335,0.098995,0.099005,0.098195,0
turbo,IMXUSD-OTC,1782915480,0.099025,0.099275,0.099595,0.098555,0
turbo,IMXUSD-OTC,1782915540,0.099305,0.099415,0.099755,0.098965,0
turbo,IMXUSD-OTC,1782915600,0.099425,0.099665,0.099875,0.099275,0
turbo,IMXUSD-OTC,1782915660,0.099655,0.099475,0.100195,0.099435,0
turbo,IMXUSD-OTC,1782915720,0.099525,0.099855,0.099975,0.099125,0
turbo,IMXUSD-OTC,1782915780,0.099875,0.100665,0.100665,0.099535,0
turbo,IMXUSD-OTC,1782915840,0.100685,0.101995,0.101995,0.100625,0
