tipo,activo,from,open,close,max,min,volume
turbo,INJUSD-OTC,1782036180,6.073485,6.032775,6.077015,6.031505,0
turbo,INJUSD-OTC,1782036240,6.032765,6.022155,6.041465,6.000935,0
turbo,INJUSD-OTC,1782036300,6.022615,6.086095,6.086095,6.011985,0
turbo,INJUSD-OTC,1782036360,6.084225,6.109295,6.141515,6.077145,0
turbo,INJUSD-OTC,1782036420,6.109135,6.136525,6.147095,6.096855,0
turbo,INJUSD-OTC,1782036480,6.137525,6.170995,6.183955,6.132585,0
turbo,INJUSD-OTC,1782036540,6.172175,6.208555,6.225435,6.172175,0
turbo,INJUSD-OTC,1782036600,6.207705,6.217425,6.228895,6.183965,0
turbo,INJUSD-OTC,1782036660,6.217505,6.183395,6.217615,6.143875,0
turbo,INJUSD-OTC,1782036720,6.183695,6.228345,6.228345,6.180935,0
turbo,INJUSD-OTC,1782036780,6.229775,6.227795,6.262515,6.218325,0
turbo,INJUSD-OTC,1782036840,6.225805,6.238735,6.259805,6.225795,0
turbo,INJUSD-OTC,1782036900,6.237855,6.236255,6.245295,6.192775,0
turbo,INJUSD-OTC,1782036960,6.235815,6.265085,6.279675,6.235495,0
turbo,INJUSD-OTC,1782037020,6.266525,6.281915,6.300535,6.254365,0
turbo,INJUSD-OTC,1782037080,6.280455,6.300285,6.310555,6.265725,0
turbo,INJUSD-OTC,1782037140,6.299195,6.262875,6.310005,6.257665,0
turbo,INJUSD-OTC,1782037200,6.264425,6.296415,6.312365,6.255145,0
turbo,INJUSD-OTC,1782037260,6.299035,6.297235,6.320605,6.280705,0
turbo,INJUSD-OTC,1782037320,6.295685,6.294565,6.307755,6.278335,0
turbo,INJUSD-OTC,1782037380,6.294315,6.260035,6.299545,6.260035,0
turbo,INJUSD-OTC,1782037440,6.259135,6.242855,6.259955,6.220855,0
turbo,INJUSD-OTC,1782037500,6.243545,6.158275,6.249775,6.158275,0
turbo,INJUSD-OTC,1782037560,6.158785,6.198775,6.201595,6.153025,0
turbo,INJUSD-OTC,1782037620,6.199555,6.193465,6.227395,6.181775,0
turbo,INJUSD-OTC,1782037680,6.189455,6.157355,6.218155,6.152235,0
turbo,INJUSD-OTC,1782037740,6.157935,6.186995,6.208195,6.144835,0
turbo,INJUSD-OTC,1782037800,6.185285,6.146825,6.185285,6.140565,0
turbo,INJUSD-OTC,1782037860,6.142865,6.218295,6.218295,6.131955,0
turbo,INJUSD-OTC,1782037920,6.221175,6.251455,6.254785,6.210425,0
turbo,INJUSD-OTC,1782037980,6.253795,6.205715,6.273295,6.199195,0
turbo,INJUSD-OTC,1782038040,6.203845,6.194905,6.216415,6.171675,0
