tipo,activo,from,open,close,max,min,volume
turbo,INTEL-OTC,1782036600,128.5485,129.8265,130.3565,128.3925,0
turbo,INTEL-OTC,1782036660,129.7655,131.1945,131.2485,129.7655,0
turbo,INTEL-OTC,1782036720,131.1195,131.6875,132.8145,131.0305,0
turbo,INTEL-OTC,1782036780,131.7425,132.5855,133.1965,131.6275,0
turbo,INTEL-OTC,1782036840,132.5285,130.9955,132.6015,130.9545,0
turbo,INTEL-OTC,1782036900,130.9345,130.7825,131.2405,130.4815,0
turbo,INTEL-OTC,1782036960,130.8475,131.0075,131.6905,130.3435,0
turbo,INTEL-OTC,1782037020,131.1905,131.7275,132.0705,130.7465,0
turbo,INTEL-OTC,1782037080,131.6635,131.8045,133.0555,131.4675,0
turbo,INTEL-OTC,1782037140,131.7485,130.7005,131.7975,130.4955,0
turbo,INTEL-OTC,1782037200,130.7615,130.2475,131.3615,129.9995,0
turbo,INTEL-OTC,1782037260,130.1865,129.9415,130.6885,129.4115,0
turbo,INTEL-OTC,1782037320,129.8895,130.6125,130.6125,129.1985,0
turbo,INTEL-OTC,1782037380,130.6705,129.5485,130.8265,129.4905,0
turbo,INTEL-OTC,1782037440,129.4105,128.8785,129.4855,128.2925,0
turbo,INTEL-OTC,1782037500,128.9445,128.0245,129.0935,127.6765,0
turbo,INTEL-OTC,1782037560,128.0805,127.3655,129.0205,127.0585,0
turbo,INTEL-OTC,1782037620,127.3055,125.9675,127.3055,125.8875,0
turbo,INTEL-OTC,1782037680,125.9135,124.0195,126.1055,123.7955,0
turbo,INTEL-OTC,1782037740,124.1055,123.3895,124.7585,123.2645,0
turbo,INTEL-OTC,1782037800,123.3335,122.0095,123.8585,121.8305,0
turbo,INTEL-OTC,1782037860,121.9625,122.6005,123.2335,121.8015,0
turbo,INTEL-OTC,1782037920,122.6485,122.4795,123.0125,122.0675,0
turbo,INTEL-OTC,1782037980,122.4125,123.6855,124.0635,122.0935,0
turbo,INTEL-OTC,1782038040,123.7365,123.0495,124.1265,122.9175,0
turbo,INTEL-OTC,1782038100,122.9825,123.1495,123.7205,122.4995,0
turbo,INTEL-OTC,1782038160,123.2045,122.3175,123.2645,122.2545,0
turbo,INTEL-OTC,1782038220,122.2595,121.6145,122.4145,121.0945,0
turbo,INTEL-OTC,1782038280,121.5505,122.6915,123.2175,121.4365,0
turbo,INTEL-OTC,1782038340,122.6385,123.9285,124.2365,122.5255,0
turbo,INTEL-OTC,1782038400,123.9815,124.2695,124.2695,122.7495,0
turbo,INTEL-OTC,1782038460,124.3315,124.1455,124.3815,123.4595,0
turbo,INTEL-OTC,1782038520,124.2125,124.0505,124.6835,123.2355,0
turbo,INTEL-OTC,1782038580,123.9855,124.1535,124.2335,123.1725,0
turbo,INTEL-OTC,1782038640,124.1045,125.4105,125.4495,123.5615,0
turbo,INTEL-OTC,1782038700,125.3595,125.4085,126.2305,125.2515,0
turbo,INTEL-OTC,1782038760,125.4585,125.2855,126.0225,125.2235,0
turbo,INTEL-OTC,1782038820,125.3345,124.8525,125.4055,124.3845,0
turbo,INTEL-OTC,1782038880,124.9085,125.0005,125.1255,124.2995,0
turbo,INTEL-OTC,1782038940,125.0625,124.2595,125.2635,124.0515,0
turbo,INTEL-OTC,1782039000,124.3245,126.2905,126.3575,124.2445,0
turbo,INTEL-OTC,1782039060,126.2425,125.3505,126.6735,125.2895,0
turbo,INTEL-OTC,1782039120,125.4165,126.7345,126.7875,125.2945,0
turbo,INTEL-OTC,1782039180,126.7985,126.9195,127.1785,126.0925,0
turbo,INTEL-OTC,1782039240,126.9835,127.2005,128.1025,126.8185,0
turbo,INTEL-OTC,1782039300,127.1465,125.7845,127.2065,125.4895,0
turbo,INTEL-OTC,1782039360,125.6095,125.6575,126.0975,125.4405,0
turbo,INTEL-OTC,1782039420,125.7115,126.4335,126.6565,125.7115,0
turbo,INTEL-OTC,1782039480,126.3675,124.9465,126.3675,124.5725,0
turbo,INTEL-OTC,1782039540,124.9975,125.4745,125.7635,124.8645,0
turbo,INTEL-OTC,1782039600,125.4195,124.8645,125.6065,124.8645,0
turbo,INTEL-OTC,1782039660,124.8125,124.8135,125.4055,124.4945,0
turbo,INTEL-OTC,1782039720,124.8685,124.6165,125.0495,123.9655,0
turbo,INTEL-OTC,1782039780,124.5505,123.3745,125.2015,123.3105,0
turbo,INTEL-OTC,1782039840,123.4215,124.9185,125.0775,123.3175,0
turbo,INTEL-OTC,1782039900,124.8625,124.3895,125.3245,123.6875,0
turbo,INTEL-OTC,1782039960,124.3265,123.2145,124.3635,122.5755,0
turbo,INTEL-OTC,1782040020,123.1565,124.9945,125.1035,123.1565,0
turbo,INTEL-OTC,1782040080,125.0565,123.8665,125.3605,123.6425,0
turbo,INTEL-OTC,1782040140,123.8015,124.5795,124.6415,123.6985,0
turbo,INTEL-OTC,1782040200,124.4995,125.7485,125.8115,124.4185,0
turbo,INTEL-OTC,1782040260,125.8035,125.2275,126.0105,124.6435,0
turbo,INTEL-OTC,1782040320,125.3885,124.4945,125.4965,124.3265,0
turbo,INTEL-OTC,1782040380,124.5605,124.8905,125.2435,124.4045,0
turbo,INTEL-OTC,1782040440,124.8125,125.2285,125.5955,124.3355,0
turbo,INTEL-OTC,1782040500,125.1715,123.6785,125.4715,123.4265,0
turbo,INTEL-OTC,1782040560,123.7455,122.1295,123.9895,121.9615,0
turbo,INTEL-OTC,1782040620,122.0745,122.7525,123.3615,122.0745,0
turbo,INTEL-OTC,1782040680,122.6945,123.6905,124.0105,122.4215,0
turbo,INTEL-OTC,1782040740,123.7455,123.0925,124.1215,122.3215,0
turbo,INTEL-OTC,1782040800,123.1415,123.9125,123.9125,122.1505,0
turbo,INTEL-OTC,1782040860,123.8475,125.1615,125.2785,123.4955,0
turbo,INTEL-OTC,1782040920,125.0995,124.9855,125.5515,123.9965,0
turbo,INTEL-OTC,1782040980,125.0455,126.4895,126.6815,124.5445,0
turbo,INTEL-OTC,1782041040,126.4265,126.4155,126.9635,125.8965,0
turbo,INTEL-OTC,1782041100,126.4795,125.2235,126.7915,125.1055,0
turbo,INTEL-OTC,1782041160,125.2755,126.0465,126.3365,125.0395,0
turbo,INTEL-OTC,1782041220,126.0975,125.8845,126.4275,125.7475,0
turbo,INTEL-OTC,1782041280,125.9435,125.9835,126.9775,125.8485,0
turbo,INTEL-OTC,1782041340,125.9265,124.6565,126.3585,124.5435,0
turbo,INTEL-OTC,1782041400,124.5915,124.2665,124.8285,123.4025,0
turbo,INTEL-OTC,1782041460,124.2035,123.9035,124.3755,122.9115,0
turbo,INTEL-OTC,1782041520,123.9545,123.3805,124.5355,123.3805,0
turbo,INTEL-OTC,1782041580,123.3335,123.2715,123.8425,123.1435,0
turbo,INTEL-OTC,1782041640,123.2135,123.7695,124.0045,122.8165,0
turbo,INTEL-OTC,1782041700,123.8245,124.3575,124.8955,123.4455,0
turbo,INTEL-OTC,1782041760,124.2985,124.3115,124.7455,123.7985,0
turbo,INTEL-OTC,1782041820,124.3765,123.6775,124.7055,123.5905,0
turbo,INTEL-OTC,1782041880,123.6195,121.7725,123.9525,121.7565,0
turbo,INTEL-OTC,1782041940,121.7225,121.0525,121.8735,120.8895,0
turbo,INTEL-OTC,1782042000,120.9915,122.5455,122.5455,120.9355,0
turbo,INTEL-OTC,1782042060,122.6025,122.8485,122.8545,121.7265,0
turbo,INTEL-OTC,1782042120,122.7995,121.8575,123.0515,121.3405,0
turbo,INTEL-OTC,1782042180,121.7925,120.5895,121.8905,120.3675,0
turbo,INTEL-OTC,1782042240,120.5325,121.5235,121.5615,120.2315,0
turbo,INTEL-OTC,1782042300,121.4605,122.2915,122.5575,121.2565,0
turbo,INTEL-OTC,1782042360,122.2365,122.1895,122.6035,121.6415,0
turbo,INTEL-OTC,1782042420,122.2395,122.0685,122.7835,121.6035,0
turbo,INTEL-OTC,1782042480,122.2015,123.1885,123.3355,122.1405,0
turbo,INTEL-OTC,1782042540,123.2485,122.8405,123.5015,122.2875,0
turbo,INTEL-OTC,1782042600,122.9065,122.7265,123.4695,122.2715,0
turbo,INTEL-OTC,1782042660,122.7795,122.2285,123.0545,122.2285,0
turbo,INTEL-OTC,1782042720,122.2795,121.8015,122.5435,121.7165,0
turbo,INTEL-OTC,1782042780,121.7455,122.4175,122.9805,121.2585,0
turbo,INTEL-OTC,1782042840,122.3695,122.2385,123.5905,121.5825,0
turbo,INTEL-OTC,1782042900,122.2985,121.8395,122.8375,121.8065,0
turbo,INTEL-OTC,1782042960,121.7855,122.9985,123.6805,121.6465,0
turbo,INTEL-OTC,1782043020,122.9245,123.1065,123.2805,121.8605,0
turbo,INTEL-OTC,1782043080,123.0245,123.4065,123.6535,121.9375,0
turbo,INTEL-OTC,1782043140,123.4875,123.4535,124.1525,122.5615,0
turbo,INTEL-OTC,1782043200,123.5095,121.9095,123.5145,121.9095,0
turbo,INTEL-OTC,1782043260,121.8555,122.6475,122.8135,121.8555,0
turbo,INTEL-OTC,1782043320,122.7065,123.7765,123.9075,122.1065,0
turbo,INTEL-OTC,1782043380,123.7115,122.3055,123.9265,122.2035,0
turbo,INTEL-OTC,1782043440,122.2565,121.0585,122.6355,120.9345,0
turbo,INTEL-OTC,1782043500,120.9965,121.3605,121.7065,119.9775,0
turbo,INTEL-OTC,1782043560,121.2985,120.7025,121.4915,120.3755,0
turbo,INTEL-OTC,1782043620,120.6435,119.6605,120.7065,119.3615,0
turbo,INTEL-OTC,1782043680,119.6085,120.9365,120.9365,119.3655,0
turbo,INTEL-OTC,1782043740,120.9935,121.6985,121.9955,120.6925,0
turbo,INTEL-OTC,1782043800,121.6345,122.5315,123.0725,121.2985,0
turbo,INTEL-OTC,1782043860,122.4725,122.2775,123.2185,122.1525,0
turbo,INTEL-OTC,1782043920,122.2305,122.7365,123.3105,121.8825,0
turbo,INTEL-OTC,1782043980,122.6865,122.8675,123.6265,122.5245,0
turbo,INTEL-OTC,1782044040,122.9245,122.9475,124.0485,122.6955,0
turbo,INTEL-OTC,1782044100,122.8865,120.9925,123.7345,120.8775,0
turbo,INTEL-OTC,1782044160,121.0465,122.0655,122.7885,120.4575,0
turbo,INTEL-OTC,1782044220,122.0005,122.9045,123.1295,121.7925,0
turbo,INTEL-OTC,1782044280,122.8495,123.3895,124.0905,122.8495,0
turbo,INTEL-OTC,1782044340,123.3265,124.8585,125.7355,123.0885,0
turbo,INTEL-OTC,1782044400,124.9215,126.6445,126.7475,124.9215,0
turbo,INTEL-OTC,1782044460,126.5825,127.6695,127.6695,126.3605,0
turbo,INTEL-OTC,1782044520,127.6005,126.7555,127.9275,126.6215,0
turbo,INTEL-OTC,1782044580,126.7015,125.5215,127.1075,125.3465,0
turbo,INTEL-OTC,1782044640,125.5705,124.2425,125.9635,124.1125,0
turbo,INTEL-OTC,1782044700,124.1915,122.7115,124.5035,122.6375,0
turbo,INTEL-OTC,1782044760,122.6465,121.6235,122.7545,121.1365,0
turbo,INTEL-OTC,1782044820,121.6815,121.1675,121.7015,120.6755,0
turbo,INTEL-OTC,1782044880,121.1155,121.4525,121.8535,120.6215,0
turbo,INTEL-OTC,1782044940,121.3985,122.5205,123.2515,121.3985,0
turbo,INTEL-OTC,1782045000,122.5765,121.6065,122.8205,121.4655,0
turbo,INTEL-OTC,1782045060,121.5545,121.4125,122.0535,121.0395,0
turbo,INTEL-OTC,1782045120,121.3655,122.8825,123.3865,121.3655,0
turbo,INTEL-OTC,1782045180,122.8365,123.4095,123.4975,122.1255,0
turbo,INTEL-OTC,1782045240,123.3615,123.2215,123.7685,123.0745,0
turbo,INTEL-OTC,1782045300,123.1655,122.3025,123.4295,122.2055,0
turbo,INTEL-OTC,1782045360,122.2535,122.4045,123.0255,121.9775,0
turbo,INTEL-OTC,1782045420,122.3495,121.7935,122.3965,121.4085,0
turbo,INTEL-OTC,1782045480,121.7285,121.4515,122.5215,121.3995,0
turbo,INTEL-OTC,1782045540,121.5085,121.8465,122.0665,120.7975,0
turbo,INTEL-OTC,1782045600,121.7935,123.2555,123.6255,121.7725,0
turbo,INTEL-OTC,1782045660,123.3185,124.4465,125.0735,122.9505,0
turbo,INTEL-OTC,1782045720,124.6015,124.5095,125.6045,124.1735,0
turbo,INTEL-OTC,1782045780,124.4545,125.7535,126.6515,124.4005,0
