tipo,activo,from,open,close,max,min,volume
turbo,IOTAUSD-OTC,1784565060,0.031775,0.031845,0.031895,0.031725,0
turbo,IOTAUSD-OTC,1784565120,0.031845,0.031945,0.031995,0.031835,0
turbo,IOTAUSD-OTC,1784565180,0.031935,0.031965,0.032085,0.031925,0
turbo,IOTAUSD-OTC,1784565240,0.031975,0.031995,0.032075,0.031935,0
turbo,IOTAUSD-OTC,1784565300,0.031985,0.032095,0.032195,0.031965,0
turbo,IOTAUSD-OTC,1784565360,0.032125,0.032165,0.032185,0.032005,0
turbo,IOTAUSD-OTC,1784565420,0.032175,0.032475,0.032475,0.032155,0
turbo,IOTAUSD-OTC,1784565480,0.032465,0.032565,0.032605,0.032385,0
turbo,IOTAUSD-OTC,1784565540,0.032555,0.032895,0.032985,0.032545,0
turbo,IOTAUSD-OTC,1784565600,0.032885,0.032895,0.033045,0.032845,0
turbo,IOTAUSD-OTC,1784565660,0.032875,0.032925,0.033025,0.032795,0
turbo,IOTAUSD-OTC,1784565720,0.032935,0.032835,0.033035,0.032835,0
turbo,IOTAUSD-OTC,1784565780,0.032815,0.032795,0.032835,0.032715,0
turbo,IOTAUSD-OTC,1784565840,0.032785,0.032565,0.032785,0.032535,0
turbo,IOTAUSD-OTC,1784565900,0.032555,0.032395,0.032585,0.032345,0
turbo,IOTAUSD-OTC,1784565960,0.032385,0.032165,0.032385,0.032125,0
turbo,IOTAUSD-OTC,1784566020,0.032155,0.032125,0.032315,0.032125,0
turbo,IOTAUSD-OTC,1784566080,0.032105,0.032085,0.032115,0.031915,0
turbo,IOTAUSD-OTC,1784566140,0.032095,0.031915,0.032115,0.031895,0
turbo,IOTAUSD-OTC,1784566200,0.031905,0.031715,0.031935,0.031705,0
turbo,IOTAUSD-OTC,1784566260,0.031735,0.031885,0.031965,0.031725,0
turbo,IOTAUSD-OTC,1784566320,0.031885,0.031555,0.031905,0.031555,0
turbo,IOTAUSD-OTC,1784566380,0.031535,0.031695,0.031765,0.031525,0
turbo,IOTAUSD-OTC,1784566440,0.031685,0.032085,0.032135,0.031675,0
turbo,IOTAUSD-OTC,1784566500,0.032095,0.032135,0.032265,0.032065,0
turbo,IOTAUSD-OTC,1784566560,0.032145,0.032335,0.032395,0.032145,0
turbo,IOTAUSD-OTC,1784566620,0.032315,0.032325,0.032435,0.032315,0
turbo,IOTAUSD-OTC,1784566680,0.032315,0.032245,0.032355,0.032175,0
turbo,IOTAUSD-OTC,1784566740,0.032225,0.032465,0.032465,0.032185,0
turbo,IOTAUSD-OTC,1784566800,0.032475,0.032395,0.032545,0.032315,0
turbo,IOTAUSD-OTC,1784566860,0.032405,0.032325,0.032475,0.032245,0
turbo,IOTAUSD-OTC,1784566920,0.032345,0.031945,0.032385,0.031945,0
turbo,IOTAUSD-OTC,1784566980,0.031965,0.031715,0.031975,0.031705,0
turbo,IOTAUSD-OTC,1784567040,0.031705,0.031755,0.031765,0.031505,0
turbo,IOTAUSD-OTC,1784567100,0.031765,0.032015,0.032015,0.031655,0
turbo,IOTAUSD-OTC,1784567160,0.032005,0.031825,0.032005,0.031665,0
turbo,IOTAUSD-OTC,1784567220,0.031835,0.032095,0.032135,0.031825,0
turbo,IOTAUSD-OTC,1784567280,0.032105,0.031895,0.032105,0.031875,0
turbo,IOTAUSD-OTC,1784567340,0.031885,0.031795,0.032005,0.031715,0
turbo,IOTAUSD-OTC,1784567400,0.031785,0.032005,0.032095,0.031745,0
turbo,IOTAUSD-OTC,1784567460,0.032015,0.032075,0.032205,0.032015,0
turbo,IOTAUSD-OTC,1784567520,0.032065,0.031995,0.032185,0.031985,0
turbo,IOTAUSD-OTC,1784567580,0.032005,0.032185,0.032275,0.031995,0
turbo,IOTAUSD-OTC,1784567640,0.032195,0.031935,0.032215,0.031935,0
turbo,IOTAUSD-OTC,1784567700,0.031905,0.031725,0.031915,0.031725,0
turbo,IOTAUSD-OTC,1784567760,0.031745,0.031885,0.031985,0.031745,0
turbo,IOTAUSD-OTC,1784567820,0.031895,0.032185,0.032225,0.031875,0
turbo,IOTAUSD-OTC,1784567880,0.032175,0.031955,0.032195,0.031955,0
turbo,IOTAUSD-OTC,1784567940,0.031965,0.031755,0.032005,0.031755,0
turbo,IOTAUSD-OTC,1784568000,0.031765,0.031755,0.031995,0.031705,0
turbo,IOTAUSD-OTC,1784568060,0.031725,0.031825,0.031875,0.031635,0
turbo,IOTAUSD-OTC,1784568120,0.031815,0.031645,0.031855,0.031555,0
turbo,IOTAUSD-OTC,1784568180,0.031635,0.031705,0.031885,0.031595,0
turbo,IOTAUSD-OTC,1784568240,0.031715,0.031855,0.031855,0.031665,0
turbo,IOTAUSD-OTC,1784568300,0.031865,0.031905,0.031995,0.031825,0
turbo,IOTAUSD-OTC,1784568360,0.031915,0.031775,0.031965,0.031755,0
turbo,IOTAUSD-OTC,1784568420,0.031785,0.031835,0.031945,0.031775,0
turbo,IOTAUSD-OTC,1784568480,0.031845,0.031955,0.031975,0.031795,0
turbo,IOTAUSD-OTC,1784568540,0.031965,0.032105,0.032105,0.031875,0
turbo,IOTAUSD-OTC,1784568600,0.032095,0.032315,0.032485,0.032085,0
