tipo,activo,from,open,close,max,min,volume
turbo,JPYTHB-OTC,1782036240,0.203925,0.203925,0.204065,0.203885,0
turbo,JPYTHB-OTC,1782036300,0.203935,0.204015,0.204115,0.203795,0
turbo,JPYTHB-OTC,1782036360,0.204035,0.203955,0.204085,0.203885,0
turbo,JPYTHB-OTC,1782036420,0.203965,0.203825,0.203985,0.203805,0
turbo,JPYTHB-OTC,1782036480,0.203825,0.203805,0.203825,0.203695,0
turbo,JPYTHB-OTC,1782036540,0.203815,0.203835,0.204045,0.203775,0
turbo,JPYTHB-OTC,1782036600,0.203825,0.204005,0.204095,0.203825,0
turbo,JPYTHB-OTC,1782036660,0.204005,0.204095,0.204245,0.203995,0
turbo,JPYTHB-OTC,1782036720,0.204085,0.204085,0.204335,0.204055,0
turbo,JPYTHB-OTC,1782036780,0.204075,0.203925,0.204105,0.203915,0
turbo,JPYTHB-OTC,1782036840,0.203935,0.203815,0.204025,0.203805,0
turbo,JPYTHB-OTC,1782036900,0.203795,0.203785,0.203825,0.203655,0
turbo,JPYTHB-OTC,1782036960,0.203795,0.204045,0.204095,0.203765,0
turbo,JPYTHB-OTC,1782037020,0.204035,0.203925,0.204055,0.203875,0
turbo,JPYTHB-OTC,1782037080,0.203935,0.203855,0.203955,0.203825,0
turbo,JPYTHB-OTC,1782037140,0.203845,0.204195,0.204215,0.203845,0
turbo,JPYTHB-OTC,1782037200,0.204185,0.204255,0.204335,0.204155,0
turbo,JPYTHB-OTC,1782037260,0.204245,0.204445,0.204455,0.204215,0
turbo,JPYTHB-OTC,1782037320,0.204425,0.204285,0.204435,0.204265,0
turbo,JPYTHB-OTC,1782037380,0.204275,0.204375,0.204445,0.204245,0
turbo,JPYTHB-OTC,1782037440,0.204385,0.204275,0.204435,0.204245,0
turbo,JPYTHB-OTC,1782037500,0.204265,0.204235,0.204385,0.204225,0
turbo,JPYTHB-OTC,1782037560,0.204205,0.204235,0.204235,0.204095,0
turbo,JPYTHB-OTC,1782037620,0.204245,0.204205,0.204375,0.204185,0
turbo,JPYTHB-OTC,1782037680,0.204215,0.204125,0.204295,0.204085,0
turbo,JPYTHB-OTC,1782037740,0.204105,0.204175,0.204175,0.203985,0
turbo,JPYTHB-OTC,1782037800,0.204185,0.204145,0.204255,0.204085,0
turbo,JPYTHB-OTC,1782037860,0.204135,0.204265,0.204285,0.204115,0
turbo,JPYTHB-OTC,1782037920,0.204275,0.204265,0.204375,0.204205,0
turbo,JPYTHB-OTC,1782037980,0.204255,0.204255,0.204335,0.204175,0
turbo,JPYTHB-OTC,1782038040,0.204275,0.204285,0.204345,0.204205,0
turbo,JPYTHB-OTC,1782038100,0.204295,0.204365,0.204535,0.204245,0
turbo,JPYTHB-OTC,1782038160,0.204365,0.204235,0.204425,0.204235,0
turbo,JPYTHB-OTC,1782038220,0.204235,0.204375,0.204385,0.204085,0
turbo,JPYTHB-OTC,1782038280,0.204385,0.204395,0.204555,0.204355,0
turbo,JPYTHB-OTC,1782038340,0.204405,0.204555,0.204555,0.204305,0
turbo,JPYTHB-OTC,1782038400,0.204565,0.204355,0.204575,0.204335,0
turbo,JPYTHB-OTC,1782038460,0.204345,0.204615,0.204615,0.204335,0
turbo,JPYTHB-OTC,1782038520,0.204605,0.204235,0.204615,0.204205,0
turbo,JPYTHB-OTC,1782038580,0.204205,0.204015,0.204235,0.204005,0
turbo,JPYTHB-OTC,1782038640,0.204025,0.204015,0.204165,0.203915,0
turbo,JPYTHB-OTC,1782038700,0.204025,0.204025,0.204115,0.203895,0
turbo,JPYTHB-OTC,1782038760,0.204075,0.204325,0.204325,0.204065,0
