tipo,activo,from,open,close,max,min,volume
turbo,LABUBUUSD-OTC,1782566460,0.567175,0.566885,0.567315,0.566835,0
turbo,LABUBUUSD-OTC,1782566520,0.566845,0.565815,0.567125,0.565815,0
turbo,LABUBUUSD-OTC,1782566580,0.565795,0.565545,0.565905,0.565435,0
turbo,LABUBUUSD-OTC,1782566640,0.565575,0.565995,0.566005,0.565485,0
turbo,LABUBUUSD-OTC,1782566700,0.565965,0.566365,0.566685,0.565805,0
turbo,LABUBUUSD-OTC,1782566760,0.566395,0.566915,0.567355,0.566255,0
turbo,LABUBUUSD-OTC,1782566820,0.566825,0.566805,0.567005,0.566495,0
turbo,LABUBUUSD-OTC,1782566880,0.566785,0.565775,0.566915,0.565725,0
turbo,LABUBUUSD-OTC,1782566940,0.565805,0.565915,0.566115,0.565515,0
turbo,LABUBUUSD-OTC,1782567000,0.565885,0.566835,0.566965,0.565845,0
turbo,LABUBUUSD-OTC,1782567060,0.566825,0.567655,0.567655,0.566665,0
turbo,LABUBUUSD-OTC,1782567120,0.567675,0.567165,0.567835,0.566835,0
turbo,LABUBUUSD-OTC,1782567180,0.567095,0.567225,0.567325,0.566505,0
turbo,LABUBUUSD-OTC,1782567240,0.567195,0.567145,0.567435,0.566775,0
turbo,LABUBUUSD-OTC,1782567300,0.566995,0.566785,0.567185,0.566705,0
turbo,LABUBUUSD-OTC,1782567360,0.566805,0.566625,0.566835,0.566045,0
turbo,LABUBUUSD-OTC,1782567420,0.566685,0.566845,0.567075,0.566535,0
turbo,LABUBUUSD-OTC,1782567480,0.566825,0.566005,0.566945,0.566005,0
turbo,LABUBUUSD-OTC,1782567540,0.566065,0.565885,0.566355,0.565545,0
turbo,LABUBUUSD-OTC,1782567600,0.565865,0.565445,0.566145,0.565445,0
turbo,LABUBUUSD-OTC,1782567660,0.565515,0.565855,0.565965,0.565505,0
turbo,LABUBUUSD-OTC,1782567720,0.565805,0.565705,0.566115,0.565365,0
turbo,LABUBUUSD-OTC,1782567780,0.565755,0.565105,0.566035,0.565065,0
turbo,LABUBUUSD-OTC,1782567840,0.565145,0.564735,0.565145,0.564455,0
turbo,LABUBUUSD-OTC,1782567900,0.564715,0.565485,0.565825,0.564705,0
turbo,LABUBUUSD-OTC,1782567960,0.565495,0.564605,0.565615,0.564605,0
turbo,LABUBUUSD-OTC,1782568020,0.564535,0.564855,0.564855,0.564125,0
turbo,LABUBUUSD-OTC,1782568080,0.564725,0.564465,0.564835,0.564155,0
turbo,LABUBUUSD-OTC,1782568140,0.564455,0.564535,0.564705,0.564395,0
turbo,LABUBUUSD-OTC,1782568200,0.564505,0.564795,0.564855,0.564015,0
turbo,LABUBUUSD-OTC,1782568260,0.564815,0.564685,0.565005,0.564275,0
turbo,LABUBUUSD-OTC,1782568320,0.564645,0.564485,0.564835,0.564365,0
turbo,LABUBUUSD-OTC,1782568380,0.564505,0.564425,0.564715,0.564105,0
turbo,LABUBUUSD-OTC,1782568440,0.564465,0.565375,0.565775,0.564465,0
turbo,LABUBUUSD-OTC,1782568500,0.565445,0.564395,0.565505,0.564395,0
turbo,LABUBUUSD-OTC,1782568560,0.564415,0.565025,0.565385,0.564215,0
turbo,LABUBUUSD-OTC,1782568620,0.565015,0.565485,0.565575,0.564805,0
turbo,LABUBUUSD-OTC,1782568680,0.565415,0.564855,0.565455,0.564845,0
turbo,LABUBUUSD-OTC,1782568740,0.564875,0.564915,0.565035,0.564085,0
turbo,LABUBUUSD-OTC,1782568800,0.564905,0.565075,0.565105,0.564455,0
turbo,LABUBUUSD-OTC,1782568860,0.565055,0.565535,0.565645,0.564825,0
turbo,LABUBUUSD-OTC,1782568920,0.565515,0.566615,0.566855,0.565405,0
turbo,LABUBUUSD-OTC,1782568980,0.566665,0.567325,0.567515,0.566645,0
turbo,LABUBUUSD-OTC,1782569040,0.567385,0.566435,0.567415,0.566315,0
turbo,LABUBUUSD-OTC,1782569100,0.566465,0.566915,0.567155,0.566195,0
turbo,LABUBUUSD-OTC,1782569160,0.566905,0.568215,0.568445,0.566675,0
turbo,LABUBUUSD-OTC,1782569220,0.568245,0.568025,0.568615,0.567855,0
turbo,LABUBUUSD-OTC,1782569280,0.567995,0.567715,0.568125,0.567625,0
turbo,LABUBUUSD-OTC,1782569340,0.567685,0.568065,0.568155,0.567315,0
turbo,LABUBUUSD-OTC,1782569400,0.567985,0.567845,0.568325,0.567785,0
turbo,LABUBUUSD-OTC,1782569460,0.567875,0.567425,0.568005,0.567055,0
turbo,LABUBUUSD-OTC,1782569520,0.567455,0.567275,0.567635,0.566945,0
turbo,LABUBUUSD-OTC,1782569580,0.567255,0.567545,0.568035,0.567035,0
turbo,LABUBUUSD-OTC,1782569640,0.567495,0.567975,0.568185,0.567485,0
turbo,LABUBUUSD-OTC,1782569700,0.568025,0.568045,0.568375,0.567835,0
turbo,LABUBUUSD-OTC,1782569760,0.568045,0.568605,0.568605,0.567925,0
turbo,LABUBUUSD-OTC,1782569820,0.568615,0.568375,0.568755,0.568225,0
turbo,LABUBUUSD-OTC,1782569880,0.568385,0.569055,0.569275,0.568385,0
turbo,LABUBUUSD-OTC,1782569940,0.569025,0.569045,0.569085,0.568425,0
turbo,LABUBUUSD-OTC,1782570000,0.569065,0.569305,0.569415,0.568975,0
turbo,LABUBUUSD-OTC,1782570060,0.569315,0.569505,0.569755,0.569235,0
turbo,LABUBUUSD-OTC,1782570120,0.569515,0.569995,0.570295,0.569325,0
turbo,LABUBUUSD-OTC,1782570180,0.569955,0.569735,0.570185,0.569525,0
turbo,LABUBUUSD-OTC,1782570240,0.569625,0.568605,0.569725,0.568605,0
turbo,LABUBUUSD-OTC,1782570300,0.568615,0.569565,0.569795,0.568615,0
turbo,LABUBUUSD-OTC,1782570360,0.569575,0.570325,0.570555,0.569535,0
turbo,LABUBUUSD-OTC,1782570420,0.570395,0.569115,0.570795,0.569115,0
turbo,LABUBUUSD-OTC,1782570480,0.569125,0.568455,0.569135,0.568375,0
turbo,LABUBUUSD-OTC,1782570540,0.568435,0.568255,0.568565,0.568165,0
turbo,LABUBUUSD-OTC,1782570600,0.568195,0.569435,0.569555,0.568165,0
turbo,LABUBUUSD-OTC,1782570660,0.569485,0.569495,0.569995,0.569455,0
turbo,LABUBUUSD-OTC,1782570720,0.569515,0.569775,0.569895,0.568885,0
turbo,LABUBUUSD-OTC,1782570780,0.569755,0.570155,0.570245,0.569625,0
turbo,LABUBUUSD-OTC,1782570840,0.570205,0.569845,0.570305,0.569795,0
turbo,LABUBUUSD-OTC,1782570900,0.569825,0.568885,0.570055,0.568875,0
turbo,LABUBUUSD-OTC,1782570960,0.568855,0.568365,0.568885,0.568335,0
turbo,LABUBUUSD-OTC,1782571020,0.568325,0.567725,0.568815,0.567705,0
turbo,LABUBUUSD-OTC,1782571080,0.567785,0.567965,0.568265,0.567705,0
turbo,LABUBUUSD-OTC,1782571140,0.567925,0.567865,0.568285,0.567815,0
turbo,LABUBUUSD-OTC,1782571200,0.567875,0.568425,0.568425,0.567875,0
turbo,LABUBUUSD-OTC,1782571260,0.568375,0.568245,0.568715,0.568095,0
turbo,LABUBUUSD-OTC,1782571320,0.568265,0.568155,0.568395,0.567855,0
turbo,LABUBUUSD-OTC,1782571380,0.568135,0.568195,0.568485,0.568025,0
turbo,LABUBUUSD-OTC,1782571440,0.568215,0.567985,0.568505,0.567945,0
turbo,LABUBUUSD-OTC,1782571500,0.567995,0.568245,0.568665,0.567965,0
turbo,LABUBUUSD-OTC,1782571560,0.568235,0.567975,0.568345,0.567645,0
turbo,LABUBUUSD-OTC,1782571620,0.567965,0.568085,0.568865,0.567895,0
turbo,LABUBUUSD-OTC,1782571680,0.568045,0.567735,0.568175,0.567525,0
turbo,LABUBUUSD-OTC,1782571740,0.567705,0.568535,0.568535,0.567615,0
turbo,LABUBUUSD-OTC,1782571800,0.568555,0.568695,0.569105,0.568545,0
turbo,LABUBUUSD-OTC,1782571860,0.568715,0.569125,0.569395,0.568715,0
turbo,LABUBUUSD-OTC,1782571920,0.569135,0.568945,0.569255,0.568565,0
turbo,LABUBUUSD-OTC,1782571980,0.568955,0.568355,0.569065,0.568305,0
