tipo,activo,from,open,close,max,min,volume
turbo,LINKUSD-OTC,1782036240,6.846505,6.817005,6.870835,6.817005,0
turbo,LINKUSD-OTC,1782036300,6.818785,6.834645,6.871885,6.818125,0
turbo,LINKUSD-OTC,1782036360,6.833115,6.849125,6.857305,6.820735,0
turbo,LINKUSD-OTC,1782036420,6.847035,6.820465,6.851695,6.810455,0
turbo,LINKUSD-OTC,1782036480,6.820985,6.802185,6.829685,6.787875,0
turbo,LINKUSD-OTC,1782036540,6.803705,6.892895,6.906225,6.800415,0
turbo,LINKUSD-OTC,1782036600,6.886235,6.892655,6.902495,6.867535,0
turbo,LINKUSD-OTC,1782036660,6.893185,6.898895,6.910105,6.883625,0
turbo,LINKUSD-OTC,1782036720,6.898885,6.864345,6.913085,6.862385,0
turbo,LINKUSD-OTC,1782036780,6.863865,6.864465,6.877685,6.840275,0
turbo,LINKUSD-OTC,1782036840,6.870765,6.848305,6.870765,6.829085,0
turbo,LINKUSD-OTC,1782036900,6.851525,6.893355,6.914795,6.848505,0
turbo,LINKUSD-OTC,1782036960,6.896455,6.910005,6.920985,6.891115,0
turbo,LINKUSD-OTC,1782037020,6.910645,6.895885,6.916855,6.866765,0
turbo,LINKUSD-OTC,1782037080,6.902565,6.902295,6.914795,6.889125,0
turbo,LINKUSD-OTC,1782037140,6.904805,6.922885,6.924145,6.872895,0
turbo,LINKUSD-OTC,1782037200,6.921505,6.943895,6.976215,6.921505,0
turbo,LINKUSD-OTC,1782037260,6.942775,6.942765,6.946715,6.918685,0
turbo,LINKUSD-OTC,1782037320,6.936045,6.979705,6.979705,6.936045,0
turbo,LINKUSD-OTC,1782037380,6.977185,6.888255,6.982195,6.888255,0
turbo,LINKUSD-OTC,1782037440,6.888675,6.932655,6.960825,6.883885,0
turbo,LINKUSD-OTC,1782037500,6.932415,6.968715,6.973765,6.929875,0
turbo,LINKUSD-OTC,1782037560,6.966395,6.965475,6.974375,6.926145,0
turbo,LINKUSD-OTC,1782037620,6.964545,6.987885,6.997105,6.950575,0
turbo,LINKUSD-OTC,1782037680,6.989805,7.031935,7.032135,6.979745,0
turbo,LINKUSD-OTC,1782037740,7.034005,7.035855,7.061255,7.027475,0
turbo,LINKUSD-OTC,1782037800,7.035165,7.079765,7.096815,7.035165,0
turbo,LINKUSD-OTC,1782037860,7.081715,7.075175,7.116185,7.072825,0
turbo,LINKUSD-OTC,1782037920,7.076225,7.031265,7.078645,7.031105,0
turbo,LINKUSD-OTC,1782037980,7.031275,7.071825,7.074055,7.021265,0
turbo,LINKUSD-OTC,1782038040,7.074185,7.149205,7.149365,7.055445,0
turbo,LINKUSD-OTC,1782038100,7.156125,7.093565,7.169665,7.093565,0
turbo,LINKUSD-OTC,1782038160,7.094215,7.123785,7.146895,7.067035,0
turbo,LINKUSD-OTC,1782038220,7.130685,7.078205,7.133135,7.058275,0
turbo,LINKUSD-OTC,1782038280,7.080155,7.107515,7.115165,7.055345,0
turbo,LINKUSD-OTC,1782038340,7.104225,7.121225,7.125195,7.076575,0
turbo,LINKUSD-OTC,1782038400,7.119905,7.109895,7.160875,7.102335,0
turbo,LINKUSD-OTC,1782038460,7.106745,7.117835,7.136625,7.101225,0
turbo,LINKUSD-OTC,1782038520,7.117285,7.113805,7.132975,7.078875,0
turbo,LINKUSD-OTC,1782038580,7.110805,7.068815,7.119725,7.060375,0
turbo,LINKUSD-OTC,1782038640,7.068205,7.023305,7.088055,7.017805,0
turbo,LINKUSD-OTC,1782038700,7.024085,6.966085,7.030735,6.956905,0
turbo,LINKUSD-OTC,1782038760,6.968275,7.025055,7.027575,6.964465,0
