tipo,activo,from,open,close,max,min,volume
turbo,LUNA-OTC,1782036600,0.069075,0.069015,0.069205,0.068885,0
turbo,LUNA-OTC,1782036660,0.069025,0.069045,0.069215,0.068915,0
turbo,LUNA-OTC,1782036720,0.069015,0.068485,0.069015,0.068455,0
turbo,LUNA-OTC,1782036780,0.068495,0.068205,0.068545,0.068195,0
turbo,LUNA-OTC,1782036840,0.068195,0.068655,0.068705,0.068135,0
turbo,LUNA-OTC,1782036900,0.068615,0.068415,0.068825,0.068245,0
turbo,LUNA-OTC,1782036960,0.068405,0.067945,0.068415,0.067885,0
turbo,LUNA-OTC,1782037020,0.067955,0.067775,0.067955,0.067615,0
turbo,LUNA-OTC,1782037080,0.067785,0.067635,0.067845,0.067555,0
turbo,LUNA-OTC,1782037140,0.067625,0.067785,0.067835,0.067535,0
turbo,LUNA-OTC,1782037200,0.067765,0.067755,0.068215,0.067675,0
turbo,LUNA-OTC,1782037260,0.067745,0.067515,0.067805,0.067335,0
turbo,LUNA-OTC,1782037320,0.067505,0.067885,0.067885,0.067505,0
turbo,LUNA-OTC,1782037380,0.067805,0.067635,0.067965,0.067535,0
turbo,LUNA-OTC,1782037440,0.067645,0.067885,0.068075,0.067635,0
turbo,LUNA-OTC,1782037500,0.067825,0.068115,0.068205,0.067815,0
turbo,LUNA-OTC,1782037560,0.068105,0.067785,0.068115,0.067625,0
turbo,LUNA-OTC,1782037620,0.067805,0.066725,0.067825,0.066725,0
turbo,LUNA-OTC,1782037680,0.066785,0.066545,0.066905,0.066395,0
turbo,LUNA-OTC,1782037740,0.066535,0.066435,0.066595,0.066215,0
turbo,LUNA-OTC,1782037800,0.066425,0.066645,0.066815,0.066325,0
turbo,LUNA-OTC,1782037860,0.066665,0.066495,0.066665,0.066415,0
turbo,LUNA-OTC,1782037920,0.066485,0.066265,0.066545,0.066195,0
turbo,LUNA-OTC,1782037980,0.066275,0.066375,0.066425,0.066035,0
turbo,LUNA-OTC,1782038040,0.066375,0.066665,0.066825,0.066305,0
turbo,LUNA-OTC,1782038100,0.066655,0.066555,0.066835,0.066535,0
turbo,LUNA-OTC,1782038160,0.066555,0.066655,0.066825,0.066475,0
turbo,LUNA-OTC,1782038220,0.066665,0.066495,0.066765,0.066365,0
turbo,LUNA-OTC,1782038280,0.066485,0.066065,0.066625,0.066065,0
turbo,LUNA-OTC,1782038340,0.066055,0.066205,0.066385,0.065995,0
turbo,LUNA-OTC,1782038400,0.066215,0.066225,0.066395,0.066125,0
turbo,LUNA-OTC,1782038460,0.066285,0.066235,0.066405,0.066215,0
turbo,LUNA-OTC,1782038520,0.066245,0.065905,0.066305,0.065825,0
turbo,LUNA-OTC,1782038580,0.065915,0.066105,0.066175,0.065905,0
turbo,LUNA-OTC,1782038640,0.066055,0.065955,0.066285,0.065935,0
turbo,LUNA-OTC,1782038700,0.065955,0.066255,0.066305,0.065955,0
turbo,LUNA-OTC,1782038760,0.066255,0.066505,0.066585,0.066205,0
turbo,LUNA-OTC,1782038820,0.066525,0.066705,0.066885,0.066395,0
turbo,LUNA-OTC,1782038880,0.066715,0.066475,0.066745,0.066405,0
turbo,LUNA-OTC,1782038940,0.066485,0.066415,0.066525,0.066255,0
turbo,LUNA-OTC,1782039000,0.066415,0.066365,0.066465,0.066265,0
turbo,LUNA-OTC,1782039060,0.066365,0.066055,0.066375,0.065865,0
turbo,LUNA-OTC,1782039120,0.066065,0.066235,0.066265,0.066025,0
turbo,LUNA-OTC,1782039180,0.066225,0.065765,0.066225,0.065705,0
turbo,LUNA-OTC,1782039240,0.065755,0.066365,0.066465,0.065705,0
turbo,LUNA-OTC,1782039300,0.066365,0.066585,0.066625,0.066365,0
turbo,LUNA-OTC,1782039360,0.066575,0.067305,0.067355,0.066575,0
turbo,LUNA-OTC,1782039420,0.067325,0.067005,0.067375,0.066995,0
turbo,LUNA-OTC,1782039480,0.067015,0.067085,0.067245,0.066855,0
turbo,LUNA-OTC,1782039540,0.067085,0.066185,0.067255,0.066175,0
turbo,LUNA-OTC,1782039600,0.066185,0.066955,0.066975,0.066075,0
turbo,LUNA-OTC,1782039660,0.066945,0.066715,0.067035,0.066435,0
turbo,LUNA-OTC,1782039720,0.066725,0.066625,0.066795,0.066425,0
turbo,LUNA-OTC,1782039780,0.066615,0.065955,0.066665,0.065955,0
turbo,LUNA-OTC,1782039840,0.065965,0.066145,0.066255,0.065925,0
turbo,LUNA-OTC,1782039900,0.066115,0.066005,0.066315,0.065965,0
turbo,LUNA-OTC,1782039960,0.065995,0.065175,0.066025,0.065095,0
turbo,LUNA-OTC,1782040020,0.065255,0.065135,0.065415,0.065115,0
turbo,LUNA-OTC,1782040080,0.065115,0.064845,0.065135,0.064765,0
turbo,LUNA-OTC,1782040140,0.064885,0.064935,0.065155,0.064855,0
turbo,LUNA-OTC,1782040200,0.064935,0.065145,0.065315,0.064935,0
turbo,LUNA-OTC,1782040260,0.065145,0.065875,0.065915,0.065145,0
turbo,LUNA-OTC,1782040320,0.065975,0.066275,0.066345,0.065975,0
turbo,LUNA-OTC,1782040380,0.066285,0.066225,0.066285,0.066055,0
turbo,LUNA-OTC,1782040440,0.066215,0.066455,0.066515,0.066155,0
turbo,LUNA-OTC,1782040500,0.066465,0.066215,0.066525,0.065805,0
turbo,LUNA-OTC,1782040560,0.066215,0.066195,0.066225,0.065915,0
turbo,LUNA-OTC,1782040620,0.066195,0.066385,0.066385,0.066095,0
turbo,LUNA-OTC,1782040680,0.066395,0.066855,0.066905,0.066305,0
turbo,LUNA-OTC,1782040740,0.066855,0.065995,0.066975,0.065985,0
turbo,LUNA-OTC,1782040800,0.065985,0.066235,0.066335,0.065885,0
turbo,LUNA-OTC,1782040860,0.066245,0.065995,0.066405,0.065955,0
turbo,LUNA-OTC,1782040920,0.066005,0.065895,0.066005,0.065705,0
turbo,LUNA-OTC,1782040980,0.065915,0.066525,0.066525,0.065835,0
turbo,LUNA-OTC,1782041040,0.066555,0.066505,0.066745,0.066475,0
turbo,LUNA-OTC,1782041100,0.066515,0.066315,0.066705,0.066085,0
turbo,LUNA-OTC,1782041160,0.066305,0.066075,0.066355,0.066025,0
turbo,LUNA-OTC,1782041220,0.066065,0.066025,0.066475,0.066025,0
turbo,LUNA-OTC,1782041280,0.066035,0.065945,0.066105,0.065485,0
turbo,LUNA-OTC,1782041340,0.065965,0.066095,0.066175,0.065835,0
turbo,LUNA-OTC,1782041400,0.066115,0.066335,0.066355,0.065995,0
turbo,LUNA-OTC,1782041460,0.066335,0.066415,0.066485,0.066285,0
turbo,LUNA-OTC,1782041520,0.066445,0.066325,0.066645,0.066325,0
turbo,LUNA-OTC,1782041580,0.066335,0.066125,0.066335,0.065855,0
turbo,LUNA-OTC,1782041640,0.066235,0.066525,0.066525,0.066085,0
turbo,LUNA-OTC,1782041700,0.066555,0.067235,0.067245,0.066555,0
turbo,LUNA-OTC,1782041760,0.067235,0.067085,0.067345,0.067075,0
turbo,LUNA-OTC,1782041820,0.067085,0.066885,0.067105,0.066725,0
turbo,LUNA-OTC,1782041880,0.066975,0.067245,0.067245,0.066775,0
turbo,LUNA-OTC,1782041940,0.067245,0.067315,0.067465,0.067245,0
turbo,LUNA-OTC,1782042000,0.067315,0.067055,0.067525,0.067055,0
turbo,LUNA-OTC,1782042060,0.067065,0.067155,0.067345,0.066815,0
turbo,LUNA-OTC,1782042120,0.067155,0.067355,0.067365,0.066945,0
turbo,LUNA-OTC,1782042180,0.067365,0.067335,0.067525,0.067165,0
turbo,LUNA-OTC,1782042240,0.067305,0.067035,0.067345,0.067025,0
turbo,LUNA-OTC,1782042300,0.067015,0.066245,0.067095,0.066175,0
turbo,LUNA-OTC,1782042360,0.066265,0.066585,0.066865,0.066265,0
turbo,LUNA-OTC,1782042420,0.066595,0.067105,0.067115,0.066575,0
turbo,LUNA-OTC,1782042480,0.067115,0.067575,0.067575,0.067115,0
turbo,LUNA-OTC,1782042540,0.067585,0.067285,0.067795,0.067195,0
turbo,LUNA-OTC,1782042600,0.067285,0.067015,0.067335,0.067015,0
turbo,LUNA-OTC,1782042660,0.067035,0.067045,0.067345,0.066945,0
turbo,LUNA-OTC,1782042720,0.067035,0.066965,0.067175,0.066875,0
turbo,LUNA-OTC,1782042780,0.066955,0.066925,0.067135,0.066855,0
turbo,LUNA-OTC,1782042840,0.066915,0.067265,0.067605,0.066905,0
turbo,LUNA-OTC,1782042900,0.067255,0.067665,0.067755,0.067235,0
turbo,LUNA-OTC,1782042960,0.067575,0.066865,0.067625,0.066805,0
turbo,LUNA-OTC,1782043020,0.066935,0.066155,0.066945,0.066155,0
turbo,LUNA-OTC,1782043080,0.066165,0.066165,0.066375,0.066125,0
turbo,LUNA-OTC,1782043140,0.066175,0.066745,0.066845,0.066175,0
turbo,LUNA-OTC,1782043200,0.066785,0.067245,0.067245,0.066715,0
turbo,LUNA-OTC,1782043260,0.067285,0.067555,0.067595,0.067255,0
turbo,LUNA-OTC,1782043320,0.067615,0.067725,0.067875,0.067545,0
turbo,LUNA-OTC,1782043380,0.067785,0.067725,0.068155,0.067715,0
turbo,LUNA-OTC,1782043440,0.067715,0.068455,0.068465,0.067575,0
turbo,LUNA-OTC,1782043500,0.068415,0.068525,0.068625,0.068345,0
turbo,LUNA-OTC,1782043560,0.068555,0.068275,0.068695,0.068255,0
turbo,LUNA-OTC,1782043620,0.068295,0.068155,0.068345,0.068045,0
turbo,LUNA-OTC,1782043680,0.068175,0.067895,0.068175,0.067795,0
turbo,LUNA-OTC,1782043740,0.067905,0.068285,0.068345,0.067905,0
turbo,LUNA-OTC,1782043800,0.068265,0.067875,0.068315,0.067855,0
turbo,LUNA-OTC,1782043860,0.067885,0.067885,0.068075,0.067865,0
turbo,LUNA-OTC,1782043920,0.067865,0.068075,0.068095,0.067765,0
