tipo,activo,from,open,close,max,min,volume
turbo,MAGNIFICENT7-OTC,1782566700,2333.5115,2333.2965,2333.6255,2332.9995,0
turbo,MAGNIFICENT7-OTC,1782566760,2333.2955,2332.0925,2333.7565,2331.9885,0
turbo,MAGNIFICENT7-OTC,1782566820,2332.0675,2331.9835,2332.0745,2331.3635,0
turbo,MAGNIFICENT7-OTC,1782566880,2332.1365,2332.4125,2332.4125,2331.5625,0
turbo,MAGNIFICENT7-OTC,1782566940,2332.4165,2333.0545,2333.2975,2332.2925,0
turbo,MAGNIFICENT7-OTC,1782567000,2333.0585,2333.1435,2333.5025,2332.3795,0
turbo,MAGNIFICENT7-OTC,1782567060,2333.1395,2333.6575,2333.6645,2332.9455,0
turbo,MAGNIFICENT7-OTC,1782567120,2333.6675,2333.7155,2334.2265,2333.3155,0
turbo,MAGNIFICENT7-OTC,1782567180,2333.7125,2332.5095,2333.7125,2331.9195,0
turbo,MAGNIFICENT7-OTC,1782567240,2332.5105,2330.1895,2332.5375,2330.1895,0
turbo,MAGNIFICENT7-OTC,1782567300,2330.1815,2330.1975,2330.6025,2329.9925,0
turbo,MAGNIFICENT7-OTC,1782567360,2330.1985,2329.1835,2330.1985,2329.0925,0
turbo,MAGNIFICENT7-OTC,1782567420,2329.1425,2327.9135,2329.1885,2326.9835,0
turbo,MAGNIFICENT7-OTC,1782567480,2327.9065,2328.3495,2328.4385,2327.6505,0
turbo,MAGNIFICENT7-OTC,1782567540,2328.3525,2327.7875,2328.3895,2325.9375,0
turbo,MAGNIFICENT7-OTC,1782567600,2327.7845,2328.7135,2329.3355,2327.5925,0
turbo,MAGNIFICENT7-OTC,1782567660,2328.7095,2326.9325,2328.7095,2326.9185,0
turbo,MAGNIFICENT7-OTC,1782567720,2326.9015,2326.6185,2327.2385,2326.5715,0
turbo,MAGNIFICENT7-OTC,1782567780,2326.6355,2327.0065,2327.3945,2326.5965,0
turbo,MAGNIFICENT7-OTC,1782567840,2326.9145,2327.8795,2328.1935,2326.8555,0
turbo,MAGNIFICENT7-OTC,1782567900,2327.8295,2328.9255,2329.1755,2327.4235,0
turbo,MAGNIFICENT7-OTC,1782567960,2328.9115,2330.6895,2330.7695,2328.3565,0
turbo,MAGNIFICENT7-OTC,1782568020,2330.6715,2331.5265,2331.7565,2330.3155,0
turbo,MAGNIFICENT7-OTC,1782568080,2331.5225,2331.5065,2333.3345,2331.4025,0
turbo,MAGNIFICENT7-OTC,1782568140,2331.4745,2331.5175,2331.9255,2330.7705,0
turbo,MAGNIFICENT7-OTC,1782568200,2331.5155,2330.2275,2331.6565,2330.2055,0
turbo,MAGNIFICENT7-OTC,1782568260,2330.2235,2330.1635,2330.6445,2329.8275,0
turbo,MAGNIFICENT7-OTC,1782568320,2330.1675,2329.1185,2330.3815,2328.5095,0
turbo,MAGNIFICENT7-OTC,1782568380,2329.1165,2328.4195,2329.1675,2327.5245,0
turbo,MAGNIFICENT7-OTC,1782568440,2328.3415,2328.6695,2328.8715,2327.9015,0
turbo,MAGNIFICENT7-OTC,1782568500,2328.6325,2328.1115,2329.0615,2326.9915,0
turbo,MAGNIFICENT7-OTC,1782568560,2328.1085,2327.9395,2329.2725,2327.9265,0
turbo,MAGNIFICENT7-OTC,1782568620,2327.9385,2329.1675,2329.3025,2327.4655,0
turbo,MAGNIFICENT7-OTC,1782568680,2329.1685,2329.1165,2329.7775,2328.8585,0
turbo,MAGNIFICENT7-OTC,1782568740,2328.9595,2329.5255,2330.1025,2328.8435,0
turbo,MAGNIFICENT7-OTC,1782568800,2329.5265,2330.7305,2330.7305,2329.3755,0
turbo,MAGNIFICENT7-OTC,1782568860,2331.6585,2332.1615,2332.5465,2329.9805,0
