tipo,activo,from,open,close,max,min,volume
turbo,MORSTAN-OTC,1782036540,222.0195,222.0995,222.2295,221.9555,0
turbo,MORSTAN-OTC,1782036600,222.0935,222.1485,222.2205,221.9995,0
turbo,MORSTAN-OTC,1782036660,222.1425,222.3835,222.3835,222.0865,0
turbo,MORSTAN-OTC,1782036720,222.3885,222.3135,222.3925,222.2715,0
turbo,MORSTAN-OTC,1782036780,222.3235,222.2585,222.3745,222.2095,0
turbo,MORSTAN-OTC,1782036840,222.2525,222.2655,222.3865,222.2105,0
turbo,MORSTAN-OTC,1782036900,222.2725,222.2515,222.3925,222.1335,0
turbo,MORSTAN-OTC,1782036960,222.2585,222.4805,222.5525,222.2505,0
turbo,MORSTAN-OTC,1782037020,222.4855,222.8785,222.9695,222.4855,0
turbo,MORSTAN-OTC,1782037080,222.8655,222.7925,222.9215,222.7315,0
turbo,MORSTAN-OTC,1782037140,222.8015,222.6725,222.8715,222.6725,0
turbo,MORSTAN-OTC,1782037200,222.6615,222.5305,222.8175,222.4555,0
turbo,MORSTAN-OTC,1782037260,222.5355,222.3535,222.6155,222.3495,0
turbo,MORSTAN-OTC,1782037320,222.3665,222.1645,222.4315,222.1645,0
turbo,MORSTAN-OTC,1782037380,222.1715,221.9755,222.3015,221.9755,0
turbo,MORSTAN-OTC,1782037440,221.9665,222.0705,222.0705,221.8445,0
turbo,MORSTAN-OTC,1782037500,222.0765,221.6685,222.1005,221.6685,0
turbo,MORSTAN-OTC,1782037560,221.6595,221.6535,221.8085,221.5595,0
turbo,MORSTAN-OTC,1782037620,221.6665,221.7775,221.8125,221.6085,0
turbo,MORSTAN-OTC,1782037680,221.7715,221.6065,221.7715,221.5285,0
turbo,MORSTAN-OTC,1782037740,221.6005,221.6495,221.7465,221.5905,0
turbo,MORSTAN-OTC,1782037800,221.6425,221.6645,221.6975,221.5465,0
turbo,MORSTAN-OTC,1782037860,221.6555,221.5545,221.6705,221.4145,0
turbo,MORSTAN-OTC,1782037920,221.5475,221.4755,221.6415,221.4195,0
turbo,MORSTAN-OTC,1782037980,221.4695,221.5665,221.6935,221.3625,0
turbo,MORSTAN-OTC,1782038040,221.5815,221.5865,221.6375,221.3725,0
turbo,MORSTAN-OTC,1782038100,221.5945,221.6925,221.7045,221.5225,0
turbo,MORSTAN-OTC,1782038160,221.6995,221.7975,221.8355,221.6845,0
turbo,MORSTAN-OTC,1782038220,221.8055,221.5405,221.8825,221.4755,0
turbo,MORSTAN-OTC,1782038280,221.5285,221.2775,221.5395,221.2735,0
turbo,MORSTAN-OTC,1782038340,221.2675,221.3645,221.4945,221.2655,0
turbo,MORSTAN-OTC,1782038400,221.3725,221.6455,221.6475,221.2585,0
turbo,MORSTAN-OTC,1782038460,221.6515,221.4175,221.6715,221.3875,0
turbo,MORSTAN-OTC,1782038520,221.4065,221.6855,221.7425,221.4065,0
turbo,MORSTAN-OTC,1782038580,221.6795,221.9165,221.9165,221.6765,0
turbo,MORSTAN-OTC,1782038640,221.9265,222.1515,222.1575,221.8885,0
turbo,MORSTAN-OTC,1782038700,222.1275,222.2175,222.2245,222.0565,0
turbo,MORSTAN-OTC,1782038760,222.2265,222.2115,222.2765,222.0875,0
turbo,MORSTAN-OTC,1782038820,222.2205,222.1415,222.2985,222.0925,0
turbo,MORSTAN-OTC,1782038880,222.1475,222.2765,222.4135,222.1315,0
turbo,MORSTAN-OTC,1782038940,222.2815,222.3915,222.3915,222.2575,0
turbo,MORSTAN-OTC,1782039000,222.4015,222.5705,222.5995,222.3425,0
turbo,MORSTAN-OTC,1782039060,222.5575,222.6985,222.6985,222.4815,0
turbo,MORSTAN-OTC,1782039120,222.7065,222.8045,222.8315,222.6385,0
turbo,MORSTAN-OTC,1782039180,222.7965,222.8965,222.9015,222.6505,0
turbo,MORSTAN-OTC,1782039240,222.9015,222.8585,223.0715,222.8235,0
turbo,MORSTAN-OTC,1782039300,222.8695,222.9955,222.9965,222.6845,0
turbo,MORSTAN-OTC,1782039360,223.0005,223.1035,223.1055,222.9455,0
turbo,MORSTAN-OTC,1782039420,223.1135,223.0285,223.1445,222.9195,0
turbo,MORSTAN-OTC,1782039480,223.0185,222.8845,223.1655,222.8095,0
turbo,MORSTAN-OTC,1782039540,222.8885,223.1515,223.1775,222.7755,0
turbo,MORSTAN-OTC,1782039600,223.1385,223.2795,223.3545,223.0415,0
turbo,MORSTAN-OTC,1782039660,223.2715,223.1855,223.3005,223.1245,0
turbo,MORSTAN-OTC,1782039720,223.1765,223.3325,223.3805,223.1765,0
turbo,MORSTAN-OTC,1782039780,223.3395,223.0695,223.3395,223.0395,0
turbo,MORSTAN-OTC,1782039840,223.0575,222.9795,223.1765,222.9285,0
turbo,MORSTAN-OTC,1782039900,222.9725,222.6565,222.9855,222.6555,0
turbo,MORSTAN-OTC,1782039960,222.6465,222.8365,222.9055,222.6035,0
turbo,MORSTAN-OTC,1782040020,222.8415,223.0445,223.1255,222.8065,0
turbo,MORSTAN-OTC,1782040080,223.0545,223.0055,223.0915,222.9175,0
turbo,MORSTAN-OTC,1782040140,222.9925,222.9505,223.0095,222.8675,0
turbo,MORSTAN-OTC,1782040200,222.9375,223.0515,223.2235,222.9375,0
turbo,MORSTAN-OTC,1782040260,223.0605,223.2195,223.4675,223.0605,0
turbo,MORSTAN-OTC,1782040320,223.2135,223.1125,223.3755,223.0935,0
turbo,MORSTAN-OTC,1782040380,223.1235,223.1385,223.1815,223.0505,0
turbo,MORSTAN-OTC,1782040440,223.1455,223.0295,223.2235,222.9945,0
turbo,MORSTAN-OTC,1782040500,223.0185,222.7855,223.1015,222.7405,0
turbo,MORSTAN-OTC,1782040560,222.7935,222.8105,222.8625,222.5605,0
turbo,MORSTAN-OTC,1782040620,222.8195,222.7745,222.9415,222.7585,0
turbo,MORSTAN-OTC,1782040680,222.7875,222.7355,222.8665,222.6115,0
turbo,MORSTAN-OTC,1782040740,222.7395,222.7935,222.8395,222.6865,0
turbo,MORSTAN-OTC,1782040800,222.7985,222.7475,222.8005,222.6075,0
turbo,MORSTAN-OTC,1782040860,222.7575,222.5785,222.7575,222.5585,0
turbo,MORSTAN-OTC,1782040920,222.5875,222.5465,222.6605,222.4685,0
turbo,MORSTAN-OTC,1782040980,222.5515,222.3985,222.6185,222.3635,0
turbo,MORSTAN-OTC,1782041040,222.3925,222.3315,222.4155,222.1475,0
