tipo,activo,from,open,close,max,min,volume
turbo,NZDJPY-OTC,1784565060,95.640085,95.672215,95.725295,95.640085,0
turbo,NZDJPY-OTC,1784565120,95.671585,95.660925,95.684745,95.611875,0
turbo,NZDJPY-OTC,1784565180,95.660745,95.563965,95.680505,95.556245,0
turbo,NZDJPY-OTC,1784565240,95.563325,95.525285,95.563325,95.495185,0
turbo,NZDJPY-OTC,1784565300,95.528665,95.555665,95.561835,95.521985,0
turbo,NZDJPY-OTC,1784565360,95.553665,95.532975,95.569795,95.528725,0
turbo,NZDJPY-OTC,1784565420,95.531925,95.455005,95.535005,95.455005,0
turbo,NZDJPY-OTC,1784565480,95.452085,95.530235,95.536175,95.429235,0
turbo,NZDJPY-OTC,1784565540,95.528255,95.524795,95.587215,95.524795,0
turbo,NZDJPY-OTC,1784565600,95.525745,95.583035,95.583035,95.517255,0
turbo,NZDJPY-OTC,1784565660,95.584145,95.528675,95.587625,95.524315,0
turbo,NZDJPY-OTC,1784565720,95.520185,95.501545,95.524165,95.471415,0
turbo,NZDJPY-OTC,1784565780,95.501715,95.426285,95.510285,95.417995,0
turbo,NZDJPY-OTC,1784565840,95.426155,95.417985,95.464105,95.392255,0
turbo,NZDJPY-OTC,1784565900,95.417035,95.343965,95.425885,95.334345,0
turbo,NZDJPY-OTC,1784565960,95.347465,95.389475,95.403955,95.337515,0
turbo,NZDJPY-OTC,1784566020,95.389865,95.393615,95.431475,95.389865,0
turbo,NZDJPY-OTC,1784566080,95.398685,95.406775,95.436365,95.380875,0
turbo,NZDJPY-OTC,1784566140,95.408055,95.442165,95.477845,95.388475,0
turbo,NZDJPY-OTC,1784566200,95.445875,95.403045,95.459805,95.401145,0
turbo,NZDJPY-OTC,1784566260,95.400535,95.443845,95.447615,95.398155,0
turbo,NZDJPY-OTC,1784566320,95.445275,95.456995,95.491945,95.441495,0
turbo,NZDJPY-OTC,1784566380,95.448645,95.431695,95.450465,95.413845,0
turbo,NZDJPY-OTC,1784566440,95.439025,95.458925,95.494505,95.436355,0
turbo,NZDJPY-OTC,1784566500,95.461375,95.495955,95.502895,95.444295,0
turbo,NZDJPY-OTC,1784566560,95.496245,95.537005,95.562645,95.477935,0
turbo,NZDJPY-OTC,1784566620,95.537365,95.468275,95.556615,95.447585,0
turbo,NZDJPY-OTC,1784566680,95.466045,95.450855,95.486245,95.412855,0
turbo,NZDJPY-OTC,1784566740,95.453575,95.394095,95.472965,95.367745,0
turbo,NZDJPY-OTC,1784566800,95.396975,95.322105,95.396975,95.321755,0
turbo,NZDJPY-OTC,1784566860,95.321335,95.317375,95.322235,95.269955,0
turbo,NZDJPY-OTC,1784566920,95.316295,95.298765,95.340875,95.274915,0
turbo,NZDJPY-OTC,1784566980,95.292895,95.237785,95.316585,95.237785,0
turbo,NZDJPY-OTC,1784567040,95.237125,95.232935,95.259115,95.219985,0
turbo,NZDJPY-OTC,1784567100,95.232995,95.193475,95.265345,95.191755,0
turbo,NZDJPY-OTC,1784567160,95.193275,95.243815,95.280775,95.188445,0
turbo,NZDJPY-OTC,1784567220,95.241025,95.274825,95.304405,95.241025,0
turbo,NZDJPY-OTC,1784567280,95.277935,95.277645,95.302075,95.255415,0
turbo,NZDJPY-OTC,1784567340,95.278335,95.312005,95.342145,95.275135,0
turbo,NZDJPY-OTC,1784567400,95.311105,95.297055,95.327505,95.283945,0
turbo,NZDJPY-OTC,1784567460,95.297345,95.292515,95.327535,95.285625,0
turbo,NZDJPY-OTC,1784567520,95.293695,95.317705,95.322195,95.245725,0
turbo,NZDJPY-OTC,1784567580,95.317325,95.370205,95.384585,95.300225,0
turbo,NZDJPY-OTC,1784567640,95.378015,95.375955,95.405375,95.346175,0
turbo,NZDJPY-OTC,1784567700,95.375885,95.327325,95.393015,95.308725,0
turbo,NZDJPY-OTC,1784567760,95.331935,95.288865,95.340665,95.284215,0
turbo,NZDJPY-OTC,1784567820,95.286775,95.302815,95.319645,95.274345,0
turbo,NZDJPY-OTC,1784567880,95.303345,95.311475,95.337845,95.296535,0
turbo,NZDJPY-OTC,1784567940,95.312145,95.301525,95.322705,95.291995,0
turbo,NZDJPY-OTC,1784568000,95.298285,95.303695,95.305085,95.220005,0
turbo,NZDJPY-OTC,1784568060,95.304265,95.260395,95.306995,95.233205,0
turbo,NZDJPY-OTC,1784568120,95.260765,95.311205,95.319475,95.251175,0
turbo,NZDJPY-OTC,1784568180,95.307605,95.352565,95.382205,95.288695,0
turbo,NZDJPY-OTC,1784568240,95.353705,95.293795,95.354635,95.277875,0
turbo,NZDJPY-OTC,1784568300,95.294385,95.292425,95.306375,95.273795,0
turbo,NZDJPY-OTC,1784568360,95.290995,95.291495,95.324375,95.248665,0
turbo,NZDJPY-OTC,1784568420,95.291325,95.301005,95.303555,95.269705,0
turbo,NZDJPY-OTC,1784568480,95.299145,95.308665,95.352945,95.295115,0
turbo,NZDJPY-OTC,1784568540,95.305365,95.280815,95.314555,95.277375,0
turbo,NZDJPY-OTC,1784568600,95.274405,95.229865,95.288355,95.217695,0
turbo,NZDJPY-OTC,1784568660,95.228685,95.220295,95.240265,95.208015,0
turbo,NZDJPY-OTC,1784568720,95.213915,95.251765,95.268365,95.197375,0
turbo,NZDJPY-OTC,1784568780,95.248815,95.212475,95.262925,95.209065,0
turbo,NZDJPY-OTC,1784568840,95.214055,95.316175,95.321175,95.212455,0
turbo,NZDJPY-OTC,1784568900,95.316405,95.311615,95.348095,95.298525,0
turbo,NZDJPY-OTC,1784568960,95.309195,95.240245,95.317605,95.240245,0
turbo,NZDJPY-OTC,1784569020,95.240805,95.299595,95.304025,95.238325,0
turbo,NZDJPY-OTC,1784569080,95.301725,95.351155,95.379945,95.294755,0
turbo,NZDJPY-OTC,1784569140,95.352135,95.438565,95.451535,95.345185,0
turbo,NZDJPY-OTC,1784569200,95.438505,95.493155,95.524625,95.436315,0
turbo,NZDJPY-OTC,1784569260,95.492245,95.476715,95.513855,95.466925,0
turbo,NZDJPY-OTC,1784569320,95.476275,95.417935,95.484405,95.405515,0
turbo,NZDJPY-OTC,1784569380,95.417175,95.475005,95.483475,95.407095,0
turbo,NZDJPY-OTC,1784569440,95.470385,95.356755,95.476065,95.356235,0
turbo,NZDJPY-OTC,1784569500,95.357215,95.301505,95.367295,95.300255,0
turbo,NZDJPY-OTC,1784569560,95.300985,95.324295,95.354035,95.298925,0
turbo,NZDJPY-OTC,1784569620,95.326345,95.348185,95.365215,95.307705,0
turbo,NZDJPY-OTC,1784569680,95.346205,95.442165,95.444545,95.343255,0
turbo,NZDJPY-OTC,1784569740,95.441165,95.483325,95.487915,95.429405,0
turbo,NZDJPY-OTC,1784569800,95.481475,95.517255,95.530285,95.479495,0
turbo,NZDJPY-OTC,1784569860,95.516065,95.534615,95.549925,95.498955,0
turbo,NZDJPY-OTC,1784569920,95.531975,95.590745,95.603005,95.524955,0
turbo,NZDJPY-OTC,1784569980,95.590255,95.545555,95.603855,95.498405,0
turbo,NZDJPY-OTC,1784570040,95.547695,95.564285,95.599035,95.528655,0
turbo,NZDJPY-OTC,1784570100,95.571715,95.566035,95.606955,95.551195,0
turbo,NZDJPY-OTC,1784570160,95.568125,95.521075,95.568125,95.486875,0
turbo,NZDJPY-OTC,1784570220,95.521575,95.550875,95.565785,95.500845,0
turbo,NZDJPY-OTC,1784570280,95.551315,95.556135,95.602635,95.527935,0
turbo,NZDJPY-OTC,1784570340,95.559265,95.597215,95.606805,95.558745,0
turbo,NZDJPY-OTC,1784570400,95.598355,95.572135,95.599245,95.544885,0
turbo,NZDJPY-OTC,1784570460,95.570625,95.555675,95.572345,95.517345,0
turbo,NZDJPY-OTC,1784570520,95.548715,95.507245,95.578855,95.507245,0
turbo,NZDJPY-OTC,1784570580,95.507865,95.536565,95.571535,95.507865,0
turbo,NZDJPY-OTC,1784570640,95.535565,95.589995,95.595565,95.476275,0
turbo,NZDJPY-OTC,1784570700,95.597035,95.613375,95.616685,95.565475,0
turbo,NZDJPY-OTC,1784570760,95.614475,95.644085,95.677775,95.609575,0
turbo,NZDJPY-OTC,1784570820,95.641685,95.652155,95.680485,95.635485,0
turbo,NZDJPY-OTC,1784570880,95.651555,95.622715,95.684865,95.622525,0
