tipo,activo,from,open,close,max,min,volume
turbo,OpenAI-OTC,1782036300,1402.671185,1400.470575,1402.903225,1400.396705,0
turbo,OpenAI-OTC,1782036360,1400.536945,1399.889735,1400.702185,1399.519845,0
turbo,OpenAI-OTC,1782036420,1399.819645,1398.524075,1400.043055,1397.996575,0
turbo,OpenAI-OTC,1782036480,1398.451935,1398.209995,1398.789455,1397.103875,0
turbo,OpenAI-OTC,1782036540,1398.151405,1397.750055,1398.238455,1396.317625,0
turbo,OpenAI-OTC,1782036600,1397.822745,1397.463515,1398.071285,1396.526755,0
turbo,OpenAI-OTC,1782036660,1397.534995,1397.641695,1398.088255,1396.713905,0
turbo,OpenAI-OTC,1782036720,1397.561905,1397.554095,1398.732715,1397.437985,0
turbo,OpenAI-OTC,1782036780,1397.484145,1397.492115,1398.067155,1396.244515,0
turbo,OpenAI-OTC,1782036840,1397.412955,1395.898575,1397.455915,1395.448295,0
turbo,OpenAI-OTC,1782036900,1395.806015,1397.193195,1397.396445,1395.325835,0
turbo,OpenAI-OTC,1782036960,1397.117445,1398.740445,1399.353605,1396.746855,0
turbo,OpenAI-OTC,1782037020,1398.665945,1399.566755,1400.361565,1398.665945,0
turbo,OpenAI-OTC,1782037080,1399.645345,1398.419185,1399.688645,1397.835675,0
turbo,OpenAI-OTC,1782037140,1398.354075,1399.514415,1399.703835,1397.825965,0
turbo,OpenAI-OTC,1782037200,1399.579335,1399.492585,1400.291045,1399.137955,0
turbo,OpenAI-OTC,1782037260,1399.427275,1399.768215,1399.834785,1398.043485,0
turbo,OpenAI-OTC,1782037320,1399.830835,1399.440455,1400.221105,1399.117455,0
turbo,OpenAI-OTC,1782037380,1399.500515,1399.786515,1399.855845,1398.524685,0
turbo,OpenAI-OTC,1782037440,1399.858175,1400.258945,1400.701295,1398.960765,0
turbo,OpenAI-OTC,1782037500,1400.323935,1399.283415,1400.908905,1399.021825,0
turbo,OpenAI-OTC,1782037560,1399.360675,1399.658455,1400.009105,1398.538805,0
turbo,OpenAI-OTC,1782037620,1399.578815,1399.329625,1399.890365,1398.791055,0
turbo,OpenAI-OTC,1782037680,1399.264755,1400.408535,1400.833385,1399.264755,0
turbo,OpenAI-OTC,1782037740,1400.473355,1401.009135,1401.922635,1399.750685,0
turbo,OpenAI-OTC,1782037800,1400.925365,1400.424515,1401.554125,1400.117785,0
turbo,OpenAI-OTC,1782037860,1400.495175,1400.480025,1401.255475,1399.694305,0
turbo,OpenAI-OTC,1782037920,1400.404475,1400.194275,1401.002275,1399.391165,0
turbo,OpenAI-OTC,1782037980,1400.126475,1400.047965,1400.372655,1399.238415,0
turbo,OpenAI-OTC,1782038040,1400.115935,1400.093315,1400.217335,1398.478895,0
turbo,OpenAI-OTC,1782038100,1400.169535,1400.645035,1402.623045,1399.892485,0
turbo,OpenAI-OTC,1782038160,1400.727665,1401.649695,1402.675745,1400.649765,0
turbo,OpenAI-OTC,1782038220,1401.719015,1401.225925,1402.616465,1401.225925,0
turbo,OpenAI-OTC,1782038280,1401.159495,1400.575785,1401.604785,1399.840595,0
turbo,OpenAI-OTC,1782038340,1400.643795,1398.716555,1400.722235,1398.590075,0
turbo,OpenAI-OTC,1782038400,1398.643905,1399.492175,1399.894665,1398.330155,0
turbo,OpenAI-OTC,1782038460,1399.550755,1398.616875,1399.947055,1398.398655,0
turbo,OpenAI-OTC,1782038520,1398.673485,1399.982865,1400.406775,1398.375815,0
turbo,OpenAI-OTC,1782038580,1399.904535,1399.920455,1400.432215,1399.233225,0
turbo,OpenAI-OTC,1782038640,1399.990795,1400.012195,1400.953715,1399.779945,0
turbo,OpenAI-OTC,1782038700,1399.940645,1400.554635,1400.624915,1399.703825,0
turbo,OpenAI-OTC,1782038760,1400.479895,1401.526275,1401.630765,1400.335315,0
turbo,OpenAI-OTC,1782038820,1401.467205,1399.851825,1401.958585,1399.776785,0
turbo,OpenAI-OTC,1782038880,1399.791895,1399.529645,1400.437375,1399.227785,0
turbo,OpenAI-OTC,1782038940,1399.592465,1400.268665,1400.404335,1399.159885,0
turbo,OpenAI-OTC,1782039000,1400.207255,1399.396035,1400.701855,1399.040205,0
turbo,OpenAI-OTC,1782039060,1399.469995,1400.441695,1400.618825,1399.399925,0
turbo,OpenAI-OTC,1782039120,1400.521905,1399.980665,1400.867945,1399.887445,0
turbo,OpenAI-OTC,1782039180,1400.060105,1401.325265,1402.451585,1400.060105,0
turbo,OpenAI-OTC,1782039240,1401.241645,1401.532995,1401.612645,1400.657785,0
turbo,OpenAI-OTC,1782039300,1401.455045,1403.481375,1403.546575,1401.113145,0
