tipo,activo,from,open,close,max,min,volume
turbo,PENGUUSD-OTC,1782036240,8.415995,8.415975,8.469205,8.406525,0
turbo,PENGUUSD-OTC,1782036300,8.415785,8.477225,8.481815,8.414215,0
turbo,PENGUUSD-OTC,1782036360,8.473795,8.504905,8.535965,8.458685,0
turbo,PENGUUSD-OTC,1782036420,8.503745,8.616795,8.640955,8.498955,0
turbo,PENGUUSD-OTC,1782036480,8.620065,8.608885,8.627015,8.564635,0
turbo,PENGUUSD-OTC,1782036540,8.605545,8.637725,8.645495,8.585405,0
turbo,PENGUUSD-OTC,1782036600,8.641245,8.722905,8.741445,8.639695,0
turbo,PENGUUSD-OTC,1782036660,8.721525,8.605945,8.731845,8.605635,0
turbo,PENGUUSD-OTC,1782036720,8.608485,8.662755,8.673615,8.608485,0
turbo,PENGUUSD-OTC,1782036780,8.658015,8.627025,8.664285,8.610295,0
turbo,PENGUUSD-OTC,1782036840,8.621995,8.604805,8.665445,8.591045,0
turbo,PENGUUSD-OTC,1782036900,8.607375,8.691245,8.723115,8.607375,0
turbo,PENGUUSD-OTC,1782036960,8.692625,8.756245,8.776855,8.692625,0
turbo,PENGUUSD-OTC,1782037020,8.753725,8.723285,8.775765,8.699635,0
turbo,PENGUUSD-OTC,1782037080,8.726125,8.728805,8.747705,8.693895,0
turbo,PENGUUSD-OTC,1782037140,8.730865,8.758635,8.808695,8.718325,0
turbo,PENGUUSD-OTC,1782037200,8.753325,8.781155,8.829855,8.719565,0
turbo,PENGUUSD-OTC,1782037260,8.790215,8.819615,8.819615,8.754895,0
turbo,PENGUUSD-OTC,1782037320,8.826085,8.762545,8.829505,8.751365,0
turbo,PENGUUSD-OTC,1782037380,8.758875,8.872385,8.878675,8.735315,0
turbo,PENGUUSD-OTC,1782037440,8.874405,8.983845,9.013875,8.865805,0
turbo,PENGUUSD-OTC,1782037500,8.987385,9.016335,9.022935,8.955805,0
turbo,PENGUUSD-OTC,1782037560,9.020065,9.118165,9.130585,8.952885,0
turbo,PENGUUSD-OTC,1782037620,9.122365,9.108765,9.169045,9.095925,0
turbo,PENGUUSD-OTC,1782037680,9.111755,9.087545,9.122255,9.067365,0
turbo,PENGUUSD-OTC,1782037740,9.084995,9.141375,9.195685,9.047795,0
turbo,PENGUUSD-OTC,1782037800,9.131655,9.086015,9.158775,9.054925,0
turbo,PENGUUSD-OTC,1782037860,9.087685,9.139215,9.146745,9.079255,0
turbo,PENGUUSD-OTC,1782037920,9.135855,9.226305,9.256025,9.117325,0
turbo,PENGUUSD-OTC,1782037980,9.228825,9.275855,9.318175,9.216595,0
turbo,PENGUUSD-OTC,1782038040,9.279775,9.288245,9.315105,9.259895,0
turbo,PENGUUSD-OTC,1782038100,9.288015,9.285685,9.304165,9.240385,0
turbo,PENGUUSD-OTC,1782038160,9.289535,9.173185,9.300005,9.163935,0
turbo,PENGUUSD-OTC,1782038220,9.169885,9.155575,9.214365,9.133325,0
turbo,PENGUUSD-OTC,1782038280,9.150585,9.093815,9.180035,9.066265,0
turbo,PENGUUSD-OTC,1782038340,9.085415,9.096375,9.124765,9.039645,0
turbo,PENGUUSD-OTC,1782038400,9.100005,9.018885,9.134035,9.018885,0
turbo,PENGUUSD-OTC,1782038460,9.014825,9.017565,9.034185,8.982535,0
turbo,PENGUUSD-OTC,1782038520,9.019055,9.077515,9.081435,8.990315,0
turbo,PENGUUSD-OTC,1782038580,9.078955,9.095595,9.100085,9.045025,0
turbo,PENGUUSD-OTC,1782038640,9.098945,9.183595,9.183945,9.059375,0
turbo,PENGUUSD-OTC,1782038700,9.183425,9.166275,9.194405,9.102335,0
turbo,PENGUUSD-OTC,1782038760,9.165265,9.156845,9.189975,9.137785,0
turbo,PENGUUSD-OTC,1782038820,9.151425,9.258585,9.266045,9.138045,0
turbo,PENGUUSD-OTC,1782038880,9.263385,9.339305,9.374225,9.263385,0
turbo,PENGUUSD-OTC,1782038940,9.335815,9.328645,9.352525,9.315115,0
turbo,PENGUUSD-OTC,1782039000,9.335715,9.259785,9.345975,9.217665,0
turbo,PENGUUSD-OTC,1782039060,9.264095,9.171625,9.290925,9.148075,0
turbo,PENGUUSD-OTC,1782039120,9.166515,9.191445,9.206975,9.144155,0
turbo,PENGUUSD-OTC,1782039180,9.186565,9.022855,9.195795,9.019745,0
turbo,PENGUUSD-OTC,1782039240,9.024085,8.934125,9.058005,8.929515,0
turbo,PENGUUSD-OTC,1782039300,8.934885,9.095235,9.098275,8.909705,0
turbo,PENGUUSD-OTC,1782039360,9.091375,9.032355,9.109435,9.024935,0
