tipo,activo,from,open,close,max,min,volume
turbo,PYTHUSD-OTC,1782036300,0.031065,0.031035,0.031115,0.031015,0
turbo,PYTHUSD-OTC,1782036360,0.031025,0.030905,0.031045,0.030805,0
turbo,PYTHUSD-OTC,1782036420,0.030895,0.030725,0.030905,0.030715,0
turbo,PYTHUSD-OTC,1782036480,0.030725,0.030685,0.030745,0.030655,0
turbo,PYTHUSD-OTC,1782036540,0.030665,0.030545,0.030695,0.030535,0
turbo,PYTHUSD-OTC,1782036600,0.030555,0.030635,0.030635,0.030505,0
turbo,PYTHUSD-OTC,1782036660,0.030625,0.030555,0.030655,0.030505,0
turbo,PYTHUSD-OTC,1782036720,0.030535,0.030445,0.030615,0.030435,0
turbo,PYTHUSD-OTC,1782036780,0.030455,0.030545,0.030555,0.030445,0
turbo,PYTHUSD-OTC,1782036840,0.030535,0.030545,0.030545,0.030445,0
turbo,PYTHUSD-OTC,1782036900,0.030545,0.030545,0.030615,0.030455,0
turbo,PYTHUSD-OTC,1782036960,0.030555,0.030495,0.030625,0.030465,0
turbo,PYTHUSD-OTC,1782037020,0.030495,0.030305,0.030505,0.030285,0
turbo,PYTHUSD-OTC,1782037080,0.030335,0.030265,0.030355,0.030215,0
turbo,PYTHUSD-OTC,1782037140,0.030265,0.030275,0.030325,0.030245,0
turbo,PYTHUSD-OTC,1782037200,0.030255,0.030225,0.030265,0.030165,0
turbo,PYTHUSD-OTC,1782037260,0.030215,0.030255,0.030275,0.030195,0
turbo,PYTHUSD-OTC,1782037320,0.030235,0.030335,0.030395,0.030225,0
turbo,PYTHUSD-OTC,1782037380,0.030335,0.030265,0.030335,0.030175,0
turbo,PYTHUSD-OTC,1782037440,0.030275,0.030145,0.030335,0.030145,0
turbo,PYTHUSD-OTC,1782037500,0.030135,0.029975,0.030155,0.029945,0
turbo,PYTHUSD-OTC,1782037560,0.029965,0.029935,0.030005,0.029855,0
turbo,PYTHUSD-OTC,1782037620,0.029925,0.029885,0.029945,0.029835,0
turbo,PYTHUSD-OTC,1782037680,0.029885,0.029785,0.029945,0.029785,0
turbo,PYTHUSD-OTC,1782037740,0.029745,0.029655,0.029745,0.029585,0
turbo,PYTHUSD-OTC,1782037800,0.029645,0.029685,0.029745,0.029645,0
turbo,PYTHUSD-OTC,1782037860,0.029705,0.029725,0.029785,0.029655,0
turbo,PYTHUSD-OTC,1782037920,0.029715,0.029875,0.029935,0.029715,0
turbo,PYTHUSD-OTC,1782037980,0.029875,0.029985,0.030045,0.029875,0
turbo,PYTHUSD-OTC,1782038040,0.029995,0.030145,0.030165,0.029995,0
turbo,PYTHUSD-OTC,1782038100,0.030155,0.030055,0.030215,0.030055,0
turbo,PYTHUSD-OTC,1782038160,0.030045,0.029975,0.030075,0.029925,0
turbo,PYTHUSD-OTC,1782038220,0.029975,0.029955,0.030035,0.029935,0
turbo,PYTHUSD-OTC,1782038280,0.029945,0.029895,0.029965,0.029825,0
turbo,PYTHUSD-OTC,1782038340,0.029895,0.029905,0.029955,0.029845,0
turbo,PYTHUSD-OTC,1782038400,0.029895,0.029845,0.029955,0.029825,0
turbo,PYTHUSD-OTC,1782038460,0.029845,0.029845,0.029875,0.029755,0
turbo,PYTHUSD-OTC,1782038520,0.029855,0.029875,0.029895,0.029755,0
turbo,PYTHUSD-OTC,1782038580,0.029865,0.029875,0.029925,0.029835,0
turbo,PYTHUSD-OTC,1782038640,0.029885,0.029905,0.029925,0.029835,0
turbo,PYTHUSD-OTC,1782038700,0.029895,0.029835,0.029925,0.029795,0
turbo,PYTHUSD-OTC,1782038760,0.029855,0.029745,0.029855,0.029715,0
turbo,PYTHUSD-OTC,1782038820,0.029735,0.029745,0.029795,0.029675,0
turbo,PYTHUSD-OTC,1782038880,0.029755,0.029935,0.029955,0.029745,0
turbo,PYTHUSD-OTC,1782038940,0.029925,0.030015,0.030045,0.029915,0
turbo,PYTHUSD-OTC,1782039000,0.030015,0.029985,0.030045,0.029935,0
turbo,PYTHUSD-OTC,1782039060,0.029975,0.030015,0.030025,0.029945,0
turbo,PYTHUSD-OTC,1782039120,0.030005,0.029985,0.030035,0.029935,0
turbo,PYTHUSD-OTC,1782039180,0.029975,0.029985,0.029995,0.029835,0
turbo,PYTHUSD-OTC,1782039240,0.030005,0.030005,0.030105,0.029985,0
turbo,PYTHUSD-OTC,1782039300,0.029985,0.029845,0.030005,0.029815,0
turbo,PYTHUSD-OTC,1782039360,0.029855,0.029835,0.029885,0.029755,0
turbo,PYTHUSD-OTC,1782039420,0.029845,0.029795,0.029885,0.029755,0
turbo,PYTHUSD-OTC,1782039480,0.029795,0.029695,0.029845,0.029695,0
turbo,PYTHUSD-OTC,1782039540,0.029695,0.029525,0.029695,0.029515,0
turbo,PYTHUSD-OTC,1782039600,0.029535,0.029555,0.029555,0.029425,0
turbo,PYTHUSD-OTC,1782039660,0.029565,0.029475,0.029595,0.029475,0
turbo,PYTHUSD-OTC,1782039720,0.029485,0.029465,0.029525,0.029415,0
turbo,PYTHUSD-OTC,1782039780,0.029445,0.029395,0.029505,0.029355,0
turbo,PYTHUSD-OTC,1782039840,0.029385,0.029415,0.029415,0.029325,0
turbo,PYTHUSD-OTC,1782039900,0.029405,0.029495,0.029545,0.029405,0
turbo,PYTHUSD-OTC,1782039960,0.029485,0.029455,0.029495,0.029375,0
turbo,PYTHUSD-OTC,1782040020,0.029455,0.029445,0.029555,0.029425,0
turbo,PYTHUSD-OTC,1782040080,0.029435,0.029505,0.029555,0.029415,0
turbo,PYTHUSD-OTC,1782040140,0.029505,0.029435,0.029545,0.029435,0
turbo,PYTHUSD-OTC,1782040200,0.029445,0.029275,0.029465,0.029275,0
turbo,PYTHUSD-OTC,1782040260,0.029285,0.029295,0.029295,0.029205,0
turbo,PYTHUSD-OTC,1782040320,0.029285,0.029455,0.029475,0.029235,0
turbo,PYTHUSD-OTC,1782040380,0.029455,0.029475,0.029505,0.029395,0
turbo,PYTHUSD-OTC,1782040440,0.029475,0.029415,0.029475,0.029365,0
turbo,PYTHUSD-OTC,1782040500,0.029425,0.029425,0.029455,0.029375,0
turbo,PYTHUSD-OTC,1782040560,0.029415,0.029495,0.029495,0.029275,0
turbo,PYTHUSD-OTC,1782040620,0.029505,0.029495,0.029595,0.029495,0
turbo,PYTHUSD-OTC,1782040680,0.029495,0.029635,0.029655,0.029475,0
turbo,PYTHUSD-OTC,1782040740,0.029645,0.029775,0.029815,0.029595,0
turbo,PYTHUSD-OTC,1782040800,0.029785,0.029815,0.029875,0.029765,0
turbo,PYTHUSD-OTC,1782040860,0.029805,0.029795,0.029875,0.029775,0
turbo,PYTHUSD-OTC,1782040920,0.029805,0.030015,0.030035,0.029785,0
turbo,PYTHUSD-OTC,1782040980,0.030025,0.030155,0.030245,0.029995,0
turbo,PYTHUSD-OTC,1782041040,0.030165,0.030295,0.030295,0.030125,0
turbo,PYTHUSD-OTC,1782041100,0.030275,0.030275,0.030315,0.030195,0
turbo,PYTHUSD-OTC,1782041160,0.030285,0.030295,0.030365,0.030235,0
turbo,PYTHUSD-OTC,1782041220,0.030305,0.030615,0.030645,0.030305,0
turbo,PYTHUSD-OTC,1782041280,0.030625,0.030455,0.030635,0.030445,0
turbo,PYTHUSD-OTC,1782041340,0.030455,0.030555,0.030575,0.030435,0
turbo,PYTHUSD-OTC,1782041400,0.030555,0.030395,0.030595,0.030385,0
turbo,PYTHUSD-OTC,1782041460,0.030395,0.030365,0.030415,0.030285,0
turbo,PYTHUSD-OTC,1782041520,0.030385,0.030635,0.030645,0.030375,0
turbo,PYTHUSD-OTC,1782041580,0.030665,0.030595,0.030675,0.030555,0
turbo,PYTHUSD-OTC,1782041640,0.030595,0.030645,0.030655,0.030545,0
turbo,PYTHUSD-OTC,1782041700,0.030635,0.030615,0.030645,0.030545,0
turbo,PYTHUSD-OTC,1782041760,0.030625,0.030695,0.030695,0.030615,0
turbo,PYTHUSD-OTC,1782041820,0.030685,0.030815,0.030835,0.030645,0
turbo,PYTHUSD-OTC,1782041880,0.030815,0.030625,0.030815,0.030585,0
turbo,PYTHUSD-OTC,1782041940,0.030615,0.030555,0.030715,0.030555,0
turbo,PYTHUSD-OTC,1782042000,0.030565,0.030765,0.030765,0.030535,0
