tipo,activo,from,open,close,max,min,volume
turbo,RENDERUSD-OTC,1782036240,1.894475,1.891305,1.896545,1.890695,0
turbo,RENDERUSD-OTC,1782036300,1.891455,1.886635,1.891545,1.886535,0
turbo,RENDERUSD-OTC,1782036360,1.886465,1.887135,1.888335,1.885695,0
turbo,RENDERUSD-OTC,1782036420,1.887235,1.883785,1.888315,1.882295,0
turbo,RENDERUSD-OTC,1782036480,1.883935,1.881825,1.884975,1.880415,0
turbo,RENDERUSD-OTC,1782036540,1.881975,1.880245,1.882005,1.879375,0
turbo,RENDERUSD-OTC,1782036600,1.880305,1.883495,1.884115,1.878885,0
turbo,RENDERUSD-OTC,1782036660,1.883535,1.881545,1.884075,1.881525,0
turbo,RENDERUSD-OTC,1782036720,1.881575,1.877585,1.881575,1.877465,0
turbo,RENDERUSD-OTC,1782036780,1.877985,1.880825,1.881385,1.876625,0
turbo,RENDERUSD-OTC,1782036840,1.880815,1.877315,1.881985,1.877315,0
turbo,RENDERUSD-OTC,1782036900,1.877265,1.880335,1.882405,1.877115,0
turbo,RENDERUSD-OTC,1782036960,1.880295,1.885075,1.885295,1.880245,0
turbo,RENDERUSD-OTC,1782037020,1.885225,1.881575,1.885825,1.881385,0
turbo,RENDERUSD-OTC,1782037080,1.881465,1.881135,1.884035,1.879035,0
turbo,RENDERUSD-OTC,1782037140,1.881055,1.884045,1.886305,1.880915,0
turbo,RENDERUSD-OTC,1782037200,1.884105,1.880595,1.886435,1.879855,0
turbo,RENDERUSD-OTC,1782037260,1.880495,1.877575,1.880905,1.876395,0
turbo,RENDERUSD-OTC,1782037320,1.877465,1.880225,1.880395,1.875885,0
turbo,RENDERUSD-OTC,1782037380,1.880215,1.878405,1.883665,1.877805,0
turbo,RENDERUSD-OTC,1782037440,1.878325,1.879685,1.880815,1.877935,0
turbo,RENDERUSD-OTC,1782037500,1.879465,1.877005,1.880745,1.875925,0
turbo,RENDERUSD-OTC,1782037560,1.877085,1.877435,1.879645,1.874325,0
turbo,RENDERUSD-OTC,1782037620,1.877265,1.873115,1.877635,1.871755,0
turbo,RENDERUSD-OTC,1782037680,1.873025,1.872315,1.874635,1.871975,0
turbo,RENDERUSD-OTC,1782037740,1.872475,1.876065,1.879315,1.870875,0
turbo,RENDERUSD-OTC,1782037800,1.876275,1.874805,1.878375,1.873995,0
