tipo,activo,from,open,close,max,min,volume
turbo,RONINUSD-OTC,1782036240,0.060275,0.060225,0.060275,0.060065,0
turbo,RONINUSD-OTC,1782036300,0.060235,0.060315,0.060455,0.060165,0
turbo,RONINUSD-OTC,1782036360,0.060305,0.059855,0.060315,0.059725,0
turbo,RONINUSD-OTC,1782036420,0.059865,0.060085,0.060195,0.059845,0
turbo,RONINUSD-OTC,1782036480,0.060055,0.060475,0.060525,0.060025,0
turbo,RONINUSD-OTC,1782036540,0.060485,0.060645,0.060665,0.060295,0
turbo,RONINUSD-OTC,1782036600,0.060635,0.060475,0.060635,0.060305,0
turbo,RONINUSD-OTC,1782036660,0.060495,0.060735,0.060755,0.060375,0
turbo,RONINUSD-OTC,1782036720,0.060745,0.060835,0.060885,0.060675,0
turbo,RONINUSD-OTC,1782036780,0.060845,0.060475,0.060905,0.060455,0
turbo,RONINUSD-OTC,1782036840,0.060465,0.060525,0.060735,0.060375,0
turbo,RONINUSD-OTC,1782036900,0.060515,0.060565,0.060645,0.060275,0
turbo,RONINUSD-OTC,1782036960,0.060595,0.060785,0.060835,0.060475,0
turbo,RONINUSD-OTC,1782037020,0.060775,0.061065,0.061065,0.060635,0
turbo,RONINUSD-OTC,1782037080,0.061075,0.061005,0.061265,0.060935,0
turbo,RONINUSD-OTC,1782037140,0.060985,0.060995,0.061135,0.060875,0
turbo,RONINUSD-OTC,1782037200,0.061005,0.060955,0.061035,0.060765,0
turbo,RONINUSD-OTC,1782037260,0.060945,0.061595,0.061755,0.060945,0
turbo,RONINUSD-OTC,1782037320,0.061615,0.061755,0.061755,0.061515,0
turbo,RONINUSD-OTC,1782037380,0.061805,0.061425,0.061885,0.061385,0
turbo,RONINUSD-OTC,1782037440,0.061405,0.061635,0.061815,0.061385,0
turbo,RONINUSD-OTC,1782037500,0.061625,0.061335,0.061645,0.061295,0
turbo,RONINUSD-OTC,1782037560,0.061315,0.061165,0.061315,0.060945,0
turbo,RONINUSD-OTC,1782037620,0.061155,0.061225,0.061255,0.060905,0
turbo,RONINUSD-OTC,1782037680,0.061205,0.061215,0.061315,0.061115,0
turbo,RONINUSD-OTC,1782037740,0.061195,0.061135,0.061285,0.060925,0
turbo,RONINUSD-OTC,1782037800,0.061125,0.060945,0.061135,0.060925,0
turbo,RONINUSD-OTC,1782037860,0.060935,0.061005,0.061015,0.060665,0
turbo,RONINUSD-OTC,1782037920,0.061085,0.061195,0.061195,0.060765,0
turbo,RONINUSD-OTC,1782037980,0.061175,0.060815,0.061295,0.060725,0
turbo,RONINUSD-OTC,1782038040,0.060805,0.061175,0.061175,0.060805,0
