tipo,activo,from,open,close,max,min,volume
turbo,SANDUSD-OTC,1782036240,0.067545,0.067345,0.067555,0.067175,0
turbo,SANDUSD-OTC,1782036300,0.067315,0.067275,0.067455,0.067175,0
turbo,SANDUSD-OTC,1782036360,0.067285,0.067635,0.067685,0.067225,0
turbo,SANDUSD-OTC,1782036420,0.067625,0.067335,0.067695,0.067255,0
turbo,SANDUSD-OTC,1782036480,0.067305,0.067485,0.067545,0.067165,0
turbo,SANDUSD-OTC,1782036540,0.067465,0.067195,0.067635,0.067195,0
turbo,SANDUSD-OTC,1782036600,0.067185,0.067755,0.067835,0.067165,0
turbo,SANDUSD-OTC,1782036660,0.067785,0.068405,0.068465,0.067775,0
turbo,SANDUSD-OTC,1782036720,0.068405,0.068375,0.068455,0.068165,0
turbo,SANDUSD-OTC,1782036780,0.068395,0.068395,0.068515,0.068235,0
turbo,SANDUSD-OTC,1782036840,0.068405,0.068305,0.068565,0.068235,0
turbo,SANDUSD-OTC,1782036900,0.068315,0.067905,0.068315,0.067875,0
turbo,SANDUSD-OTC,1782036960,0.067925,0.068005,0.068215,0.067885,0
turbo,SANDUSD-OTC,1782037020,0.067995,0.067985,0.068135,0.067815,0
turbo,SANDUSD-OTC,1782037080,0.068005,0.067705,0.068035,0.067705,0
turbo,SANDUSD-OTC,1782037140,0.067685,0.067745,0.067915,0.067595,0
turbo,SANDUSD-OTC,1782037200,0.067735,0.067585,0.067915,0.067475,0
turbo,SANDUSD-OTC,1782037260,0.067575,0.067275,0.067675,0.067255,0
turbo,SANDUSD-OTC,1782037320,0.067265,0.067805,0.067805,0.067255,0
turbo,SANDUSD-OTC,1782037380,0.067815,0.067935,0.068005,0.067675,0
turbo,SANDUSD-OTC,1782037440,0.067915,0.068005,0.068055,0.067785,0
turbo,SANDUSD-OTC,1782037500,0.068015,0.067735,0.068105,0.067455,0
turbo,SANDUSD-OTC,1782037560,0.067745,0.068115,0.068115,0.067715,0
turbo,SANDUSD-OTC,1782037620,0.068105,0.067965,0.068185,0.067955,0
turbo,SANDUSD-OTC,1782037680,0.067995,0.067875,0.068075,0.067805,0
turbo,SANDUSD-OTC,1782037740,0.067905,0.068015,0.068035,0.067805,0
