tipo,activo,from,open,close,max,min,volume
turbo,SP35-OTC,1782510540,19493.845905,19487.722825,19493.877275,19487.482955,0
turbo,SP35-OTC,1782510600,19487.721885,19490.741755,19499.694625,19485.138465,0
turbo,SP35-OTC,1782510660,19490.121795,19481.476035,19491.954685,19481.476035,0
turbo,SP35-OTC,1782510720,19481.487875,19467.612765,19481.503985,19467.603415,0
turbo,SP35-OTC,1782510780,19467.622285,19461.778915,19470.643385,19460.579785,0
turbo,SP35-OTC,1782510840,19461.790485,19459.096095,19465.096405,19457.900555,0
turbo,SP35-OTC,1782510900,19455.764525,19466.059215,19467.909985,19454.387155,0
turbo,SP35-OTC,1782510960,19466.068255,19473.373325,19473.395615,19464.213285,0
turbo,SP35-OTC,1782511020,19477.670835,19473.099515,19477.670835,19468.652575,0
turbo,SP35-OTC,1782511080,19473.109755,19483.320785,19488.745815,19472.530395,0
turbo,SP35-OTC,1782511140,19483.332565,19487.953095,19487.953095,19479.418645,0
turbo,SP35-OTC,1782511200,19487.375105,19490.024705,19490.635395,19481.112235,0
turbo,SP35-OTC,1782511260,19490.028335,19496.762785,19496.772355,19485.136575,0
turbo,SP35-OTC,1782511320,19496.750565,19503.479085,19503.489885,19490.126295,0
turbo,SP35-OTC,1782511380,19504.085425,19513.361275,19513.370025,19503.948945,0
turbo,SP35-OTC,1782511440,19512.755585,19505.276585,19513.359135,19503.347225,0
turbo,SP35-OTC,1782511500,19505.288315,19516.278465,19516.282315,19503.546105,0
turbo,SP35-OTC,1782511560,19516.280755,19520.324705,19522.223225,19511.395945,0
turbo,SP35-OTC,1782511620,19520.335865,19519.635585,19524.010815,19517.808735,0
turbo,SP35-OTC,1782511680,19519.635845,19512.756315,19526.200615,19512.079635,0
turbo,SP35-OTC,1782511740,19512.762615,19512.410125,19519.171645,19510.916005,0
turbo,SP35-OTC,1782511800,19512.411955,19537.037335,19537.059045,19512.401265,0
turbo,SP35-OTC,1782511860,19537.035185,19540.874255,19542.708445,19535.213645,0
turbo,SP35-OTC,1782511920,19540.863765,19537.593905,19540.863765,19531.614425,0
