tipo,activo,from,open,close,max,min,volume
turbo,STXUSD-OTC,1782036300,0.197615,0.197845,0.198065,0.196425,0
turbo,STXUSD-OTC,1782036360,0.197805,0.198895,0.198995,0.197645,0
turbo,STXUSD-OTC,1782036420,0.198855,0.198445,0.198975,0.197815,0
turbo,STXUSD-OTC,1782036480,0.198495,0.198445,0.198915,0.198235,0
turbo,STXUSD-OTC,1782036540,0.198395,0.196235,0.198395,0.196195,0
turbo,STXUSD-OTC,1782036600,0.196195,0.197925,0.198435,0.196125,0
turbo,STXUSD-OTC,1782036660,0.197955,0.195735,0.198115,0.195115,0
turbo,STXUSD-OTC,1782036720,0.195675,0.195655,0.197095,0.195285,0
turbo,STXUSD-OTC,1782036780,0.195595,0.196375,0.196395,0.194915,0
turbo,STXUSD-OTC,1782036840,0.196425,0.197495,0.197995,0.196255,0
turbo,STXUSD-OTC,1782036900,0.197295,0.197285,0.197555,0.196205,0
turbo,STXUSD-OTC,1782036960,0.197255,0.195735,0.197485,0.195635,0
turbo,STXUSD-OTC,1782037020,0.195705,0.198505,0.198605,0.195705,0
turbo,STXUSD-OTC,1782037080,0.198565,0.196955,0.198995,0.196885,0
turbo,STXUSD-OTC,1782037140,0.196895,0.196625,0.197155,0.196295,0
turbo,STXUSD-OTC,1782037200,0.196635,0.195445,0.196805,0.195195,0
turbo,STXUSD-OTC,1782037260,0.195385,0.196325,0.196775,0.195205,0
turbo,STXUSD-OTC,1782037320,0.196285,0.196265,0.196525,0.195345,0
turbo,STXUSD-OTC,1782037380,0.196225,0.197455,0.197655,0.196225,0
turbo,STXUSD-OTC,1782037440,0.197505,0.197675,0.198305,0.196715,0
turbo,STXUSD-OTC,1782037500,0.197685,0.196185,0.198045,0.196155,0
turbo,STXUSD-OTC,1782037560,0.196165,0.195175,0.196235,0.194745,0
turbo,STXUSD-OTC,1782037620,0.195145,0.196105,0.196215,0.194125,0
turbo,STXUSD-OTC,1782037680,0.196175,0.193895,0.196175,0.193825,0
turbo,STXUSD-OTC,1782037740,0.193925,0.194305,0.194345,0.193275,0
turbo,STXUSD-OTC,1782037800,0.194275,0.196545,0.196855,0.194105,0
turbo,STXUSD-OTC,1782037860,0.196365,0.196235,0.197125,0.196105,0
turbo,STXUSD-OTC,1782037920,0.196255,0.195555,0.196425,0.195225,0
turbo,STXUSD-OTC,1782037980,0.195505,0.197175,0.197695,0.195265,0
turbo,STXUSD-OTC,1782038040,0.197135,0.196945,0.197185,0.195995,0
turbo,STXUSD-OTC,1782038100,0.196925,0.197585,0.197585,0.196325,0
turbo,STXUSD-OTC,1782038160,0.197555,0.197505,0.197865,0.197205,0
turbo,STXUSD-OTC,1782038220,0.197695,0.197485,0.198325,0.197185,0
turbo,STXUSD-OTC,1782038280,0.197465,0.197635,0.197945,0.196905,0
turbo,STXUSD-OTC,1782038340,0.197585,0.197505,0.198215,0.197095,0
turbo,STXUSD-OTC,1782038400,0.197315,0.197865,0.197865,0.196735,0
turbo,STXUSD-OTC,1782038460,0.197825,0.198055,0.199035,0.197825,0
turbo,STXUSD-OTC,1782038520,0.198105,0.198865,0.199195,0.197315,0
