tipo,activo,from,open,close,max,min,volume
turbo,SUGAR-OTC,1782036540,12.231415,12.000445,12.239875,11.986255,0
turbo,SUGAR-OTC,1782036600,12.002355,12.001255,12.022365,11.964395,0
turbo,SUGAR-OTC,1782036660,11.977855,11.885035,11.981765,11.869885,0
turbo,SUGAR-OTC,1782036720,11.894905,11.963115,12.019965,11.893395,0
turbo,SUGAR-OTC,1782036780,11.961085,11.892895,11.980245,11.845195,0
turbo,SUGAR-OTC,1782036840,11.893815,11.964275,11.972975,11.872625,0
turbo,SUGAR-OTC,1782036900,11.966805,11.923965,11.993345,11.915015,0
turbo,SUGAR-OTC,1782036960,11.927175,11.952295,11.953745,11.833495,0
turbo,SUGAR-OTC,1782037020,11.950635,11.902935,11.955085,11.832445,0
turbo,SUGAR-OTC,1782037080,11.903585,11.828005,11.945105,11.816215,0
turbo,SUGAR-OTC,1782037140,11.826645,11.880575,11.917435,11.819945,0
turbo,SUGAR-OTC,1782037200,11.877035,11.938335,11.960005,11.872895,0
turbo,SUGAR-OTC,1782037260,11.941655,12.003525,12.013895,11.935275,0
turbo,SUGAR-OTC,1782037320,12.002265,12.087345,12.104515,11.978625,0
turbo,SUGAR-OTC,1782037380,12.085915,12.059425,12.101615,12.026895,0
turbo,SUGAR-OTC,1782037440,12.061515,12.088045,12.089715,12.019035,0
turbo,SUGAR-OTC,1782037500,12.088435,12.156305,12.158695,12.074235,0
turbo,SUGAR-OTC,1782037560,12.152925,12.218905,12.255025,12.082845,0
turbo,SUGAR-OTC,1782037620,12.216275,12.303175,12.314055,12.199455,0
turbo,SUGAR-OTC,1782037680,12.327985,12.221075,12.327985,12.215975,0
turbo,SUGAR-OTC,1782037740,12.219785,12.232545,12.240855,12.177795,0
turbo,SUGAR-OTC,1782037800,12.230425,12.278015,12.287685,12.205745,0
turbo,SUGAR-OTC,1782037860,12.274435,12.239795,12.299075,12.199835,0
turbo,SUGAR-OTC,1782037920,12.240435,12.375945,12.392315,12.239575,0
turbo,SUGAR-OTC,1782037980,12.379825,12.407565,12.474565,12.375465,0
turbo,SUGAR-OTC,1782038040,12.409475,12.380575,12.469495,12.377095,0
turbo,SUGAR-OTC,1782038100,12.378005,12.351385,12.387765,12.326825,0
turbo,SUGAR-OTC,1782038160,12.353315,12.210985,12.362555,12.194325,0
turbo,SUGAR-OTC,1782038220,12.209195,12.273825,12.317465,12.193915,0
turbo,SUGAR-OTC,1782038280,12.270425,12.205975,12.272805,12.176285,0
turbo,SUGAR-OTC,1782038340,12.208455,12.223625,12.263425,12.198595,0
turbo,SUGAR-OTC,1782038400,12.224745,12.256255,12.277325,12.210725,0
turbo,SUGAR-OTC,1782038460,12.252065,12.265525,12.298985,12.227845,0
turbo,SUGAR-OTC,1782038520,12.264475,12.356825,12.373115,12.227935,0
