tipo,activo,from,open,close,max,min,volume
turbo,SUIUSD-OTC,1782036300,0.707245,0.706695,0.707245,0.703865,0
turbo,SUIUSD-OTC,1782036360,0.706985,0.701855,0.707855,0.701705,0
turbo,SUIUSD-OTC,1782036420,0.701875,0.700765,0.703515,0.699455,0
turbo,SUIUSD-OTC,1782036480,0.700775,0.701845,0.701895,0.696905,0
turbo,SUIUSD-OTC,1782036540,0.701665,0.700805,0.702355,0.699705,0
turbo,SUIUSD-OTC,1782036600,0.700905,0.702265,0.703265,0.700895,0
turbo,SUIUSD-OTC,1782036660,0.702215,0.700655,0.703545,0.698245,0
turbo,SUIUSD-OTC,1782036720,0.700725,0.702415,0.704875,0.699625,0
turbo,SUIUSD-OTC,1782036780,0.702275,0.696525,0.702535,0.696525,0
turbo,SUIUSD-OTC,1782036840,0.696415,0.698085,0.698935,0.695735,0
turbo,SUIUSD-OTC,1782036900,0.698105,0.694885,0.699185,0.694885,0
turbo,SUIUSD-OTC,1782036960,0.695235,0.697355,0.699005,0.695235,0
turbo,SUIUSD-OTC,1782037020,0.697365,0.692715,0.697365,0.692095,0
turbo,SUIUSD-OTC,1782037080,0.692745,0.689835,0.694395,0.689095,0
turbo,SUIUSD-OTC,1782037140,0.690215,0.689175,0.691525,0.687745,0
turbo,SUIUSD-OTC,1782037200,0.689435,0.689535,0.691965,0.686375,0
turbo,SUIUSD-OTC,1782037260,0.690155,0.694795,0.695135,0.687255,0
turbo,SUIUSD-OTC,1782037320,0.694865,0.696595,0.698595,0.693845,0
turbo,SUIUSD-OTC,1782037380,0.696865,0.696125,0.699655,0.695545,0
turbo,SUIUSD-OTC,1782037440,0.695785,0.697205,0.698775,0.695255,0
turbo,SUIUSD-OTC,1782037500,0.697155,0.696645,0.698025,0.695985,0
turbo,SUIUSD-OTC,1782037560,0.696585,0.697165,0.697215,0.693585,0
turbo,SUIUSD-OTC,1782037620,0.697035,0.699745,0.701375,0.697035,0
turbo,SUIUSD-OTC,1782037680,0.699615,0.699315,0.700605,0.695685,0
turbo,SUIUSD-OTC,1782037740,0.699095,0.693665,0.699405,0.693655,0
turbo,SUIUSD-OTC,1782037800,0.693615,0.699175,0.699735,0.691665,0
