tipo,activo,from,open,close,max,min,volume
turbo,TIAUSD-OTC,1784564100,0.359815,0.361475,0.361535,0.359815,0
turbo,TIAUSD-OTC,1784564160,0.361495,0.362785,0.362875,0.361205,0
turbo,TIAUSD-OTC,1784564220,0.362705,0.364605,0.364665,0.362045,0
turbo,TIAUSD-OTC,1784564280,0.364305,0.363105,0.365605,0.362595,0
turbo,TIAUSD-OTC,1784564340,0.363095,0.363055,0.363895,0.362315,0
turbo,TIAUSD-OTC,1784564400,0.362975,0.361545,0.363415,0.361285,0
turbo,TIAUSD-OTC,1784564460,0.361535,0.363435,0.364625,0.361315,0
turbo,TIAUSD-OTC,1784564520,0.363225,0.363565,0.363915,0.362655,0
turbo,TIAUSD-OTC,1784564580,0.363435,0.364055,0.364475,0.363235,0
turbo,TIAUSD-OTC,1784564640,0.364165,0.363135,0.364565,0.363045,0
turbo,TIAUSD-OTC,1784564700,0.363155,0.359335,0.363395,0.359335,0
turbo,TIAUSD-OTC,1784564760,0.359305,0.360815,0.361015,0.359105,0
turbo,TIAUSD-OTC,1784564820,0.361025,0.360205,0.361025,0.359205,0
turbo,TIAUSD-OTC,1784564880,0.360175,0.361235,0.361845,0.359955,0
turbo,TIAUSD-OTC,1784564940,0.361205,0.362435,0.363475,0.361195,0
turbo,TIAUSD-OTC,1784565000,0.362215,0.364075,0.364075,0.361745,0
turbo,TIAUSD-OTC,1784565060,0.364275,0.365535,0.366205,0.364075,0
turbo,TIAUSD-OTC,1784565120,0.365565,0.366425,0.367265,0.365065,0
turbo,TIAUSD-OTC,1784565180,0.366365,0.365465,0.366625,0.364795,0
turbo,TIAUSD-OTC,1784565240,0.365585,0.368535,0.368535,0.365515,0
turbo,TIAUSD-OTC,1784565300,0.368645,0.368295,0.369195,0.367555,0
turbo,TIAUSD-OTC,1784565360,0.368365,0.369725,0.369925,0.367595,0
turbo,TIAUSD-OTC,1784565420,0.369715,0.370735,0.371085,0.368165,0
turbo,TIAUSD-OTC,1784565480,0.370845,0.369365,0.371405,0.368665,0
