tipo,activo,from,open,close,max,min,volume
turbo,TRON-OTC,1782036240,0.354025,0.354065,0.355615,0.351075,0
turbo,TRON-OTC,1782036300,0.353765,0.345135,0.357025,0.344725,0
turbo,TRON-OTC,1782036360,0.345055,0.339265,0.346505,0.335385,0
turbo,TRON-OTC,1782036420,0.341205,0.333425,0.341995,0.331195,0
turbo,TRON-OTC,1782036480,0.334915,0.329335,0.338395,0.329245,0
turbo,TRON-OTC,1782036540,0.329175,0.325165,0.331525,0.325025,0
turbo,TRON-OTC,1782036600,0.325335,0.320915,0.327635,0.320565,0
turbo,TRON-OTC,1782036660,0.320985,0.318245,0.324795,0.316925,0
turbo,TRON-OTC,1782036720,0.318145,0.321235,0.324455,0.317945,0
turbo,TRON-OTC,1782036780,0.321105,0.313505,0.321685,0.312545,0
turbo,TRON-OTC,1782036840,0.313375,0.317975,0.317975,0.312845,0
turbo,TRON-OTC,1782036900,0.318235,0.323765,0.325125,0.318235,0
turbo,TRON-OTC,1782036960,0.323905,0.320565,0.323905,0.316585,0
turbo,TRON-OTC,1782037020,0.320755,0.321925,0.326255,0.320755,0
turbo,TRON-OTC,1782037080,0.322035,0.325785,0.326735,0.318585,0
turbo,TRON-OTC,1782037140,0.325465,0.333095,0.333095,0.319605,0
turbo,TRON-OTC,1782037200,0.332995,0.339395,0.340035,0.331625,0
turbo,TRON-OTC,1782037260,0.339165,0.341415,0.343085,0.335735,0
turbo,TRON-OTC,1782037320,0.341155,0.351115,0.352325,0.341155,0
turbo,TRON-OTC,1782037380,0.351425,0.350325,0.352055,0.345255,0
turbo,TRON-OTC,1782037440,0.350515,0.350545,0.351155,0.343715,0
turbo,TRON-OTC,1782037500,0.350415,0.353705,0.356395,0.347205,0
turbo,TRON-OTC,1782037560,0.353535,0.356905,0.356905,0.351805,0
turbo,TRON-OTC,1782037620,0.357245,0.353655,0.361395,0.351635,0
turbo,TRON-OTC,1782037680,0.353815,0.349685,0.356485,0.346255,0
turbo,TRON-OTC,1782037740,0.350035,0.349955,0.352555,0.348165,0
turbo,TRON-OTC,1782037800,0.350185,0.348065,0.352365,0.343935,0
turbo,TRON-OTC,1782037860,0.348255,0.345105,0.352975,0.344845,0
turbo,TRON-OTC,1782037920,0.344915,0.362295,0.362295,0.341285,0
turbo,TRON-OTC,1782037980,0.362375,0.349655,0.362585,0.348535,0
turbo,TRON-OTC,1782038040,0.349555,0.345425,0.349915,0.343245,0
turbo,TRON-OTC,1782038100,0.345605,0.345885,0.348525,0.342545,0
turbo,TRON-OTC,1782038160,0.345605,0.340655,0.345915,0.339375,0
turbo,TRON-OTC,1782038220,0.340965,0.346015,0.348385,0.340505,0
turbo,TRON-OTC,1782038280,0.345795,0.340475,0.347995,0.336315,0
turbo,TRON-OTC,1782038340,0.339895,0.330605,0.339895,0.330395,0
turbo,TRON-OTC,1782038400,0.330705,0.329215,0.334945,0.328765,0
turbo,TRON-OTC,1782038460,0.329125,0.324285,0.330265,0.320945,0
turbo,TRON-OTC,1782038520,0.323205,0.319725,0.323205,0.318335,0
turbo,TRON-OTC,1782038580,0.319465,0.325295,0.329565,0.319205,0
turbo,TRON-OTC,1782038640,0.325005,0.324105,0.327175,0.323405,0
turbo,TRON-OTC,1782038700,0.324355,0.335865,0.336155,0.323955,0
turbo,TRON-OTC,1782038760,0.335585,0.337695,0.338175,0.331945,0
turbo,TRON-OTC,1782038820,0.338015,0.352115,0.352475,0.337175,0
turbo,TRON-OTC,1782038880,0.352385,0.355195,0.359315,0.351735,0
turbo,TRON-OTC,1782038940,0.354915,0.354905,0.363015,0.354275,0
turbo,TRON-OTC,1782039000,0.354655,0.350455,0.359505,0.347865,0
turbo,TRON-OTC,1782039060,0.350325,0.352715,0.355055,0.348045,0
turbo,TRON-OTC,1782039120,0.352405,0.350295,0.355705,0.347625,0
turbo,TRON-OTC,1782039180,0.350525,0.348895,0.352015,0.347095,0
turbo,TRON-OTC,1782039240,0.349095,0.354865,0.355125,0.347575,0
turbo,TRON-OTC,1782039300,0.355155,0.357405,0.357405,0.351545,0
turbo,TRON-OTC,1782039360,0.357745,0.361295,0.364555,0.357745,0
turbo,TRON-OTC,1782039420,0.360935,0.360805,0.364965,0.358115,0
turbo,TRON-OTC,1782039480,0.360935,0.366695,0.367465,0.358515,0
turbo,TRON-OTC,1782039540,0.367325,0.376655,0.376655,0.365565,0
turbo,TRON-OTC,1782039600,0.376965,0.381205,0.385785,0.376515,0
turbo,TRON-OTC,1782039660,0.381405,0.375125,0.381665,0.374375,0
turbo,TRON-OTC,1782039720,0.375205,0.377685,0.378105,0.373155,0
turbo,TRON-OTC,1782039780,0.377445,0.386085,0.386545,0.376555,0
turbo,TRON-OTC,1782039840,0.385955,0.381365,0.386185,0.379215,0
turbo,TRON-OTC,1782039900,0.381745,0.374615,0.381875,0.373045,0
turbo,TRON-OTC,1782039960,0.374395,0.379515,0.379515,0.371845,0
turbo,TRON-OTC,1782040020,0.379595,0.386835,0.388195,0.379595,0
turbo,TRON-OTC,1782040080,0.387085,0.380255,0.388425,0.379655,0
turbo,TRON-OTC,1782040140,0.380055,0.381165,0.382905,0.377965,0
turbo,TRON-OTC,1782040200,0.381285,0.387595,0.387975,0.380465,0
turbo,TRON-OTC,1782040260,0.387405,0.394905,0.395765,0.383565,0
turbo,TRON-OTC,1782040320,0.395085,0.403295,0.406675,0.391795,0
turbo,TRON-OTC,1782040380,0.403685,0.402875,0.409275,0.402875,0
turbo,TRON-OTC,1782040440,0.403275,0.405035,0.408515,0.402135,0
turbo,TRON-OTC,1782040500,0.406905,0.406345,0.408805,0.404205,0
turbo,TRON-OTC,1782040560,0.406535,0.397045,0.407195,0.395805,0
turbo,TRON-OTC,1782040620,0.396915,0.404555,0.404725,0.396525,0
turbo,TRON-OTC,1782040680,0.404895,0.405535,0.406295,0.398265,0
turbo,TRON-OTC,1782040740,0.405325,0.407065,0.407535,0.403285,0
turbo,TRON-OTC,1782040800,0.406735,0.403865,0.406765,0.400895,0
turbo,TRON-OTC,1782040860,0.403465,0.407215,0.407505,0.403465,0
turbo,TRON-OTC,1782040920,0.407345,0.412875,0.413985,0.407345,0
turbo,TRON-OTC,1782040980,0.412995,0.410125,0.413095,0.408265,0
turbo,TRON-OTC,1782041040,0.409865,0.396155,0.410235,0.395625,0
turbo,TRON-OTC,1782041100,0.395975,0.396935,0.401135,0.392955,0
turbo,TRON-OTC,1782041160,0.397065,0.397975,0.400315,0.394305,0
turbo,TRON-OTC,1782041220,0.397815,0.398425,0.401465,0.394485,0
turbo,TRON-OTC,1782041280,0.398605,0.393515,0.400825,0.392525,0
turbo,TRON-OTC,1782041340,0.393765,0.410485,0.411925,0.393765,0
turbo,TRON-OTC,1782041400,0.410185,0.396575,0.410185,0.396575,0
turbo,TRON-OTC,1782041460,0.396935,0.407465,0.407945,0.396865,0
turbo,TRON-OTC,1782041520,0.407255,0.404935,0.408425,0.403285,0
turbo,TRON-OTC,1782041580,0.405325,0.405955,0.413555,0.404785,0
turbo,TRON-OTC,1782041640,0.406235,0.404825,0.408395,0.402035,0
turbo,TRON-OTC,1782041700,0.404505,0.412595,0.412875,0.402815,0
turbo,TRON-OTC,1782041760,0.412685,0.412265,0.417305,0.408235,0
turbo,TRON-OTC,1782041820,0.412585,0.409975,0.413565,0.408325,0
turbo,TRON-OTC,1782041880,0.409765,0.411305,0.413955,0.401655,0
turbo,TRON-OTC,1782041940,0.411195,0.407315,0.415385,0.406075,0
turbo,TRON-OTC,1782042000,0.407635,0.407665,0.410475,0.402605,0
turbo,TRON-OTC,1782042060,0.408025,0.417085,0.417085,0.405165,0
turbo,TRON-OTC,1782042120,0.416745,0.421175,0.421175,0.412265,0
turbo,TRON-OTC,1782042180,0.420905,0.410045,0.420925,0.407415,0
turbo,TRON-OTC,1782042240,0.410275,0.400345,0.412325,0.396895,0
turbo,TRON-OTC,1782042300,0.400015,0.414495,0.414495,0.399245,0
turbo,TRON-OTC,1782042360,0.414895,0.404155,0.414895,0.403105,0
turbo,TRON-OTC,1782042420,0.403955,0.386545,0.403955,0.386355,0
turbo,TRON-OTC,1782042480,0.386635,0.391915,0.395115,0.383425,0
turbo,TRON-OTC,1782042540,0.391585,0.393475,0.397955,0.387675,0
turbo,TRON-OTC,1782042600,0.393775,0.388875,0.398215,0.388655,0
turbo,TRON-OTC,1782042660,0.389185,0.393405,0.394325,0.384695,0
turbo,TRON-OTC,1782042720,0.393315,0.387035,0.393315,0.385745,0
turbo,TRON-OTC,1782042780,0.387425,0.396385,0.396775,0.386695,0
turbo,TRON-OTC,1782042840,0.396065,0.402785,0.408435,0.394965,0
turbo,TRON-OTC,1782042900,0.402495,0.394405,0.404705,0.394315,0
turbo,TRON-OTC,1782042960,0.393135,0.388615,0.393135,0.387375,0
turbo,TRON-OTC,1782043020,0.388845,0.396275,0.399175,0.388545,0
turbo,TRON-OTC,1782043080,0.396445,0.389165,0.400005,0.388545,0
turbo,TRON-OTC,1782043140,0.388875,0.381765,0.389325,0.379545,0
turbo,TRON-OTC,1782043200,0.381895,0.377315,0.382315,0.375635,0
turbo,TRON-OTC,1782043260,0.377085,0.376845,0.378665,0.374845,0
